Symbol,H_Rows,H_LastDate,TA_Rows,TA_LastDate,Issues
^GSPC,760,2026-01-07,520,2026-01-07,
^NDX,760,2026-01-07,520,2026-01-07,
^DJI,760,2026-01-07,520,2026-01-07,
^RUT,760,2026-01-07,520,2026-01-07,
^VIX,792,2026-01-08,520,2026-01-08,
^GSPTSE,760,2026-01-07,520,2026-01-07,
^STOXX50E,761,2026-01-08,520,2026-01-08,
^FTSE,766,2026-01-08,520,2026-01-08,
SPY,760,2026-01-07,520,2026-01-07,
IVV,760,2026-01-07,520,2026-01-07,
VOO,760,2026-01-07,520,2026-01-07,
VTI,760,2026-01-07,520,2026-01-07,
ITOT,760,2026-01-07,520,2026-01-07,
SCHB,760,2026-01-07,520,2026-01-07,
IWB,760,2026-01-07,520,2026-01-07,
IWD,760,2026-01-07,520,2026-01-07,
IWF,760,2026-01-07,520,2026-01-07,
IJH,760,2026-01-07,520,2026-01-07,
IJR,760,2026-01-07,520,2026-01-07,
IWS,760,2026-01-07,520,2026-01-07,
IWP,760,2026-01-07,520,2026-01-07,
IWM,760,2026-01-07,520,2026-01-07,
IWO,760,2026-01-07,520,2026-01-07,
DIA,760,2026-01-07,520,2026-01-07,
QQQ,760,2026-01-07,520,2026-01-07,
QQQM,760,2026-01-07,520,2026-01-07,
VUG,760,2026-01-07,520,2026-01-07,
VTV,760,2026-01-07,520,2026-01-07,
XLK,760,2026-01-07,520,2026-01-07,
XLF,760,2026-01-07,520,2026-01-07,
XLE,760,2026-01-07,520,2026-01-07,
XLI,760,2026-01-07,520,2026-01-07,
XLY,760,2026-01-07,520,2026-01-07,
XLP,760,2026-01-07,520,2026-01-07,
XLV,760,2026-01-07,520,2026-01-07,
XLU,760,2026-01-07,520,2026-01-07,
XLC,760,2026-01-07,520,2026-01-07,
XLB,760,2026-01-07,520,2026-01-07,
XLRE,760,2026-01-07,520,2026-01-07,
MTUM,760,2026-01-07,520,2026-01-07,
QUAL,760,2026-01-07,520,2026-01-07,
VLUE,760,2026-01-07,520,2026-01-07,
USMV,760,2026-01-07,520,2026-01-07,
SIZE,760,2026-01-07,520,2026-01-07,
XBI,760,2026-01-07,520,2026-01-07,
SMH,760,2026-01-07,520,2026-01-07,
SOXX,760,2026-01-07,520,2026-01-07,
XME,760,2026-01-07,520,2026-01-07,
HYG,760,2026-01-07,520,2026-01-07,
JNK,760,2026-01-07,520,2026-01-07,
LQD,760,2026-01-07,520,2026-01-07,
BND,760,2026-01-07,520,2026-01-07,
AGG,760,2026-01-07,520,2026-01-07,
TLT,760,2026-01-07,520,2026-01-07,
IEF,760,2026-01-07,520,2026-01-07,
SHY,760,2026-01-07,520,2026-01-07,
TIP,760,2026-01-07,520,2026-01-07,
GLD,760,2026-01-07,520,2026-01-07,
IAU,760,2026-01-07,520,2026-01-07,
SLV,760,2026-01-07,520,2026-01-07,
DBC,760,2026-01-07,520,2026-01-07,
USO,760,2026-01-07,520,2026-01-07,
UNG,760,2026-01-07,520,2026-01-07,
VNQ,760,2026-01-07,520,2026-01-07,
IYR,760,2026-01-07,520,2026-01-07,
EFA,760,2026-01-07,520,2026-01-07,
VEA,760,2026-01-07,520,2026-01-07,
IEFA,760,2026-01-07,520,2026-01-07,
VWO,760,2026-01-07,520,2026-01-07,
EEM,760,2026-01-07,520,2026-01-07,
IEMG,760,2026-01-07,520,2026-01-07,
ACWI,760,2026-01-07,520,2026-01-07,
ACWX,760,2026-01-07,520,2026-01-07,
XIU,760,2026-01-07,520,2026-01-07,
XIC,760,2026-01-07,520,2026-01-07,
ZCN,760,2026-01-07,520,2026-01-07,
VCN,760,2026-01-07,520,2026-01-07,
VCE,760,2026-01-07,520,2026-01-07,
HXT,760,2026-01-07,520,2026-01-07,
ZSP,760,2026-01-07,520,2026-01-06,
VFV,760,2026-01-07,520,2026-01-06,
XUS,760,2026-01-07,520,2026-01-06,
XUU,760,2026-01-07,520,2026-01-07,
VUN,760,2026-01-07,520,2026-01-07,
ZUE,760,2026-01-07,520,2026-01-07,
HXQ,760,2026-01-07,520,2026-01-07,
ZQQ,760,2026-01-07,520,2026-01-07,
XQQ,760,2026-01-07,520,2026-01-07,
QQC-F,760,2026-01-07,520,2026-01-07,
XEF,760,2026-01-07,520,2026-01-07,
VIU,760,2026-01-07,520,2026-01-07,
ZEA,760,2026-01-07,520,2026-01-07,
XEC,760,2026-01-07,520,2026-01-07,
VEE,760,2026-01-07,520,2026-01-07,
ZEM,760,2026-01-07,520,2026-01-07,
XAW,760,2026-01-07,520,2026-01-07,
VXC,760,2026-01-07,520,2026-01-07,
XIT,760,2026-01-07,520,2026-01-07,
XFN,760,2026-01-07,520,2026-01-07,
ZEB,760,2026-01-07,520,2026-01-07,
XEG,760,2026-01-07,520,2026-01-07,
ZEO,760,2026-01-07,520,2026-01-07,
XRE,760,2026-01-07,520,2026-01-07,
ZRE,760,2026-01-07,520,2026-01-07,
XDV,760,2026-01-07,520,2026-01-07,
VDY,760,2026-01-07,520,2026-01-07,
XEI,760,2026-01-07,520,2026-01-07,
ZDV,760,2026-01-07,520,2026-01-07,
VAB,760,2026-01-07,520,2026-01-07,
XBB,760,2026-01-07,520,2026-01-07,
ZAG,760,2026-01-07,520,2026-01-07,
XGB,760,2026-01-07,520,2026-01-07,
XSB,760,2026-01-07,520,2026-01-07,
ZCS,760,2026-01-07,520,2026-01-07,
ZCM,760,2026-01-07,520,2026-01-07,
ZLC,760,2026-01-07,520,2026-01-07,
ZFL,760,2026-01-07,520,2026-01-07,
XRB,760,2026-01-07,520,2026-01-07,
ZDB,760,2026-01-07,520,2026-01-07,
XSH,760,2026-01-07,520,2026-01-07,
CGL,760,2026-01-07,520,2026-01-07,
CGL.C,760,2026-01-07,520,2026-01-07,
XEQT,760,2026-01-07,520,2026-01-07,
VEQT,760,2026-01-07,520,2026-01-07,
ZEQT,760,2026-01-07,520,2026-01-07,
XGRO,760,2026-01-07,520,2026-01-07,
VGRO,760,2026-01-07,520,2026-01-07,
ZGRO,760,2026-01-07,520,2026-01-07,
XBAL,760,2026-01-07,520,2026-01-07,
VBAL,760,2026-01-07,520,2026-01-07,
ZBAL,760,2026-01-07,520,2026-01-07,
HSD,761,2026-01-07,520,2026-01-07,
HIX,761,2026-01-07,520,2026-01-07,
HUV,761,2026-01-07,520,2026-01-07,
HXD,761,2026-01-07,520,2026-01-07,
HQU,761,2026-01-07,520,2026-01-07,
