Date,Open,High,Low,Close,Volume
12-28-22,20.83,20.940001,20.799999,20.889999,8600
12-29-22,21,21,21,21,700
12-30-22,21.030001,21.040001,21.02,21.02,900
01-03-23,21.35,21.459999,21.23,21.450001,87100
01-04-23,21.459999,21.459999,21.290001,21.35,36800
01-05-23,21.23,21.23,21.139999,21.200001,7700
01-06-23,21.309999,21.41,21.309999,21.35,4000
01-09-23,21.4,21.42,21.299999,21.309999,5400
01-10-23,21.41,21.450001,21.4,21.450001,5800
01-11-23,21.43,21.48,21.35,21.440001,33900
01-12-23,21.530001,21.620001,21.5,21.58,21600
01-13-23,21.790001,21.9,21.74,21.9,47300
01-16-23,21.860001,21.860001,21.67,21.75,25800
01-17-23,21.799999,21.799999,21.700001,21.74,4500
01-18-23,21.889999,21.889999,21.809999,21.870001,6000
01-19-23,21.959999,22.139999,21.959999,22.139999,16600
01-20-23,22.059999,22.059999,21.950001,21.950001,8000
01-23-23,21.93,22,21.82,22,5900
01-24-23,21.969999,22.049999,21.889999,22.040001,17400
01-25-23,21.879999,22.15,21.879999,22.110001,7000
01-26-23,21.9,21.98,21.889999,21.889999,1600
01-27-23,21.85,21.91,21.83,21.85,10200
01-30-23,21.879999,21.92,21.84,21.889999,5900
01-31-23,21.93,21.950001,21.82,21.82,4400
02-01-23,21.889999,22.059999,21.77,22.059999,24700
02-02-23,22,22,21.690001,21.690001,18600
02-03-23,21.51,21.51,21.25,21.25,6300
02-06-23,21.459999,21.459999,21.33,21.379999,10100
02-07-23,21.389999,21.469999,21.32,21.32,6200
02-08-23,21.379999,21.459999,21.379999,21.43,2400
02-09-23,21.440001,21.440001,21.290001,21.33,3400
02-10-23,21.27,21.27,21.15,21.200001,38800
02-13-23,21.16,21.16,21.01,21.02,11900
02-14-23,21.08,21.08,21.040001,21.040001,500
02-15-23,20.950001,20.99,20.92,20.99,3200
02-16-23,20.940001,21.08,20.940001,21.030001,2700
02-17-23,20.959999,21.16,20.959999,21.110001,2100
02-21-23,21.09,21.17,21.09,21.139999,14800
02-22-23,21.139999,21.139999,21.040001,21.040001,10500
02-23-23,21.01,21.040001,20.99,20.99,13900
02-24-23,21.049999,21.049999,20.959999,20.959999,6800
02-27-23,20.959999,20.99,20.940001,20.98,2400
02-28-23,21.049999,21.219999,21.01,21.18,6100
03-01-23,21.360001,21.360001,21.280001,21.299999,1200
03-02-23,21.24,21.280001,21.24,21.280001,4200
03-03-23,21.4,21.459999,21.360001,21.459999,9100
03-06-23,21.51,21.51,21.389999,21.4,5300
03-07-23,21.34,21.34,21.209999,21.209999,10500
03-08-23,21.309999,21.35,21.299999,21.299999,3300
03-09-23,21.450001,21.57,21.4,21.57,6000
03-10-23,21.67,22.049999,21.67,22.049999,94800
03-13-23,22.25,22.379999,22.200001,22.360001,68500
03-14-23,22.299999,22.299999,22.08,22.17,4300
03-15-23,22.52,22.77,22.459999,22.48,8700
03-16-23,22.639999,22.639999,22.4,22.43,9000
03-17-23,22.75,23.129999,22.75,23.129999,11700
03-20-23,23.120001,23.120001,22.940001,23.030001,36500
03-21-23,22.809999,22.809999,22.620001,22.66,9800
03-22-23,22.68,23.030001,22.68,23.030001,2400
03-23-23,23.049999,23.35,23.02,23.35,4700
03-24-23,23.42,23.43,23.110001,23.110001,14400
03-27-23,22.879999,22.879999,22.74,22.780001,4400
03-28-23,22.76,22.82,22.76,22.790001,2000
03-29-23,22.68,22.74,22.65,22.65,3300
03-30-23,22.620001,22.780001,22.620001,22.780001,24300
03-31-23,22.75,22.76,22.639999,22.700001,16300
04-03-23,22.530001,22.77,22.530001,22.65,34300
04-04-23,23.059999,23.200001,23.059999,23.15,5000
04-05-23,23.139999,23.219999,23.1,23.1,9400
04-06-23,23.049999,23.1,23,23,7100
04-10-23,22.93,22.93,22.85,22.889999,1700
04-11-23,23.02,23.02,22.940001,22.950001,31400
04-12-23,23.08,23.08,22.950001,22.98,2400
04-13-23,23.219999,23.26,23.120001,23.18,17500
04-14-23,23,23,22.709999,22.77,29300
04-17-23,22.75,22.76,22.67,22.719999,8800
04-18-23,22.76,22.889999,22.76,22.84,1900
04-19-23,22.690001,22.799999,22.690001,22.799999,3200
04-20-23,22.940001,22.969999,22.93,22.93,5600
04-21-23,22.91,22.91,22.75,22.77,2000
04-24-23,22.870001,22.9,22.76,22.9,1900
04-25-23,22.98,23.209999,22.98,23.18,3100
04-26-23,23.24,23.26,22.99,23.1,43900
04-27-23,23,23.01,22.950001,23.01,6900
04-28-23,23.040001,23.040001,22.92,22.93,3100
05-01-23,23.059999,23.07,22.82,22.85,5000
05-02-23,22.99,23.41,22.99,23.41,12400
05-03-23,23.41,23.620001,23.34,23.620001,21100
05-04-23,23.530001,23.75,23.530001,23.620001,11600
05-05-23,23.15,23.15,22.92,22.950001,1800
05-08-23,22.950001,23.01,22.92,22.93,3700
05-09-23,23.030001,23.16,23.030001,23.16,2300
05-10-23,23.139999,23.139999,23.040001,23.139999,29800
05-11-23,23.200001,23.200001,23.09,23.139999,12800
05-12-23,23.16,23.219999,23.15,23.190001,9000
05-15-23,23.18,23.18,23.120001,23.120001,5100
05-16-23,22.950001,22.950001,22.77,22.799999,7700
05-17-23,22.719999,22.719999,22.610001,22.709999,11200
05-18-23,22.51,22.51,22.43,22.450001,22900
05-19-23,22.469999,22.76,22.469999,22.690001,7500
05-23-23,22.639999,22.66,22.57,22.66,11700
05-24-23,22.76,22.76,22.610001,22.610001,10800
05-25-23,22.530001,22.559999,22.48,22.48,2200
05-26-23,22.549999,22.549999,22.5,22.52,12000
05-29-23,22.83,22.83,22.370001,22.370001,28600
05-30-23,22.620001,22.67,22.6,22.67,7000
05-31-23,22.719999,22.780001,22.610001,22.610001,35400
06-01-23,22.610001,22.639999,22.610001,22.639999,300
06-02-23,22.58,22.58,22.27,22.27,1600
06-05-23,22.27,22.4,22.23,22.389999,9300
06-06-23,22.49,22.49,22.35,22.35,1000
06-07-23,22.280001,22.389999,22.059999,22.09,3400
06-08-23,22.23,22.35,22.23,22.309999,1600
06-09-23,22.23,22.25,22.23,22.24,3200
06-12-23,22.18,22.27,22.18,22.24,4400
06-13-23,22.26,22.26,21.959999,21.98,1800
06-14-23,22.139999,22.139999,22.01,22.030001,3300
06-15-23,22.02,22.02,22.01,22.01,4900
06-16-23,22.040001,22.040001,21.93,21.940001,7800
06-19-23,21.93,21.93,21.82,21.82,11200
06-20-23,21.83,21.83,21.75,21.76,9600
06-21-23,21.620001,21.629999,21.610001,21.629999,2700
06-22-23,21.530001,21.530001,21.389999,21.389999,25500
06-23-23,21.65,21.709999,21.530001,21.540001,5600
06-26-23,21.559999,21.559999,21.5,21.52,10200
06-27-23,21.540001,21.559999,21.459999,21.469999,2300
06-28-23,21.48,21.549999,21.459999,21.51,4500
06-29-23,21.440001,21.49,21.440001,21.48,4300
06-30-23,21.540001,21.629999,21.530001,21.629999,3400
07-04-23,21.59,21.620001,21.59,21.59,1900
07-05-23,21.790001,21.799999,21.59,21.59,8900
07-06-23,21.530001,21.709999,21.530001,21.66,14600
07-07-23,21.83,21.83,21.690001,21.690001,7000
07-10-23,21.68,21.700001,21.68,21.700001,1100
07-11-23,21.790001,21.809999,21.700001,21.73,2600
07-12-23,21.870001,21.940001,21.870001,21.91,4700
07-13-23,21.809999,21.85,21.809999,21.809999,1400
07-14-23,21.780001,21.969999,21.780001,21.950001,7100
07-17-23,21.870001,21.870001,21.870001,21.870001,400
07-18-23,22.110001,22.16,22.1,22.110001,2900
07-19-23,22.07,22.120001,22.040001,22.120001,10300
07-20-23,22.139999,22.139999,22.01,22.07,11400
07-21-23,22.01,22.040001,21.98,22.040001,1000
07-24-23,21.92,21.92,21.84,21.84,800
07-25-23,21.969999,21.99,21.93,21.99,4600
