Date,Open,High,Low,Close,Volume
12-28-22,47.939999,48.060001,47.419998,47.48,749200
12-29-22,47.650002,48.049999,47.560001,47.98,197200
12-30-22,47.73,47.990002,47.549999,47.669998,252200
01-03-23,48.09,48.380001,47.73,47.919998,283900
01-04-23,48.029999,48.380001,47.82,48.220001,426100
01-05-23,48.080002,48.16,47.779999,48.049999,687300
01-06-23,48.32,48.830002,48.189999,48.830002,243700
01-09-23,49.060001,49.220001,48.860001,48.889999,1038400
01-10-23,48.880001,48.939999,48.610001,48.939999,208900
01-11-23,49.209999,49.310001,48.93,49.23,472800
01-12-23,49.330002,49.689999,49.139999,49.650002,456000
01-13-23,49.549999,50.150002,49.549999,50.09,242800
01-16-23,50.02,50.290001,50.02,50.16,31500
01-17-23,50.27,50.400002,50.18,50.330002,213400
01-18-23,50.529999,50.740002,50.139999,50.150002,1031000
01-19-23,50,50.200001,49.869999,50.060001,179600
01-20-23,50.09,50.48,49.950001,50.450001,130300
01-23-23,50.439999,50.790001,50.400002,50.77,287900
01-24-23,50.619999,50.830002,50.48,50.759998,238400
01-25-23,50.509998,50.779999,50.25,50.720001,287500
01-26-23,50.860001,51,50.619999,51,160900
01-27-23,50.91,51.169998,50.91,51.02,155200
01-30-23,50.869999,51.049999,50.700001,50.720001,390200
01-31-23,50.77,51.220001,50.75,51.209999,303600
02-01-23,51.139999,51.27,50.700001,51.09,549200
02-02-23,51.290001,51.349998,50.959999,51.07,303700
02-03-23,50.939999,51.360001,50.939999,51.18,280600
02-06-23,50.959999,51.02,50.73,50.919998,189800
02-07-23,50.810001,51.25,50.66,51.080002,452900
02-08-23,51.029999,51.150002,50.799999,50.950001,252000
02-09-23,51.299999,51.299999,50.669998,50.799999,193800
02-10-23,50.66,50.93,50.549999,50.900002,175400
02-13-23,50.970001,51.23,50.889999,51.119999,211000
02-14-23,51,51.32,50.77,51.119999,366700
02-15-23,50.889999,51.169998,50.830002,51.16,189700
02-16-23,50.810001,51.09,50.639999,50.849998,341400
02-17-23,50.700001,50.759998,50.5,50.59,264200
02-21-23,50.419998,50.48,49.990002,50.009998,1253700
02-22-23,50.029999,50.049999,49.689999,49.830002,718900
02-23-23,50,50.040001,49.5,49.799999,349500
02-24-23,49.41,49.889999,49.330002,49.889999,287400
02-27-23,50,50.27,49.93,50,481300
02-28-23,49.91,49.93,49.73,49.880001,261700
03-01-23,49.889999,50.060001,49.77,49.93,325700
03-02-23,49.709999,50.18,49.66,50.150002,212600
03-03-23,50.290001,50.84,50.290001,50.77,279500
03-06-23,50.740002,50.849998,50.599998,50.630001,163300
03-07-23,50.700001,50.700001,49.919998,50,216200
03-08-23,50.060001,50.400002,50.040001,50.200001,514600
03-09-23,50.220001,50.380001,49.490002,49.549999,257900
03-10-23,49.400002,49.509998,48.720001,48.799999,1954300
03-13-23,48.119999,48.630001,47.880001,48.32,2109200
03-14-23,48.709999,48.959999,48.23,48.57,439300
03-15-23,47.990002,48,47.34,47.860001,691900
03-16-23,47.52,48.380001,47.290001,48.23,860600
