Date,Open,High,Low,Close,Volume
12-27-22,21.959999,22.35,21.92,22.110001,12346900
12-28-22,21.93,21.969999,21.6,21.6,10915100
12-29-22,22.059999,22.139999,21.950001,21.969999,11896400
12-30-22,21.92,22.030001,21.639999,22.02,14251000
01-03-23,22.450001,22.540001,22.030001,22.049999,18122100
01-04-23,22.280001,22.360001,21.700001,21.889999,17246400
01-05-23,21.5,21.530001,21.27,21.389999,16539900
01-06-23,21.709999,22,21.610001,21.92,17021400
01-09-23,22,22.139999,21.690001,21.74,15588200
01-10-23,21.74,21.870001,21.639999,21.73,10051200
01-11-23,21.860001,21.879999,21.360001,21.549999,13848000
01-12-23,22,22.07,21.690001,21.879999,18514100
01-13-23,21.879999,22.35,21.860001,22.33,18425400
01-17-23,22.200001,22.209999,21.92,22.01,23059400
01-18-23,22.299999,22.4,21.549999,21.57,24553500
01-19-23,21.65,22.030001,21.57,21.959999,15361200
01-20-23,22.01,22.07,21.809999,22.02,14299700
01-23-23,21.18,21.620001,20.93,21.58,30123300
01-24-23,21.5,21.83,21.35,21.76,15461600
01-25-23,21.629999,22.02,21.58,21.969999,12824900
01-26-23,22.190001,22.219999,21.809999,21.99,18177800
01-27-23,21.709999,21.790001,21.43,21.68,15244100
01-30-23,21.799999,21.82,21.65,21.66,8337100
01-31-23,21.58,21.860001,21.540001,21.83,10471400
02-01-23,21.799999,22.110001,21.49,22.08,23818200
02-02-23,22.5,22.52,21.540001,21.57,22808400
02-03-23,20.860001,21.059999,20.5,20.57,36695700
02-06-23,20.549999,20.65,20.370001,20.48,15824800
02-07-23,20.41,20.639999,20.27,20.379999,16209500
02-08-23,20.59,20.639999,20.42,20.48,10688500
02-09-23,20.66,20.68,20.15,20.18,19233500
02-10-23,20.41,20.450001,20.15,20.24,11028700
02-13-23,20.15,20.25,20.040001,20.200001,12376300
02-14-23,19.950001,20.219999,19.870001,20.120001,14586500
02-15-23,19.780001,19.950001,19.77,19.889999,13249500
02-16-23,19.74,20.02,19.709999,19.84,16692900
02-17-23,19.59,20.059999,19.549999,20.01,15129100
02-21-23,20.129999,20.209999,20,20.07,11158700
02-22-23,20.030001,20.049999,19.709999,19.75,15142700
02-23-23,19.84,19.889999,19.549999,19.629999,13610700
02-24-23,19.27,19.360001,19.059999,19.09,24859800
02-27-23,19.09,19.139999,18.889999,18.93,26063800
02-28-23,18.98,19.309999,18.9,19.219999,14396100
03-01-23,19.280001,19.469999,19.219999,19.290001,14873100
03-02-23,19.049999,19.25,19.02,19.24,8914300
