Date,Open,High,Low,Close,Volume
12-27-22,72.360001,72.650002,72.110001,69.163132,1771000
12-28-22,72.470001,72.82,71.699997,68.438095,3141100
12-29-22,72.089996,72.730003,72,69.163132,1759900
12-30-22,72.220001,72.25,71.519997,68.781532,3044300
01-03-23,72.279999,72.510002,71.57,68.848305,2352300
01-04-23,72.459999,72.919998,72.160004,69.229904,2552600
01-05-23,72.32,72.339996,71.769997,68.590744,1805600
01-06-23,72.360001,73.620003,72.260002,70.078926,2193000
01-09-23,73.540001,73.93,72.93,69.573334,2419900
01-10-23,72.75,73.190002,72.699997,69.773666,4854000
01-11-23,73.230003,73.790001,73.230003,70.384209,9219600
01-12-23,73.629997,73.860001,73.190002,70.193413,3084800
01-13-23,73.120003,73.779999,73.110001,70.279274,2425500
01-17-23,73.57,73.879997,73.239998,69.954926,4220500
01-18-23,73.440002,73.440002,72.040001,68.724297,2293300
01-19-23,71.760002,71.980003,71.580002,68.304543,5865800
01-20-23,71.68,72.360001,71.370003,69.029564,3670300
01-23-23,72.360001,73.059998,72.169998,69.363457,3983400
01-24-23,72.529999,73.25,71.75,69.353912,2574100
01-25-23,72.279999,72.809998,71.980003,69.458839,2254000
01-26-23,72.970001,72.970001,72.5,69.563789,4581900
01-27-23,72.639999,72.989998,72.449997,69.353912,3551300
01-30-23,72.370003,72.940002,72.300003,69.02002,3285500
01-31-23,72.510002,73.209999,72.410004,69.830902,2681600
02-01-23,72.839996,74.080002,72.580002,70.260201,4090700
02-02-23,73.690002,73.730003,73.160004,70.164803,4038200
02-03-23,73.169998,73.269997,72.660004,69.62104,4752000
02-06-23,72.589996,73,72.57,69.477943,2957600
02-07-23,72.669998,73.32,72.190002,69.802284,4046700
02-08-23,72.830002,72.910004,72.410004,69.124977,2234000
02-09-23,72.82,72.989998,71.910004,68.705208,2546200
02-10-23,71.949997,72.739998,71.910004,69.344376,2167800
02-13-23,72.690002,73.300003,72.690002,69.926292,9756000
02-14-23,73.239998,73.360001,72.370003,69.373001,4798300
02-15-23,72.330002,73.459999,72.330002,69.544731,2620900
02-16-23,72.339996,73,72.230003,69.144043,3712100
02-17-23,72.309998,72.940002,72.269997,69.48748,2847000
02-21-23,72.279999,72.5,71.860001,68.600281,2497700
02-22-23,71.82,72.059998,71.470001,68.342712,2325900
02-23-23,71.809998,71.940002,71.110001,68.361786,2146100
02-24-23,71.040001,71.300003,70.760002,67.818016,3650100
02-27-23,71.540001,71.779999,70.949997,67.837105,1958100
02-28-23,70.980003,71.129997,70.629997,67.388725,3399300
03-01-23,70.410004,70.510002,69.959999,67.035774,4067000
03-02-23,70.040001,71.040001,70.040001,67.617683,3280800
03-03-23,71.099998,71.529999,70.809998,68.22821,2602100
03-06-23,71.559998,71.82,71.440002,68.256851,1746300
03-07-23,71.650002,71.650002,70.580002,67.426903,4106200
03-08-23,70.760002,70.870003,70.400002,67.445969,5373800
03-09-23,70.839996,71.040001,69.720001,66.682793,3434600
03-10-23,69.830002,70.019997,68.910004,65.93869,5766100
03-13-23,68.839996,70.150002,68.769997,66.167656,6796900
03-14-23,69.93,70.239998,69.32,66.787735,2907000
03-15-23,69.25,70.010002,69.220001,66.692337,5856200
03-16-23,69.650002,70.669998,69.57,67.350563,3808700
03-17-23,70.510002,70.580002,69.709999,66.749573,3297000
03-20-23,70.160004,70.849998,70.160004,67.522301,2977600
03-21-23,71.050003,71.199997,70.419998,67.617683,3054700
03-22-23,70.839996,71.25,69.889999,66.692337,2901000
03-23-23,69.830002,70.400002,69.330002,66.77858,3894700
03-24-23,69.550003,70.669998,69.5,67.717773,2069200
03-27-23,70.940002,71.260002,70.809998,67.919037,2333700
03-28-23,70.769997,71.150002,70.760002,67.976547,1874500
03-29-23,71.389999,71.620003,71.32,68.62822,2894900
03-30-23,71.93,71.970001,71.629997,68.944481,3268000
03-31-23,72,72.75,72,69.711174,3048700
04-03-23,72.639999,73.099998,72.489998,69.989082,2667100
04-04-23,73.010002,73.160004,72.589996,69.807007,2191900
04-05-23,72.849998,73.330002,72.849998,70.228699,1857700
04-06-23,73.230003,73.529999,73.169998,70.468277,2681100
04-10-23,73.139999,73.480003,72.940002,70.401184,1654600
04-11-23,73.519997,73.82,73.470001,70.5737,1524800
04-12-23,73.790001,74.07,73.510002,70.602448,1867100
04-13-23,73.650002,74.18,73.400002,71.043297,2181600
04-14-23,73.870003,74.139999,73.410004,70.583282,2012200
04-17-23,73.610001,73.989998,73.519997,70.909119,1526900
04-18-23,74.07,74.120003,73.639999,70.774963,2311900
04-19-23,73.690002,73.830002,73.550003,70.602448,1310000
04-20-23,73.309998,73.690002,73.260002,70.525764,3268300
04-21-23,73.739998,73.879997,73.5,70.717453,2080500
04-24-23,73.629997,73.919998,73.629997,70.842033,2776700
04-25-23,73.709999,73.879997,73.309998,70.276604,1772900
04-26-23,72.849998,72.919998,72.339996,69.404503,3125900
04-27-23,72.449997,73.389999,72.449997,70.324509,3027700
04-28-23,73.199997,73.849998,73.190002,70.746193,2442300
05-01-23,73.769997,74.300003,73.769997,70.966621,9210800
05-02-23,73.860001,73.879997,72.919998,70.362862,2784900
05-03-23,73.57,73.919998,73.139999,70.104103,2106600
05-04-23,72.809998,73.080002,72.559998,69.720757,3275700
05-05-23,72.940002,73.690002,72.940002,70.525764,1830000
05-08-23,73.449997,73.599998,73.279999,70.382027,2139800
05-09-23,73.260002,73.449997,73.209999,70.209518,1766800
05-10-23,73.510002,73.730003,72.989998,70.525764,2105400
05-11-23,73.470001,73.489998,73.050003,70.334099,1498900
05-12-23,73.459999,73.68,73.110001,70.401184,1614400
05-15-23,73.510002,73.57,73.150002,70.372444,1592600
05-16-23,73.110001,73.139999,72.599998,69.596169,1587700
05-17-23,72.889999,73.029999,72.440002,69.845337,5382500
05-18-23,72.720001,73.080002,72.449997,69.989082,2191500
05-19-23,73.099998,73.449997,72.940002,70.084915,2779500
05-22-23,73.110001,73.440002,72.760002,69.922005,3454900
05-23-23,72.690002,72.699997,72.150002,69.260742,2457100
05-24-23,72.059998,72.199997,71.68,68.724045,2173800
05-25-23,71.510002,71.68,71.110001,68.484467,2358100
05-26-23,71.540001,72,71.400002,68.781555,2722300
05-30-23,71.709999,71.809998,71.370003,68.522797,2049500
05-31-23,71.290001,71.660004,71.110001,68.465309,1937900
06-01-23,71.400002,71.769997,71.110001,68.695312,2165900
06-02-23,71.75,72.580002,71.650002,69.481171,2246400
06-05-23,72.470001,72.790001,72.32,69.337395,1887200
06-06-23,72.330002,72.440002,71.82,69.078651,2287200
06-07-23,71.669998,71.959999,71.510002,69.165237,2050300
06-08-23,71.779999,72.360001,71.779999,69.559692,1836000
06-09-23,72.199997,72.529999,72.169998,69.540466,2681200
06-12-23,72.43,72.68,72.239998,69.906059,2079400
06-13-23,72.809998,73.010002,72.669998,70.146576,2813800
06-14-23,72.910004,73.269997,72.650002,70.146576,2488200
06-15-23,72.870003,74.050003,72.870003,71.118294,2913400
06-16-23,73.989998,74.330002,73.860001,71.09906,2078500
06-20-23,73.669998,73.720001,73.339996,70.560272,1901400
06-21-23,73.18,73.540001,72.910004,70.541054,1952700
06-22-23,73.309998,73.410004,73.150002,70.598755,1399900
06-23-23,73.099998,73.269997,72.75,70.050362,1742200
06-26-23,72.699997,73.07,72.580002,70.213928,1432000
06-27-23,73.089996,73.540001,73.040001,70.6661,3252300
06-28-23,73.300003,73.300003,72.919998,70.300514,3838000
06-29-23,72.900002,73.580002,72.839996,70.781555,1852100
06-30-23,73.910004,74.449997,73.760002,71.512764,2008500
07-03-23,74.040001,74.330002,73.889999,71.435791,858400
07-05-23,73.980003,74.209999,73.800003,71.320335,2288100
07-06-23,73.68,73.839996,73.440002,70.945107,1573100
07-07-23,73.559998,73.879997,73.260002,70.531425,2215200
07-10-23,73.220001,73.82,73.220001,70.829681,1945200
07-11-23,73.650002,74.150002,73.5,71.329956,2366500
07-12-23,74.559998,74.559998,74.160004,71.464661,2554900
07-13-23,74.349998,74.459999,74.190002,71.551247,3372800
07-14-23,74.25,74.470001,74.209999,71.512764,1598400
07-17-23,74.209999,74.559998,74.120003,71.560867,1690400
07-18-23,74.330002,74.849998,74.279999,71.743675,4135100
07-19-23,74.720001,75.120003,74.720001,72.080399,2307800
07-20-23,74.879997,75.459999,74.879997,72.522964,8181600
07-21-23,75.559998,75.970001,75.540001,72.936668,3000600
07-24-23,75.779999,76.010002,75.779999,73.042496,2598200
07-25-23,75.779999,76.129997,75.75,73.177185,1907500
07-26-23,75.779999,76.010002,75.559998,72.965523,2840400
07-27-23,75.900002,76.089996,75.169998,72.407509,1974600
07-28-23,75.440002,75.699997,75.199997,72.561447,2154900
07-31-23,75.389999,75.5,75.099998,72.503716,2192100
08-01-23,75.129997,75.480003,72.150002,72.340164,2533000
08-02-23,74.900002,75.32,74.900002,72.147736,1710500
08-03-23,74.889999,74.959999,74.650002,71.878349,2314300
08-04-23,74.809998,75.129997,74.239998,71.483894,2113800
08-07-23,74.519997,75.059998,74.519997,72.118881,1414500
08-08-23,74.779999,74.940002,74.5,71.936081,1981300
08-09-23,74.75,75.25,74.75,72.041908,1756300
08-10-23,75.239998,75.559998,74.709999,72.003441,10097000
08-11-23,74.699997,75.220001,74.639999,72.28244,1427100
08-14-23,75.07,75.300003,75.059998,72.359398,1780800
08-15-23,74.949997,74.989998,74.5,71.743675,3285000
08-16-23,74.480003,74.879997,74.330002,71.532005,2091500
08-17-23,74.540001,74.599998,73.860001,71.060585,1959800
08-18-23,73.550003,74.160004,73.550003,71.224106,2157600
08-21-23,74.040001,74.220001,73.660004,71.233765,1521300
08-22-23,74.029999,74.209999,73.830002,71.079819,2733200
08-23-23,73.919998,74.410004,73.919998,71.551247,2058800
08-24-23,74.239998,74.760002,73.830002,71.031708,1775700
08-25-23,73.940002,74.559998,73.860001,71.512764,2804400
08-28-23,74.480003,74.809998,74.449997,71.791779,1726700
08-29-23,74.690002,75.209999,74.650002,72.359398,1993800
08-30-23,75.269997,75.519997,75.199997,72.45562,1329200
08-31-23,75.290001,75.419998,74.879997,72.041908,1492400
09-01-23,75.220001,75.379997,74.889999,72.186234,1112100
09-05-23,74.940002,75.029999,74.480003,71.676315,1191400
09-06-23,74.349998,74.419998,74.07,71.435791,934300
09-07-23,74.110001,74.699997,74.110001,71.685936,1447200
09-08-23,74.489998,74.849998,74.489998,71.897606,1190000
09-11-23,74.800003,75.050003,74.760002,72.166985,2443100
09-12-23,74.739998,74.910004,74.580002,71.868729,922600
09-13-23,74.660004,74.980003,74.660004,72.022659,1288100
09-14-23,75.129997,75.5,75.089996,72.561447,1231700
09-15-23,75.220001,75.489998,74.830002,72.003441,1394800
09-18-23,74.870003,75.139999,74.75,72.09964,1046500
09-19-23,74.839996,75.059998,74.699997,72.166985,2308400
09-20-23,75.150002,75.620003,75.019997,72.205475,2517100
09-21-23,74.709999,74.830002,74.110001,71.320335,2598500
09-22-23,74.199997,74.510002,74.07,71.281853,1940500
09-25-23,73.870003,74.18,73.830002,71.368439,2473600
09-26-23,73.43,73.550003,72.889999,70.51445,7668300
09-27-23,73.089996,73.150002,72.260002,70.282349,2809400
09-28-23,72.68,72.970001,72.610001,70.388725,2755200
09-29-23,73.07,73.089996,72.230003,70.001869,2734500
10-02-23,72.32,72.32,71.410004,69.547318,2220000
