Date,Open,High,Low,Close,Volume
12-27-22,140.5,140.949997,139.809998,131.582458,2904200
12-28-22,140.919998,141.160004,139.039993,130.225143,2920100
12-29-22,139.720001,140.979996,139.649994,131.68541,2724800
12-30-22,140.089996,140.460007,139.169998,131.395233,2922100
01-03-23,140.729996,141.259995,139.070007,131.170609,2782400
01-04-23,140.860001,142.080002,140.25,132.312607,2436100
01-05-23,140.729996,140.970001,139.839996,131.442032,1852100
01-06-23,141.830002,143.779999,141.199997,134.231506,2200200
01-09-23,144.029999,144.300003,142.240005,133.229935,3034900
01-10-23,142.440002,143.070007,141.740005,133.903915,1649900
01-11-23,143.770004,143.979996,142.820007,134.746368,2463600
01-12-23,144.509995,144.869995,143.25,135.03653,2342000
01-13-23,143.130005,144.770004,142.949997,135.289276,2615300
01-17-23,144.649994,144.720001,143.529999,134.521713,2918200
01-18-23,143.889999,143.949997,140.929993,131.994308,4896500
01-19-23,140.25,140.779999,139.639999,131.095718,3456700
01-20-23,140.369995,141.660004,139.570007,132.565323,2815500
01-23-23,141.779999,143.369995,141.550003,133.492035,3527500
01-24-23,142.199997,143.070007,141.559998,133.52948,2349500
01-25-23,141.779999,143.110001,141.360001,133.950745,1909300
01-26-23,143.720001,144.020004,142.729996,134.765076,2078000
01-27-23,143.830002,144.289993,143.210007,134.371933,2716700
01-30-23,142.990005,143.880005,142.360001,133.379715,4166400
01-31-23,142.639999,144.300003,142.369995,135.055267,1914900
02-01-23,143.869995,145.669998,142.610001,135.41098,1954000
02-02-23,144.820007,145.050003,143.770004,135.429672,5365800
02-03-23,144.360001,144.759995,143.479996,134.680847,2576300
02-06-23,143.309998,143.669998,142.839996,134.315765,1922300
02-07-23,143.119995,144.880005,142.5,135.270554,1926300
02-08-23,143.740005,144.360001,143.360001,134.371933,1349300
02-09-23,144.570007,144.570007,142.059998,133.248657,1826200
02-10-23,142.570007,143.869995,142.360001,134.559143,1675200
02-13-23,143.759995,144.960007,143.710007,135.691788,1453100
02-14-23,144.589996,145.320007,143.399994,135.130142,2194600
02-15-23,143.5,144.330002,143.220001,135.083359,1634200
02-16-23,143,144.240005,142.720001,133.969421,1562100
02-17-23,142.559998,143.600006,142.289993,134.231506,1391500
02-21-23,142.320007,142.779999,140.860001,132.078598,1881700
02-22-23,141.160004,141.619995,140.259995,131.741592,1437200
02-23-23,141.300003,141.699997,139.809998,131.994308,2171200
02-24-23,139.809998,140.639999,139.279999,131.339096,1873800
02-27-23,141.229996,141.649994,140.020004,131.329742,1941700
02-28-23,140.380005,140.410004,139.539993,130.683853,1655700
03-01-23,139.229996,139.869995,138.919998,130.534058,2159700
03-02-23,139.139999,140.5,138.600006,131.198669,1886900
03-03-23,140.779999,141.990005,140.229996,132.780624,2238100
03-06-23,141.979996,142.460007,141.639999,132.789963,1818800
03-07-23,141.820007,141.820007,139.229996,130.59024,1784600
03-08-23,139.429993,139.789993,138.589996,130.374954,1836600
03-09-23,139.479996,139.839996,136.220001,127.885002,2290100
03-10-23,136.279999,137.259995,134.270004,126.265625,3735900
03-13-23,133.080002,135.600006,132.710007,125.20787,4898900
03-14-23,135.639999,136.119995,133.880005,126.696213,3122300
03-15-23,132.919998,133.729996,131.960007,125.048744,3459500
03-16-23,132.690002,135.300003,132.190002,126.387337,5154800
03-17-23,134.399994,134.419998,132.270004,124.262436,2657700
03-20-23,133.419998,134.949997,133.419998,125.994171,2795200
03-21-23,136.149994,136.320007,135.350006,127.388878,2421300
03-22-23,136.179993,136.630005,133.539993,125.020622,2653200
03-23-23,133.270004,134.25,131.320007,124.448006,2254400
03-24-23,131.399994,133.360001,130.889999,125.521721,3009500
03-27-23,134.440002,135.039993,133.889999,126.614273,2171200
03-28-23,134.309998,135.009995,134.070007,126.699036,2272800
