Date,Open,High,Low,Close,Volume
12-28-22,24.41,24.41,24.26,22.517315,53400
12-29-22,24.25,24.389999,24.25,22.694395,19500
12-30-22,24.27,24.280001,24.18,22.591875,6000
01-03-23,24.57,24.57,24.360001,22.750319,48900
01-04-23,24.450001,24.51,24.4,22.740997,14600
01-05-23,24.42,24.42,24.299999,22.740997,18200
01-06-23,24.459999,24.66,24.4,22.983318,12100
01-09-23,24.67,24.780001,24.65,22.973997,56300
01-10-23,24.6,24.73,24.6,23.03924,17500
01-11-23,24.82,24.91,24.799999,23.216322,59500
01-12-23,24.959999,25.09,24.870001,23.374763,29900
01-13-23,25.059999,25.200001,25.059999,23.486601,13800
01-16-23,25.17,25.25,24.959999,23.26292,44300
01-17-23,25.209999,25.26,25.190001,23.505239,20800
01-18-23,25.32,25.42,25.24,23.523882,49600
01-19-23,25.139999,25.18,25.1,23.440004,30700
01-20-23,25.15,25.209999,25.120001,23.495922,17600
01-23-23,25.26,25.35,25.25,23.617085,22200
01-24-23,25.280001,25.34,25.26,23.617085,26400
01-25-23,25.25,25.4,25.200001,23.673004,32200
01-26-23,25.450001,25.450001,25.34,23.691645,19800
01-27-23,25.370001,25.469999,25.360001,23.682325,20800
01-30-23,25.360001,25.4,25.32,23.617085,61000
01-31-23,25.370001,25.41,25.32,23.682325,3900
02-01-23,25.450001,25.639999,25.35,23.840767,95600
02-02-23,25.700001,25.77,25.639999,23.952608,15600
02-03-23,25.65,25.709999,25.58,23.952608,15900
02-06-23,25.51,25.51,25.450001,23.738243,22300
02-07-23,25.450001,25.6,25.379999,23.859404,22500
02-08-23,25.549999,25.549999,25.459999,23.766207,24200
02-09-23,25.6,25.620001,25.4,23.691645,27800
02-10-23,25.280001,25.290001,25.209999,23.514561,37700
02-13-23,25.290001,25.4,25.290001,23.673004,32500
02-14-23,25.370001,25.43,25.299999,23.663687,39200
02-15-23,25.35,25.4,25.32,23.673004,17600
02-16-23,25.299999,25.41,25.290001,23.589125,71600
02-17-23,25.290001,25.309999,25.23,23.579803,11600
02-21-23,25.18,25.18,25.040001,23.356125,22700
02-22-23,25.059999,25.08,25,23.3002,14800
02-23-23,25.08,25.129999,25,23.421362,13100
02-24-23,24.959999,25.01,24.92,23.309523,22100
02-27-23,25.1,25.110001,25.049999,23.36544,18400
02-28-23,25.059999,25.129999,25.01,23.393402,24400
03-01-23,25.059999,25.120001,25.01,23.337481,30900
03-02-23,24.99,25.09,24.940001,23.384079,34400
03-03-23,25.209999,25.370001,25.209999,23.645048,14500
03-06-23,25.440001,25.450001,25.33,23.617085,26000
03-07-23,25.360001,25.379999,25.24,23.533201,21900
03-08-23,25.280001,25.379999,25.27,23.617085,21000
03-09-23,25.379999,25.379999,25.17,23.458645,25200
03-10-23,25.16,25.219999,25.040001,23.3468,26800
03-13-23,25.01,25.120001,24.950001,23.309523,64600
03-14-23,25.15,25.16,25,23.356125,39100
03-15-23,24.940001,24.98,24.83,23.26292,25100
03-16-23,24.870001,25.08,24.870001,23.356125,36200
03-17-23,25.059999,25.059999,24.969999,23.281559,5400
03-20-23,25.030001,25.059999,25,23.328163,30000
03-21-23,25.120001,25.25,25.120001,23.533201,16500
03-22-23,25.16,25.280001,25.110001,23.491106,7900
03-23-23,25.09,25.190001,25,23.44433,13000
03-24-23,25.08,25.129999,25.02,23.509815,30000
03-27-23,25.129999,25.129999,25.040001,23.425615,11100
03-28-23,25,25.030001,24.940001,23.378838,25300
03-29-23,25.120001,25.15,25.09,23.528526,31700
03-30-23,25.23,25.25,25.190001,23.612722,630800
03-31-23,25.299999,25.389999,25.299999,23.743694,35500
04-03-23,25.35,25.43,25.35,23.771763,26500
04-04-23,25.450001,25.450001,25.41,23.790472,15000
04-05-23,25.389999,25.389999,25.35,23.734344,18000
04-06-23,25.35,25.43,25.35,23.790472,14600
04-10-23,25.4,25.42,25.360001,23.781118,33700
04-11-23,25.42,25.469999,25.42,23.818537,12200
04-12-23,25.549999,25.549999,25.43,23.790472,25800
04-13-23,25.459999,25.5,25.43,23.855961,15300
04-14-23,25.49,25.5,25.379999,23.790472,24400
04-17-23,25.450001,25.469999,25.4,23.827892,13400
04-18-23,25.48,25.530001,25.48,23.874674,17200
04-19-23,25.43,25.559999,25.43,23.884029,68600
04-20-23,25.49,25.58,25.49,23.912094,20000
04-21-23,25.65,25.67,25.6,24.015001,27700
04-24-23,25.65,25.700001,25.65,24.03371,25600
04-25-23,25.67,25.709999,25.6,23.949511,29000
04-26-23,25.6,25.620001,25.52,23.874674,7900
04-27-23,25.58,25.67,25.549999,23.996284,16300
04-28-23,25.67,25.77,25.67,24.108555,9600
05-01-23,25.77,25.790001,25.67,24.015001,17400
05-02-23,25.65,25.65,25.559999,23.996284,16400
05-03-23,25.66,25.719999,25.639999,24.005642,16200
05-04-23,25.59,25.59,25.48,23.846605,35400
05-05-23,25.5,25.559999,25.48,23.902737,12300
05-08-23,25.49,25.530001,25.48,23.884029,37800
05-09-23,25.450001,25.5,25.440001,23.846605,19700
05-10-23,25.549999,25.549999,25.450001,23.874674,13300
05-11-23,25.559999,25.6,25.559999,23.949511,10000
05-12-23,25.65,25.65,25.57,23.968225,11600
05-15-23,25.6,25.620001,25.559999,23.968225,21700
05-16-23,25.5,25.5,25.41,23.771763,120800
05-17-23,25.459999,25.48,25.370001,23.837248,41500
05-18-23,25.49,25.549999,25.43,23.902737,44000
05-19-23,25.57,25.610001,25.57,23.940157,5200
05-23-23,25.5,25.52,25.389999,23.753054,11500
05-24-23,25.33,25.34,25.26,23.668854,16400
05-25-23,25.379999,25.379999,25.27,23.668854,6300
05-26-23,25.35,25.469999,25.35,23.809181,26500
05-29-23,25.59,25.6,25.450001,23.949511,41000
05-30-23,25.48,25.48,25.389999,23.771763,17800
05-31-23,25.370001,25.370001,25.23,23.69692,23400
06-01-23,25.34,25.41,25.309999,23.762407,8600
06-02-23,25.469999,25.6,25.469999,23.930803,44300
06-05-23,25.57,25.57,25.52,23.874674,23200
06-06-23,25.5,25.58,25.5,23.930803,6500
06-07-23,25.549999,25.6,25.389999,23.771763,14400
06-08-23,25.42,25.49,25.389999,23.846605,9800
06-09-23,25.450001,25.5,25.450001,23.837248,15100
06-12-23,25.51,25.6,25.5,23.949511,14900
06-13-23,25.65,25.68,25.57,23.968225,9800
06-14-23,25.639999,25.719999,25.59,23.986931,17000
06-15-23,25.690001,25.780001,25.68,24.089842,8300
06-16-23,25.790001,25.790001,25.690001,24.03371,53600
06-19-23,25.709999,25.709999,25.58,24.015001,30900
06-20-23,25.629999,25.629999,25.57,23.940157,47900
06-21-23,25.51,25.51,25.43,23.818537,24700
06-22-23,25.379999,25.379999,25.34,23.71563,9700
06-23-23,25.309999,25.33,25.27,23.659496,18400
06-26-23,25.15,25.15,25.1,23.66987,24000
