Date,Open,High,Low,Close,Volume
12-27-22,34.02,34.099998,33.799999,32.454815,25601100
12-28-22,34,34.09,33.779999,32.340076,24395100
12-29-22,34,34.349998,33.919998,32.789505,26624200
12-30-22,34.040001,34.27,33.919998,32.703438,24735700
01-03-23,34.450001,34.689999,34.07,32.818195,37396500
01-04-23,34.669998,35.119999,34.57,33.344116,44669300
01-05-23,34.75,34.75,34.369999,33.095497,45585700
01-06-23,34.84,35.490002,34.599998,33.83181,41229700
01-09-23,35.5,35.700001,35.16,33.707489,48726600
01-10-23,35.189999,35.48,35.07,33.898746,34663700
01-11-23,35.540001,35.779999,35.470001,34.214298,32014700
01-12-23,35.900002,36.060001,35.619999,34.281239,56642400
01-13-23,35.389999,36.169998,35.259998,34.539425,65920900
01-17-23,36.029999,36.049999,35.77,34.309933,65345200
01-18-23,35.68,35.900002,35.18,33.669239,53693000
01-19-23,34.779999,34.98,34.560001,33.277187,61169500
01-20-23,34.900002,35.369999,34.740002,33.803112,42330100
01-23-23,35.380001,35.91,35.27,34.195171,44997300
01-24-23,35.700001,35.939999,35.299999,34.214298,34333500
01-25-23,35.470001,36.07,35.459999,34.482052,38458700
01-26-23,36.150002,36.310001,35.91,34.663727,29944200
01-27-23,36.200001,36.459999,36.150002,34.663727,30787400
01-30-23,36.060001,36.330002,36.009998,34.491604,31595000
01-31-23,36.139999,36.57,35.970001,34.960167,30282100
02-01-23,36.18,36.880001,36.099998,34.960167,51418700
02-02-23,36.759998,36.810001,36.369999,35.055794,42107300
02-03-23,36.369999,36.900002,36.360001,34.988857,43155000
02-06-23,36.380001,36.59,36.299999,34.979301,32273600
02-07-23,36.349998,37.110001,36.349998,35.380913,33000500
02-08-23,36.73,37.099998,36.68,35.170547,34555500
02-09-23,36.93,37.040001,36.290001,34.778488,44329600
02-10-23,36.189999,36.52,36.07,34.89323,28108900
02-13-23,36.470001,36.91,36.439999,35.294857,32209000
02-14-23,36.84,37.080002,36.48,35.1036,33525300
02-15-23,36.419998,36.77,36.369999,35.14185,28510000
02-16-23,36.400002,36.66,36.310001,34.788052,34379100
02-17-23,36.200001,36.439999,36.09,34.797607,35889800
02-21-23,36.080002,36.130001,35.48,34.080425,36425200
02-22-23,35.639999,35.779999,35.41,34.042175,31065200
02-23-23,35.75,35.919998,35.299999,34.070869,42357600
02-24-23,35.32,35.77,35.259998,34.099548,48732600
02-27-23,35.990002,36.049999,35.580002,34.089996,31664600
02-28-23,35.700001,35.900002,35.610001,34.156925,32531400
03-01-23,35.560001,35.759998,35.459999,34.042175,32790300
03-02-23,35.389999,35.470001,35.009998,33.879623,38401900
03-03-23,35.57,36,35.5,34.415112,33091600
03-06-23,36.009998,36.240002,35.91,34.443798,30111100
03-07-23,35.889999,35.919998,35,33.554497,53804400
03-08-23,35.049999,35.240002,34.779999,33.430183,50860300
03-09-23,34.759998,34.82,33.369999,32.072319,107108500
03-10-23,33.150002,33.720001,32.529999,31.489017,166569400
03-13-23,31.76,32.32,31.370001,30.245901,165965900
03-14-23,32.84,32.849998,31.870001,30.857901,128115500
03-15-23,31.360001,31.540001,30.959999,30.035528,132235000
03-16-23,31.200001,32.34,30.9,30.609272,133892600
03-17-23,31.709999,31.709999,30.9,29.624344,136760600
03-20-23,31.07,31.440001,31.02,29.953962,75384500
03-21-23,31.879999,32.040001,31.809999,30.713142,115899200
03-22-23,31.959999,32.049999,31.200001,30.002012,67874100
03-23-23,31.280001,31.6,30.790001,29.800205,82366300
03-24-23,30.629999,31.02,30.389999,29.780983,76619100
03-27-23,31.52,31.59,31.24,30.19421,61393300
03-28-23,31.379999,31.52,31.219999,30.184601,42980100
03-29-23,31.75,31.879999,31.610001,30.626656,52147200
03-30-23,32.099998,32.119999,31.620001,30.559383,45061700
03-31-23,31.98,32.16,31.860001,30.895731,49034400
04-03-23,32.119999,32.34,32.02,30.95339,51213500
04-04-23,32.290001,32.34,31.700001,30.665092,45939300
04-05-23,31.67,31.959999,31.66,30.626656,57965300
04-06-23,31.809999,32.049999,31.780001,30.741974,36762300
04-10-23,31.870001,32.07,31.799999,30.809244,27900700
04-11-23,32.139999,32.48,32.119999,31.078321,53912600
04-12-23,32.5,32.669998,32.189999,31.011053,63645800
04-13-23,32.290001,32.580002,32.07,31.289734,58550300
04-14-23,32.900002,33.150002,32.720001,31.597252,65276200
04-17-23,32.860001,33.27,32.720001,31.96242,69670600
04-18-23,33.330002,33.43,33.080002,32.058525,49507500
04-19-23,33.310001,33.529999,33.25,32.135399,39478900
04-20-23,33.220001,33.43,33.209999,32.03931,39291800
04-21-23,33.240002,33.259998,33.029999,31.923994,41545000
04-24-23,33.200001,33.32,33.060001,31.847105,32774200
04-25-23,32.93,32.990002,32.560001,31.299349,58534300
04-26-23,32.48,32.66,32.119999,31.001434,54294200
04-27-23,32.380001,32.84,32.380001,31.501154,46398800
04-28-23,32.619999,33.200001,32.549999,31.875937,54598700
05-01-23,33.259998,33.43,33.040001,31.789457,31950600
05-02-23,32.950001,32.959999,32.029999,31.06871,76096700
05-03-23,32.369999,32.529999,31.93,30.713142,65642400
05-04-23,31.68,31.85,31.26,30.319136,76076600
05-05-23,32.07,32.380001,32.02,31.06871,55019400
05-08-23,32.509998,32.619999,32.34,31.116756,34323600
05-09-23,32.139999,32.389999,32.07,31.001434,29736200
05-10-23,32.470001,32.540001,31.799999,30.828463,39706100
05-11-23,31.879999,32.080002,31.74,30.780413,36693200
05-12-23,32.240002,32.240002,31.690001,30.655483,36253000
05-15-23,31.959999,32.220001,31.9,30.90534,33208500
05-16-23,32.099998,32.189999,31.84,30.617044,31241400
05-17-23,32.110001,32.59,32.040001,31.232075,46818800
05-18-23,32.439999,32.779999,32.32,31.462713,42232500
05-19-23,32.82,32.919998,32.450001,31.328173,40132900
05-22-23,32.709999,32.779999,32.459999,31.38583,35286200
05-23-23,32.52,32.689999,32.259998,31.02066,42217200
05-24-23,32.040001,32.07,31.790001,30.617044,46610700
05-25-23,31.780001,31.959999,31.66,30.607435,41658900
05-26-23,31.92,32.189999,31.870001,30.857288,44183000
05-30-23,32.16,32.23,31.889999,30.847679,57900500
05-31-23,31.91,31.940001,31.49,30.520945,67667900
06-01-23,31.940001,32.169998,31.719999,30.847679,48643400
06-02-23,32.41,32.919998,32.41,31.520372,65752900
06-05-23,32.84,32.84,32.48,31.357006,53591100
06-06-23,32.599998,33.09,32.580002,31.751005,46236100
06-07-23,33.07,33.240002,32.869999,31.875937,48467100
06-08-23,33.060001,33.189999,32.880001,31.847105,36261200
06-09-23,33.080002,33.290001,33.060001,31.85672,34021700
06-12-23,33.18,33.27,32.889999,31.847105,33655200
06-13-23,33.110001,33.48,33.07,32.03931,46054400
06-14-23,33.419998,33.59,33.099998,31.914373,57195400
06-15-23,33.099998,33.73,33.07,32.337215,52241800
06-16-23,33.799999,33.830002,33.540001,32.269947,49861100
06-20-23,33.209999,33.27,32.98,32.028618,50683100
06-21-23,33.099998,33.299999,33,31.990002,35967600
06-22-23,33.080002,33.09,32.77,31.739029,38690000
06-23-23,32.630001,32.849998,32.52,31.603888,35529600
06-26-23,32.689999,32.939999,32.580002,31.536318,25728300
06-27-23,32.73,33,32.709999,31.787294,34348100
06-28-23,32.889999,32.900002,32.700001,31.710066,36663200
06-29-23,33.02,33.419998,32.98,32.260284,47471000
06-30-23,33.639999,33.849998,33.580002,32.540222,44762300
07-03-23,33.709999,34,33.66,32.723629,19128000
07-05-23,33.700001,33.919998,33.599998,32.656067,39831600
07-06-23,33.549999,33.580002,33.25,32.376122,45808400
07-07-23,33.400002,33.869999,33.400002,32.424389,33488700
07-10-23,33.599998,33.93,33.57,32.569183,27254400
07-11-23,33.860001,34.18,33.790001,32.955303,33744600
07-12-23,34.419998,34.599998,34.27,33.167675,46546000
07-13-23,34.41,34.529999,34.349998,33.283508,40453700
07-14-23,34.73,34.740002,34.200001,33.061485,47552700
07-17-23,34.209999,34.68,34.209999,33.380039,38568900
07-18-23,34.66,35,34.610001,33.756496,47160800
07-19-23,34.970001,35.259998,34.959999,33.901295,45599800
07-20-23,35.060001,35.389999,35.049999,34.152279,45591500
07-21-23,35.439999,35.459999,35.169998,34.036442,30615700
07-24-23,35.279999,35.709999,35.27,34.364639,32299800
07-25-23,35.5,35.580002,35.34,34.142616,36218600
07-26-23,35.330002,35.689999,35.279999,34.345337,35638700
07-27-23,35.580002,35.669998,35.080002,33.91095,44072800
07-28-23,35.41,35.419998,35.009998,33.978527,32422700
07-31-23,35.27,35.439999,35.18,34.104012,28627000
08-01-23,35.259998,35.360001,35.139999,34.104012,26480300
08-02-23,35.029999,35.16,34.830002,33.814419,48923800
08-03-23,34.82,35.130001,34.720001,33.833725,31861600
08-04-23,35.02,35.360001,34.880001,33.698582,36195700
08-07-23,35.130001,35.459999,35.119999,34.171585,33119300
08-08-23,34.939999,35.110001,34.669998,33.862686,37254800
08-09-23,35.060001,35.16,34.779999,33.611713,38304200
08-10-23,35,35.259998,34.759998,33.640667,38097500
08-11-23,34.740002,34.98,34.66,33.708229,27518700
08-14-23,34.82,34.919998,34.689999,33.640667,23773800
08-15-23,34.560001,34.599998,34.169998,33.022869,57472100
08-16-23,34.150002,34.419998,34.119999,32.974609,33566500
08-17-23,34.27,34.32,33.889999,32.810509,38205400
08-18-23,33.75,34.080002,33.720001,32.800858,40860000
08-21-23,34.029999,34.099998,33.669998,32.762241,32308300
08-22-23,33.950001,33.990002,33.57,32.453354,43133000
