Date,Open,High,Low,Close,Volume
12-27-22,71.07,71.5,70.620003,65.551262,6105700
12-28-22,71.510002,71.809998,70.559998,64.926537,7215600
12-29-22,71.019997,71.580002,70.970001,65.395096,5777600
12-30-22,71.110001,71.230003,69.839996,64.770355,7350100
01-03-23,70.699997,70.940002,69.540001,64.770355,12887100
01-04-23,70.82,71.779999,70.709999,65.358337,10436300
01-05-23,70.599998,70.870003,69.389999,63.943508,9786400
01-06-23,70.389999,71.339996,70.290001,65.229721,9810200
01-09-23,70.989998,72.019997,70.779999,65.670715,11719400
01-10-23,71.290001,71.540001,70.660004,65.689087,8607500
01-11-23,71.5,72.18,71.489998,66.221962,10685900
01-12-23,72.169998,72.269997,71.529999,65.771759,12898900
01-13-23,71.290001,71.57,70.800003,65.53289,11896800
01-17-23,71.379997,71.889999,71.110001,65.441032,9765200
01-18-23,71.540001,71.540001,69.43,63.870007,14510200
01-19-23,69.489998,69.559998,68.650002,63.226894,14197000
01-20-23,68.779999,69.260002,67.839996,63.603573,13310500
01-23-23,68.989998,69.919998,68.690002,63.621948,9826300
01-24-23,69.32,69.809998,68.43,63.943508,10329400
01-25-23,68.580002,68.82,67.959999,63.079895,12991500
01-26-23,68.300003,69,68.169998,63.291195,10180000
01-27-23,68.739998,69.190002,68.470001,63.291195,7712900
01-30-23,68.639999,69.360001,68.529999,63.006397,7780500
01-31-23,68.769997,69.110001,67.959999,63.474949,9721200
02-01-23,68.760002,69.699997,68.269997,63.585197,15472300
02-02-23,69.25,70.129997,68.709999,63.723,12498500
02-03-23,68.739998,69.010002,67,62.390846,12681100
02-06-23,67.660004,68.550003,67.540001,62.923706,15707100
02-07-23,68.18,68.68,67.510002,62.896152,10562200
02-08-23,68.059998,68.089996,66.970001,61.839603,11235700
02-09-23,67.470001,67.839996,66.279999,60.994377,10357600
02-10-23,66.459999,67.769997,66.379997,62.207111,15481700
02-13-23,67.739998,68.290001,67.739998,62.583794,8091900
02-14-23,68.050003,68.519997,67.470001,62.317356,7075200
02-15-23,67.440002,68.32,67.440002,62.721592,5510000
02-16-23,67.599998,68.07,67.029999,62.243862,9199800
02-17-23,67.769997,68.800003,67.410004,62.914532,10936600
02-21-23,67.980003,68.169998,67.150002,61.738544,8484500
02-22-23,67.190002,67.709999,66.760002,61.49968,13375100
02-23-23,67.239998,67.239998,66.300003,61.17812,10703300
02-24-23,66.010002,66.849998,65.739998,61.19651,11575200
02-27-23,66.940002,67.580002,66.019997,60.783077,10860300
02-28-23,65.860001,66.18,65,59.717346,20575900
03-01-23,64.660004,64.720001,63.630001,58.73431,23638000
03-02-23,63.84,65.18,63.75,59.845966,15344300
03-03-23,65.400002,66.290001,64.760002,60.865772,15087600
03-06-23,66.290001,66.769997,66.199997,61.159748,12121600
03-07-23,66.629997,66.800003,65.160004,60.158344,12027600
03-08-23,65.459999,66.110001,65.209999,60.617714,13703700
03-09-23,66.160004,66.769997,65.230003,60.130772,17033600
03-10-23,65.769997,65.769997,64.089996,59.184486,20833200
03-13-23,64.339996,66.849998,64.25,60.094025,33835600
03-14-23,65.900002,66.809998,65.620003,60.884129,17559200
03-15-23,66.080002,67.599998,65.760002,61.710991,24168400
03-16-23,66.919998,68.010002,66.660004,62.124416,15823400
03-17-23,67.459999,67.599998,66.470001,61.527248,17907300
03-20-23,66.580002,67.220001,66.559998,62.008495,19419000
03-21-23,67.110001,67.190002,64.769997,60.759079,25932500
03-22-23,65.559998,65.910004,64.330002,59.565186,17896600
03-23-23,64.379997,65,63.380001,58.954353,16884500
03-24-23,63.77,65.709999,63.709999,60.796104,18056000
03-27-23,65.889999,66.360001,65.589996,60.870132,14136900
03-28-23,65.610001,66.650002,65.610001,61.03672,11019400
03-29-23,66.300003,67.019997,66.300003,61.92522,9903900
03-30-23,67.07,67.529999,66.82,62.193596,10292800
03-31-23,67.419998,67.720001,67.029999,62.647106,11722000
04-03-23,67.440002,67.730003,66.849998,62.221371,12035700
04-04-23,67.190002,67.690002,67.010002,62.536037,10806900
04-05-23,67.860001,69.510002,67.849998,64.155655,18837200
04-06-23,69.879997,69.959999,69.099998,64.609154,16675200
04-10-23,69.410004,69.690002,68.720001,64.479584,10231500
04-11-23,69.57,69.93,69.389999,64.535133,8637000
04-12-23,69.860001,70.160004,69.410004,64.470345,12554600
04-13-23,69.349998,69.860001,68.349998,64.479584,16446200
04-14-23,69.160004,69.300003,68.57,63.75769,9064700
04-17-23,69.010002,69.389999,68.580002,64.109383,7806900
04-18-23,69.300003,69.440002,68.650002,63.776211,7783100
04-19-23,69.080002,69.650002,68.980003,64.266724,10317300
04-20-23,69.5,69.690002,69.010002,64.248207,7368700
04-21-23,69.870003,70.110001,69.209999,64.433304,7037800
04-24-23,69.599998,70.089996,69.18,64.757248,6789500
04-25-23,69.709999,70.279999,69.690002,64.692451,10251600
04-26-23,69.360001,69.580002,68.18,63.174637,14756900
04-27-23,68.459999,69.139999,68.400002,63.933548,12466700
04-28-23,68.879997,69.389999,68.550003,63.841,12123400
05-01-23,68.82,69.769997,68.760002,63.952053,10508100
05-02-23,69.040001,69.220001,67.870003,63.174637,11465500
05-03-23,68.639999,69.050003,67.989998,62.998787,11857200
05-04-23,68.190002,68.860001,67.550003,63.480049,14631100
05-05-23,68.360001,69.199997,68.360001,63.887264,11416600
05-08-23,68.959999,69.459999,68.589996,63.692924,8286700
05-09-23,68.660004,68.910004,68.239998,63.609627,10281100
05-10-23,69.160004,69.540001,68.660004,64.19268,10708300
05-11-23,69.400002,69.419998,68.330002,63.535583,14874100
05-12-23,69.029999,69.470001,68.620003,63.887264,11874100
05-15-23,69.290001,69.389999,67.879997,63.082081,13185100
05-16-23,68.080002,68.209999,66.610001,61.684578,14004000
05-17-23,66.860001,66.879997,66.129997,61.462463,17088300
05-18-23,66.099998,66.279999,65.629997,61.277359,16167800
05-19-23,66.519997,66.889999,66.07,61.184814,12472500
05-22-23,66.279999,66.620003,65.889999,61.20332,9494700
