Date,Open,High,Low,Close,Volume
12-28-22,16.559999,16.75,16.370001,14.181301,305200
12-29-22,16.280001,16.6,16.280001,14.454841,190800
12-30-22,16.49,16.6,16.48,14.454841,108500
01-03-23,16.629999,16.799999,16.559999,14.559712,252800
01-04-23,16.799999,16.950001,16.790001,14.795673,525600
01-05-23,16.92,16.92,16.700001,14.673325,445200
01-06-23,16.809999,16.879999,16.73,14.717018,192000
01-09-23,16.83,17,16.82,14.821893,207600
01-10-23,16.98,17.110001,16.969999,14.935504,415500
01-11-23,17.120001,17.49,17.1,15.267598,507900
01-12-23,17.5,17.700001,17.48,15.424901,208100
01-13-23,17.639999,17.77,17.540001,15.52104,295800
01-16-23,17.84,17.860001,17.73,15.599692,160800
01-17-23,17.889999,18.01,17.799999,15.730779,395800
01-18-23,18.08,18.1,17.93,15.704566,436300
01-19-23,17.860001,17.959999,17.799999,15.564734,259500
01-20-23,17.799999,17.969999,17.75,15.69582,326900
01-23-23,17.969999,18.17,17.9,15.818176,364400
01-24-23,18.040001,18.17,17.93,15.818176,675600
01-25-23,18.01,18.059999,17.860001,15.780472,394300
01-26-23,18.040001,18.15,18.02,15.859378,265900
01-27-23,18.15,18.209999,18.059999,15.91198,542400
01-30-23,18.049999,18.27,18.049999,15.929514,281400
01-31-23,18.209999,18.26,18.120001,15.938281,474700
02-01-23,18.18,18.469999,18.02,16.131153,564600
02-02-23,18.469999,18.629999,18.459999,16.236359,330900
02-03-23,18.41,18.41,18.26,16.078556,299600
02-06-23,18.24,18.24,17.969999,15.876915,750000
02-07-23,18.07,18.07,17.780001,15.727876,908000
02-08-23,17.959999,18.049999,17.93,15.771707,301500
02-09-23,18,18.129999,17.98,15.815549,404900
02-10-23,18.040001,18.08,17.9,15.745412,537000
02-13-23,18.02,18.1,18.01,15.82431,298200
02-14-23,18.07,18.1,17.959999,15.833078,444100
02-15-23,17.93,18.209999,17.93,15.929514,520100
02-16-23,18.09,18.219999,18.040001,15.903214,408900
02-17-23,18.059999,18.41,18.059999,16.06102,952100
02-21-23,18.299999,18.299999,18.040001,15.876915,457000
02-22-23,17.940001,18.15,17.940001,15.8303,502300
02-23-23,18,18.16,17.98,15.883066,398800
02-24-23,17.950001,18.030001,17.860001,15.847895,291500
02-27-23,18.02,18.280001,18.02,15.891862,362300
02-28-23,18.129999,18.18,17.99,15.891862,440000
03-01-23,18,18.08,17.82,15.733557,537800
03-02-23,17.82,17.969999,17.790001,15.759941,373100
03-03-23,17.98,18.09,17.98,15.8303,332100
03-06-23,18.1,18.120001,18,15.85669,223700
03-07-23,18.01,18.030001,17.709999,15.61923,1069100
03-08-23,17.700001,17.879999,17.68,15.575254,892600
03-09-23,17.77,17.77,17.530001,15.443333,329900
03-10-23,17.49,17.5,17.17,15.144325,701000
03-13-23,17.120001,17.389999,16.99,15.197093,938800
03-14-23,17.379999,17.5,17.33,15.293828,484800
03-15-23,17.18,17.299999,17.059999,15.073966,659800
