Date,Open,High,Low,Close,Volume
12-28-22,17.92,17.940001,17.9,16.161991,30600
12-29-22,17.889999,17.889999,17.85,16.166523,15600
12-30-22,17.83,17.860001,17.83,16.175577,3700
01-03-23,17.889999,17.9,17.860001,16.211802,23700
01-04-23,17.93,17.93,17.9,16.229918,13800
01-05-23,17.879999,17.889999,17.870001,16.202751,19100
01-06-23,17.860001,17.959999,17.860001,16.266148,24800
01-09-23,17.92,17.959999,17.92,16.266148,31400
01-10-23,17.93,17.959999,17.92,16.266148,13600
01-11-23,17.959999,18.01,17.959999,16.31143,81700
01-12-23,18.02,18.059999,18,16.356714,63700
01-13-23,18.07,18.08,18.049999,16.365772,32300
01-16-23,18.1,18.1,18.07,16.374828,23400
01-17-23,18.110001,18.129999,18.1,16.411055,70700
01-18-23,18.190001,18.190001,18.15,16.474455,81500
01-19-23,18.15,18.190001,18.15,16.474455,46800
01-20-23,18.16,18.16,18.139999,16.429173,76300
01-23-23,18.139999,18.16,18.129999,16.420113,35900
01-24-23,18.129999,18.17,18.129999,16.456343,47400
01-25-23,18.129999,18.16,18.110001,16.471783,194300
01-26-23,18.16,18.16,18.120001,16.462696,39400
01-27-23,18.120001,18.129999,18.110001,16.453619,81000
01-30-23,18.1,18.110001,18.09,16.44454,15800
01-31-23,18.129999,18.129999,18.09,16.453619,76700
02-01-23,18.129999,18.17,18.1,16.499014,38800
02-02-23,18.200001,18.209999,18.18,16.526262,104600
02-03-23,18.190001,18.190001,18.15,16.489937,114100
02-06-23,18.129999,18.129999,18.1,16.453619,55700
02-07-23,18.08,18.129999,18.08,16.435459,28000
02-08-23,18.129999,18.129999,18.09,16.462696,75200
02-09-23,18.16,18.16,18.07,16.408207,88300
02-10-23,18.07,18.07,18.02,16.371897,32400
02-13-23,18.01,18.049999,18.01,16.390055,76800
02-14-23,18.02,18.030001,17.98,16.335575,19100
02-15-23,17.99,17.99,17.959999,16.335575,59600
02-16-23,18,18,17.969999,16.326494,14900
02-17-23,18,18,17.98,16.344652,180900
02-21-23,17.969999,17.969999,17.940001,16.308331,153600
02-22-23,17.91,17.92,17.9,16.314705,23800
02-23-23,17.940001,17.950001,17.91,16.34202,31500
02-24-23,17.91,17.91,17.860001,16.296494,102100
02-27-23,17.879999,17.93,17.879999,16.305607,17400
02-28-23,17.93,17.959999,17.9,16.35112,30100
03-01-23,17.950001,17.950001,17.9,16.314705,21400
03-02-23,17.91,17.91,17.879999,16.305607,17400
03-03-23,17.93,17.959999,17.92,16.34202,157700
03-06-23,17.959999,17.969999,17.93,16.332916,23500
03-07-23,17.940001,17.959999,17.93,16.323809,17700
03-08-23,17.940001,17.98,17.940001,16.34202,56300
03-09-23,17.969999,18.030001,17.969999,16.405743,21300
03-10-23,18.09,18.1,18.07,16.478582,13200
03-13-23,18.16,18.26,18.15,16.587828,26900
03-14-23,18.200001,18.200001,18.129999,16.551413,20900
03-15-23,18.25,18.27,18.15,16.606035,24800
03-16-23,18.25,18.25,18.09,16.505892,27100
03-17-23,18.16,18.18,18.139999,16.542307,65700
03-20-23,18.07,18.16,18.07,16.469481,29300
03-21-23,18.040001,18.110001,18.040001,16.460373,23700
03-22-23,18.030001,18.16,18.030001,16.576296,23300
03-23-23,18.16,18.16,18.129999,16.576296,29400
03-24-23,18.219999,18.219999,18.129999,16.576296,18600
03-27-23,18.08,18.1,18.040001,16.503271,170700
03-28-23,18.059999,18.059999,18.01,16.466763,25200
03-29-23,18.02,18.040001,18.02,16.457634,31700
03-30-23,18.01,18.049999,18.01,16.466763,16500
03-31-23,18.02,18.08,18.02,16.503271,17800
04-03-23,18.049999,18.129999,18.049999,16.530659,93900
04-04-23,18.120001,18.190001,18.120001,16.603678,18500
04-05-23,18.23,18.23,18.17,16.594549,54600
04-06-23,18.18,18.18,18.15,16.594549,6000
04-10-23,18.1,18.139999,18.08,16.503271,12200
04-11-23,18.08,18.09,18.07,16.5124,14800
04-12-23,18.110001,18.129999,18.09,16.521528,6400
04-13-23,18.129999,18.129999,18.09,16.521528,18000
04-14-23,18.07,18.07,18.040001,16.466763,16400
04-17-23,18.07,18.07,18.02,16.475891,23400
04-18-23,18.049999,18.07,18.049999,16.494143,11600
04-19-23,18.059999,18.059999,18.040001,16.466763,11500
04-20-23,18.08,18.110001,18.08,16.530659,9900
04-21-23,18.17,18.17,18.110001,16.548912,6700
04-24-23,18.110001,18.110001,18.07,16.537928,102600
04-25-23,18.110001,18.15,18.110001,16.611145,121100
04-26-23,18.139999,18.139999,18.09,16.565384,26400
04-27-23,18.1,18.1,18.07,16.537928,16700
04-28-23,18.139999,18.15,18.1,16.611145,24500
05-01-23,18.1,18.120001,18.07,16.547083,8100
05-02-23,18.129999,18.15,18.110001,16.59284,88300
05-03-23,18.18,18.200001,18.139999,16.656912,15400
05-04-23,18.190001,18.200001,18.17,16.656912,16000
05-05-23,18.120001,18.139999,18.110001,16.601999,9400
05-08-23,18.15,18.15,18.08,16.574541,28600
05-09-23,18.129999,18.129999,18.08,16.556234,7800
05-10-23,18.129999,18.139999,18.1,16.583689,52000
05-11-23,18.18,18.18,18.15,16.611145,30200
05-12-23,18.17,18.17,18.129999,16.601999,44200
05-15-23,18.120001,18.120001,18.1,16.583689,35500
05-16-23,18.07,18.07,18.030001,16.510469,7900
05-17-23,18.040001,18.040001,18,16.483017,52800
05-18-23,18.01,18.01,17.969999,16.446404,15900
05-19-23,18.01,18.030001,17.99,16.473867,4600
05-23-23,18,18,17.959999,16.473867,11200
05-24-23,17.950001,17.950001,17.9,16.43532,14500
05-25-23,17.91,17.91,17.889999,16.426144,11600
05-26-23,17.889999,17.889999,17.85,16.407795,30100
05-29-23,17.889999,17.889999,17.85,16.389439,10500
05-30-23,17.870001,17.91,17.870001,16.426144,14400
05-31-23,17.889999,17.940001,17.889999,16.462856,20000
06-01-23,17.940001,17.950001,17.93,16.462856,6200
06-02-23,17.91,17.93,17.91,16.444498,6300
06-05-23,17.879999,17.950001,17.879999,16.444498,16100
06-06-23,17.93,17.93,17.889999,16.43532,25000
06-07-23,17.92,17.92,17.809999,16.361908,13200
06-08-23,17.84,17.870001,17.83,16.361908,85100
06-09-23,17.85,17.879999,17.85,16.407795,22600
06-12-23,17.889999,17.91,17.879999,16.416967,27900
06-13-23,17.92,17.92,17.83,16.371084,9700
06-14-23,17.85,17.879999,17.85,16.398615,25000
06-15-23,17.889999,17.9,17.85,16.426144,10000
06-16-23,17.889999,17.9,17.85,16.426144,9300
06-19-23,17.860001,17.860001,17.84,16.38026,20800
06-20-23,17.889999,17.9,17.860001,16.426144,24300
06-21-23,17.84,17.879999,17.83,16.407795,14400
06-22-23,17.83,17.85,17.799999,16.334377,10300
06-23-23,17.84,17.85,17.82,16.38026,6300
06-26-23,17.799999,17.83,17.799999,16.397745,29700
06-27-23,17.82,17.84,17.809999,16.397745,19100
06-28-23,17.870001,17.870001,17.84,16.443754,10200
06-29-23,17.82,17.82,17.790001,16.388542,10400
06-30-23,17.84,17.860001,17.83,16.434555,28800
07-04-23,17.84,17.84,17.82,16.397745,12900
07-05-23,17.82,17.84,17.809999,16.406944,18900
07-06-23,17.76,17.780001,17.75,16.351736,11700
07-07-23,17.74,17.77,17.74,16.324131,23500
07-10-23,17.76,17.799999,17.75,16.360939,8700
07-11-23,17.780001,17.780001,17.75,16.342535,26000
07-12-23,17.809999,17.84,17.790001,16.416151,20100
07-13-23,17.860001,17.879999,17.860001,16.452961,13500
07-14-23,17.870001,17.870001,17.860001,16.434555,20000
07-17-23,17.85,17.870001,17.84,16.434555,16900
07-18-23,17.889999,17.889999,17.870001,16.452961,5100
07-19-23,17.870001,17.9,17.870001,16.471357,9000
07-20-23,17.879999,17.879999,17.84,16.416151,20100
07-21-23,17.860001,17.889999,17.860001,16.46216,14800
07-24-23,17.870001,17.879999,17.83,16.406944,12100
07-25-23,17.790001,17.799999,17.77,16.424479,22600
07-26-23,17.799999,17.84,17.799999,16.461386,7600
07-27-23,17.809999,17.809999,17.76,16.406027,16700
07-28-23,17.77,17.82,17.77,16.442932,58600
07-31-23,17.799999,17.84,17.799999,16.461386,28700
08-01-23,17.83,17.83,17.790001,16.433706,8200
08-02-23,17.809999,17.83,17.790001,16.45216,15500
08-03-23,17.790001,17.809999,17.790001,16.415255,25100
08-04-23,17.860001,17.879999,17.85,16.489071,9700
08-08-23,17.9,17.92,17.879999,16.51675,15800
08-09-23,17.9,17.91,17.870001,16.489071,10500
08-10-23,17.879999,17.9,17.860001,16.498301,20900
08-11-23,17.860001,17.860001,17.82,16.442932,24100
08-14-23,17.799999,17.82,17.799999,16.442932,7900
08-15-23,17.790001,17.809999,17.790001,16.415255,13600
08-16-23,17.780001,17.799999,17.76,16.396797,45000
08-17-23,17.77,17.799999,17.77,16.424479,60200
08-18-23,17.799999,17.809999,17.780001,16.433706,16200
08-21-23,17.77,17.790001,17.77,16.415255,7400
08-22-23,17.780001,17.790001,17.76,16.396797,10300
08-23-23,17.799999,17.85,17.799999,16.470615,11700
08-24-23,17.83,17.83,17.82,16.442932,4600
08-25-23,17.76,17.77,17.74,16.424427,10500
08-28-23,17.77,17.77,17.75,16.43368,8300
08-29-23,17.77,17.82,17.76,16.470692,42100
08-30-23,17.85,17.85,17.82,16.489201,10500
08-31-23,17.84,17.85,17.83,16.498451,62600
09-01-23,17.870001,17.889999,17.85,16.526217,17200
09-05-23,17.860001,17.860001,17.84,16.516956,3700
09-06-23,17.860001,17.860001,17.82,16.50771,18800
09-07-23,17.809999,17.860001,17.809999,16.50771,17000
09-08-23,17.860001,17.860001,17.82,16.50771,34100
09-11-23,17.82,17.85,17.82,16.498451,28100
09-12-23,17.85,17.85,17.809999,16.498451,18600
09-13-23,17.83,17.860001,17.82,16.516956,46400
09-14-23,17.879999,17.879999,17.85,16.535465,58900
09-15-23,17.84,17.860001,17.83,16.498451,8600
09-18-23,17.85,17.85,17.82,16.489201,27600
09-19-23,17.76,17.780001,17.75,16.442932,16800
09-20-23,17.76,17.780001,17.74,16.415173,9400
09-21-23,17.75,17.76,17.73,16.405924,43200
09-22-23,17.75,17.780001,17.75,16.43368,74000
09-25-23,17.709999,17.709999,17.690001,16.416052,22900
09-26-23,17.690001,17.700001,17.68,16.416052,19700
09-27-23,17.719999,17.719999,17.66,16.39749,34000
09-28-23,17.700001,17.700001,17.67,16.416052,39000
09-29-23,17.75,17.75,17.719999,16.453169,11700
10-02-23,17.700001,17.75,17.690001,16.425327,26600
10-03-23,17.700001,17.700001,17.639999,16.369646,28200
10-04-23,17.67,17.700001,17.67,16.406767,10500
10-05-23,17.73,17.73,17.700001,16.443892,25700
10-06-23,17.700001,17.709999,17.690001,16.416052,13000
10-10-23,17.719999,17.780001,17.719999,16.499567,13800
10-11-23,17.75,17.780001,17.75,16.490288,25600
10-12-23,17.74,17.77,17.73,16.471727,17400
10-13-23,17.75,17.75,17.73,16.471727,34400
10-16-23,17.709999,17.73,17.690001,16.434608,26300
10-17-23,17.700001,17.73,17.700001,16.434608,21900
10-18-23,17.690001,17.719999,17.68,16.425327,34200
