Date,Open,High,Low,Close,Volume
12-28-22,13.08,13.08,13.02,11.892119,15500
12-29-22,13.02,13.04,13.02,11.901248,7100
12-30-22,13.02,13.02,13.02,11.882998,600
01-03-23,13.05,13.06,13.03,11.901248,40100
01-04-23,13.06,13.07,13.05,11.919503,7100
01-05-23,13.05,13.06,13.03,11.919503,14600
01-06-23,13.06,13.1,13.05,11.956009,105900
01-09-23,13.09,13.11,13.09,11.965135,41800
01-10-23,13.09,13.11,13.08,11.956009,24000
01-11-23,13.12,13.14,13.12,11.974261,15300
01-12-23,13.14,13.18,13.14,12.019897,31000
01-13-23,13.16,13.19,13.16,12.029025,18300
01-16-23,13.19,13.21,13.19,12.047276,36400
01-17-23,13.22,13.22,13.21,12.06553,38400
01-18-23,13.25,13.27,13.25,12.111161,30800
01-19-23,13.28,13.28,13.25,12.111161,20000
01-20-23,13.25,13.25,13.24,12.092912,18900
01-23-23,13.22,13.25,13.22,12.07466,29600
01-24-23,13.23,13.25,13.23,12.092912,26300
01-25-23,13.27,13.29,13.24,12.129417,19700
01-26-23,13.28,13.28,13.26,12.111161,15000
01-27-23,13.23,13.23,13.21,12.106591,23100
01-30-23,13.2,13.21,13.2,12.088287,36100
01-31-23,13.22,13.22,13.19,12.088287,50300
02-01-23,13.22,13.26,13.21,12.134039,35200
02-02-23,13.28,13.29,13.27,12.161493,47500
02-03-23,13.26,13.27,13.24,12.124891,37800
02-06-23,13.21,13.22,13.2,12.079135,39800
02-07-23,13.18,13.21,13.18,12.069985,25800
02-08-23,13.23,13.23,13.19,12.088287,46200
02-09-23,13.23,13.24,13.19,12.069985,37800
02-10-23,13.17,13.17,13.15,12.03338,38800
02-13-23,13.14,13.17,13.14,12.051683,31400
02-14-23,13.15,13.16,13.11,12.005927,44300
02-15-23,13.13,13.13,13.1,11.996777,15800
02-16-23,13.12,13.13,13.11,12.005927,58100
02-17-23,13.12,13.15,13.12,12.024232,25800
02-21-23,13.1,13.11,13.09,11.987626,27300
02-22-23,13.08,13.11,13.08,11.996777,16300
02-23-23,13.1,13.13,13.1,12.015076,28500
02-24-23,13.05,13.07,13.05,11.973791,91300
02-27-23,13.05,13.07,13.05,11.982966,9700
02-28-23,13.08,13.1,13.07,12.019667,10300
03-01-23,13.08,13.08,13.06,11.982966,64000
03-02-23,13.06,13.07,13.06,11.982966,26700
03-03-23,13.08,13.11,13.08,12.019667,27300
03-06-23,13.11,13.11,13.09,12.010491,5500
03-07-23,13.11,13.11,13.08,12.010491,45600
03-08-23,13.11,13.11,13.09,12.019667,18500
03-09-23,13.11,13.14,13.11,12.056367,2500
03-10-23,13.15,13.22,13.15,12.129768,21300
03-13-23,13.28,13.32,13.28,12.203175,14300
03-14-23,13.29,13.29,13.23,12.157298,18200
03-15-23,13.24,13.32,13.24,12.175647,122900
03-16-23,13.26,13.27,13.21,12.138948,12700
03-17-23,13.25,13.26,13.24,12.14812,6000
03-20-23,13.26,13.26,13.18,12.093071,18200
03-21-23,13.18,13.21,13.18,12.120596,20200
03-22-23,13.2,13.28,13.2,12.184824,25100
03-23-23,13.29,13.29,13.27,12.193997,59500
03-24-23,13.3,13.3,13.27,12.184824,4500
03-27-23,13.24,13.24,13.2,12.111418,22200
03-28-23,13.19,13.19,13.17,12.102246,9100
03-29-23,13.11,13.15,13.11,12.100402,29700
03-30-23,13.13,13.16,13.13,12.109607,7400
03-31-23,13.16,13.18,13.16,12.128012,5500
04-03-23,13.17,13.23,13.17,12.174019,36100
04-04-23,13.2,13.27,13.2,12.18322,50900
04-05-23,13.26,13.29,13.25,12.192424,18900
04-06-23,13.25,13.28,13.24,12.220028,50900
04-10-23,13.2,13.21,13.19,12.137214,9700
04-11-23,13.18,13.19,13.17,12.128012,7500
04-12-23,13.21,13.21,13.18,12.14641,24300
04-13-23,13.21,13.21,13.18,12.128012,15600
04-14-23,13.18,13.18,13.16,12.128012,20300
04-17-23,13.17,13.17,13.14,12.118809,43300
04-18-23,13.16,13.18,13.16,12.109607,19400
04-19-23,13.16,13.17,13.15,12.118809,51700
04-20-23,13.19,13.2,13.18,12.14641,5700
04-21-23,13.22,13.23,13.21,12.155616,10900
04-24-23,13.21,13.24,13.21,12.18322,17600
04-25-23,13.24,13.28,13.24,12.220028,55900
04-26-23,13.21,13.22,13.2,12.190496,10000
04-27-23,13.22,13.22,13.17,12.162814,16100
04-28-23,13.2,13.23,13.2,12.190496,15800
05-01-23,13.23,13.23,13.18,12.181269,9800
05-02-23,13.2,13.24,13.2,12.218184,6000
05-03-23,13.25,13.27,13.24,12.245868,15200
05-04-23,13.25,13.29,13.25,12.236637,54800
05-05-23,13.23,13.23,13.21,12.190496,22600
05-08-23,13.2,13.22,13.2,12.181269,24200
05-09-23,13.22,13.22,13.18,12.162814,17000
05-10-23,13.21,13.23,13.2,12.199725,12200
05-11-23,13.26,13.26,13.24,12.218184,15700
