Date,Open,High,Low,Close,Volume
12-28-22,19.040001,19.1,18.84,16.930868,71500
12-29-22,18.92,19.07,18.92,17.092375,31700
12-30-22,19,19.040001,18.9,17.002661,38800
01-03-23,19.040001,19.200001,19,17.101358,103900
01-04-23,19.07,19.27,19.059999,17.226959,58600
01-05-23,19.200001,19.200001,19.059999,17.191078,54100
01-06-23,19.25,19.459999,19.24,17.451267,37300
01-09-23,19.5,19.58,19.450001,17.469217,83100
01-10-23,19.459999,19.49,19.370001,17.487167,61200
01-11-23,19.549999,19.629999,19.540001,17.612772,93300
01-12-23,19.67,19.82,19.629999,17.76531,74400
01-13-23,19.790001,19.950001,19.73,17.88195,72600
01-16-23,19.91,20.01,19.9,17.926811,30000
01-17-23,19.99,20.08,19.98,17.980644,51100
01-18-23,20.139999,20.16,19.98,17.926811,147200
01-19-23,19.940001,20,19.889999,17.899889,116000
01-20-23,19.93,20.07,19.879999,18.007559,47800
01-23-23,20.110001,20.17,20.02,18.079336,38800
01-24-23,20.120001,20.15,20.030001,18.070364,60400
01-25-23,20.040001,20.129999,19.940001,18.034475,128200
01-26-23,20.190001,20.219999,20.09,18.142145,86800
01-27-23,20.139999,20.17,20.08,18.133142,58300
01-30-23,20.08,20.16,20.059999,18.061106,60500
01-31-23,20.1,20.200001,20.049999,18.187164,42800
02-01-23,20.190001,20.209999,20.040001,18.15115,85300
02-02-23,20.209999,20.209999,20.07,18.106134,64300
02-03-23,20.059999,20.15,20.059999,18.106134,56200
02-06-23,20.01,20.07,19.959999,18.052111,67500
02-07-23,20.030001,20.139999,19.950001,18.088125,71300
02-08-23,20.07,20.07,19.969999,18.025099,34200
02-09-23,20.040001,20.110001,19.879999,17.944069,83000
02-10-23,19.85,20.030001,19.85,18.016092,57400
02-13-23,20.01,20.120001,20,18.106134,64300
02-14-23,20.040001,20.15,19.98,18.088125,58200
02-15-23,19.99,20.049999,19.98,18.052111,27600
02-16-23,20,20.16,19.99,18.079119,72600
02-17-23,19.98,20.049999,19.940001,18.025099,41500
02-21-23,19.99,19.99,19.799999,17.845024,138400
02-22-23,19.799999,19.82,19.690001,17.773001,58400
02-23-23,19.83,19.83,19.66,17.773001,48100
02-24-23,19.59,19.74,19.51,17.836252,44500
02-27-23,19.75,19.879999,19.73,17.845289,68100
02-28-23,19.719999,19.719999,19.620001,17.782038,42700
03-01-23,19.629999,19.790001,19.629999,17.818182,44200
03-02-23,19.65,19.799999,19.639999,17.881432,35000
03-03-23,19.83,20.030001,19.83,18.062132,38000
03-06-23,19.98,20.040001,19.959999,18.062132,37200
03-07-23,20,20,19.76,17.890463,37800
03-08-23,19.83,19.9,19.799999,17.926603,34800
03-09-23,19.870001,19.870001,19.559999,17.691681,44500
03-10-23,19.530001,19.530001,19.280001,17.447718,92200
03-13-23,19.08,19.24,18.98,17.312193,237500
03-14-23,19.4,19.4,19.1,17.339293,71300
03-15-23,19.02,19.02,18.73,17.077259,137300
03-16-23,18.809999,19.110001,18.75,17.203764,103800
03-17-23,19,19,18.809999,17.086298,73600
03-20-23,18.91,19.059999,18.91,17.194727,44200
03-21-23,19.18,19.23,19.129999,17.285076,46700
03-22-23,19.18,19.24,19.030001,17.194727,42400
03-23-23,19.030001,19.110001,18.870001,17.086298,56600
03-24-23,18.780001,19.01,18.77,17.176651,91800
03-27-23,19.1,19.129999,19.040001,17.276043,174700
03-28-23,19.129999,19.190001,19.1,17.30315,50900
03-29-23,19.209999,19.25,19.190001,17.448248,54800
03-30-23,19.309999,19.35,19.280001,17.538939,26400
03-31-23,19.4,19.459999,19.379999,17.611488,30200
04-03-23,19.540001,19.610001,19.51,17.783794,31500
04-04-23,19.65,19.709999,19.58,17.829142,26400
04-05-23,19.610001,19.700001,19.59,17.856346,38900
04-06-23,19.59,19.74,19.59,17.874479,32300
04-10-23,19.690001,19.799999,19.690001,17.956102,19400
04-11-23,19.870001,19.969999,19.85,18.073992,27700
04-12-23,20,20.07,19.959999,18.119337,24800
04-13-23,20.040001,20.07,19.940001,18.200954,25400
04-14-23,20.09,20.120001,20.030001,18.191887,20300
04-17-23,20.09,20.09,20,18.219091,30600
04-18-23,20.08,20.16,20.08,18.228159,54400
04-19-23,20.01,20.120001,20.01,18.219091,41400
04-20-23,20,20.110001,20,18.191887,20400
04-21-23,20.09,20.129999,20.02,18.255365,26300
04-24-23,20.08,20.139999,20.08,18.246302,28900
04-25-23,20.08,20.09,19.940001,18.083065,33300
04-26-23,19.85,19.950001,19.790001,18.046654,25900
04-27-23,19.889999,20.030001,19.889999,18.21047,35300
04-28-23,20,20.1,19.969999,18.283274,79600
05-01-23,20.129999,20.190001,20.059999,18.255974,50800
05-02-23,19.98,19.98,19.74,18.064861,47800
05-03-23,19.85,19.93,19.83,18.046654,36500
05-04-23,19.799999,19.799999,19.57,17.819143,58400
05-05-23,19.690001,19.82,19.690001,18.019361,39000
05-08-23,19.799999,19.870001,19.76,17.992058,30200
05-09-23,19.700001,19.780001,19.700001,17.982956,35000
05-10-23,19.83,19.83,19.6,17.901049,51600
05-11-23,19.620001,19.639999,19.549999,17.864643,31000
05-12-23,19.66,19.74,19.59,17.891953,54800
05-15-23,19.67,19.76,19.66,17.982956,26200
05-16-23,19.65,19.67,19.450001,17.700829,37100
05-17-23,19.459999,19.49,19.379999,17.737234,55100
05-18-23,19.450001,19.459999,19.360001,17.709932,31800
05-19-23,19.469999,19.57,19.469999,17.773642,29500
05-23-23,19.42,19.51,19.370001,17.628031,44400
05-24-23,19.309999,19.309999,19.16,17.436916,29800
05-25-23,19.16,19.16,18.969999,17.327711,31200
05-26-23,19.09,19.18,19.08,17.409607,36000
05-29-23,19.16,19.209999,19.139999,17.464218,15900
05-30-23,19.09,19.09,18.91,17.299805,32400
05-31-23,18.870001,18.870001,18.709999,17.098856,84100
06-01-23,18.77,18.84,18.700001,17.144527,196500
06-02-23,18.99,19.129999,18.9,17.464218,44000
06-05-23,19.18,19.18,19,17.354607,69600
06-06-23,18.93,19.07,18.93,17.409412,35300
06-07-23,19.09,19.129999,19.030001,17.436813,21600
06-08-23,19.120001,19.120001,19,17.418543,48400
06-09-23,19.059999,19.08,18.99,17.372877,50500
06-12-23,18.98,18.99,18.92,17.336336,42000
06-13-23,19.040001,19.139999,19.030001,17.409412,29900
06-14-23,19.09,19.15,19,17.391146,40200
06-15-23,19,19.08,18.98,17.400276,53200
06-16-23,19.08,19.120001,19.040001,17.391146,48200
06-19-23,19.049999,19.049999,18.969999,17.354607,60000
06-20-23,18.91,18.93,18.82,17.190187,25400
06-21-23,18.799999,18.84,18.74,17.16279,40800
06-22-23,18.73,18.73,18.67,17.071457,18700
