Date,Open,High,Low,Close,Volume
12-28-22,18.6,18.6,18.469999,17.520012,45700
12-29-22,18.610001,18.709999,18.6,17.718994,6200
12-30-22,18.389999,18.52,18.33,17.387356,9600
01-03-23,18.73,18.82,18.66,17.775848,32400
01-04-23,18.889999,19.110001,18.82,18.107487,13000
01-05-23,18.76,19.049999,18.76,18.050631,18100
01-06-23,19.040001,19.34,19.040001,18.315943,24300
01-09-23,19.34,19.4,19.18,18.173813,35800
01-10-23,19.299999,19.559999,19.299999,18.420174,26400
01-11-23,19.49,19.6,19.469999,18.571779,22800
01-12-23,19.49,19.610001,19.450001,18.581255,66100
01-13-23,19.559999,19.809999,19.540001,18.770761,36900
01-16-23,19.6,19.84,19.59,18.780239,41500
01-17-23,19.549999,19.629999,19.52,18.571779,15500
01-18-23,19.83,19.83,19.65,18.704435,16500
01-19-23,19.75,19.790001,19.74,18.713911,20500
01-20-23,19.84,19.93,19.84,18.856041,36800
01-23-23,19.969999,20.15,19.959999,19.036074,18800
01-24-23,20.01,20.129999,19.92,19.073977,9400
01-25-23,19.91,20.07,19.82,19.017122,9600
01-26-23,20.129999,20.200001,20.08,19.140305,5600
01-27-23,20.15,20.15,19.959999,19.017122,16900
01-30-23,19.799999,19.799999,19.709999,18.704435,26500
01-31-23,19.690001,19.709999,19.629999,18.676008,16600
02-01-23,19.68,19.9,19.68,18.751812,22300
02-02-23,19.98,19.98,19.780001,18.818142,21400
02-03-23,19.799999,19.83,19.6,18.590731,27800
02-06-23,19.49,19.57,19.379999,18.543354,34100
02-07-23,19.57,19.57,19.370001,18.46755,16100
02-08-23,19.49,19.58,19.42,18.55283,18100
02-09-23,19.690001,19.700001,19.559999,18.562305,9100
02-10-23,19.33,19.33,19.209999,18.202238,29700
02-13-23,19.32,19.459999,19.32,18.439123,5200
02-14-23,19.370001,19.42,19.299999,18.363321,15300
02-15-23,19.309999,19.34,19.200001,18.325418,13800
02-16-23,19.309999,19.450001,19.27,18.382273,12100
02-17-23,19.290001,19.290001,19.17,18.278044,30300
02-21-23,19.120001,19.209999,19.09,18.126436,13800
02-22-23,19.08,19.1,18.99,18.003256,27500
02-23-23,19.219999,19.219999,18.950001,18.088535,7300
02-24-23,18.84,18.84,18.67,17.766371,11700
02-27-23,18.93,18.93,18.82,17.832699,8100
02-28-23,18.780001,18.83,18.719999,17.842175,29800
03-01-23,19.24,19.24,19.09,18.107487,12800
03-02-23,19.01,19.17,19.01,18.116962,12400
03-03-23,19.17,19.370001,19.17,18.34437,15100
03-06-23,19.35,19.379999,19.26,18.259092,11200
03-07-23,19.23,19.34,19.18,18.202238,16000
03-08-23,19.280001,19.389999,19.280001,18.325418,12400
03-09-23,19.110001,19.110001,18.889999,17.93693,45700
03-10-23,18.82,18.950001,18.82,17.861126,16700
03-13-23,18.700001,18.790001,18.65,17.681093,11600
03-14-23,18.690001,18.690001,18.58,17.624239,15000
03-15-23,18.33,18.41,18.290001,17.387356,9600
03-16-23,18.51,18.74,18.43,17.747419,6000
03-17-23,18.700001,18.700001,18.5,17.576862,10400
03-20-23,18.469999,18.6,18.469999,17.586338,12900
03-21-23,18.690001,18.74,18.65,17.756895,10100
03-22-23,18.92,19,18.860001,17.8706,24100
03-23-23,19.09,19.18,18.98,18.07906,5200
03-24-23,19,19.110001,19,18.050631,11500
03-27-23,18.879999,18.93,18.82,17.908501,16900
03-28-23,18.93,19.07,18.93,18.069584,6500
03-29-23,19.049999,19.049999,18.959999,18.041159,11300
03-30-23,19.15,19.26,19.15,18.240141,6800
03-31-23,19.200001,19.209999,19.1,18.098011,8100
04-03-23,19.15,19.15,19.049999,18.107487,3600
04-04-23,19.07,19.120001,18.99,18.116962,26900
04-05-23,19.08,19.08,18.879999,18.031683,21300
04-06-23,18.91,19.120001,18.9,18.107487,7700
04-10-23,19.07,19.139999,19.049999,18.13591,5200
04-11-23,19.23,19.35,19.219999,18.211716,32700
04-12-23,19.24,19.24,18.98,18.012732,6800
04-13-23,19.16,19.17,19.120001,18.164337,4900
04-14-23,19.08,19.08,18.98,18.060108,10200
04-17-23,19.200001,19.219999,19.16,18.154861,9200
04-18-23,19.200001,19.209999,19.120001,18.192764,9600
04-19-23,18.969999,19.049999,18.950001,18.050631,2200
04-20-23,19.059999,19.120001,18.98,18.116962,7400
04-21-23,18.950001,18.959999,18.870001,17.965353,6000
04-24-23,18.860001,18.93,18.85,17.908501,6600
04-25-23,18.690001,18.73,18.639999,17.718994,8000
04-26-23,18.91,18.91,18.780001,17.794798,10200
04-27-23,18.9,19.02,18.9,18.022207,3800
04-28-23,19.030001,19.049999,18.969999,18.050631,14400
05-01-23,19,19.01,18.91,17.974829,4300
05-02-23,18.82,18.879999,18.82,17.880075,2400
05-03-23,18.889999,18.889999,18.84,17.85165,4200
05-04-23,18.950001,18.950001,18.870001,17.899025,5900
05-05-23,18.889999,18.950001,18.84,17.955879,27800
05-08-23,18.91,18.91,18.82,17.908501,5800
05-09-23,18.77,18.799999,18.75,17.794798,7500
05-10-23,18.75,18.83,18.74,17.842175,5300
05-11-23,18.66,18.809999,18.66,17.756895,67900
05-12-23,18.68,18.75,18.68,17.766371,7300
05-15-23,18.9,19,18.9,17.927454,23900
05-16-23,18.74,18.85,18.74,17.842175,31400
05-17-23,18.76,18.889999,18.76,17.823223,24000
05-18-23,18.780001,18.860001,18.780001,17.85165,4100
05-19-23,18.85,18.92,18.85,17.899025,5200
05-23-23,18.809999,18.9,18.74,17.785322,10500
05-24-23,18.76,18.870001,18.76,17.785322,9500
05-25-23,18.85,18.879999,18.75,17.785322,17900
05-26-23,18.92,19.1,18.92,18.098011,17500
05-29-23,19.02,19.049999,18.91,17.917978,14400
05-30-23,18.91,18.959999,18.799999,17.8706,18300
05-31-23,18.75,18.75,18.469999,17.709518,29700
06-01-23,18.700001,18.83,18.67,17.785322,8600
06-02-23,18.99,19.1,18.99,18.012732,8600
06-05-23,19.059999,19.059999,18.969999,18.050631,15100
06-06-23,19.02,19.18,19.02,18.154861,6900
06-07-23,19.17,19.17,19.02,18.022207,5000
06-08-23,19.08,19.18,19.08,18.173813,3200
06-09-23,19.17,19.26,19.17,18.173813,3800
06-12-23,19.219999,19.299999,19.190001,18.240141,12900
06-13-23,19.33,19.440001,19.33,18.363321,4700
06-14-23,19.389999,19.6,19.389999,18.571779,38700
06-15-23,19.59,19.59,19.459999,18.505453,9100
06-16-23,19.52,19.52,19.4,18.410698,12600
06-19-23,19.4,19.459999,19.360001,18.429649,17600
06-20-23,19.219999,19.26,19.09,18.13591,31900
06-21-23,19.049999,19.08,18.969999,18.022207,13700
06-22-23,18.860001,18.91,18.85,17.908501,12100
06-23-23,18.67,18.709999,18.65,17.671618,11700
06-26-23,18.690001,18.809999,18.68,17.756895,3000
06-27-23,18.84,18.9,18.84,17.908501,2600
06-28-23,18.84,18.91,18.84,17.880075,7300
06-29-23,18.83,18.83,18.75,17.766371,4300
06-30-23,18.9,18.98,18.860001,17.974829,21800
07-04-23,19.15,19.23,19,18.060108,19000
07-05-23,19.040001,19.120001,19.030001,18.041159,70700
07-06-23,18.870001,18.889999,18.780001,17.8706,19500
07-07-23,18.879999,19.049999,18.879999,17.889549,9800
07-10-23,18.84,18.9,18.799999,17.8706,21500
07-11-23,18.93,19.040001,18.93,18.041159,10500
07-12-23,19.23,19.389999,19.23,18.325418,11800
07-13-23,19.370001,19.459999,19.35,18.401222,9900
07-14-23,19.43,19.52,19.389999,18.495977,14500
07-17-23,19.370001,19.530001,19.370001,18.505453,12900
07-18-23,19.469999,19.48,19.32,18.306469,20900
07-19-23,19.379999,19.42,19.309999,18.306469,10000
07-20-23,19.25,19.280001,19.17,18.164337,5900
07-21-23,19.25,19.379999,19.25,18.287518,4500
07-24-23,19.23,19.51,19.23,18.429649,9900
07-25-23,19.6,19.68,19.549999,18.562305,19600
07-26-23,19.700001,19.790001,19.700001,18.723387,16000
07-27-23,19.790001,19.799999,19.5,18.477026,20800
07-28-23,19.9,20.120001,19.9,19.055025,21700
07-31-23,19.91,19.98,19.9,18.856041,11900
08-01-23,19.879999,19.959999,19.879999,18.856041,10700
08-02-23,19.66,19.66,19.52,18.514929,10600
08-03-23,19.559999,19.700001,19.559999,18.533878,3200
08-04-23,19.620001,19.719999,19.57,18.60968,53600
08-08-23,19.440001,19.440001,19.34,18.325418,13400
08-09-23,19.49,19.559999,19.450001,18.429649,14000
08-10-23,19.67,19.67,19.5,18.524403,3900
08-11-23,19.4,19.4,19.24,18.278044,5500
08-14-23,19.200001,19.219999,19.139999,18.164337,21000
08-15-23,19.110001,19.120001,19.02,18.116962,10100
08-16-23,19,19.1,18.91,17.917978,9400
08-17-23,19.1,19.15,19.01,18.022207,36600
08-18-23,18.82,18.870001,18.780001,17.85165,149400
08-21-23,18.799999,18.91,18.77,17.917978,4600
08-22-23,18.860001,18.91,18.83,17.842175,4900
08-23-23,19.030001,19.209999,19.030001,18.164337,9900
08-24-23,19.209999,19.209999,19.049999,18.050631,21900
08-25-23,19.09,19.18,19.09,18.145386,10200
08-28-23,19.23,19.370001,19.23,18.334894,8400
08-29-23,19.379999,19.540001,19.379999,18.514929,20500
08-30-23,19.43,19.450001,19.4,18.382273,3700
08-31-23,19.280001,19.32,19.190001,18.183289,3100
09-01-23,19.51,19.58,19.469999,18.533878,7700
09-05-23,19.48,19.48,19.42,18.401222,1800
09-06-23,19.48,19.48,19.34,18.325418,16700
09-07-23,19.120001,19.23,19.120001,18.183289,3200
09-08-23,19.16,19.23,19.16,18.183289,8500
09-11-23,19.26,19.32,19.26,18.306469,5800
09-12-23,19.18,19.280001,19.15,18.268568,43900
09-13-23,19.24,19.24,19.18,18.173813,5100
09-14-23,19.23,19.290001,19.23,18.230665,9900
09-15-23,19.26,19.299999,19.18,18.183289,7400
09-18-23,19.17,19.190001,19.1,18.164337,9700
09-19-23,19.01,19.01,18.9,17.93693,8700
09-20-23,18.969999,19.059999,18.92,17.927454,6900
09-21-23,18.719999,18.719999,18.57,17.595814,21100
09-22-23,18.860001,18.889999,18.83,17.842175,2600
09-25-23,18.700001,18.73,18.700001,17.728468,1200
09-26-23,18.52,18.58,18.48,17.605289,16600
09-27-23,18.6,18.6,18.48,17.557913,3800
09-28-23,18.469999,18.6,18.469999,17.586338,10300
09-29-23,18.59,18.67,18.59,17.681093,1800
10-02-23,18.82,18.82,18.700001,17.737944,7400
10-03-23,18.57,18.690001,18.549999,17.576862,16800
10-04-23,18.540001,18.59,18.530001,17.557913,7100
10-05-23,18.530001,18.6,18.530001,17.624239,1600
10-06-23,18.440001,18.780001,18.440001,17.785322,4300
10-10-23,18.74,18.83,18.690001,17.813747,28600
10-11-23,18.84,19,18.84,17.955879,30300
10-12-23,18.959999,18.959999,18.809999,17.861126,8700
10-13-23,18.860001,18.950001,18.73,17.756895,21700
10-16-23,18.799999,18.889999,18.74,17.861126,31300
10-17-23,18.75,18.9,18.75,17.842175,15700
10-18-23,18.59,18.719999,18.59,17.662142,5600
10-19-23,18.690001,18.690001,18.530001,17.557913,14800
10-20-23,18.33,18.360001,18.290001,17.358929,9000
10-23-23,18.139999,18.299999,18.139999,17.302076,15600
10-24-23,18.299999,18.59,18.299999,17.614763,19000
10-25-23,18.33,18.459999,18.33,17.463158,14200
10-26-23,18.24,18.379999,18.24,17.368404,10500
10-27-23,18.42,18.459999,18.360001,17.415781,5700
10-30-23,18.76,18.76,18.48,17.520012,5600
10-31-23,18.370001,18.450001,18.360001,17.425257,4900
11-01-23,18.389999,18.67,18.389999,17.690569,6700
11-02-23,18.85,18.870001,18.75,17.766371,18000
11-03-23,18.93,19.110001,18.93,18.069584,29400
11-06-23,19.219999,19.219999,19.129999,18.173813,16500
11-07-23,19.110001,19.290001,19.110001,18.192764,14100
11-08-23,19.09,19.219999,19.09,18.154861,7200
11-09-23,19.09,19.25,19,18.003256,5100
