Date,Open,High,Low,Close,Volume
12-28-22,11.563333,11.563333,11.483333,10.839465,51000
12-29-22,11.503333,11.613333,11.503333,10.958995,2700
12-30-22,11.6,11.6,11.52,10.892939,9300
01-03-23,11.73,11.73,11.606667,10.981013,23100
01-04-23,11.656667,11.666667,11.62,10.965285,12300
01-05-23,11.62,11.633333,11.583333,10.946412,22200
01-06-23,11.666667,11.763333,11.65,11.097398,12000
01-09-23,11.8,11.83,11.736667,11.075378,36900
01-10-23,11.736667,11.78,11.73,11.11627,5700
01-11-23,11.84,11.916667,11.833333,11.245239,11400
01-12-23,11.936667,11.986667,11.926667,11.286129,4500
01-13-23,11.985,12.05,11.983333,11.364767,13500
01-16-23,12.073333,12.083333,12.043333,11.374204,16800
01-17-23,12.03,12.08,12.03,11.364767,17700
01-18-23,12.123333,12.123333,12.046667,11.367912,8700
01-19-23,12,12,11.976667,11.32073,12900
01-20-23,12,12.033333,11.993333,11.352183,12900
01-23-23,12.046667,12.15,12.046667,11.440259,204000
01-24-23,12.116667,12.116667,12.083333,11.424531,38400
01-25-23,12.066667,12.146667,12.06,11.459133,3900
01-26-23,12.2,12.2,12.116667,11.474861,16500
01-27-23,12.16,12.19,12.14,11.500025,12000
01-30-23,12.14,12.156667,12.106667,11.424531,7800
01-31-23,12.146667,12.146667,12.146667,11.462277,1200
02-01-23,12.153333,12.28,12.12,11.540916,16800
02-02-23,12.306667,12.326667,12.286667,11.606972,130200
02-03-23,12.293333,12.346667,12.27,11.584953,15000
02-06-23,12.25,12.25,12.196667,11.525189,41100
02-07-23,12.183333,12.263333,12.166667,11.566081,23400
02-08-23,12.226667,12.24,12.203333,11.531481,22200
02-09-23,12.306667,12.306667,12.18,11.493734,8400
02-10-23,12.103333,12.116667,12.086667,11.424531,12600
02-13-23,12.13,12.193333,12.13,11.506315,13800
02-14-23,12.166667,12.213333,12.133333,11.50946,15600
02-15-23,12.146667,12.2,12.146667,11.512606,9900
02-16-23,12.163333,12.2,12.163333,11.481151,4800
02-17-23,12.166667,12.166667,12.11,11.465424,34200
02-21-23,12.086667,12.086667,12.016667,11.339605,24300
02-22-23,12.016667,12.02,11.97,11.308146,3300
02-23-23,12.03,12.04,12,11.349038,9600
02-24-23,11.946667,11.96,11.916667,11.286129,15300
02-27-23,12.036667,12.046667,11.996667,11.323876,22200
02-28-23,12,12.033333,11.993333,11.333311,12300
03-01-23,12.016667,12.02,11.98,11.305001,12300
03-02-23,11.963333,12.03,11.95,11.352183,15900
03-03-23,12.103333,12.173333,12.103333,11.487441,2100
03-06-23,12.216667,12.216667,12.17,11.484296,14100
03-07-23,12.18,12.19,12.1,11.424531,23400
03-08-23,12.14,12.166667,12.133333,11.471715,11100
03-09-23,12.156667,12.156667,12.05,11.371058,5400
03-10-23,12.036667,12.036667,11.933333,11.260965,16200
03-13-23,11.86,11.916667,11.843333,11.213781,27600
03-14-23,11.993333,11.993333,11.88,11.210636,9000
03-15-23,11.84,11.84,11.756667,11.150871,10500
03-16-23,11.82,11.943333,11.79,11.260965,24300
03-17-23,11.933333,11.933333,11.843333,11.198054,9300
03-20-23,11.856667,11.916667,11.856667,11.238946,52200
03-21-23,12.02,12.04,12.003333,11.361621,19800
03-22-23,12.063333,12.076667,11.973333,11.29871,9000
03-23-23,12.03,12.03,11.966667,11.311292,2400
03-24-23,11.973333,12.016667,11.943333,11.333311,5700
03-27-23,12.036667,12.036667,11.983333,11.317582,7500
03-28-23,11.993333,11.993333,11.943333,11.270403,6000
03-29-23,11.97,11.98,11.97,11.37168,6300
03-30-23,12.03,12.04,12.03,11.422318,4800
03-31-23,12.063333,12.133333,12.063333,11.520433,6000
04-03-23,12.126667,12.143333,12.123333,11.523598,12000
04-04-23,12.166667,12.166667,12.123333,11.529927,7200
04-05-23,12.116667,12.116667,12.08,11.469792,17400
04-06-23,12.126667,12.14,12.123333,11.526763,3000
04-10-23,12.14,12.15,12.106667,11.536257,6000
04-11-23,12.166667,12.186667,12.163333,11.548916,18600
04-12-23,12.253333,12.253333,12.14,11.536257,15000
04-13-23,12.156667,12.183333,12.156667,11.548916,13500
04-14-23,12.2,12.21,12.166667,11.55841,10800
04-17-23,12.193333,12.196667,12.17,11.580565,30300
04-18-23,12.243333,12.243333,12.206667,11.590061,9900
04-19-23,12.206667,12.246667,12.206667,11.628041,3600
04-20-23,12.22,12.25,12.22,11.631206,5400
04-21-23,12.26,12.283333,12.246667,11.662854,52500
04-24-23,12.293333,12.303333,12.28,11.678679,35100
04-25-23,12.3,12.303333,12.243333,11.624875,16200
04-26-23,12.27,12.27,12.19,11.574235,28800
04-27-23,12.24,12.3,12.23,11.675516,7800
04-28-23,12.3,12.336667,12.293333,11.704,4800
05-01-23,12.353333,12.353333,12.313333,11.694505,13500
05-02-23,12.333333,12.333333,12.216667,11.650195,12900
05-03-23,12.316667,12.316667,12.253333,11.634371,3000
05-04-23,12.233333,12.233333,12.156667,11.545753,14400
05-05-23,12.233333,12.233333,12.183333,11.599556,5100
05-08-23,12.206667,12.206667,12.17,11.58373,20700
05-09-23,12.206667,12.206667,12.166667,11.55841,25500
05-10-23,12.186667,12.193333,12.163333,11.5774,5700
05-11-23,12.2,12.223333,12.186667,11.605886,9300
05-12-23,12.273333,12.273333,12.206667,11.618546,3600
05-15-23,12.276667,12.276667,12.216667,11.634371,5700
05-16-23,12.196667,12.196667,12.156667,11.545753,16200
05-17-23,12.196667,12.196667,12.143333,11.571072,5700
05-18-23,12.226667,12.246667,12.193333,11.628041,9600
05-19-23,12.306667,12.306667,12.273333,11.659691,2400
05-23-23,12.273333,12.273333,12.16,11.571072,21000
05-24-23,12.173333,12.173333,12.093333,11.507772,15600
05-25-23,12.126667,12.156667,12.103333,11.529927,12900
05-26-23,12.193333,12.226667,12.19,11.58373,11100
05-29-23,12.286667,12.286667,12.233333,11.634371,6300
05-30-23,12.283333,12.283333,12.17,11.567907,6900
05-31-23,12.18,12.18,12.083333,11.491948,11100
06-01-23,12.106667,12.14,12.106667,11.526763,7800
06-02-23,12.166667,12.276667,12.166667,11.656526,45300
06-05-23,12.306667,12.306667,12.236667,11.618546,6900
06-06-23,12.26,12.273333,12.256667,11.653359,3600
06-07-23,12.293333,12.293333,12.2,11.593226,9900
06-08-23,12.17,12.246667,12.17,11.624875,8100
06-09-23,12.25,12.25,12.223333,11.62171,11400
06-12-23,12.23,12.31,12.23,11.681844,12000
06-13-23,12.316667,12.333333,12.316667,11.71033,10800
06-14-23,12.41,12.41,12.326667,11.73565,6900
06-15-23,12.406667,12.416667,12.363333,11.779958,7800
06-16-23,12.473333,12.473333,12.366667,11.74198,43500
06-19-23,12.383333,12.383333,12.336667,11.713496,10800
06-20-23,12.35,12.35,12.283333,11.67235,19200
06-21-23,12.31,12.31,12.233333,11.618546,8100
06-22-23,12.243333,12.243333,12.166667,11.564742,10200
06-23-23,12.133333,12.146667,12.123333,11.510937,10800
06-26-23,12.173333,12.173333,12.126667,11.514102,5400
06-27-23,12.096667,12.223333,12.096667,11.605886,3600
06-28-23,12.166667,12.216667,12.16,11.634542,2100
06-29-23,12.253333,12.253333,12.186667,11.663198,5400
06-30-23,12.246667,12.303333,12.246667,11.752352,18300
07-04-23,12.3,12.356667,12.3,11.787377,36300
07-05-23,12.356667,12.356667,12.326667,11.774641,7500
07-06-23,12.286667,12.286667,12.206667,11.682302,4500
07-07-23,12.226667,12.243333,12.196667,11.653647,11100
07-10-23,12.25,12.25,12.203333,11.660015,13500
07-11-23,12.19,12.256667,12.19,11.707777,11700
07-12-23,12.316667,12.376667,12.316667,11.80648,14700
07-13-23,12.446667,12.446667,12.403333,11.8829,19800
07-14-23,12.45,12.47,12.45,11.911554,8100
07-17-23,12.466667,12.466667,12.433333,11.892451,11400
07-18-23,12.5,12.52,12.5,11.959317,3300
07-19-23,12.486667,12.55,12.486667,11.981604,7800
07-20-23,12.543333,12.543333,12.49,11.930658,4800
07-21-23,12.53,12.546667,12.526667,11.968866,50400
07-24-23,12.533333,12.533333,12.513333,11.952949,3300
07-25-23,12.553333,12.553333,12.533333,11.972052,3000
07-26-23,12.58,12.596667,12.556667,12.01026,7200
07-27-23,12.57,12.616667,12.5,11.940211,27900
07-28-23,12.576667,12.636667,12.576667,12.054838,7200
07-31-23,12.616667,12.633333,12.593333,12.029366,7500
08-01-23,12.64,12.64,12.583333,12.035734,6000
08-02-23,12.52,12.52,12.46,11.91474,15000
08-03-23,12.466667,12.466667,12.41,11.879717,12600
08-04-23,12.513333,12.513333,12.463333,11.905187,5700
08-08-23,12.556667,12.556667,12.466667,11.940211,7200
08-09-23,12.536667,12.536667,12.48,11.921106,12300
08-10-23,12.496667,12.56,12.493333,11.933844,8100
08-11-23,12.496667,12.496667,12.443333,11.911554,10200
08-14-23,12.48,12.48,12.443333,11.908371,8100
08-15-23,12.463333,12.463333,12.36,11.80648,15300
08-16-23,12.35,12.353333,12.313333,11.761904,7500
08-17-23,12.38,12.38,12.256667,11.707777,19500
08-18-23,12.2,12.276667,12.2,11.704592,5700
08-21-23,12.273333,12.286667,12.236667,11.736433,23100
08-22-23,12.28,12.286667,12.24,11.691854,7500
08-23-23,12.383333,12.383333,12.35,11.819218,24000
08-24-23,12.396667,12.396667,12.313333,11.761904,20700
08-25-23,12.333333,12.37,12.316667,11.80648,3900
08-28-23,12.353333,12.433333,12.353333,11.860611,4500
08-29-23,12.376667,12.56,12.376667,11.997525,34800
08-30-23,12.59,12.59,12.563333,12.007075,3600
08-31-23,12.543333,12.6,12.543333,11.981604,7800
09-01-23,12.576667,12.633333,12.576667,12.064388,5400
09-05-23,12.65,12.65,12.58,12.01663,20100
09-06-23,12.606667,12.606667,12.493333,11.956133,19800
09-07-23,12.513333,12.513333,12.463333,11.933844,3900
09-08-23,12.5,12.5,12.466667,11.91474,7800
09-11-23,12.54,12.54,12.5,11.943396,12900
09-12-23,12.526667,12.526667,12.453333,11.933844,6900
09-13-23,12.423333,12.466667,12.423333,11.908371,2700
09-14-23,12.496667,12.553333,12.496667,11.991157,21900
09-15-23,12.596667,12.596667,12.483333,11.924291,6300
09-18-23,12.513333,12.513333,12.466667,11.911554,3600
09-19-23,12.366667,12.373333,12.333333,11.816033,6000
09-20-23,12.373333,12.38,12.336667,11.784193,5100
09-21-23,12.276667,12.276667,12.16,11.615439,6600
09-22-23,12.16,12.196667,12.153333,11.612254,17100
09-25-23,12.14,12.14,12.076667,11.583597,25800
09-26-23,12.13,12.13,12.026667,11.494443,8100
09-27-23,12.033333,12.033333,11.89,11.465611,7800
09-28-23,11.943333,12.013333,11.923333,11.529682,11400
09-29-23,12.036667,12.043333,12.01,11.55531,15600
10-02-23,12.043333,12.043333,11.963333,11.500852,9000
10-03-23,11.926667,11.93,11.84,11.398336,20700
10-04-23,11.86,11.933333,11.86,11.468815,12900
10-05-23,11.966667,11.966667,11.92,11.481628,31500
10-06-23,11.876667,12.036667,11.876667,11.552109,13500
10-10-23,12.09,12.14,12.09,11.635402,14100
10-11-23,12.136667,12.186667,12.133333,11.712287,43200
10-12-23,12.21,12.22,12.13,11.657827,4200
10-13-23,12.12,12.12,12.073333,11.612975,3300
10-16-23,12.11,12.133333,12.09,11.657827,15900
10-17-23,12.133333,12.173333,12.113333,11.699471,17100
10-18-23,12.16,12.16,12.046667,11.577736,7200
10-19-23,12.043333,12.043333,12,11.532887,4500
10-20-23,11.903333,11.923333,11.866667,11.404744,12300
10-23-23,11.823333,11.873333,11.8,11.385523,24600
10-24-23,11.87,11.93,11.87,11.456001,13200
10-25-23,11.856667,11.883333,11.833333,11.382318,15900
10-26-23,11.86,11.86,11.796667,11.340672,7500
10-27-23,11.863333,11.863333,11.766667,11.318247,6000
10-30-23,11.776667,11.843333,11.776667,11.347079,9300
10-31-23,11.9,11.9,11.846667,11.430372,4800
11-01-23,11.933333,12.003333,11.933333,11.53609,4500
11-02-23,12.063333,12.17,12.063333,11.689861,13200
11-03-23,12.276667,12.276667,12.246667,11.789174,4800
11-06-23,12.303333,12.303333,12.236667,11.763544,9000
11-07-23,12.246667,12.283333,12.233333,11.798783,12900
11-08-23,12.33,12.33,12.26,11.782765,1500
11-09-23,12.333333,12.333333,12.23,11.753934,10500
11-10-23,12.23,12.32,12.23,11.84043,11100
11-13-23,12.336667,12.34,12.316667,11.859653,3900
