Date,Open,High,Low,Close,Volume
12-28-22,19472.300781,19519,19263.599609,19284.099609,241863200
12-29-22,19316.900391,19515.400391,19308.900391,19485.900391,185217200
12-30-22,19401.300781,19496.199219,19332.800781,19384.900391,155571700
01-03-23,19531.400391,19661.599609,19380.300781,19443.800781,261589200
01-04-23,19460.099609,19639.5,19414.599609,19588.800781,238146400
01-05-23,19518.699219,19536,19386.699219,19506.800781,194759400
01-06-23,19615.599609,19821.400391,19556.599609,19814.5,222341300
01-09-23,19900,19987.5,19840.800781,19857.099609,211962600
01-10-23,19857.300781,19898.900391,19745.599609,19898.900391,198069200
01-11-23,19980.400391,20038.300781,19910.300781,20025.099609,231468900
01-12-23,20101.599609,20214.300781,19993.400391,20211.199219,263797000
01-13-23,20150.900391,20380,20147.599609,20360.099609,237924900
01-16-23,20340.699219,20435.099609,20324.400391,20390.300781,118836200
01-17-23,20410.199219,20479.900391,20389.800781,20457.5,240442600
01-18-23,20535.699219,20632,20376.199219,20376.199219,280008600
01-19-23,20290.5,20406.5,20258.300781,20341.400391,221749000
01-20-23,20364.099609,20517.099609,20287.300781,20503.199219,219872800
01-23-23,20535.400391,20641.699219,20480.400391,20631.599609,237356600
01-24-23,20565,20653.199219,20502.400391,20629.599609,210676200
01-25-23,20501.800781,20634.300781,20402.199219,20599.599609,237469000
01-26-23,20672.099609,20700.5,20559.300781,20700.5,276746400
01-27-23,20669.699219,20763,20621.900391,20714.5,250949400
01-30-23,20609,20713.699219,20570.199219,20572.099609,260418500
01-31-23,20600.300781,20771.599609,20590.099609,20767.400391,294121300
02-01-23,20731.900391,20828.400391,20579.5,20751.099609,293853300
02-02-23,20813.5,20843.199219,20696.900391,20740.400391,292419400
02-03-23,20680.900391,20830.300781,20680.900391,20758.300781,262056000
02-06-23,20662.300781,20683.599609,20550.099609,20628.900391,212391500
02-07-23,20612,20775.699219,20541.599609,20725,227523300
02-08-23,20710.5,20779.199219,20623.099609,20679.5,188011200
02-09-23,20774.099609,20821.699219,20541.300781,20597.800781,234223700
02-10-23,20540.099609,20624,20484.5,20612.099609,254306600
02-13-23,20610.5,20741.5,20604.699219,20702.199219,199921700
02-14-23,20675.800781,20766.800781,20553.199219,20704.800781,213762300
02-15-23,20642.5,20725.699219,20576.599609,20720.400391,263772700
02-16-23,20572.5,20706.199219,20531.5,20606.400391,263447700
02-17-23,20546.5,20575.300781,20456.800781,20515.199219,235929000
02-21-23,20463.099609,20463.099609,20242.800781,20252.599609,247827700
02-22-23,20246.800781,20284,20134.5,20193.300781,270951400
02-23-23,20233.800781,20293.699219,20083.400391,20188.199219,253377400
02-24-23,20115.5,20220,19997.300781,20219.199219,232664600
02-27-23,20245.599609,20374,20236.800781,20260.099609,257382400
02-28-23,20223.699219,20242.599609,20156.5,20221.199219,410582800
03-01-23,20200.900391,20318.900391,20200.900391,20259.800781,321373700
03-02-23,20209.699219,20347.099609,20149,20337.199219,268034900
03-03-23,20384.900391,20609,20384.900391,20581.599609,269826500
03-06-23,20578.800781,20615.5,20498.5,20514.800781,240762000
