Symbol,Google URL,Validation,Live (GF),Live (Srv)
^GSPC,Search,OK,,6878.88000
^NDX,Search,OK,,24960.04000
^DJI,Search,OK,,48977.92000
^RUT,Search,OK,,2632.36000
^VIX,Search,OK,,19.86000
^GSPTSE,Search,OK,,34340
^STOXX50E,Search,OK,,6138.41000
^FTSE,Search,OK,,10910.60000
SPY,Open,OK,685.99000,
IVV,Open,OK,689.38000,
VOO,Open,OK,631.04000,
VTI,Open,OK,338.77000,
ITOT,Open,OK,150.13000,
SCHB,Open,OK,26.49000,
IWB,Open,OK,376.26000,
IWD,Open,OK,225.52000,
IWF,Open,OK,450.19000,
IJH,Open,OK,71.49000,
IJR,Open,OK,129.70000,
IWS,Open,OK,153.91000,
IWP,Open,OK,136.75000,
IWM,Open,OK,261.41000,
IWO,Open,OK,335.25000,
DIA,Open,OK,489.66000,
QQQ,Open,OK,607.29000,
QQQM,Open,OK,250.06000,
VUG,Open,OK,460.87000,
VTV,Open,OK,207.26000,
XLK,Open,OK,138.76000,
XLF,Open,OK,51.43000,
XLE,Open,OK,55.92000,
XLI,Open,OK,177.14000,
XLY,Open,OK,116.86000,
XLP,Open,OK,90.01000,
XLV,Open,OK,160.20000,
XLU,Open,OK,47.73000,
XLC,Open,OK,118.05000,
XLB,Open,OK,53.41000,
XLRE,Open,OK,43.84000,
MTUM,Open,OK,252.96000,
QUAL,Open,OK,204.86000,
VLUE,Open,OK,150.79000,
USMV,Open,OK,97.81000,
SIZE,Open,OK,169.34000,
XBI,Open,OK,127.37000,
SMH,Open,OK,406.37000,
SOXX,Open,OK,352.29000,
XME,Open,OK,119.35000,
HYG,Open,OK,80.72000,
JNK,Open,OK,97.25000,
LQD,Open,OK,111.68000,
BND,Open,OK,75.17000,
AGG,Open,OK,101.40000,
TLT,Open,OK,90.82000,
IEF,Open,OK,97.99000,
SHY,Open,OK,83.18000,
TIP,Open,OK,111.88000,
GLD,Open,OK,483.75000,
IAU,Open,OK,99.07000,
SLV,Open,OK,84.99000,
DBC,Open,OK,25.10000,
USO,Open,OK,81.95000,
UNG,Open,OK,11.52000,
VNQ,Open,OK,95.69000,
IYR,Open,OK,101.28000,
EFA,Open,OK,105.38000,
VEA,Open,OK,70.24000,
IEFA,Open,OK,98.32000,
VWO,Open,OK,58.10000,
EEM,Open,OK,62.58000,
IEMG,Open,OK,76.76000,
ACWI,Open,OK,147.38000,
ACWX,Open,OK,74.45000,
XIU,Open,OK,49.71000,
XIC,Open,OK,54.91000,
ZCN,Open,OK,46.05000,
VCN,Open,OK,69.75000,
VCE,Open,OK,72.75000,
HXT,Open,OK,88.39000,
ZSP,Open,OK,102.84000,
VFV,Open,OK,166.62000,
XUS,Open,OK,57.98000,
XUU,Open,OK,68.65000,
VUN,Open,OK,125.50000,
ZUE,Open,OK,93.07000,
HXQ,Open,OK,97.82000,
ZQQ,Open,OK,170.20000,
XQQ,Open,OK,61.36000,
QQC-F,Open,OK,193.37000,
XEF,Open,OK,50.56000,
VIU,Open,OK,48.10000,
ZEA,Open,OK,30.62000,
XEC,Open,OK,40.71000,
VEE,Open,OK,47.63000,
ZEM,Open,OK,30.73000,
XAW,Open,OK,53.23000,
VXC,Open,OK,76.72000,
XIT,Open,OK,63.25000,
XFN,Open,OK,78.61000,
ZEB,Open,OK,61.51000,
XEG,Open,OK,23.61000,
ZEO,Open,OK,94.67000,
XRE,Open,OK,16.29000,
ZRE,Open,OK,23.46000,
XDV,Open,OK,42.59000,
VDY,Open,OK,67.08000,
XEI,Open,OK,35.86000,
ZDV,Open,OK,30.46000,
VAB,Open,OK,23.39000,
XBB,Open,OK,28.59000,
ZAG,Open,OK,14,
XGB,Open,OK,19.58000,
XSB,Open,OK,27.14000,
ZCS,Open,OK,14.11000,
ZCM,Open,OK,15.99000,
ZLC,Open,OK,15.52000,
ZFL,Open,OK,12.50000,
XRB,Open,OK,23.35000,
ZDB,Open,OK,15.39000,
XSH,Open,OK,19.25000,
CGL,Open,OK,40.46000,
CGL.C,Open,OK,60,
XEQT,Open,OK,42.04000,
VEQT,Open,OK,56.54000,
ZEQT,Open,OK,21.78000,
XGRO,Open,OK,36.45000,
VGRO,Open,OK,44.90000,
ZGRO,Open,OK,18.28000,
XBAL,Open,OK,34.65000,
VBAL,Open,OK,38.32000,
ZBAL,Open,OK,15.43000,
HSD,Open,OK,,11.10000
HIX,Open,OK,,18.44000
HUV,Open,OK,,19.84000
HXD,Open,OK,,12.62000
HQU,Open,OK,,29.03000
