Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
07-05-24,114.029999,114.720001,113.93,112.789574,1694400,110.549017,108.591341,100.522072,0.09191,0.066482,0.063503,TRUE,TRUE,8.069269,0.147432,52.941055,19.346526,73.416244,12.109296,0.901583,0.101996,6.682583,15.507082,21.966363,47.256131,2.839618,2.02478,86.495754,0.641967,0.000439,0.000155,1.793545,1.855731,-5.093047,0.549831,-11275400,-27.053556,-20665771263.15202,-5.369785,55.062703,6.278753,9.304262,0,0.086083,2.101228,0.012441,0.000439,2.590367
07-08-24,114.800003,114.93,114.449997,112.789574,1788900,110.699369,108.76503,100.624558,0.09678,0.068634,0.063812,TRUE,TRUE,8.140472,0.152096,59.288359,21.263468,73.416244,7.896504,0.96848,0.135115,5.85241,15.634146,23.489012,39.535986,2.739104,2.058059,97.859549,0.62145,0.000596,0.000304,1.651612,2.402471,-5.093047,0.586867,-11275400,-27.221318,-20679936456.61145,-5.280169,60.822708,6.279758,9.505046,0,0.106277,2.679921,0.017424,0.000596,2.135923
07-09-24,114.800003,114.870003,114.510002,112.760056,2000600,110.87556,108.944567,100.729892,0.102576,0.070978,0.064123,TRUE,TRUE,8.214675,0.157376,51.597743,23.043485,73.004004,2.722026,1.007502,0.139309,5.602345,15.499918,23.209032,27.668508,3.225863,2.017356,101.774164,0.618459,0.000499,0.000216,1.562995,2.150251,-5.093047,0.658662,-13276000,-9.785354,-20701386707.838509,-5.316428,55.964949,6.297987,9.954007,0,0.095309,2.415356,0.01468,0.000499,1.851644
07-10-24,115,115.889999,115,113.910973,1685800,111.093201,109.127807,100.848566,0.109916,0.073504,0.064437,TRUE,TRUE,8.279241,0.161408,58.349295,25.30479,78.154607,4.738363,1.118403,0.200168,6.524486,15.296355,24.151986,50.024564,3.973069,2.04945,117.45318,0.591088,0.000947,0.000848,2.348968,3.396506,-5.093047,0.619833,-11590200,-79.02686,-20707198089.092472,-5.128741,54.377371,6.174901,8.830535,0,0.140982,3.738504,0.029121,0.000947,2.399059
07-11-24,116.089996,116.379997,115.230003,113.468315,3787400,111.299775,109.293025,100.965317,0.11824,0.076139,0.064755,TRUE,TRUE,8.327708,0.162483,51.78904,27.649466,72.430733,-0.985511,1.157235,0.1912,7.334481,15.372312,22.700328,34.568896,3.778676,2.081269,121.208484,0.577179,0.000989,0.000971,2.23226,3.744399,-5.093047,1.523158,-15377600,-55.188244,-20722589408.090427,-5.360739,65.181678,5.522862,7.649726,0,0.151108,4.104134,0.031161,0.000989,1.789099
07-12-24,115.690002,116.809998,115.690002,114.294617,1776500,111.495037,109.506569,101.085619,0.127573,0.078921,0.065077,TRUE,TRUE,8.42095,0.163443,70.877068,30.026308,75.968803,2.964799,1.240387,0.219481,7.48136,15.673249,22.126299,47.155803,3.537698,2.171517,136.288281,0.574897,0.001205,0.001454,2.347919,4.336868,-5.093047,0.743161,-13601100,-51.961818,-20728792539.480072,-5.32851,70.339097,4.58317,7.419101,0,0.173456,4.729915,0.038127,0.001205,2.05416
07-15-24,116.419998,116.68,115.769997,114.176567,2661300,111.701612,109.723216,101.211902,0.136702,0.081839,0.065404,TRUE,TRUE,8.511314,0.162946,66.782869,32.233375,74.49786,-3.656747,1.281981,0.208861,9.050975,15.610836,20.630081,44.675766,3.754357,2.15161,144.233571,0.571668,0.001249,0.001579,2.166134,4.484282,-5.093047,1.14999,-16262400,-36.434423,-20740773789.012249,-5.420964,61.506873,4.860335,6.570146,0,0.178176,4.886363,0.039731,0.001249,1.715936
07-16-24,116.230003,116.75,116.120003,114.786453,12654900,111.949009,109.926307,101.341041,0.145962,0.084904,0.065735,TRUE,TRUE,8.585266,0.162565,68.333017,34.317533,76.97798,4.547247,1.348612,0.220393,10.706198,15.987798,21.609656,57.488516,4.504745,2.160857,152.776583,0.571926,0.001388,0.001951,2.344808,4.795226,-5.093047,4.439747,-3607500,555.185089,-20807003321.186634,-5.391189,77.183161,4.690668,6.04543,0,0.190292,5.216626,0.044165,0.001388,1.857251
07-17-24,115.629997,115.93,115.160004,113.340431,2736900,112.089184,110.077651,101.460197,0.153852,0.087948,0.06607,TRUE,TRUE,8.617455,0.158063,37.601954,34.462559,61.665399,-14.303404,1.270095,0.113501,9.890548,15.540255,19.77114,26.64758,2.536261,2.145374,151.997916,0.592886,0.001339,0.001687,2.161682,4.339294,-5.093047,0.931792,-6344400,173.881717,-20822675310.91663,-5.456898,77.467665,3.815544,5.931033,0,0.179086,4.734456,0.041076,0.001339,0.8232
07-18-24,115.739998,115.739998,113.860001,112.376419,3432400,112.158534,110.190595,101.575788,0.159538,0.090915,0.066407,TRUE,TRUE,8.614807,0.153101,19.85279,32.799018,53.959208,-20.538652,1.117203,-0.031513,9.359277,15.441477,18.089202,6.266755,1.249663,2.17681,149.86528,0.597171,0.001025,0.000974,2.029482,3.48209,-5.093047,1.157987,-9776800,18.558944,-20831525001.052376,-5.214746,69.49988,3.933091,5.163265,0,0.145897,3.829117,0.031205,0.001025,0.145387
