Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
06-17-24,52.669998,52.950001,52.48,51.432869,1250600,51.993883,51.219813,48.188034,0.041693,0.029921,0.014366,TRUE,TRUE,3.031779,0.034861,-14.716208,15.91195,46.50388,-7.224781,0.034292,-0.141804,1.637055,7.115767,8.460055,-38.226602,-2.586299,4.116658,42.272256,0.725316,0.00257,0.002101,1.527298,-0.0899,-4.427428,1.525261,-60277800,229.191893,-19277152454.199306,-10.912499,60.545117,2.871467,2.679079,0,0.021648,0.471048,0.045839,0.00257,-1.327144
06-18-24,52.950001,53.279999,52.919998,51.714771,2674900,51.940659,51.231864,48.216493,0.031562,0.029593,0.014486,TRUE,TRUE,3.015371,0.035299,6.52333,15.460366,49.784104,2.204292,0.026476,-0.119696,2.232828,8.686464,9.337665,-27.084213,-2.016825,4.120556,38.386278,0.725997,0.002721,0.002354,1.472887,0.273746,-4.427428,2.878821,-57602900,445.786574,-19297737665.111443,-10.009432,69.665843,3.525997,2.848879,0,0.038795,0.843628,0.048517,0.002721,-0.58846
06-20-24,53.150002,53.310001,53.040001,51.714771,776900,51.89558,51.241616,48.24396,0.02178,0.029299,0.014609,TRUE,TRUE,2.997656,0.035628,0.819313,14.996215,49.784104,5.373118,0.02005,-0.100897,1.122018,8.40667,11.045375,-27.084213,-1.713514,3.97482,35.194747,0.72588,0.002734,0.002376,1.467226,0.301221,-4.427428,0.81569,-57602900,149.566335,-19306141003.374203,-9.767826,68.692719,3.358541,3.270106,0,0.040092,0.871992,0.048744,0.002734,-0.513738
06-21-24,52.889999,52.970001,52.790001,51.413425,505300,51.854594,51.259137,48.27181,0.012429,0.029018,0.014734,TRUE,TRUE,2.987327,0.035449,-9.998246,14.883023,46.266975,-0.236904,-0.009251,-0.104159,0.513946,6.718368,10.331167,-40.104734,-1.569343,3.720633,35.824137,0.730169,0.002629,0.002171,1.540252,0.074666,-4.427428,0.527293,-58108200,30.097837,-19314374996.77055,-9.868991,61.760946,2.984825,2.704361,0,0.02939,0.63533,0.046597,0.002629,-1.231484
06-24-24,53.240002,53.509998,53.209999,51.753654,390100,51.845948,51.280396,48.302306,0.003999,0.028775,0.014862,TRUE,TRUE,2.978091,0.036271,-8.322717,13.950981,50.517477,0.733374,-0.004962,-0.079896,1.63597,8.866434,11.6725,-26.27428,-0.332994,3.615466,35.849939,0.731738,0.002687,0.002259,1.579921,0.11642,-4.427428,0.413469,-57718100,-43.158968,-19318552573.270683,-10.038663,55.969555,2.256148,2.20621,0,0.031436,0.678132,0.047533,0.002687,-0.257445
06-25-24,53.240002,53.34,53.119999,51.802258,559500,51.822967,51.320639,48.33432,-0.003598,0.028587,0.014993,TRUE,TRUE,2.98632,0.037091,-1.064618,13.211674,51.112419,1.328315,0.002332,-0.058082,1.808039,7.154684,13.489217,-24.298545,-0.879466,3.550475,34.490725,0.731725,0.002714,0.002305,1.585626,0.170683,-4.427428,0.591197,-57158600,11.587555,-19325814547.989784,-9.996266,57.966959,2.550476,1.626286,0,0.034048,0.734526,0.048009,0.002714,-0.060044
06-26-24,52.93,53.09,52.830002,51.500912,876300,51.786835,51.359646,48.365016,-0.010619,0.028416,0.015126,TRUE,TRUE,2.99463,0.037609,-19.794468,12.929818,47.314035,1.04706,-0.016019,-0.061146,1.177704,6.552453,12.526266,-36.54838,-1.38376,3.361498,33.852567,0.735167,0.002565,0.002038,1.670971,-0.133839,-4.427428,0.912689,-58034900,45.71001,-19335649995.601913,-10.015414,52.520124,1.711801,1.521353,0,0.01949,0.418366,0.04514,0.002565,-0.844612
06-27-24,53.139999,53.23,52.970001,51.598122,580700,51.796759,51.41056,48.393789,-0.016329,0.028279,0.015262,TRUE,TRUE,3.016771,0.03751,-23.059823,12.436713,48.639987,-1.87749,-0.022459,-0.054069,0.818383,6.143426,11.746894,-37.124071,0.386163,3.246799,32.936241,0.726179,0.0027,0.002318,0.991311,0.253169,-4.427428,0.605577,-57454200,-4.000661,-19342358815.706966,-9.829905,53.445416,1.639404,,0,0.037744,0.820546,0.04814,0.0027,-0.603097
06-28-24,53.130001,53.32,52.939999,51.646725,1538000,51.795222,51.462447,48.423561,-0.020529,0.028188,0.015401,TRUE,TRUE,3.038886,0.037807,-9.027312,11.826516,49.32666,-1.785759,-0.023372,-0.043985,0.970049,5.743256,11.966681,-37.853147,-0.059489,3.205124,33.001953,0.72446,0.00264,0.002225,1.01892,0.136747,-4.427428,1.580175,-55916200,23.020317,-19354365498.37524,-9.19348,61.78097,2.324706,1.085518,0,0.032228,0.702213,0.047167,0.00264,-0.449965
07-01-24,53.360001,53.52,53.110001,51.724491,1055500,51.787513,51.51608,48.454194,-0.023682,0.028116,0.015542,TRUE,TRUE,3.061886,0.037645,-8.993643,11.044403,50.467766,3.15373,-0.017617,-0.030584,0.857611,5.902477,12.365397,-43.026149,-0.297183,3.125423,32.976837,0.719414,0.000835,0.000444,1.039353,0.427768,-4.427428,1.133526,-54860700,-44.400548,-19362554685.262913,-9.64134,66.306164,100.857611,105.902477,,0.043925,0.963107,0.021069,0.000835,-0.19111
