Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
05-14-24,71.629997,71.699997,71.540001,67.910629,4272500,67.25459,67.681904,66.729211,-0.031745,-0.013283,0.001352,TRUE,TRUE,0.952693,-0.016232,39.483941,18.193397,59.032099,0.311759,0.088205,0.113984,0.730448,4.631159,0.582987,-180.836204,1.867638,5.814315,42.959296,0.327865,0.260836,0.176057,0.979848,-0.42501,-3.701757,0.728907,-105450500,-70.286322,-185955546363.181885,-40.145437,69.43353,-7.373991,-9.651977,0,-0.012767,-0.680978,0.419591,0.260836,1.527118
05-15-24,72.019997,72.160004,71.940002,68.346634,4208200,67.32258,67.681993,66.737391,-0.023866,-0.013308,0.00137,TRUE,TRUE,0.944603,-0.015109,57.837841,19.290819,65.380284,10.81693,0.143828,0.135685,0.997184,5.333143,1.490489,-129.720563,2.029943,5.83291,48.854612,0.337664,0.262211,0.167624,1.374745,-0.007547,-3.701757,0.732689,-101242300,-35.933623,-186097223013.591095,-40.646227,75.80999,-5.480356,-8.558842,0,-0.004776,-0.246094,0.409418,0.262211,2.096125
05-16-24,72.129997,72.160004,71.970001,68.232903,4359500,67.393861,67.677359,66.747066,-0.015309,-0.013306,0.001392,TRUE,TRUE,0.930293,-0.014525,49.261777,20.309855,62.653052,7.073568,0.176696,0.134843,0.549912,3.89021,1.5704,-136.571836,2.133931,5.807861,51.280466,0.336332,0.257859,0.161895,1.242092,0.079751,-3.701757,0.772413,-105601800,-31.34105,-186273073802.17926,-41.139676,70.242809,-4.35299,-8.432069,0,-0.004159,-0.214421,0.402362,0.257859,1.636182
05-17-24,71.93,71.989998,71.800003,68.062263,4373500,67.452357,67.667051,66.756951,-0.006435,-0.013282,0.001415,TRUE,TRUE,0.9101,-0.014211,36.607946,20.588788,58.696899,-0.3352,0.186821,0.115974,0.618857,4.206768,1.496417,-146.851273,1.748962,5.78178,51.927116,0.338082,0.246699,0.146273,1.136545,-0.149035,-3.701757,0.803102,-109975300,-47.549261,-186449525726.907196,-40.263268,64.450392,-4.896362,-8.686805,0,-0.007953,-0.40414,0.382457,0.246699,1.174543
05-20-24,71.769997,71.800003,71.730003,67.995918,3699600,67.506118,67.654097,66.768535,0.002352,-0.013242,0.001442,TRUE,TRUE,0.885562,-0.013619,46.453606,20.580862,57.18498,-8.195304,0.187333,0.093188,0.395302,3.485336,1.814933,-150.847964,1.606717,5.780262,51.698488,0.335236,0.001428,0.003034,0.966821,-0.512573,-3.701757,0.693611,-113674900,-37.699342,-186847930509.773682,-42.143522,66.870384,100.395302,103.485336,,0.007323,0.347282,0.055084,0.001428,0.947416
05-21-24,71.93,71.93,71.849998,68.138123,4612300,67.560847,67.644552,66.778107,0.011078,-0.013201,0.001472,TRUE,TRUE,0.866446,-0.013012,44.360588,20.895881,59.587761,-3.065292,0.196942,0.082239,0.885137,3.554982,2.30864,-166.349365,1.632631,5.745454,52.333686,0.335358,0.001449,0.003139,0.819849,-0.205278,-3.701757,0.876493,-109062600,-23.693005,-187280540145.821747,-45.717222,65.299229,-4.98753,-8.426686,0,0.010521,0.496027,0.056024,0.001449,1.103067
05-22-24,71.739998,71.879997,71.720001,68.052811,4306200,67.619815,67.637447,66.787759,0.019454,-0.013153,0.001504,TRUE,TRUE,0.849688,-0.012744,32.793018,20.674145,57.502843,-1.194056,0.195422,0.064574,0.716786,3.279121,2.208692,-319.09989,1.763557,5.725532,50.802662,0.335149,0.001456,0.003172,0.716267,-0.183718,-3.701757,0.820744,-113368800,-6.723563,-187482246939.899292,-46.15668,58.298745,-3.940405,-7.981619,0,0.011002,0.51906,0.05632,0.001456,0.85231
05-23-24,71.82,71.849998,71.510002,67.853752,3589900,67.678279,67.628622,66.795216,0.026943,-0.013102,0.00154,TRUE,TRUE,0.833406,-0.012574,10.344277,19.701932,52.855763,-4.329217,0.176124,0.036221,0.060416,2.831622,1.839651,-425.147934,1.753453,5.693091,45.970404,0.336261,0.001395,0.002897,0.686177,-0.58823,-3.701757,0.696011,-116958700,-33.117839,-187563046917.845612,-45.939904,50.573974,-3.358834,-8.488506,0,0.002187,0.102858,0.053826,0.001395,0.38171
05-24-24,71.57,71.690002,71.529999,67.929588,4025200,67.732976,67.629415,66.802959,0.033453,-0.013032,0.001578,TRUE,TRUE,0.826456,-0.012095,10.728955,18.799162,54.368744,-5.219017,0.165047,0.020115,0.353018,2.859435,2.234711,-422.270154,1.636762,5.68595,41.729216,0.335885,0.001382,0.002846,0.657293,-0.631979,-3.701757,0.782162,-112933500,-5.436264,-187748222624.006195,-45.342359,43.161788,-4.103928,-8.955632,0,0.001241,0.058413,0.053348,0.001382,0.471163
05-28-24,71.739998,71.739998,71.309998,67.607338,4743400,67.761637,67.624518,66.810939,0.038934,-0.01296,0.00162,FALSE,TRUE,0.813579,-0.011667,-9.090215,17.713807,47.406566,-10.096277,0.128781,-0.012921,0.029677,2.864763,2.130083,-435.603885,0.855139,5.689074,38.521727,0.336902,0.001218,0.002199,0.688515,-1.331932,-3.701757,0.922222,-117676900,-1.168872,-187834655247.795685,-43.952745,35.932759,-4.15437,-8.597976,0,-0.014146,-0.664083,0.046893,0.001218,-0.400552
