Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
07-11-24,23.280001,23.42,23.25,22.195074,1759500,22.156152,22.138685,21.743262,0.000293,0.007035,0.000994,TRUE,TRUE,0.395423,-0.002372,-0.507597,10.031318,50.810814,-1.743277,0.044513,0.002918,-1.474928,6.41785,5.274256,-124.33224,1.387682,5.792827,18.00918,0.801523,-0.010837,0.06027,1.788616,-0.769965,-5.137851,2.026618,159609200,207.336245,-21703445123.038528,-13.436728,64.501449,-3.286547,-1.304736,0,-0.055466,-1.116495,-0.2455,-0.010837,0.216125
07-12-24,23.299999,23.34,23.26,22.109636,1263200,22.163272,22.137735,21.740024,0.003179,0.006244,0.001001,FALSE,TRUE,0.397711,-0.001901,4.812884,9.434381,48.441582,-0.2999,0.03295,-0.006915,-1.688471,6.736946,4.109423,-135.574049,0.648233,5.802126,17.497207,0.802676,-0.010885,0.060658,1.754282,-0.840226,-5.137851,1.414075,158346000,65.992116,-21741036850.344635,-14.727708,61.789155,-4.586662,-1.517202,0,-0.059152,-1.189172,-0.246289,-0.010885,-0.306537
07-15-24,23.190001,23.24,23.120001,21.948252,863300,22.161373,22.140014,21.736116,0.005823,0.005471,0.001008,FALSE,TRUE,0.403898,-0.002268,-14.594522,9.502108,44.244853,-4.496629,0.010642,-0.023379,-2.529504,5.186535,1.916505,-150.224481,-0.172706,5.768167,17.718629,0.782687,-0.010746,0.062204,1.853538,-0.580916,-5.137851,0.949913,157482700,56.112116,-21758759817.261379,-14.98213,55.966418,-6.720143,-3.854155,0,-0.044313,-0.914571,-0.249407,-0.010746,-1.20281
07-16-24,22.93,23.09,22.92,21.891293,1485400,22.160898,22.139634,21.731289,0.008119,0.00471,0.001015,FALSE,TRUE,0.408344,-0.002732,-6.508881,10.33262,42.834359,-7.976455,-0.011501,-0.036417,-2.90526,4.533097,2.340009,-104.970203,-0.043345,5.791762,17.793223,0.783327,-0.010793,0.062664,1.902735,-0.653624,-5.137851,1.584672,155997300,62.392041,-21778222175.391731,-14.996792,52.962615,-8.92079,-5.409272,0,-0.048057,-0.991245,-0.250327,-0.010793,-1.515217
07-17-24,23.110001,23.15,23.030001,21.891293,1296400,22.156627,22.138685,21.726599,0.009864,0.003963,0.001021,FALSE,TRUE,0.412086,-0.003006,-9.090821,10.781111,42.834359,-5.607223,-0.028718,-0.042908,-2.741453,5.441238,3.169196,-104.970203,-0.388765,5.770366,18.352429,0.780711,-0.010894,0.064247,1.965913,-0.8156,-5.137851,1.369736,155997300,16.342098,-21804122481.053429,-15.276173,53.218275,-8.816457,-4.167985,0,-0.056732,-1.175051,-0.253471,-0.010894,-1.445771
07-18-24,23.059999,23.059999,22.889999,21.729908,1410300,22.135267,22.129571,21.722322,0.010765,0.003237,0.001028,FALSE,TRUE,0.407249,-0.003523,-25.882232,11.707973,38.77271,-5.472142,-0.054754,-0.055155,-1.928017,4.807689,1.072487,-114.860509,-1.928017,5.748267,20.684421,0.786105,-0.011008,0.064658,2.146988,-1.058122,-5.137851,1.445935,154587000,69.425757,-21824780735.963726,-15.444574,46.014108,-7.354203,-5.470523,0,-0.069997,-1.44,-0.254279,-0.011008,-1.959731
07-19-24,22.809999,22.92,22.559999,21.435619,1803800,22.09682,22.114952,21.717434,0.010682,0.002514,0.001034,FALSE,FALSE,0.397517,-0.004334,-34.031248,13.541597,32.686172,-10.148187,-0.098005,-0.078725,-3.214742,2.729755,-0.838884,-83.908954,-3.463016,5.789764,25.833946,0.801787,-0.011332,0.065819,2.458936,-1.6251,-5.680874,1.768414,152783200,98.067421,-21837852054.890949,-14.634039,43.34724,-8.293132,-7.1399,0,-0.10194,-2.056882,-0.256552,-0.011332,-2.559424
07-22-24,22.5,22.639999,22.450001,21.492579,1959900,22.070239,22.10375,21.713329,0.009924,0.001793,0.001039,FALSE,FALSE,0.390421,-0.005048,-53.293358,15.513825,34.818925,-8.015434,-0.12623,-0.08556,-3.412968,3.190515,-0.865861,-66.029173,-2.413791,5.677063,29.143462,0.802884,-0.011247,0.064691,2.758439,-1.493318,-5.680874,1.811619,154743100,171.04135,-21859564222.714748,-14.399719,33.928687,-8.678158,-6.711981,0,-0.094586,-1.904781,-0.254343,-0.011247,-1.982126
07-23-24,22.5,22.549999,22.389999,21.293222,981700,22.024671,22.086852,21.711348,0.008472,0.001072,0.001044,FALSE,FALSE,0.375504,-0.005835,-61.080913,17.488906,31.104359,-7.668351,-0.162808,-0.097711,-4.308868,1.81571,-2.315408,-72.634225,-4.104311,5.647992,33.70094,0.80648,-0.01149,0.066898,3.138456,-1.972359,-6.307436,0.892118,153761400,60.828965,-21874004759.848476,-14.429683,28.496486,-8.769022,-7.708352,0,-0.121013,-2.428692,-0.258647,-0.01149,-2.170411
07-24-24,22.450001,22.6,22.42,21.283728,991900,21.989072,22.070523,21.709953,0.006254,0.000354,0.001048,FALSE,FALSE,0.36057,-0.006541,-73.410201,19.018455,30.935088,-1.751085,-0.190369,-0.100217,-4.757864,1.218958,-4.071262,-73.263018,-3.23695,5.634648,37.562189,0.806194,-0.011522,0.067287,3.489407,-2.01546,-6.349214,0.890643,152769500,36.55011,-21887519623.324932,-14.388964,29.527196,-7.870552,-7.100511,0,-0.123556,-2.481126,-0.259398,-0.011522,-1.877804
