Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
05-22-24,43.400002,43.43,43.130001,41.806011,23030800,41.059751,40.114617,37.983709,0.088046,0.03638,0.003652,TRUE,TRUE,2.130908,0.041009,41.09105,28.142022,64.560637,-11.718209,0.659335,0.063575,6.400799,10.507828,12.932237,-10.373739,6.426982,3.741627,92.497574,0.804929,0.006285,0.010337,2.257228,1.887477,-6.338548,0.859239,-525628900,27.114874,-271094598061.862183,-9.915769,69.054727,1.743608,-0.752913,0,0.134102,2.654773,0.101671,0.006285,0.806789
05-23-24,43.439999,43.470001,42.82,41.496483,28607000,41.166152,40.146925,38.001373,0.097889,0.036477,0.003683,TRUE,TRUE,2.145552,0.041313,15.98531,27.423944,58.684086,-14.145265,0.602144,0.005107,5.665028,10.382118,13.863438,-26.926066,5.405406,3.75008,83.854076,0.79116,0.006397,0.011096,2.177405,2.110355,-6.338548,1.05421,-554235900,30.253842,-271239702777.321655,-9.891232,60.370602,2.245778,-0.938009,0,0.143956,2.901855,0.105337,0.006397,0.393936
05-24-24,42.970001,43.130001,42.939999,41.612553,20986300,41.255626,40.185616,38.019142,0.106449,0.036544,0.00372,TRUE,TRUE,2.166474,0.041682,18.411686,26.757157,60.148952,-7.149543,0.559734,-0.029843,6.43247,10.91494,15.044228,-20.719122,4.493561,3.769498,78.11994,0.791366,0.006448,0.011267,2.08606,2.186589,-6.338548,0.778283,-533249600,-14.017708,-271553929305.662476,-9.81425,54.391335,1.975524,-0.900128,0,0.147946,2.981988,0.106146,0.006448,0.456896
05-28-24,43.16,43.25,42.880001,41.554516,21179400,41.322852,40.227983,38.036337,0.113533,0.036585,0.003761,TRUE,TRUE,2.191646,0.042596,26.641065,26.370415,59.022107,-5.53853,0.515498,-0.059263,6.074069,10.704225,15.123639,-23.822696,3.343757,3.839511,74.341938,0.778714,0.006141,0.010544,1.935883,1.758429,-6.338548,0.800074,-554429000,-31.770035,-271726854991.666626,-9.764436,60.564533,1.890022,-0.758513,0,0.124452,2.547695,0.102685,0.006141,0.31162
05-29-24,42.360001,42.400002,42.240002,40.935455,30803500,41.387176,40.256615,38.053237,0.118485,0.036578,0.003807,TRUE,TRUE,2.203378,0.042215,1.242276,24.572499,48.569708,-10.114378,0.425581,-0.119343,5.879409,9.498094,11.431201,-71.610829,3.244694,3.798565,63.933398,0.80443,0.006191,0.010023,1.92438,1.285355,-6.338548,1.167926,-585232500,-5.939778,-272259966391.7453,-10.244427,58.550853,3.182496,-0.534848,0,0.103203,2.042816,0.100116,0.006191,-0.706549
05-30-24,42.040001,42.310001,42.02,40.819378,20741500,41.443762,40.286794,38.070458,0.121086,0.036513,0.003858,TRUE,TRUE,2.216336,0.040949,-6.54204,23.357115,46.892809,-13.256143,0.341024,-0.16312,5.526366,8.280225,12.412277,-64.89857,2.85157,3.783348,51.992908,0.795759,0.006268,0.010509,1.983826,1.501432,-6.338548,0.807467,-605974000,-39.861407,-272452450196.446564,-10.479069,52.585083,2.438756,-2.81787,0,0.113541,2.273292,0.102515,0.006268,-1.200903
05-31-24,41.799999,41.82,41.459999,40.422798,49609100,41.429253,40.300143,38.087832,0.121138,0.036366,0.003914,TRUE,TRUE,2.212311,0.039868,-20.113285,23.218629,41.607392,-17.414715,0.239254,-0.211913,3.236189,7.852913,12.369507,-43.037386,-0.712746,3.693792,54.48472,0.787065,0.005722,0.008946,2.192184,0.704364,-6.338548,1.928454,-655583100,1.542092,-272787917725.929871,-10.831644,42.242521,-0.015827,-3.865875,0,0.071535,1.446026,0.094584,0.005722,-1.847224
06-03-24,42.380001,42.43,42.049999,40.8484,33839300,41.417646,40.321036,38.108996,0.118993,0.036187,0.003975,TRUE,TRUE,2.21204,0.03983,-16.164353,21.792735,48.337283,-0.232425,0.190744,-0.208338,4.555578,8.768057,11.566108,-25.377552,-0.565103,3.682719,55.504438,0.794374,0.005678,0.008642,2.315533,0.843518,-6.338548,1.31028,-621743800,6.362388,-273035763125.123779,-10.788037,43.914015,1.759158,-1.465471,0,0.07903,1.582623,0.092962,0.005678,-1.025586
06-04-24,41.560001,41.720001,41.41,40.277702,38401100,41.375569,40.336126,38.126879,0.114148,0.035954,0.004041,FALSE,TRUE,2.209247,0.038718,-35.162338,21.467758,41.440284,-5.452525,0.105038,-0.235235,4.021994,6.789547,8.143343,-46.028371,-2.046569,3.596698,60.82081,0.816108,0.005535,0.007768,2.622895,0.399864,-6.338548,1.434978,-660144900,94.867124,-273354688596.193726,-10.296605,36.351391,1.935454,-1.791288,0,0.056805,1.105977,0.088139,0.005535,-1.805084
06-05-24,42.060001,42.34,41.98,40.925785,28092300,41.377504,40.363597,38.149236,0.106968,0.035691,0.004111,TRUE,TRUE,2.214361,0.038772,-28.436121,20.068398,50.140581,8.53319,0.088391,-0.201506,4.18616,9.750922,9.911203,-19.683535,0.094642,3.573579,60.663188,0.840731,0.005866,0.008225,2.768806,0.825123,-6.338548,1.036634,-632052600,31.784789,-273547310113.732819,-9.828648,35.912957,1.673149,0.413335,0,0.080846,1.528393,0.090691,0.005866,-0.744634
