Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
08-26-24,233.449997,233.5,232.059998,232.759995,3151400,227.221,222.4156,205.10015,0.235513,0.105506,0.124041,TRUE,TRUE,17.31545,0.294271,50.843092,21.368862,63.550004,-1.924454,2.844535,0.405596,7.799183,23.676939,30.874325,90.849187,5.646327,1.1916,404.203089,1.063156,0.007636,0.017186,2.368722,1.641388,-5.771282,0.454051,321628600,-32.447322,177009281.593568,0.211498,80.455523,2.304674,13.480596,0,0.169355,2.524092,0.131096,0.007636,1.370349
08-27-24,231.690002,233.470001,231.570007,233.389999,4435600,227.7645,222.7688,205.36325,0.255594,0.113055,0.125313,TRUE,TRUE,17.40555,0.30421,53.057742,21.803983,64.546815,6.570902,2.928606,0.391734,6.966404,24.143617,31.398494,94.604041,4.884952,1.186547,410.693647,1.059174,0.007823,0.018179,2.107825,1.861652,-5.771282,0.641406,326064200,-10.201437,181071347.63382,0.217084,80.317374,1.432659,14.19429,0,0.184948,2.769069,0.134828,0.007823,1.369756
08-28-24,232,232.020004,230.729996,231.75,4961500,228.0245,223.1116,205.61455,0.27878,0.120825,0.126584,TRUE,TRUE,17.49705,0.313709,34.584397,21.847351,59.950669,-2.446204,2.830273,0.234721,7.212248,23.048744,30.101608,77.82142,2.295298,1.16289,418.976716,1.059997,0.007592,0.017077,1.823305,1.462229,-5.771282,0.729882,321102700,-32.188448,183955921.549743,0.190064,74.003141,0.31341,13.266936,0,0.156645,2.341116,0.13068,0.007592,0.88919
08-29-24,231.949997,233.610001,231.919998,232.949997,5524200,228.383499,223.4612,205.88175,0.304387,0.128776,0.127856,TRUE,TRUE,17.57945,0.321064,36.430669,22.301722,62.078447,-1.471558,2.816704,0.176921,7.563369,23.052137,29.510204,88.076517,3.180224,1.169165,429.276619,1.052837,0.007812,0.018354,1.518078,1.827885,-5.771282,0.822908,326626900,-23.457851,185165344.078545,0.224506,74.39216,1.239954,13.445869,0,0.181652,2.736431,0.135477,0.007812,1.063766
08-30-24,232.529999,232.860001,230.550003,231.289993,5743000,228.680999,223.7238,206.13565,0.328919,0.136739,0.129127,TRUE,TRUE,17.58815,0.329036,13.8195,22.129868,57.525379,-7.021436,2.641552,0.001415,7.426842,19.907716,28.266406,69.403809,2.640453,1.128761,427.68881,1.049329,0.007431,0.0167,1.427298,1.355651,-5.771282,0.891119,320883900,-48.305039,183101797.245243,0.231745,67.611934,1.639088,10.679729,0,0.147691,2.229319,0.12923,0.007431,0.610022
09-03-24,230.380005,230.539993,228.520004,230.289993,6417900,229.071499,224.034,206.3765,0.353497,0.144738,0.130397,TRUE,TRUE,17.6575,0.33735,10.376882,21.167303,54.912553,-5.038116,2.394449,-0.19655,6.016938,17.488903,27.924668,58.155214,3.510427,1.179878,403.034727,1.048237,0.007248,0.015906,1.338158,1.061378,-5.771282,1.015707,314466000,-28.203378,187931099.496304,0.234517,59.868647,0.466012,8.986331,0,0.127036,1.918185,0.12612,0.007248,0.30233
09-04-24,229.789993,231.059998,229.380005,230.429993,4696000,229.557999,224.33,206.62045,0.377527,0.152546,0.131666,TRUE,TRUE,17.70955,0.332018,21.395995,20.438005,55.21921,-6.859236,2.184731,-0.325014,7.042313,16.856833,27.938478,59.73001,4.408698,1.147233,352.181251,0.93207,0.007706,0.022879,1.107998,2.223814,-5.771282,0.804752,319162000,-67.303287,189105056.84417,0.315529,65.998822,0.919476,8.5197,0,0.191022,3.265054,0.151259,0.007706,0.247598
09-05-24,232.720001,232.889999,231.330002,232.350006,4838100,230.147999,224.6858,206.86375,0.40117,0.160355,0.132932,TRUE,TRUE,17.82205,0.332075,25.929417,20.315557,59.306931,1.781552,2.148688,-0.288846,6.670645,16.870383,30.066058,71.130636,5.350262,1.140212,285.942045,0.930961,0.007678,0.022768,0.831394,2.202709,-5.771282,0.832311,324000100,-8.504482,190593739.400216,0.365756,65.872149,1.425435,8.98035,0,0.189541,3.243376,0.150892,0.007678,0.770089
09-06-24,231.830002,232.759995,229.619995,230.630005,6315800,230.478999,225.0468,207.09855,0.419587,0.167844,0.134196,TRUE,TRUE,17.94825,0.329302,-7.718487,19.517576,54.506838,-0.405715,1.958755,-0.383023,5.104139,15.349606,29.69128,41.217572,2.95523,1.087703,246.78504,0.937732,0.007543,0.021634,0.874874,1.897347,-5.771282,1.086629,317684300,-0.178597,188341010.048423,0.307086,55.18423,0.984121,9.294256,0,0.171396,2.908541,0.147087,0.007543,0.061189
09-09-24,231.259995,231.619995,230.389999,231.600006,3548800,230.831,225.379,207.3397,0.433182,0.175,0.135463,TRUE,TRUE,18.0393,0.328169,-0.054885,18.776593,56.638305,1.419095,1.865004,-0.381419,9.451796,14.86386,30.097742,58.087158,3.135023,1.051689,204.50121,0.938329,0.007582,0.021844,0.875141,1.939678,-5.771282,0.615291,321233100,-20.09007,191774464.913265,0.338699,54.224876,3.089693,7.267163,0,0.174063,2.952372,0.147798,0.007582,0.37604
