Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
04-22-24,27.950001,28,27.950001,27.950001,4100,27.6615,27.9096,29.22555,-0.008337,-0.020197,0.197044,TRUE,FALSE,-1.31595,-0.020879,19.587736,23.223416,54.30426,-8.47259,0.068262,0.085365,-3.052373,-10.759895,-1.998596,67.289853,1.562501,0.764119,31.07931,0.68482,-0.89489,0.694596,2.052789,-1.148503,-14.803247,1.338863,213308,412.5,-45796536.96434,0.043243,40.64339,-7.900066,-26.808054,0,0.025741,1.07973,-0.833424,-0.89489,0.928273
04-23-24,27.82,27.82,27.75,27.75,1500,27.671,27.8912,29.2171,-0.004358,-0.020195,0.195507,FALSE,FALSE,-1.3259,-0.020561,11.004782,22.205207,48.704964,-14.071886,0.05395,0.056843,-3.310107,-11.483255,-2.494726,48.598187,0.689407,0.790218,31.04309,0.689766,-0.899063,0.700102,1.993133,-1.307297,-14.803247,0.520418,211808,-70.588235,-45798036.96434,0.050016,40.229117,-8.359709,-28.625817,0,0.027289,1.146849,-0.836721,-0.899063,0.254485
04-24-24,27.889999,27.889999,27.889999,27.889999,100,27.686,27.8768,29.20645,-0.000498,-0.020192,0.193926,TRUE,FALSE,-1.32965,-0.019972,15.068512,21.533124,52.404479,-2.783454,0.05329,0.044946,-2.140353,-11.740509,-2.140353,61.682246,1.087348,0.781129,31.354336,0.693339,-0.903356,0.709727,1.918216,-1.108044,-14.803247,0.035245,211908,-90,-45798036.96434,0.031587,40.656463,-6.370932,-28.480317,0,0.017751,0.754371,-0.842453,-0.903356,0.650626
04-25-24,28.120001,28.209999,27.9,27.91,2297,27.7065,27.8492,29.19605,0.003095,-0.020178,0.192298,TRUE,FALSE,-1.34685,-0.019555,26.108448,21.977282,52.926805,-1.377455,0.053761,0.036334,-2.275909,-11.677217,-3.258234,63.551449,1.490909,0.81384,31.414499,0.690827,-0.902319,0.71314,1.769993,-0.896345,-14.803247,0.799749,214205,43.5625,-45800185.767144,0.02066,51.83233,-6.182331,-28.613768,0,0.02568,1.101782,-0.844476,-0.902319,0.64779
04-26-24,27.860001,27.860001,27.809999,27.809999,600,27.731,27.8244,29.1854,0.006368,-0.020142,0.190626,FALSE,FALSE,-1.361,-0.019074,21.904734,21.939124,49.973799,1.268835,0.045541,0.022491,-2.352528,-12.409451,-3.904634,54.205616,1.793557,0.824471,30.12587,0.689633,-0.922851,0.720224,1.613929,-1.197802,-14.803247,0.23158,213605,-90.361446,-45800785.767144,0.036989,51.690258,-6.600444,-30.292535,0,0.03445,1.499207,-0.84866,-0.922851,0.262232
04-29-24,27.77,27.77,27.709999,27.76,700,27.7525,27.8122,29.1745,0.009372,-0.020089,0.188908,FALSE,FALSE,-1.3623,-0.018504,23.076923,21.419741,48.516253,-3.888226,0.034592,0.009234,-2.528088,-13.304185,-3.106455,37.931072,1.573364,0.818237,28.609663,0.688605,-0.928139,0.728966,1.414931,-1.376673,-14.159849,0.267594,212905,250,-45800319.100478,0.050746,51.552915,-6.291989,-32.208139,0,0.023292,1.031413,-0.853795,-0.928139,0.026216
04-30-24,27.870001,27.870001,27.870001,27.870001,100,27.7675,27.8026,29.16665,0.012059,-0.02001,0.187145,TRUE,FALSE,-1.36405,-0.017609,20.000076,21.282908,51.843974,-1.082831,0.034395,0.00723,-1.658431,-12.303335,-2.176198,48.809724,1.088143,0.774001,28.388048,0.690185,-0.893076,0.714361,1.267825,-1.30221,-14.159849,0.040089,213005,-96.045868,-45800319.100478,-0.003094,45.462069,-4.084832,-29.083052,0,0.007404,0.318635,-0.845199,-0.893076,0.361071
05-01-24,28.24,28.24,28.129999,28.129999,416,27.798,27.7984,29.16075,0.01453,-0.019904,0.185337,TRUE,FALSE,-1.36235,-0.015806,25.233628,22.215104,58.647563,8.673764,0.05459,0.021939,-1.159522,-11.485215,-1.57453,76.712304,2.216565,0.7897,28.861915,0.690747,-0.892802,0.683153,1.121898,-1.292033,-13.176319,0.168917,213421,-60.380952,-45800735.100478,-0.004641,42.525677,-4.603915,-28.178408,0,0.022535,0.920044,-0.826531,-0.892802,1.150302
05-02-24,28.030001,28.030001,28,28,500,27.82,27.7894,29.1542,0.016684,-0.019781,0.183485,TRUE,FALSE,-1.3648,-0.014294,4.6154,22.455439,54.50137,5.985117,0.059419,0.021415,-1.892084,-10.884787,-3.114186,49.152685,1.596519,0.739795,28.628281,0.692416,-0.894937,0.684648,1.102666,-1.372823,-10.791364,0.202327,212921,51.515152,-45801235.100478,-0.023433,33.572774,-5.484355,-26.818007,0,0.020197,0.824572,-0.827435,-0.894937,0.628749
05-03-24,27.83,27.860001,27.83,27.84,2300,27.843,27.7822,29.14685,0.018536,-0.019644,0.181588,TRUE,FALSE,-1.36465,-0.013085,5.699524,21.924614,49.831869,-2.012105,0.049762,0.009406,-2.657343,-8.541394,-3.56772,22.034074,1.680062,0.741481,26.689426,0.695576,-0.896154,0.688084,1.063032,-1.51788,-10.791364,1.042493,210621,-69.736842,-45802001.767144,0.149372,37.034147,-6.938658,-21.634394,0,0.021727,0.887842,-0.829508,-0.896154,-0.01124
05-06-24,27.73,27.73,27.610001,27.610001,400,27.856,27.772,29.1396,0.019818,-0.019512,0.179646,FALSE,FALSE,-1.3676,-0.01217,-34.911359,20.570152,43.996442,-14.651121,0.023282,-0.013659,-4.331254,-8.545876,-4.727395,0,0.950641,0.659698,24.722444,0.702529,-0.873582,0.688182,1.20972,-1.840195,-10.791364,0.181715,210221,-20,-45802401.767144,0.135124,30.594097,-11.138465,-22.354387,0,0.025912,1.04855,-0.829568,-0.873582,-0.995045
05-07-24,27.389999,27.440001,27.370001,27.440001,885,27.864,27.7558,29.1312,0.020385,-0.019397,0.177659,FALSE,FALSE,-1.3754,-0.011622,-42.391322,19.695933,40.245111,-14.256259,-0.011292,-0.038586,-4.689129,-9.617918,-4.52331,8.045952,0.58651,0.668991,22.956239,0.705418,-0.873819,0.681019,1.417432,-1.946222,-10.791364,0.399494,209336,46.523179,-45801516.767144,0.160413,35.527548,-11.222407,-23.977007,0,0.017165,0.683934,-0.825239,-0.873819,-1.84699
05-08-24,27.75,27.75,27.75,27.75,100,27.878,27.7454,29.1251,0.020474,-0.019263,0.175628,TRUE,FALSE,-1.3797,-0.010599,-21.860476,18.718315,48.815539,-1.01633,-0.013521,-0.032653,-3.444676,-9.076017,-2.836133,43.678118,1.019296,0.710424,21.214672,0.721944,-0.884254,0.667963,1.203319,-1.410956,-10.791364,0.05024,209436,-97.824668,-45801516.767144,0.226378,33.972494,-9.69171,-24.03865,0,0.034742,1.325722,-0.81729,-0.884254,-0.603356
05-09-24,27.33,27.33,27.33,27.33,191,27.865,27.7246,29.1169,0.019899,-0.019113,0.173551,FALSE,FALSE,-1.3923,-0.009064,-27.897026,18.177813,40.367852,-3.62859,-0.048618,-0.0542,-4.972185,-10.627861,-4.673876,0,-0.942371,0.755318,23.720949,0.673525,-0.870263,0.579493,1.416114,-3.040582,-10.410509,0.101176,209245,-91.488414,-45801516.767144,0.247154,50.340878,-11.784527,-26.395777,0,0.010017,0.364068,-0.761244,-0.870263,-2.255391
05-10-24,27.280001,27.280001,27.280001,27.280001,200,27.8335,27.706,29.10895,0.018551,-0.018966,0.17143,FALSE,FALSE,-1.40295,-0.007909,-28.510683,17.804948,39.49169,-0.75342,-0.07955,-0.068105,-4.848271,-9.907529,-5.046985,0,-2.257252,0.756702,27.042391,0.667196,-0.909054,0.579097,1.621208,-2.817044,-10.410509,0.118733,209045,-95.312866,-45801516.767144,0.132007,29.487398,-10.981071,-24.906775,0,-0.00241,-0.088391,-0.760984,-0.909054,-2.046784
05-13-24,27.42,27.42,27.389999,27.389999,200,27.8165,27.6944,29.101,0.016544,-0.018812,0.169264,FALSE,FALSE,-1.4066,-0.007627,-15.929269,16.992636,42.451031,-6.364508,-0.094104,-0.066127,-4.264247,-10.049265,-5.42127,11.458209,-1.226109,0.738016,28.742534,0.602035,-0.829159,0.527458,1.729819,-1.91604,-9.907529,0.138942,209245,-96.078431,-45801716.767144,0.123949,35.94571,-9.887416,-24.366187,0,0.008878,0.340542,-0.726263,-0.829159,-1.483866
