Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
02-12-24,20.49,20.559999,20.32,20.514999,138357,21.514,22.5103,25.343675,-0.06518,-0.091901,0.194313,FALSE,FALSE,-2.833375,-0.069549,-40.160083,33.232165,29.431946,-1.575928,-0.587607,-0.048918,-21.126493,-18.201757,-30.030697,11.818166,-8.496881,1.594651,69.133101,1.193736,-1.440946,0.459744,4.124148,-4.484019,-31.402748,0.500639,-4365333,4783.762796,-58473933.553817,-0.360289,27.005435,-29.357408,-23.842275,0,-0.179653,-3.25032,-0.678044,-1.440946,-1.44504
02-13-24,21.049999,21.360001,20.950001,21.09,603210,21.4355,22.4447,25.305725,-0.069607,-0.091975,0.194669,FALSE,FALSE,-2.861025,-0.068909,-18.1572,31.682924,41.23936,10.418331,-0.542128,-0.002752,-19.102415,-15.028201,-27.773974,46.666705,-6.928507,1.722211,64.171022,1.259966,-1.405175,0.514126,4.253153,-3.626152,-31.402748,2.05303,-3762123,137.359031,-58665196.903773,-0.37283,39.443096,-24.362685,-18.781557,0,-0.189744,-3.429629,-0.717026,-1.405175,-0.538405
02-14-24,20.860001,21.049999,20.68,20.68,500210,21.323,22.3763,25.268025,-0.073711,-0.091936,0.194981,FALSE,FALSE,-2.891725,-0.068812,-21.963851,30.76174,36.54406,7.689271,-0.533025,0.005081,-17.510967,-18.582675,-27.489481,21.818224,-9.812473,1.811619,55.763466,1.278264,-1.401431,0.53644,4.501711,-3.935145,-31.402748,1.693035,-4262333,7.004802,-59165406.903773,-0.40795,39.200254,-22.937838,-26.174968,0,-0.198719,-3.624653,-0.732421,-1.401431,-1.153084
02-15-24,20.67,20.700001,20.440001,20.450001,386300,21.2195,22.2975,25.228975,-0.077373,-0.091798,0.195249,FALSE,FALSE,-2.931475,-0.069502,-28.217827,30.328028,34.192225,4.760279,-0.538167,-0.000048,-18.167263,-20.644158,-28.396355,7.878854,-9.191828,1.845966,51.418022,1.272644,-1.330283,0.527478,4.844657,-3.866469,-31.536658,1.328959,-4648633,-19.814679,-59521990.865186,-0.408534,37.119721,-24.995736,-29.879896,0,-0.168134,-3.050963,-0.726277,-1.330283,-1.496556
02-16-24,20.5,20.719999,20.4,20.67,364880,21.154,22.2223,25.187875,-0.08014,-0.091538,0.195473,FALSE,FALSE,-2.965575,-0.069384,-15.01274,29.994576,38.283603,-2.955757,-0.518512,0.015685,-17.154311,-21.076748,-27.218309,21.212149,-5.959961,1.80904,49.529527,1.280559,-1.33358,0.512505,5.022513,-3.729844,-31.536658,1.260255,-4283753,-5.930154,-59271134.234044,-0.302427,43.367758,-24.077353,-30.952293,0,-0.14029,-2.490828,-0.715894,-1.33358,-0.977195
02-20-24,20.83,21.09,20.76,20.91,432266,21.10475,22.1479,25.145725,-0.08231,-0.091181,0.195654,FALSE,FALSE,-2.997825,-0.069016,-9.17878,28.664351,42.484585,5.940526,-0.478059,0.044911,-16.024096,-20.190843,-28.292181,35.757593,-4.498747,1.894172,46.583111,1.291613,-1.341667,0.510147,5.118994,-3.281417,-31.536658,1.429258,-3851487,148.400184,-59310432.051655,-0.310397,49.060585,-22.119969,-29.996225,0,-0.106942,-1.877952,-0.714246,-1.341667,-0.41807
02-21-24,21.040001,21.17,20.870001,20.879999,236636,21.06025,22.0801,25.1012,-0.083567,-0.090729,0.19579,FALSE,FALSE,-3.0211,-0.068577,-31.232115,27.223953,42.098818,7.906593,-0.44331,0.063728,-14.845029,-19.22631,-28.882838,34.999958,-4.088201,1.766899,44.077227,1.291659,-1.336095,0.508438,3.24397,-3.272965,-31.536658,0.767872,-4088123,93.919428,-59531294.926113,-0.322745,46.618635,-20.342477,-28.839986,0,-0.112243,-1.967537,-0.713048,-1.336095,-0.408943
02-22-24,20.5,20.5,19.955,20.030001,674082,20.97375,21.9995,25.0578,-0.084476,-0.090207,0.195881,FALSE,FALSE,-3.0583,-0.068981,-37.662342,27.462252,32.965556,-5.318046,-0.478839,0.022559,-18.742389,-22.961536,-34.435348,5.067621,-7.950365,1.989872,46.529232,1.37403,-1.397631,0.49873,2.392173,-4.02641,-32.942752,2.038707,-4762205,200.032047,-60019847.908842,-0.406667,43.330363,-25.775421,-34.083455,0,-0.168618,-2.751512,-0.706208,-1.397631,-2.028293
02-23-24,19.91,20.040001,19.84,19.959999,207847,20.89525,21.9213,25.0141,-0.08484,-0.089624,0.195929,FALSE,FALSE,-3.0928,-0.069331,-30.434826,27.840277,32.343236,-10.141349,-0.506803,-0.004324,-18.313896,-21.571715,-34.877653,7.894664,-7.292158,1.84655,49.780956,1.373927,-1.399122,0.498574,2.820005,-4.054873,-33.177106,0.653264,-4970052,-54.553565,-59978281.680324,-0.356186,46.972372,-25.918351,-32.214423,0,-0.148501,-2.423054,-0.706098,-1.399122,-1.878732
02-26-24,19.965,20.18,19.959999,20.18,141131,20.82475,21.8515,24.97025,-0.084451,-0.08897,0.195933,FALSE,FALSE,-3.11875,-0.069099,-27.478729,27.814055,36.406439,-5.692379,-0.505386,-0.002326,-17.261169,-22.829826,-33.421311,22.368424,-6.530801,1.780405,49.406861,1.386074,-1.410464,0.505089,2.844873,-3.793395,-33.177106,0.44381,-4828921,-2.32608,-59837150.680324,-0.342446,41.915032,-24.3754,-33.445305,0,-0.140274,-2.283633,-0.710696,-1.410464,-1.30498
02-27-24,20.129999,20.27,20.09,20.09,158278,20.76625,21.7925,24.92715,-0.083429,-0.088289,0.195892,FALSE,FALSE,-3.13465,-0.068687,-27.478729,27.545647,35.468019,2.502463,-0.505696,-0.002109,-18.333334,-22.192098,-35.214447,16.447363,-5.503293,1.791937,50.886569,1.384487,-1.416567,0.510205,3.114123,-3.921925,-33.177106,0.49727,-4987199,3.868542,-59995428.680324,-0.345642,45.422232,-25.319712,-32.289558,0,-0.16557,-2.712597,-0.714286,-1.416567,-1.328936
02-28-24,20.209999,20.25,20.120001,20.18,143515,20.71075,21.7379,24.884,-0.081958,-0.087558,0.195808,FALSE,FALSE,-3.1461,-0.068235,-16.463381,27.296411,37.210979,4.867743,-0.492997,0.008472,-17.800404,-20.769529,-34.544274,22.368424,-5.213718,1.706074,50.926728,1.386273,-1.424385,0.511367,3.287515,-3.668315,-33.177106,0.446199,-4843684,87.317271,-60006468.619655,-0.340516,49.000879,-24.943781,-29.577076,0,-0.164367,-2.69262,-0.715099,-1.424385,-1.042183
02-29-24,20.02,20.23,19.9,20.030001,116269,20.61375,21.6803,24.83965,-0.08043,-0.086793,0.19568,FALSE,FALSE,-3.15935,-0.068253,-19.648086,27.448076,35.490475,-0.915964,-0.489395,0.00966,-18.344883,-19.070704,-35.387095,12.500031,-8.830217,1.797305,43.632682,1.383488,-1.432721,0.510366,3.516801,-3.605973,-33.177106,0.380799,-4959953,-73.721847,-60031130.967029,-0.435199,48.579357,-26.115443,-27.049433,0,-0.165984,-2.721795,-0.714399,-1.432721,-1.337872
03-01-24,20.030001,20.030001,19.639999,19.65,209916,20.52225,21.6188,24.79425,-0.079216,-0.085984,0.195508,FALSE,FALSE,-3.17545,-0.068177,-23.463679,28.00468,31.515063,-3.952956,-0.511309,-0.009804,-20.056958,-20.024421,-37.220447,0.581408,-8.519553,1.890223,43.698863,1.38435,-1.438142,0.523675,3.888414,-4.196287,-34.214934,0.69614,-5169869,-26.512608,-60230281.833364,-0.43044,48.761425,-28.257062,-28.577795,0,-0.19499,-3.239781,-0.723654,-1.438142,-1.996048
03-04-24,19.73,19.73,19.58,19.719999,108357,20.45775,21.5636,24.7473,-0.07825,-0.085102,0.195292,FALSE,FALSE,-3.1837,-0.067654,-21.931025,28.614429,33.003795,-4.207184,-0.517067,-0.01245,-19.080843,-20.032443,-36.119214,7.865131,-6.139938,1.850914,45.599648,1.385781,-1.439958,0.526113,4.195585,-4.155252,-34.214934,0.39002,-5061512,-81.40525,-60136372.800786,-0.40013,49.149479,-26.315635,-28.427053,0,-0.198986,-3.31124,-0.725337,-1.439958,-1.617887
03-05-24,19.889999,20.295,19.865,20.129999,263702,20.40675,21.5034,24.70585,-0.076793,-0.084116,0.195032,FALSE,FALSE,-3.20245,-0.065859,-27.745685,27.530332,41.082439,5.591964,-0.48298,0.01731,-16.473034,-18.170736,-32.562818,34.591144,-4.822697,1.717409,43.084457,1.413035,-1.432115,0.492307,3.643199,-3.839103,-34.214934,0.997426,-4797810,-50.481566,-60075047.733559,-0.377402,44.440537,-22.834592,-25.368649,0,-0.161311,-2.543381,-0.701646,-1.432115,-0.642345
03-06-24,19.870001,20.02,19.75,19.92,269841,20.34975,21.4482,24.66615,-0.075109,-0.083055,0.19473,FALSE,FALSE,-3.21795,-0.064768,-23.312889,26.744799,38.520335,7.005272,-0.467521,0.026215,-18.327181,-19.742142,-33.187994,21.383655,-5.413103,1.724757,41.499045,1.408359,-1.441254,0.501696,3.84547,-3.773245,-34.214934,0.996603,-5067651,89.660238,-60005089.379386,-0.33241,47.409583,-24.984459,-27.934748,0,-0.147382,-2.353328,-0.708305,-1.441254,-1.035566
