Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
02-06-24,53.369999,53.540001,53.290001,53.490002,192200,53.56,52.8186,50.67515,0.031582,0.081084,0.008789,TRUE,TRUE,2.14345,0.064081,24.822691,18.038793,52.058381,-7.070634,0.240217,-0.085406,7.366523,6.194169,4.513484,51.282202,-0.130694,0.77451,34.243715,0.584098,0.988892,0.995168,1.173404,3.072952,-8.689758,0.726888,-26923600,11.291257,1025510.27229,0.075577,62.959649,0.02064,0.11511,100.24534,0.002116,0.827342,0.997581,0.988892,-0.204412
02-07-24,53.470001,53.580002,53.34,53.52,165900,53.556,52.871,50.68545,0.028057,0.081837,0.008753,TRUE,TRUE,2.18555,0.061074,21.189561,16.834202,52.531346,-5.60173,0.213606,-0.089614,8.230535,6.401593,5.106053,52.287574,-0.14925,0.758061,34.241256,0.58398,0.989406,0.995326,1.055812,2.98928,-8.689758,0.637562,-26757700,-33.64,1108458.953844,0.128768,62.523114,0.027389,0.083404,100.239053,0.002873,1.142513,0.99766,0.989406,-0.105135
02-08-24,53.540001,53.619999,53.119999,53.5,180900,53.5635,52.9268,50.69585,0.025011,0.082338,0.008721,TRUE,TRUE,2.23095,0.058228,6.896535,16.219885,52.161867,3.255066,0.188726,-0.091595,8.387357,5.814871,4.737663,33.628381,0.281165,0.740988,33.929146,0.582447,0.988827,0.995365,1.027406,2.760732,-8.689758,0.795864,-26938600,-78.441187,1202527.726733,0.173534,57.816897,0.002958,0.013977,100.201594,0.001398,0.559784,0.99768,0.988827,-0.187155
02-09-24,53.549999,53.77,53.439999,53.720001,155600,53.5745,52.9866,50.71045,0.022844,0.082605,0.00869,TRUE,TRUE,2.27615,0.056799,14.624577,15.155315,55.84112,3.782739,0.184633,-0.07655,8.393865,5.810519,5.436703,53.097497,0.411217,0.736624,34.068782,0.555695,0.986513,0.994912,0.969237,2.383645,-8.689758,0.713173,-26783000,-53.964497,1310977.192678,0.259526,57.990935,0.03976,0.059886,100.238798,0.001631,0.653232,0.997453,0.986513,0.427081
02-12-24,53.75,54.029999,53.720001,53.810001,70700,53.5815,53.0436,50.72615,0.021044,0.08267,0.008662,TRUE,TRUE,2.31745,0.05555,10.743864,14.750181,57.288341,4.756994,0.186502,-0.059745,8.313207,5.69633,5.925201,61.062105,0.260859,0.738047,34.41738,0.555476,0.98636,0.994897,0.936031,2.35156,-8.689758,0.321203,-26712300,120.249221,1281329.198486,0.244081,55.280244,0.082291,0.055811,100.220049,0.001185,0.474178,0.997445,0.98636,0.663912
02-13-24,53.150002,53.150002,52.27,52.560001,386400,53.5385,53.0686,50.7334,0.018488,0.082468,0.008635,FALSE,TRUE,2.3352,0.052134,-28.72915,16.071534,38.443541,-13.718326,0.086126,-0.128097,5.288468,3.81197,3.261296,14.646514,-1.609878,0.909165,41.237782,0.637401,0.989463,0.996094,1.197034,1.060553,-8.689758,1.740266,-27098700,11.066398,1149602.420644,0.175742,45.769057,0.028198,0.058614,100.22122,0.000581,0.231366,0.998045,0.989463,-2.372822
02-14-24,53.009998,53.41,52.950001,53.41,231100,53.5695,53.1006,50.74355,0.016365,0.082093,0.008611,TRUE,TRUE,2.35705,0.050642,-8.878524,16.631428,50.393284,-5.447836,0.074308,-0.111932,5.428346,7.616358,4.479658,57.57574,1.174463,0.977613,37.473463,0.663049,0.99072,0.99639,1.241028,1.374262,-8.689758,1.039516,-26867600,2.48337,1380702.420644,0.219607,46.741478,0.001475,0.024065,100.22042,0.00097,0.386406,0.998193,0.99072,-0.425636
02-15-24,53.549999,54.290001,53.549999,54.25,419400,53.6345,53.1502,50.7581,0.015036,0.081588,0.008591,TRUE,TRUE,2.3921,0.050606,8.086776,15.536592,58.887199,1.598859,0.131211,-0.044023,6.833402,9.264851,6.12285,98.019757,2.455145,1.058591,37.436929,0.690505,0.992149,0.99667,1.331916,1.832396,-8.689758,1.800193,-26448200,103.394762,1754760.945185,0.270169,49.718462,0.004928,0.029113,100.231977,0.001631,0.649958,0.998334,0.992149,1.644098
02-16-24,54.189999,54.52,54.189999,54.330002,150100,53.684,53.2012,50.7758,0.014129,0.080954,0.008574,TRUE,TRUE,2.4254,0.049978,4.115238,14.901854,59.596759,21.153218,0.180679,0.004356,6.927771,9.935257,6.196251,91.555617,1.856021,1.028109,39.807972,0.683676,0.992858,0.996627,1.449612,2.156705,-8.689758,0.639227,-26298100,32.480141,1732020.729251,0.23985,48.211868,0.004728,0.059712,100.225719,0.001016,0.406365,0.998312,0.992858,1.622794
02-20-24,54.5,54.57,54.23,54.32,273100,53.7325,53.2578,50.7942,0.014047,0.080216,0.008562,TRUE,TRUE,2.4636,0.049164,2.904547,14.395958,59.458592,9.065308,0.21658,0.032205,6.135208,9.870553,6.823995,89.130431,1.818184,1.026984,41.401592,0.683778,0.992766,0.996631,1.447741,2.141671,-8.689758,1.131645,-26571200,91.246499,1603503.262433,0.203267,48.519393,0.039334,0.06517,100.238038,0.001442,0.576703,0.998314,0.992766,1.419026
