Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
01-08-24,69.32,69.959999,69.290001,66.486343,7822300,65.685835,63.194159,62.445923,0.149578,0.048992,0.036425,TRUE,TRUE,0.748236,0.155819,26.097599,27.78577,63.965974,7.012649,0.821662,-0.152343,10.927765,6.802642,16.036503,-93.224685,4.244403,5.927442,91.940588,0.839508,0.00049,0.000057,1.533882,2.56119,-11.899976,0.978511,-456183300,-19.53608,-95587722662.116882,-15.95174,67.539406,-0.231391,-1.95998,0,0.145218,2.72817,0.007579,0.00049,0.87068
01-09-24,69.370003,69.510002,69.25,65.935143,6206400,65.784255,63.360617,62.478443,0.146838,0.053953,0.036239,TRUE,TRUE,0.882174,0.157724,12.304337,26.588202,57.623505,-0.691716,0.757941,-0.172851,10.301352,4.921994,12.193598,-118.743201,3.077216,5.79379,82.634257,0.838832,0.000473,0.000054,1.423506,2.573834,-11.899976,0.785862,-462389700,-23.724314,-95752184157.86499,-16.302885,61.429695,,-3.083902,0,0.145759,2.740517,0.007322,0.000473,0.182597
01-10-24,69.589996,69.879997,69.559998,66.305779,7674200,65.89652,63.537675,62.514057,0.144192,0.058897,0.036049,TRUE,TRUE,1.023617,0.158923,9.084642,25.948189,60.462355,2.068419,0.728947,-0.161476,9.327231,3.535279,12.332118,-101.584156,3.504982,5.643849,72.629134,0.827133,0.000689,0.000117,1.368514,3.103156,-11.899976,0.967746,-454715500,9.224178,-95915943055.926651,-16.17702,61.647834,0.149362,-3.578807,0,0.172209,3.283084,0.010804,0.000689,0.56349
01-11-24,69.940002,70.019997,69.110001,66.277275,7955600,66.003143,63.698978,62.546817,0.141614,0.063802,0.035855,TRUE,TRUE,1.152162,0.160457,22.304857,24.609062,60.128749,-3.837224,0.695649,-0.155819,8.926748,1.895168,12.039461,-120.237009,3.324449,5.652658,60.138487,0.82431,0.000523,0.000068,1.188997,2.863278,-11.899976,0.996646,-462671100,15.171695,-95973428610.730255,-15.625501,63.329089,1.101536,-3.573558,0,0.158734,3.036892,0.008225,0.000523,0.455834
01-12-24,70.190002,70.43,69.900002,66.552879,7062500,66.074809,63.861108,62.580724,0.138226,0.06865,0.035658,TRUE,TRUE,1.280384,0.162151,6.696437,23.896021,62.295059,4.671554,0.683619,-0.134279,10.331412,2.926943,11.603241,-106.387588,2.201058,5.581982,57.53892,0.824793,0.000592,0.000087,1.167389,2.98,-11.899976,0.88606,-455608600,-3.204364,-96069695280.27594,-15.99833,62.644921,1.543432,-2.738185,0,0.1651,3.156663,0.009301,0.000592,0.830864
01-16-24,69.160004,69.220001,68.660004,65.383957,10475700,66.059912,63.988987,62.6052,0.133397,0.07337,0.035457,TRUE,TRUE,1.383787,0.15978,-17.730622,22.837189,49.909208,-10.553147,0.573156,-0.195794,9.465097,1.207175,8.027231,-163.802338,-0.453615,5.568696,58.977439,0.824677,0.000388,0.000037,1.303598,2.981363,-11.899976,1.323528,-466084300,-9.611983,-96202738953.807281,-15.825395,53.967462,0.587612,-4.534425,0,0.164822,3.151724,0.006109,0.000388,-1.146125
01-17-24,67.879997,68.160004,67.639999,64.756721,9759400,66.045988,64.079954,62.623046,0.127049,0.077886,0.035255,TRUE,TRUE,1.456907,0.155209,-32.226033,22.859381,44.76583,-15.362919,0.430043,-0.271125,7.621296,-0.399503,6.505475,-95.472643,-0.4282,5.505752,61.785879,0.827622,0.000437,0.000047,1.567913,2.927523,-11.899976,1.221638,-475843700,17.820192,-96320724627.166245,-15.482469,47.251921,0.90374,-4.31083,0,0.16261,3.098413,0.006855,0.000437,-2.086669
01-18-24,68.43,68.75,68.279999,65.336433,8461900,66.052615,64.168268,62.642366,0.119182,0.082257,0.035051,TRUE,TRUE,1.525902,0.150311,-27.564211,22.106383,49.904308,-12.390751,0.359262,-0.273525,8.534013,0.434233,7.070293,-76.276911,0.203255,5.466049,60.89993,0.81977,0.000613,0.000094,1.557481,3.54877,-11.899976,1.054323,-467381800,9.617203,-96435178404.19046,-14.957388,47.6971,1.905245,-3.236899,0,0.194023,3.731495,0.009695,0.000613,-1.175997
01-19-24,68.529999,68.889999,68.279999,65.469475,7225700,66.036838,64.265617,62.659821,0.109915,0.086459,0.034845,TRUE,TRUE,1.605795,0.145277,-23.077161,21.230832,51.030244,1.121036,0.310326,-0.257969,10.702629,1.207406,7.661462,-73.827306,-0.479636,5.440168,62.027928,0.819531,0.000633,0.0001,1.65328,3.599918,-11.899976,0.899287,-460156100,2.559117,-96508987654.524399,-13.941277,46.965922,1.927165,-3.415413,0,0.196674,3.783498,0.010016,0.000633,-0.91469
01-22-24,69.089996,69.32,69,65.697556,8533700,66.064873,64.375587,62.678463,0.099786,0.090459,0.034639,TRUE,TRUE,1.697124,0.140812,-18.885667,19.886025,52.981304,8.215474,0.286643,-0.225322,12.01135,1.42772,8.265734,-69.62162,0.86079,5.433078,58.936278,0.817993,0.000606,0.000092,1.324761,3.521188,-11.899976,1.078597,-451622400,-22.386336,-96693659461.698425,-14.758503,54.249474,2.642822,-2.5269,0,0.192149,3.703572,0.009613,0.000606,-0.623245
