Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
04-01-24,115.459999,115.550003,114.790001,112.875198,1174900,111.394682,108.725179,99.041855,0.170845,0.181163,0.065749,TRUE,TRUE,9.683325,0.196181,35.996972,26.004173,64.8775,2.59591,1.25049,0.000447,9.120324,22.603848,31.56512,20.034979,2.052271,2.494959,117.416105,0.696327,0.829655,0.530852,1.412034,3.83377,-6.149678,0.822091,-95831100,-18.313287,-6570796458.333021,-6.758488,64.491809,2.598788,7.271108,0,0.092071,3.064466,0.728596,0.829655,1.260915
04-02-24,114.059998,114.18,113.669998,112.03125,1180000,111.4743,108.886609,99.13553,0.168995,0.18066,0.065979,TRUE,TRUE,9.751079,0.192051,10.349371,24.400758,57.926884,-9.269969,1.150534,-0.079607,8.777889,22.074746,29.893384,-4.641887,1.441856,2.368229,115.983919,0.704386,0.842466,0.548408,1.368488,3.607121,-6.149678,0.822406,-97011100,10.600806,-6579559653.390391,-6.635682,58.702062,3.14842,7.261652,0,0.094767,3.178144,0.740546,0.842466,0.480196
04-03-24,113.940002,114.660004,113.889999,112.207878,1194500,111.618536,109.043937,99.224608,0.166946,0.180169,0.066207,TRUE,TRUE,9.819329,0.187862,14.391934,23.331812,58.918858,-8.400848,1.073199,-0.125554,9.699966,22.475254,28.158549,0.522681,2.638716,2.364432,105.266386,0.704385,0.843944,0.549488,1.306276,3.608089,-6.149678,0.835329,-95816600,-7.496322,-6585973069.536875,-6.705106,59.508022,3.678058,5.471594,0,0.097371,3.269384,0.741274,0.843944,0.559857
04-04-24,115.230003,115.339996,112.879997,110.85363,2063000,111.661295,109.169679,99.308612,0.163589,0.179634,0.066433,TRUE,TRUE,9.861066,0.183258,0.893764,21.940013,49.317739,-15.559761,0.892347,-0.245124,9.507643,22.759551,26.249287,-39.075237,0.777432,2.426491,99.941595,0.707596,0.844096,0.542416,1.299066,2.612078,-6.149678,1.39334,-97879600,96.438774,-6591434766.336559,-6.449025,57.722461,3.731978,5.125378,0,0.067495,2.238461,0.736489,0.844096,-0.808136
04-05-24,113.220001,114.559998,113.150002,112.001793,1164600,111.707631,109.318579,99.400734,0.159381,0.179157,0.066659,TRUE,TRUE,9.917845,0.17976,22.736307,20.647628,55.881835,-2.045049,0.832077,-0.244316,10.931452,23.07491,28.490757,-23.147008,0.834332,2.50224,99.226314,0.715849,0.852873,0.553037,1.109429,3.031796,-6.149678,0.780359,-96715000,25.34711,-6594496114.590722,-6.311843,62.520971,4.346865,4.445059,0,0.06648,2.205115,0.743664,0.852873,0.296455
04-08-24,114.269997,114.540001,114.089996,112.099945,1186200,111.792152,109.458481,99.495964,0.154361,0.178684,0.066883,TRUE,TRUE,9.962516,0.176783,18.620803,19.447556,56.401675,-2.517183,0.783204,-0.234551,10.856731,23.354448,29.047139,-19.797105,1.53104,2.437298,94.68259,0.714295,0.852877,0.555693,0.963475,2.879611,-6.149678,0.795755,-95528800,-2.834207,-6606173758.159208,-6.557345,59.040857,4.571454,5.417149,0,0.060663,2.022586,0.745448,0.852877,0.325079
04-09-24,114.639999,114.699997,113.330002,112.266769,1579700,111.892355,109.603285,99.59072,0.148215,0.178234,0.067108,TRUE,TRUE,10.012565,0.173435,13.601758,19.036402,57.322124,8.004385,0.749295,-0.214768,9.474718,21.994619,28.823338,-22.462531,1.817524,2.399671,88.01432,0.713702,0.852545,0.553372,0.875498,2.965382,-6.149678,1.037563,-93949100,67.571868,-6610205420.557854,-6.366193,47.552753,3.379789,4.060391,0,0.052832,1.758353,0.74389,0.852545,0.425402
04-10-24,113.080002,113.610001,112.669998,111.030258,1618800,111.878859,109.703588,99.683463,0.140091,0.177656,0.067332,TRUE,TRUE,10.020126,0.167601,-17.933266,19.19335,49.055297,-6.826538,0.615551,-0.27881,8.46566,19.889349,27.150541,-55.773423,-0.242509,2.276172,89.169487,0.731644,0.872194,0.56786,0.99313,2.480602,-6.149678,1.056596,-95567900,13.424888,-6617471889.072886,-6.435453,39.679821,2.659871,,0,0.045503,1.501853,0.753565,0.872194,-0.951672
04-11-24,113.459999,114.199997,112.639999,111.82515,1607300,111.910981,109.8239,99.781586,0.13217,0.176983,0.067554,TRUE,TRUE,10.042314,0.161803,-12.57651,18.667116,53.679958,-2.721717,0.567161,-0.26176,8.681059,20.052991,27.90506,-27.436011,0.577817,2.269948,87.674366,0.731227,0.842287,0.535696,1.038619,2.909759,-6.149678,1.021062,-93960600,109.775516,-6620758304.7386,-6.17999,40.277979,3.475955,5.192302,0,0.07215,2.298696,0.731913,0.842287,-0.097898
04-12-24,113.190002,113.419998,111.889999,110.15686,1105400,111.879751,109.945689,99.865841,0.122603,0.176144,0.067773,TRUE,TRUE,10.079849,0.1518,-25.183068,18.783279,44.541132,-12.780991,0.389702,-0.351375,7.141217,17.842854,26.570785,-46.589744,-0.563802,2.264175,92.86804,0.756269,0.894001,0.552176,1.247614,2.482137,-6.061553,0.708413,-95066000,-19.927562,-6624368036.008172,-6.190512,42.168474,2.48624,4.998403,0,0.048169,1.510904,0.743086,0.894001,-1.855203
