Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
07-01-24,365.899994,368.329987,363.149994,365.920471,1398800,357.44286,342.635618,310.543831,0.976568,0.258638,0.334013,TRUE,TRUE,32.091786,0.76753,45.028824,34.141212,68.890964,-1.809677,6.276526,-0.153122,9.354116,21.246068,36.51585,76.921585,7.616163,1.389584,778.065727,0.894195,-0.005273,0.011401,1.427746,3.033865,-6.743164,1.019957,28166500,44.983416,-2172006205.202115,-1.002283,64.618413,109.354116,121.246068,,0.168333,2.980027,-0.106775,-0.005273,1.089575
07-02-24,366.209991,370.980011,366.209991,368.943909,965200,358.799464,343.733359,311.000311,1.003573,0.276671,0.334681,TRUE,TRUE,32.733048,0.801236,44.7422,34.815961,71.767263,0.294927,6.414157,-0.012393,11.228463,22.66721,35.673033,84.252911,7.937724,1.375966,725.973536,0.884375,-0.005555,0.013043,1.79204,2.900587,-6.743164,0.714637,29131700,-30.133912,-2171865004.31666,-0.996939,64.963222,11.724416,17.561614,0,0.146299,2.610383,-0.114205,-0.005555,1.397357
07-03-24,370.519989,374.230011,370.519989,372.136292,868800,360.261549,344.832366,311.494395,1.029365,0.295546,0.335365,TRUE,TRUE,33.337971,0.838215,42.333035,35.908245,74.453125,9.267267,6.703555,0.221604,11.885959,25.592804,36.981412,85.53062,8.527897,1.289013,681.91817,0.88852,-0.005349,0.011983,2.370751,3.141157,-6.743164,0.655758,30000500,-37.202747,-2171976804.162017,-0.97457,63.52349,11.090846,18.727901,0,0.161854,2.872175,-0.109466,-0.005349,1.741373
07-05-24,374.459991,378.369995,374.320007,375.935486,1278400,361.612102,345.913383,312.006388,1.055743,0.315171,0.336067,TRUE,TRUE,33.906996,0.879811,45.696523,37.410235,77.229423,8.338459,7.156967,0.540013,14.637441,28.127668,38.193869,86.482466,7.741231,1.303668,712.366667,0.89485,-0.005217,0.011229,3.098323,3.38987,-6.743164,0.99462,31278900,-38.232594,-2172235335.54021,-1.009035,63.671889,14.233611,21.924849,0,0.178001,3.134281,-0.105965,-0.005217,2.010676
07-08-24,378.529999,378.910004,377.480011,376.373016,933100,362.960692,347.001959,312.523088,1.082566,0.335528,0.336781,TRUE,TRUE,34.478871,0.915622,44.437955,38.862959,77.532247,5.764984,7.465547,0.678874,13.203713,28.85191,39.285684,86.323532,7.719436,1.296423,724.238562,0.886494,-0.005101,0.010936,3.013887,3.673875,-6.743164,0.721887,32212000,18.458804,-2174613109.636415,-1.03737,63.455017,13.631061,22.72281,0,0.193044,3.430303,-0.104577,-0.005101,1.851921
07-09-24,379.709991,380.730011,377.850006,376.88031,1489100,364.357495,348.14121,313.061101,1.10856,0.356755,0.337507,TRUE,TRUE,35.080109,0.957692,39.03372,40.405293,77.89924,3.446115,7.662702,0.700823,13.34277,28.876758,40.088216,81.101148,8.005882,1.243958,708.914895,0.872331,-0.0053,0.012205,3.00849,3.34222,-6.743164,1.164879,33701100,-16.069214,-2177104967.922771,-1.023371,64.517692,14.038412,23.330846,0,0.170131,3.075572,-0.110474,-0.0053,1.766476
07-10-24,380.290009,382.820007,378.950012,380.669464,836100,365.876205,349.238231,313.642864,1.135204,0.378743,0.338248,TRUE,TRUE,35.595367,0.995641,44.582488,42.044848,80.465855,3.236432,8.032112,0.856187,14.362737,27.558718,41.372043,90.425017,8.67103,1.290814,717.109993,0.852269,-0.00488,0.010842,3.716283,4.170999,-6.743164,0.6499,34537200,24.308653,-2177198103.813696,-0.997422,61.529729,14.013152,21.092898,0,0.213442,3.945141,-0.104123,-0.00488,2.0629
07-11-24,382.5,382.630005,373.48999,372.603729,1358500,366.831458,350.165195,314.185731,1.155738,0.400983,0.338999,TRUE,TRUE,35.979464,1.008129,24.41567,41.569622,63.54811,-13.984137,7.586582,0.328525,12.760665,24.500031,37.694379,54.513499,5.404558,1.383552,669.200352,0.870461,-0.005108,0.01139,3.544578,3.952449,-6.743164,1.033972,33178700,67.447307,-2178820057.55994,-1.043241,59.833405,10.949047,16.777445,0,0.205337,3.71676,-0.106723,-0.005108,0.862563
07-12-24,374.76001,379.850006,374.399994,374.771851,1749500,367.663388,351.246582,314.732521,1.170699,0.423578,0.339766,TRUE,TRUE,36.514061,1.021534,30.800565,41.128341,65.639407,-12.259833,7.324018,0.052769,11.823369,23.942612,37.083899,64.166746,4.645928,1.458003,658.716452,0.871081,-0.005,0.010902,3.320131,4.125447,-6.743164,1.32804,34928200,4.155504,-2180330819.276984,-1.036348,67.327676,8.925178,15.688464,0,0.215778,3.901484,-0.104414,-0.005,1.079138
07-15-24,378.820007,381.299988,376.269989,375.90564,1324100,368.46449,352.37389,315.306099,1.177136,0.44663,0.340549,TRUE,TRUE,37.067791,1.029343,44.702569,40.949728,66.714832,-13.751024,7.125286,-0.11677,13.76679,24.142439,35.756545,67.704967,4.452004,1.493854,656.545351,0.859211,-0.004794,0.010296,2.951371,4.537365,-6.743164,1.00251,36252300,5.463959,-2181846742.382983,-1.047245,72.998994,9.576151,15.101749,0,0.236368,4.330887,-0.101468,-0.004794,1.133379
