Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
12-13-23,235.610001,242.809998,233.75,239.289688,602300,225.39228,216.849926,225.723172,0.890624,-0.356894,0.056271,TRUE,TRUE,-8.873246,0.189956,63.786676,38.42289,74.94446,8.866847,4.971118,1.067554,3.266983,1.432163,10.258085,82.112242,8.391749,2.394249,557.994555,1.405912,0.001798,0.000277,5.32489,0.964211,-19.506696,1.059958,-10239900,-45.160703,-636148258.452297,-2.087512,68.148487,1.57574,-3.688471,0,0.086124,0.969155,0.016632,0.001798,2.490599
12-14-23,247.059998,250.130005,245.929993,245.106812,1391900,226.599573,217.454707,225.801515,0.91427,-0.336498,0.055816,TRUE,TRUE,-8.346809,0.246967,68.59712,40.88345,78.943101,12.01174,5.871738,1.57454,7.146874,3.064033,11.578015,81.39558,10.927659,2.50442,700.171043,1.42964,0.002546,0.000536,7.015711,1.58703,-19.506696,2.315684,-8848000,89.37415,-638085769.174108,-1.994773,72.840854,4.876313,-2.685885,0,0.14584,1.613014,0.023148,0.002546,2.643245
12-15-23,249.350006,249.970001,245.539993,243.558884,774700,227.895602,218.030697,225.868737,0.935676,-0.314899,0.055373,TRUE,TRUE,-7.83804,0.293858,63.473387,43.018961,75.490639,7.698095,6.386957,1.671807,6.971734,3.134294,11.520402,75.662514,11.909942,2.571157,762.673559,1.412878,0.002423,0.000497,6.54721,1.804026,-19.506696,1.283689,-9622700,6.663913,-639553364.376382,-1.981207,69.366746,5.406385,-1.557115,0,0.163539,1.830098,0.022291,0.002423,2.053733
12-18-23,247.360001,249.149994,246.080002,243.608185,732000,229.053106,218.556208,225.918313,0.95589,-0.292055,0.054947,TRUE,TRUE,-7.362104,0.338658,70.216584,45.001935,75.527349,0.58289,6.721766,1.605292,7.555797,3.487167,14.778795,74.692204,10.500893,2.628638,817.553331,1.411994,0.002452,0.000509,5.979116,1.853285,-19.506696,1.189277,-8890700,48.810734,-641464110.130501,-1.990714,67.13008,4.140126,-2.964373,0,0.167911,1.880151,0.022569,0.002452,1.780322
12-19-23,248.880005,251.910004,248.880005,248.044952,532100,230.348643,219.154285,226.006102,0.978762,-0.268017,0.054534,TRUE,TRUE,-6.851817,0.39048,72.832051,47.031685,78.629505,-0.313596,7.261409,1.715948,10.644256,5.460107,17.575283,85.970777,11.664451,2.592792,902.977076,1.427757,0.002868,0.000682,6.364427,2.117246,-19.506696,0.872317,-8358600,-17.169988,-642289498.321301,-1.98533,67.157646,6.176671,-2.289441,0,0.194559,2.154012,0.026111,0.002868,1.959774
12-20-23,250.360001,252.910004,245.240005,242.543411,587400,231.503684,219.591259,226.077413,0.997544,-0.243307,0.054138,TRUE,TRUE,-6.486154,0.427734,48.908514,47.508702,67.246551,-8.244088,7.162585,1.2937,10.049803,3.715463,16.9292,63.689698,10.52705,2.728699,903.876512,1.452546,0.00281,0.000632,5.777555,1.872995,-19.506696,0.949494,-8946000,41.815548,-643289930.872464,-1.905088,65.479929,4.494122,-3.456973,0,0.175097,1.905449,0.02514,0.00281,1.221376
12-21-23,248.940002,250.300003,247.460007,247.257309,662500,232.815546,220.147553,226.172441,1.018352,-0.217737,0.053761,TRUE,TRUE,-6.024888,0.475068,47.443567,47.951647,71.106253,-4.421096,7.379572,1.20855,12.454743,7.490527,18.32926,75.497647,11.870978,2.628527,933.622543,1.466502,0.003155,0.000782,5.381312,2.024774,-19.506696,1.062065,-8283500,18.366982,-644046999.488748,-1.827426,66.035625,5.883541,-1.372462,0,0.19151,2.063973,0.027963,0.003155,1.546852
12-22-23,251.5,253.990005,251.039993,249.757553,671500,234.180939,220.85718,226.308451,1.042678,-0.191099,0.053404,TRUE,TRUE,-5.451271,0.528714,47.699254,48.752669,72.928456,-5.701049,7.664928,1.195125,13.267462,8.768229,17.426606,82.474324,12.275964,2.631842,972.904507,1.466666,0.003126,0.000767,5.566027,2.027746,-19.506696,1.033435,-7612000,342.649967,-645302333.401395,-1.827244,66.363637,6.370025,0.379167,0,0.191787,2.066697,0.027701,0.003126,1.601042
12-26-23,253.690002,256.579987,253.240005,252.959488,571500,235.732063,221.670284,226.495766,1.073803,-0.163331,0.053069,TRUE,TRUE,-4.825482,0.583539,62.108097,49.735075,75.094663,7.848112,8.056573,1.269416,15.96664,8.622009,20.740877,86.460359,13.978054,2.729335,1013.859873,1.468533,-0.003728,0.002135,6.022148,2.37828,-19.506696,0.86692,-7040500,49.450837,-645969831.427792,-1.78879,72.228419,115.96664,108.622009,,0.207815,2.237518,-0.046205,-0.003728,1.699192
12-27-23,256.440002,258.109985,255.600006,254.540634,578200,237.429286,222.44343,226.701085,1.111389,-0.134442,0.052761,TRUE,TRUE,-4.257655,0.634633,65.739089,50.779791,76.111205,5.004953,8.397736,1.288463,15.532206,8.585256,21.211957,87.374062,15.387608,2.65936,1031.117939,1.456913,-0.003617,0.002042,5.86394,2.731126,-19.506696,0.870482,-6462300,20.911752,-647036106.268212,-1.744212,71.509958,5.964428,0.713942,0,0.232804,2.505575,-0.045191,-0.003617,1.659495
