Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
06-14-24,120.199997,120.360001,119.07,117.464958,224400,119.438296,118.719994,111.043403,0.036681,0.052082,0.040922,FALSE,TRUE,7.676591,-0.003403,-21.727832,11.493978,42.778373,-2.472592,-0.269365,-0.222461,-0.246805,6.250545,13.419817,-35.121261,-3.223773,2.609879,127.819114,0.812567,0.001462,0.00054,1.403775,-0.92194,-6.399109,1.002099,3148300,24.390244,-2112541478.891056,-5.112484,38.868,0.925289,0.889227,0,-0.029052,-0.562897,0.023238,0.001462,-1.543852
06-17-24,119.68,120.690002,119.290001,118.180367,188500,119.26572,118.67265,111.100525,0.01316,0.048618,0.041469,FALSE,TRUE,7.572126,-0.001649,-9.444535,11.375933,46.296324,-3.995218,-0.296699,-0.199836,0.302667,4.839473,12.902564,-19.46681,-2.837685,2.593912,119.684956,0.808549,0.001392,0.000494,1.468841,-1.00843,-6.399109,0.837554,3336800,13.622664,-2113028787.257223,-4.807995,43.808396,1.537079,0.402785,0,-0.033408,-0.650494,0.022233,0.001392,-0.906842
06-18-24,120.5,121.139999,120.5,118.484184,1250500,119.104427,118.620246,111.160418,-0.008928,0.045254,0.042016,FALSE,TRUE,7.459828,-0.000848,5.447349,10.901158,47.76503,0.321758,-0.290497,-0.154907,0.006723,6.075463,13.401583,-12.818719,-2.650441,2.664064,105.960099,0.803378,0.001536,0.00061,1.421244,-0.672263,-6.399109,4.528336,4587300,446.786183,-2122156724.696128,-5.172723,60.912643,1.299893,0.237878,0,-0.015537,-0.304478,0.024701,0.001536,-0.585355
06-20-24,120.910004,121.239998,120.589996,118.454781,227300,118.942641,118.561784,111.216648,-0.029754,0.042007,0.042564,FALSE,TRUE,7.345136,0.000006,-3.352105,10.377893,47.629268,4.850895,-0.284673,-0.119267,-1.227793,5.984782,14.428777,-13.462126,-2.658973,2.587986,87.488683,0.803371,0.001531,0.000606,1.442494,-0.683123,-6.399109,0.811134,4360000,55.898491,-2123877358.243084,-5.065109,58.433616,1.00873,0.848218,0,-0.016104,-0.315608,0.024615,0.001531,-0.557627
06-21-24,120.809998,120.970001,120.169998,118.405785,262600,118.816503,118.548255,111.281497,-0.048907,0.038854,0.04311,FALSE,TRUE,7.266758,0.000817,-20.533208,10.218882,47.387569,1.091244,-0.280775,-0.092294,-2.109872,4.805215,14.445365,-14.534248,-2.086156,2.477677,74.584127,0.803376,0.001528,0.000604,0.872857,-0.688698,-6.399109,0.920048,4097400,65.469439,-2125298160.028355,-5.058744,52.397287,0.361007,0.791208,0,-0.016401,-0.321409,0.024567,0.001528,-0.550678
06-24-24,121.120003,122.32,120.919998,119.3564,179500,118.824839,118.55706,111.352352,-0.065229,0.035861,0.043658,TRUE,TRUE,7.204708,0.006685,0.216179,9.996736,52.431301,4.666271,-0.198688,-0.008166,-0.544838,7.455582,16.077712,7.740543,0.139876,2.49426,75.114442,0.77967,0.001325,0.000482,0.872676,-1.006317,-6.399109,0.643242,4276900,-41.492829,-2125878610.955053,-5.092262,63.107677,0.075339,0.795358,0,-0.031577,-0.637603,0.021963,0.001325,0.707668
06-25-24,121.629997,121.629997,120.269997,118.297981,226800,118.722129,118.580646,111.420276,-0.079392,0.033064,0.044207,FALSE,TRUE,7.16037,0.011693,-1.771686,9.296505,47.025786,-0.603482,-0.216543,-0.020817,-1.434805,5.220423,16.169664,-20.86538,-1.706817,2.49664,66.704321,0.785663,0.001121,0.00034,0.883444,-1.415905,-6.399109,0.80147,4050100,52.933243,-2126763135.789843,-5.017929,62.652785,-0.692368,-0.307976,0,-0.05292,-1.06036,0.018426,0.001121,-0.635863
06-26-24,120.309998,120.309998,119.699997,117.680573,207000,118.63544,118.617674,111.484872,-0.092112,0.030371,0.044755,FALSE,TRUE,7.132801,0.01438,-19.998693,9.077526,44.165374,-3.222194,-0.277316,-0.065272,-1.925274,4.26485,14.652062,-37.552117,-1.451909,2.397375,68.477206,0.782906,0.001165,0.00037,0.865925,-1.346503,-6.399109,0.722261,3843100,53.789004,-2128340694.611165,-5.136799,57.079678,-1.391176,-0.76625,0,-0.04911,-0.987501,0.01923,0.001165,-1.394431
06-27-24,120.139999,120.379997,119.779999,117.964775,237400,118.6416,118.676406,111.550311,-0.1016,0.027807,0.045303,FALSE,TRUE,7.126095,0.015891,-10.703244,8.813966,45.799683,-6.631617,-0.299099,-0.069644,-3.310028,3.800182,13.196782,-29.87096,0.104547,2.381409,67.777324,0.775744,0.001326,0.000488,0.914753,-0.969496,-6.399109,0.815962,4080500,57.740864,-2130014545.280646,-5.061475,63.685893,-2.489007,,0,-0.02951,-0.598889,0.022083,0.001326,-0.998601
06-28-24,120.790001,121.32,120.040001,118.327377,174000,118.617046,118.749033,111.617515,-0.107332,0.025451,0.04585,FALSE,TRUE,7.131518,0.019061,1.003721,8.574596,47.89522,0.869434,-0.283831,-0.043501,-3.353314,3.949996,13.628781,-20.070892,-0.413304,2.401976,67.99208,0.774416,0.001286,0.00046,0.90973,-1.021341,-6.399109,0.632819,4254500,-64.755925,-2130654165.264911,-5.112706,67.967279,-1.998656,-0.707741,0,-0.032059,-0.651733,0.02145,0.001286,-0.426033
