Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
05-15-24,107.5,107.779999,107.25,101.080193,33780900,99.235857,99.954223,97.784145,-0.048095,-0.026023,0.008538,TRUE,TRUE,2.170077,-0.029564,58.101659,16.6961,64.9020,10.691099,0.2487,0.2382,1.27,7.68,4.30,-114.051505,2.784729,6.90,94.80,0.4327,0.420012,0.261921,1.6401,0.0180,-5.09,1.405531,189946600,26.395723,-449753053575.84314,-29.3899,81.0429,-5.21,-6.21,0,-0.02,-0.7027,0.511782,0.420012,1.9455
05-16-24,107.760002,107.779999,107.389999,100.920525,23586600,99.374625,99.948163,97.805399,-0.031363,-0.026016,0.008595,TRUE,TRUE,2.142764,-0.028216,50.094197,17.0937,62.7926,8.206664,0.3107,0.2401,0.74,5.86,4.66,-119.152722,2.827803,6.87,98.25,0.4319,0.417742,0.257678,1.4746,0.0746,-5.09,0.986322,166360000,-9.27498,-450559169165.326294,-29.6777,74.6860,-4.16,-6.47,0,-0.02,-0.7375,0.50762,0.417742,1.5735
05-17-24,107.25,107.449997,107.160004,100.685692,21862800,99.496506,99.932374,97.828431,-0.014077,-0.025965,0.008658,TRUE,TRUE,2.103943,-0.027042,38.78648,17.0376,59.7185,2.227109,0.3370,0.2132,0.87,6.16,4.42,-126.655373,2.481081,6.83,98.65,0.4327,0.40278,0.238047,1.3464,-0.1645,-5.09,0.911195,144497200,7.881336,-451557237908.1203,-30.1358,68.5633,-4.64,-6.73,0,-0.02,-0.9384,0.487901,0.40278,1.2054
05-20-24,107.110001,107.230003,107.059998,100.63871,17885200,99.603875,99.912849,97.855543,0.003089,-0.025881,0.008727,TRUE,TRUE,2.057306,-0.025476,54.285744,16.8004,59.0951,-5.806853,0.3500,0.1809,0.49,5.25,4.82,-128.156391,2.180278,6.82,98.82,0.4311,0.001178,0.001249,1.1217,-0.3760,-5.09,0.759273,126612000,-32.869411,-452926206576.701721,-31.6809,70.1278,100.49,105.25,,0.01,0.2778,0.035344,0.001178,1.0472
05-21-24,107.440002,107.480003,107.260002,100.807785,17411900,99.711277,99.896333,97.87855,0.02017,-0.025801,0.008802,TRUE,TRUE,2.017783,-0.024185,51.677972,16.9290,60.6855,-2.107108,0.3697,0.1605,0.91,5.12,5.12,-144.63921,2.177229,6.78,99.69,0.4295,0.001214,0.001338,0.9200,-0.0801,-5.09,0.753457,144023900,-33.892584,-453964934254.860962,-33.6304,68.9805,-4.96,-6.86,0,0.01,0.4789,0.036582,0.001214,1.0999
05-22-24,107.010002,107.32,107,100.657494,26735600,99.830345,99.883335,97.901986,0.036718,-0.025721,0.008882,TRUE,TRUE,1.981349,-0.023418,37.688364,16.5434,58.5079,-1.210571,0.3689,0.1278,0.60,4.54,5.00,-300.141015,2.423119,6.75,95.79,0.4296,0.001216,0.001342,0.7902,-0.0861,-5.09,1.151443,117288300,8.954129,-455051487830.208435,-34.4932,60.5318,-4.06,-6.72,0,0.01,0.4730,0.036634,0.001216,0.8635
05-23-24,107.300003,107.330002,106.57,100.216011,24876100,99.94184,99.863558,97.921307,0.051467,-0.025645,0.008969,TRUE,TRUE,1.942251,-0.023433,7.816458,15.4205,52.5433,-6.551794,0.3289,0.0702,-0.14,4.05,4.33,-375.723595,2.275743,6.72,85.64,0.4335,0.001173,0.001227,0.7657,-0.3473,-5.09,1.082902,92412200,-16.597042,-455492316595.22876,-34.5110,52.8892,-3.56,-7.27,0,0.01,0.2018,0.035032,0.001173,0.3202
05-24-24,106.709999,106.989998,106.620003,100.488441,11189500,100.048245,99.864143,97.941536,0.064272,-0.025529,0.009062,TRUE,TRUE,1.922607,-0.022863,7.567958,14.3778,55.5544,-5.13112,0.3155,0.0455,0.45,3.92,5.02,-358.589566,2.163573,6.70,77.82,0.4348,0.00121,0.001298,0.7482,-0.2375,-5.09,0.487731,103601700,-5.045782,-455874371016.129456,-34.0391,48.2323,-4.01,-7.89,0,0.01,0.3135,0.036029,0.00121,0.5657
05-28-24,107.129997,107.129997,106.269997,99.887238,15989600,100.104007,99.852144,97.962165,0.075105,-0.025392,0.009162,TRUE,TRUE,1.889979,-0.022275,-9.557447,13.8904,48.2750,-10.2329,0.2535,-0.0133,-0.01,3.83,4.74,-396.401221,1.1291,6.72,71.96,0.4345,0.000984,0.00086,0.7833,-0.9727,-5.09,0.700106,87612100,-11.425264,-456127704086.784668,-33.3133,40.7514,-4.19,-7.63,0,-0.01,-0.4413,0.02932,0.000984,-0.3012
05-29-24,105.959999,105.970001,105.550003,99.351845,30015700,100.160131,99.832793,97.981753,0.083443,-0.025231,0.009268,FALSE,TRUE,1.85104,-0.022841,-15.468573,14.4644,42.8858,-9.657556,0.1593,-0.0860,-0.54,2.44,3.74,-277.944849,1.142708,6.73,59.95,0.4392,0.001009,0.000885,0.8624,-1.1735,-5.09,1.302809,57596400,15.409046,-457043638215.794678,-33.4489,39.4606,-3.23,-7.59,0,-0.02,-0.6477,0.029743,0.001009,-1.3483
