Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
12-29-23,134.399994,134.960007,134,133.313461,3600,129.942742,124.706751,117.095424,0.270847,0.109084,0.118192,TRUE,TRUE,7.611327,0.305098,53.982171,38.1597,68.8978,-0.687905,2.4282,0.0883,14.12,12.00,56.52,74.305386,5.180799,1.65,310.98,0.9766,0.663034,0.277351,2.1502,3.6279,-10.93,0.566038,-625900,0,-12386249.167393,-3.0176,82.3399,5.65,4.27,97.393253,0.12,2.2004,0.526641,0.663034,1.0839
01-02-24,133.240005,133.240005,131.380005,130.94368,10600,130.202047,124.973718,117.264169,0.273929,0.117664,0.118945,TRUE,TRUE,7.709549,0.305922,25.462405,35.4405,56.1868,-15.49129,2.1692,-0.1366,12.02,10.37,50.77,33.286756,4.123883,1.67,295.48,0.9991,0.686416,0.285689,1.8336,2.7134,-10.93,1.608498,-636500,76.666667,-12401822.333263,-2.9036,72.0840,3.63,3.50,95.931636,0.06,1.1862,0.534499,0.686416,0.2510
01-03-24,131.289993,131.289993,130.539993,129.496033,5100,130.336533,125.249525,117.41001,0.275985,0.126134,0.119683,TRUE,TRUE,7.839515,0.303184,6.610499,33.4456,50.1055,-21.959451,1.8260,-0.3838,9.88,7.20,48.43,-14.250994,2.121137,1.60,285.15,1.0117,0.703391,0.291917,1.7356,2.4478,-10.93,0.790085,-641600,-34.615385,-12421120.197032,-3.0119,66.0559,-0.34,1.72,94.990071,0.05,0.9999,0.540293,0.703391,-0.2948
01-04-24,129.850006,130.789993,129.850006,128.801926,6300,130.496666,125.504524,117.554745,0.276552,0.134442,0.120409,TRUE,TRUE,7.949779,0.30233,-5.929708,32.0005,47.4535,-21.444317,1.4810,-0.5830,11.19,6.42,48.76,-19.517344,2.549891,1.54,265.46,0.9909,0.690349,0.292537,1.8188,1.8580,-10.93,0.963303,-647900,36.956522,-12441469.126467,-3.0755,60.2631,-0.27,0.98,94.273981,0.02,0.3503,0.540867,0.690349,-0.6384
01-05-24,130.330002,130.360001,129.649994,129.010132,5900,130.656819,125.740932,117.698945,0.27495,0.142609,0.121123,TRUE,TRUE,8.041987,0.302953,-18.261457,30.7756,48.3368,-7.850015,1.2104,-0.6829,9.86,6.65,48.19,-11.487634,2.546019,1.45,244.52,0.9867,0.697334,0.287227,1.9902,1.6890,-10.93,0.881913,-642000,103.448276,-12458003.353112,-3.0954,51.0853,-1.75,0.36,94.161206,0.02,0.3749,0.535935,0.697334,-0.6734
01-08-24,130.619995,132.830002,130.5,131.66748,7200,130.984963,126.086485,117.848697,0.273162,0.150669,0.121823,TRUE,TRUE,8.237788,0.308355,7.039954,29.1631,58.0335,7.928033,1.1966,-0.5574,12.37,9.82,53.63,36.220537,5.245915,1.52,207.29,1.0173,0.724479,0.289052,1.9364,2.0586,-10.93,1.07946,-634800,-5.263158,-12457988.028847,-2.9584,52.9600,0.72,1.20,95.504765,0.05,0.8460,0.537636,0.724479,0.3293
01-09-24,131.929993,133.279999,131.789993,131.974884,5600,131.23152,126.472418,118.006243,0.272018,0.158649,0.122513,TRUE,TRUE,8.466175,0.31341,2.578111,27.9142,58.9924,11.538926,1.1967,-0.4458,10.57,10.42,49.85,41.739445,3.881442,1.46,186.19,1.0167,0.72258,0.285392,1.9218,2.1524,-10.93,0.841473,-629200,-5.084746,-12462198.251173,-2.9248,52.3400,-0.07,2.38,96.17507,0.05,0.9138,0.534221,0.72258,0.3992
01-10-24,133.009995,134.270004,133.009995,132.926773,8100,131.502916,126.887678,118.16308,0.270176,0.166595,0.123192,TRUE,TRUE,8.724598,0.316783,2.23751,27.2741,61.8957,13.558859,1.2590,-0.3068,10.46,11.34,50.14,58.828992,4.257235,1.43,167.55,1.0016,0.70721,0.280234,1.9153,2.7130,-10.93,1.206255,-621100,17.391304,-12471368.232766,-2.8895,52.8574,1.29,2.98,96.778284,0.08,1.5084,0.529371,0.70721,0.8498
01-11-24,134.25,134.25,133.050003,133.016006,3700,131.724852,127.269106,118.319131,0.267796,0.174531,0.12386,TRUE,TRUE,8.949974,0.322122,-0.627873,26.6798,62.1661,4.132543,1.3007,-0.2121,10.05,10.69,49.48,60.431026,3.452181,1.40,155.74,0.9914,0.690253,0.270188,1.9166,2.4177,-10.93,0.56705,-617400,-50.666667,-12475277.878888,-2.9237,52.6434,2.22,2.98,97.206312,0.08,1.4524,0.519796,0.690253,0.8291
01-12-24,134.75,134.75,134.089996,132.956497,3500,131.892367,127.63945,118.47927,0.263237,0.182424,0.124516,TRUE,TRUE,9.16018,0.325857,12.672208,26.3943,61.8508,2.858445,1.3137,-0.1593,10.13,9.34,46.17,59.362638,2.584981,1.38,149.65,0.9890,0.694865,0.27473,1.8674,2.5191,-10.93,0.540123,-620900,-20.454545,-12490799.772817,-2.9779,62.6409,1.35,2.40,96.950797,0.08,1.5939,0.524147,0.694865,0.7111
01-15-24,134.089996,134.5,133.830002,133.035843,2100,131.982722,127.970619,118.64148,0.256672,0.190144,0.125164,TRUE,TRUE,9.329139,0.32566,2.721262,25.9091,62.1266,0.230944,1.3153,-0.1262,11.63,7.44,45.80,60.787155,1.37706,1.32,150.88,0.9599,0.654877,0.244333,1.8618,3.0655,-10.93,0.350877,-618800,-82.5,-12497878.096168,-3.1890,57.2077,2.24,1.44,96.737277,0.10,1.9320,0.4943,0.654877,0.6980
