Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
04-02-24,181.080002,181.619995,180.240005,179.896149,1803400,179.913819,177.26497,159.148836,0.164837,0.315832,0.194994,TRUE,TRUE,18.116134,0.265546,-5.737792,14.5383,52.3059,-5.883784,1.2078,-0.1795,7.90,23.65,40.81,25.839359,-0.497266,1.45,157.68,0.9705,0.871274,0.308956,1.2736,2.7835,-7.50,0.913109,28835400,24.055857,-1380226811.858776,-1.9521,38.2096,2.27,8.83,0,0.10,2.0092,0.555838,0.871274,-0.0112
04-03-24,180.660004,182.669998,180.619995,180.302536,1773500,180.04994,177.436347,159.301091,0.159857,0.313223,0.195209,TRUE,TRUE,18.135256,0.249956,8.114821,14.0325,53.5570,-3.307937,1.1015,-0.2286,10.00,22.89,38.80,31.887695,1.53307,1.50,147.92,0.9705,0.873092,0.309778,1.2358,2.8100,-7.50,0.904646,30608900,-14.116223,-1382549592.724283,-1.9388,45.2526,3.97,5.89,0,0.11,2.0939,0.556577,0.873092,0.1708
04-04-24,183.669998,183.889999,179.020004,177.537186,2354100,179.990417,177.537183,159.444291,0.153081,0.310366,0.195409,TRUE,TRUE,18.092892,0.234458,-8.980171,13.2230,44.9220,-13.080992,0.7851,-0.4361,9.48,23.21,37.04,-9.269512,-0.666075,1.61,155.71,0.9636,0.864211,0.306615,1.3203,1.8410,-7.50,1.17593,28254800,54.397586,-1386337247.867785,-1.9139,44.0411,3.71,5.58,0,0.06,1.2121,0.553728,0.864211,-1.5755
04-05-24,179.75,182.320007,179.419998,179.638443,2193700,179.90142,177.661843,159.598752,0.145256,0.307448,0.195594,TRUE,TRUE,18.063091,0.22224,19.784917,12.4714,51.3417,-0.964214,0.6958,-0.4203,11.33,22.97,39.12,20.344141,-0.981131,1.71,152.17,0.9731,0.887733,0.324216,1.1252,2.0924,-7.50,1.086254,30448500,19.119244,-1388200464.489815,-1.8945,53.1792,4.75,4.34,0,0.05,1.0818,0.5694,0.887733,-0.1728
04-08-24,181.649994,182.080002,180.729996,179.707825,1171400,179.946965,177.783932,159.763364,0.136509,0.304344,0.195765,TRUE,TRUE,18.020569,0.211246,9.954628,11.7734,51.5425,-2.014419,0.6235,-0.3941,11.23,23.42,40.62,21.398735,0.509463,1.62,150.04,0.9707,0.887942,0.326178,1.0496,1.9223,-7.50,0.602541,31619900,-56.28452,-1391145739.630535,-1.9193,49.1281,4.94,5.48,0,0.05,0.8994,0.57112,0.887942,-0.1594
04-09-24,182.270004,182.380005,180,180.342178,1335800,180.056873,177.93889,159.92287,0.126014,0.301129,0.195924,TRUE,TRUE,18.01602,0.201187,11.292763,11.4805,53.4350,8.51301,0.6103,-0.3258,9.36,21.82,40.11,22.566573,1.233926,1.63,144.07,0.9710,0.897592,0.331388,0.9731,1.9562,-7.50,0.703116,32955700,-39.861336,-1392097438.037982,-1.8285,55.1542,3.26,3.89,0,0.03,0.6813,0.575663,0.897592,0.1980
04-10-24,179.770004,180.729996,179.520004,178.786057,1667500,179.962846,178.027507,160.082085,0.113247,0.297595,0.19607,TRUE,TRUE,17.945422,0.187921,-17.171613,11.4389,48.4376,-2.904091,0.4689,-0.3737,8.21,20.13,39.00,-3.992968,-1.040889,1.54,146.00,0.9795,0.906939,0.342609,1.0696,1.6966,-7.50,0.952188,31288200,-64.058627,-1395787857.909858,-2.0371,48.7364,2.40,,0,0.03,0.6493,0.585329,0.906939,-0.8060
04-11-24,181.139999,183.639999,180.210007,181.670334,986500,180.081787,178.197552,160.265181,0.102746,0.293894,0.196204,TRUE,TRUE,17.932371,0.178666,-0.869628,11.3143,56.5490,5.006444,0.5829,-0.2078,9.21,21.41,42.16,51.865544,1.326786,1.55,149.88,0.9980,0.860455,0.300115,1.0703,2.0975,-7.50,0.574601,32274700,-41.076335,-1395934348.692284,-1.9313,46.5650,4.00,6.55,0,0.07,1.2987,0.547828,0.860455,1.0599
04-12-24,181.479996,181.949997,179.759995,178.736481,2174600,180.075304,178.376981,160.42134,0.091042,0.289892,0.196322,TRUE,TRUE,17.955641,0.16218,-18.376482,10.9637,48.2366,-5.198358,0.4315,-0.2874,7.20,18.59,41.13,-5.548406,-0.072495,1.57,150.46,1.0197,0.91684,0.319441,1.0409,1.7801,-7.16,1.248378,30100100,30.005381,-1400141579.390982,-1.9432,44.5571,2.55,5.74,0,0.04,0.7938,0.565191,0.91684,-0.8898
04-15-24,181.889999,181.893005,177.020004,175.79274,3120100,180.028967,178.455789,160.561301,0.075649,0.285459,0.196421,FALSE,TRUE,17.894487,0.144292,-28.031659,10.9723,41.6251,-6.812494,0.0731,-0.5166,5.40,17.05,36.06,-17.261101,-0.524414,1.73,162.30,1.0296,0.940901,0.338084,1.3526,0.9611,-7.07,1.75806,26980000,26.622296,-1404833272.579796,-1.8481,41.0899,1.70,4.24,0,0.00,0.0578,0.58145,0.940901,-2.6101
