Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
01-04-24,145.050003,145.820007,144.550003,142.148758,1251500,142.868027,137.5946,130.508022,0.316561,0.124137,0.096413,TRUE,TRUE,7.086578,0.295623,-14.894968,37.8078,53.0426,-16.174452,1.5881,-0.4699,10.41,9.14,29.00,-69.200123,2.859608,2.21,212.44,0.7719,-0.00092,0.000238,0.9717,2.3691,-8.44,0.886677,-78557900,-4.720213,-3705956492.982941,-5.7769,61.7395,-0.89,1.50,0,0.12,2.5106,-0.015443,-0.00092,-0.3386
01-05-24,144.710007,145.440002,144.259995,142.27655,1067600,143.092086,137.847764,130.631111,0.312645,0.133034,0.096799,TRUE,TRUE,7.216654,0.297428,-12.35651,35.2568,53.6997,-7.989511,1.3876,-0.5363,10.46,9.75,28.08,-52.751039,3.252059,2.20,176.76,0.7711,-0.000926,0.000242,1.0538,2.2670,-8.44,0.771666,-77490300,-34.366163,-3710613094.345878,-5.7504,54.5376,-0.50,1.88,0,0.12,2.5206,-0.015551,-0.000926,-0.4614
01-08-24,144.789993,146.910004,144.789993,144.37999,1165900,143.368925,138.183932,130.774462,0.307706,0.141889,0.097177,TRUE,TRUE,7.40947,0.303713,10.055229,33.8023,62.9015,6.967608,1.3824,-0.4332,10.53,10.66,31.50,3.191351,3.987788,2.23,147.68,0.7872,-0.000772,0.000161,1.0101,2.4786,-8.44,0.829577,-76324400,60.239142,-3712229957.487445,-5.5669,62.0813,-0.63,1.89,0,0.14,2.7337,-0.01269,-0.000772,0.6847
01-09-24,146.220001,147.130005,145.970001,144.271866,877500,143.604614,138.560046,130.913357,0.302376,0.15069,0.097547,TRUE,TRUE,7.646689,0.308512,0.033667,32.6104,62.2170,9.174435,1.3541,-0.3693,9.60,9.83,28.11,0.315726,3.377655,2.16,118.36,0.7856,-0.000755,0.000155,1.0100,2.5600,-8.44,0.625974,-77201900,-7.582938,-3715676611.087719,-5.5817,61.7322,,1.83,0,0.14,2.8169,-0.01245,-0.000755,0.5638
01-10-24,147.020004,147.940002,146.880005,145.136826,1512100,143.823325,138.962469,131.054097,0.295814,0.159469,0.097909,TRUE,TRUE,7.908372,0.312858,2.048528,32.0592,65.4556,11.755927,1.3854,-0.2703,9.82,9.48,28.98,23.444646,3.107517,2.14,102.42,0.7825,-0.00059,0.000095,1.0688,2.9576,-8.44,1.093415,-75689800,-19.998942,-3722162046.036184,-5.5846,56.2726,0.65,2.37,0,0.16,3.2238,-0.009758,-0.00059,1.2825
01-11-24,148,148.309998,146.509995,145.490677,1142800,144.004889,139.340632,131.196801,0.288645,0.168189,0.098264,TRUE,TRUE,8.143831,0.319525,27.787179,31.1538,66.7126,3.811091,1.4224,-0.1867,9.31,8.72,28.36,30.387196,2.559768,2.14,97.86,0.7727,-0.000814,0.000186,1.1793,2.6999,-8.44,0.904465,-74547000,-67.634314,-3724599150.712995,-5.6590,64.7115,1.49,3.25,0,0.15,2.9597,-0.01364,-0.000814,1.5183
01-12-24,148.360001,148.75,147.860001,145.844528,720000,144.122375,139.714512,131.342879,0.279619,0.176759,0.098613,TRUE,TRUE,8.371633,0.325737,19.454325,30.6210,67.9679,5.75087,1.4633,-0.1166,9.91,8.93,26.85,35.290239,1.637492,2.10,105.24,0.7717,-0.000736,0.000152,1.3486,2.8420,-8.44,0.578067,-73827000,-33.308633,-3728580142.020623,-5.7960,63.9102,1.12,3.26,0,0.15,3.1058,-0.012346,-0.000736,1.6364
01-16-24,147.990005,148.410004,147.229996,145.215454,1311800,144.213303,140.049565,131.477933,0.268685,0.185134,0.098959,TRUE,TRUE,8.571632,0.327327,13.397047,29.4531,63.3912,-2.064408,1.4286,-0.1210,10.04,7.85,25.71,21.279698,1.268199,2.09,106.49,0.7525,-0.00077,0.000175,1.3151,3.2125,-8.44,1.068145,-75138800,-20.985423,-3734371023.266663,-5.7975,55.8859,1.16,2.11,0,0.17,3.4846,-0.01324,-0.00077,0.9411
01-17-24,146.970001,147.240005,146.410004,144.635513,1230300,144.281599,140.320923,131.606586,0.255826,0.193184,0.099305,TRUE,TRUE,8.714337,0.324948,-1.345763,27.5810,59.4189,-7.293727,1.3388,-0.1686,8.40,6.83,24.94,8.363437,0.953392,2.02,104.48,0.7403,-0.000676,0.00014,1.3184,3.4848,-8.44,1.011307,-76369100,-15.825123,-3740861927.289091,-5.6427,49.1930,1.68,2.92,0,0.18,3.7662,-0.011826,-0.000676,0.3387
01-18-24,147.800003,148.820007,147.360001,146.109924,1928800,144.373672,140.599244,131.73376,0.242484,0.201037,0.099652,TRUE,TRUE,8.865484,0.321759,11.492006,26.9956,65.3617,-2.606238,1.3709,-0.1093,9.68,7.90,26.47,40.568522,1.276424,2.06,112.19,0.7288,-0.000474,0.000071,1.4520,4.3086,-8.44,1.52927,-74440300,86.429538,-3746093653.409719,-5.3415,51.9519,3.05,4.23,0,0.21,4.6078,-0.008427,-0.000474,1.5476
