Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
07-02-24,136.559998,137.080002,136.479996,134.433167,3600,134.556142,134.610737,126.934656,-0.077916,0.00174,0.068957,FALSE,TRUE,7.676081,0.0332,3.686121,7.8421,48.5358,-1.038371,-0.0887,-0.0413,-1.73,4.68,13.39,-26.766532,0.198561,2.18,50.03,0.6880,0.004183,0.012249,0.8563,-0.9055,-6.51,0.550038,-124200,80,-79029192.791472,-8.0326,81.1026,-1.24,-0.43,0,-0.02,-0.3631,0.110673,0.004183,-0.2458
07-03-24,137.679993,137.679993,137.110001,134.541061,16600,134.591965,134.675906,127.019204,-0.072684,0.000696,0.069451,FALSE,TRUE,7.656703,0.037856,-6.859809,7.5697,49.2083,-1.52252,-0.0854,-0.0304,-1.87,5.13,13.03,-23.68382,0.535373,2.13,46.99,0.6870,0.004153,0.012117,0.8765,-0.9835,-6.51,2.281787,-107600,730,-79195424.316034,-8.1752,77.6404,-2.67,-1.74,0,-0.02,-0.4472,0.110079,0.004153,-0.1083
07-05-24,137.110001,137.179993,137.059998,134.462585,1300,134.570093,134.709393,127.104662,-0.065997,-0.000195,0.069944,FALSE,TRUE,7.604731,0.04321,1.290938,7.2678,48.7098,4.677114,-0.0881,-0.0264,-0.82,6.67,13.53,-25.925991,-0.324269,2.14,46.50,0.6857,0.004083,0.01176,0.8716,-1.1236,-6.51,0.193741,-108900,-89.68254,-79253003.868424,-8.8305,80.9661,-1.22,0.47,0,-0.03,-0.5939,0.108442,0.004083,-0.2312
07-08-24,137.679993,137.679993,137.389999,134.776413,6300,134.578088,134.752676,127.192705,-0.057533,-0.000957,0.070434,TRUE,TRUE,7.559971,0.045608,18.279462,7.4450,50.8542,2.318422,-0.0641,-0.0020,-1.28,7.10,14.88,-29.135158,0.118791,2.20,46.72,0.6565,0.004347,0.014544,0.7906,-0.4511,-6.51,0.906475,-102600,320,-79372862.321463,-9.0415,85.2359,-0.85,0.97,0,0.01,0.1438,0.120599,0.004347,0.4245
07-09-24,137,137.710007,137,134.452789,1700,134.592879,134.792419,127.28251,-0.048446,-0.001494,0.070919,FALSE,TRUE,7.50991,0.047912,-0.504431,7.1962,48.5977,-0.610611,-0.0704,-0.0066,-1.79,6.52,14.15,-75.98468,0.220504,2.18,45.78,0.6567,0.004279,0.014089,0.7923,-0.6205,-6.51,0.262548,-104300,-84.821429,-79386760.116481,-8.8858,78.8450,-1.10,0.97,0,-0.00,-0.0370,0.118696,0.004279,-0.3060
07-10-24,137.770004,138.220001,137.770004,135.551178,1300,134.640591,134.843963,127.388287,-0.038102,-0.001823,0.071401,TRUE,TRUE,7.455676,0.04738,10.479327,7.4394,55.7710,7.061256,0.0130,0.0615,-1.28,6.08,13.81,-32.22408,0.708949,2.20,50.54,0.6087,0.00475,0.020239,0.7764,0.5737,-6.51,0.20265,-103000,-48,-79400880.088676,-8.9668,77.5828,-1.63,-0.39,0,0.05,1.2826,0.142264,0.00475,1.8015
07-11-24,139.899994,140,139.610001,136.943756,2700,134.781321,134.90791,127.502717,-0.02566,-0.001957,0.071882,TRUE,TRUE,7.405193,0.046933,28.391823,8.9825,62.8496,11.995372,0.1894,0.1902,1.31,7.67,13.58,16.037242,2.09843,2.27,70.71,0.6090,0.005089,0.023194,1.5906,1.4136,-6.51,0.423529,-100300,-22.857143,-79440497.378085,-9.0825,85.1138,-0.50,-0.06,0,0.08,2.1800,0.152297,0.005089,3.0580
07-12-24,140.759995,141.809998,140.759995,138.503021,1900,134.953922,135.043324,127.622819,-0.010872,-0.001791,0.072365,TRUE,TRUE,7.420505,0.04799,38.577278,11.3493,68.8593,20.261596,0.4497,0.3605,2.28,8.72,14.31,39.321501,2.556091,2.34,109.26,0.6220,0.005364,0.024694,2.5718,2.0108,-6.51,0.388548,-98400,-93.987342,-79450565.448072,-9.7519,84.8733,-0.62,0.46,0,0.11,2.8052,0.157144,0.005364,3.2482
07-15-24,141.429993,141.809998,141.130005,138.552063,3200,135.162808,135.188908,127.751153,0.004763,-0.001301,0.072849,TRUE,TRUE,7.437755,0.047237,33.950892,13.5470,69.0290,13.258007,0.6525,0.4506,4.45,9.05,13.52,40.221351,3.109015,2.31,134.60,0.6140,0.005487,0.026524,2.5446,2.3383,-6.51,0.66459,-95200,-31.914894,-79478028.691946,-9.9898,83.8395,0.26,0.01,0,0.12,3.1670,0.162861,0.005487,2.5181
07-16-24,142.690002,143.869995,142.690002,140.925354,3700,135.528606,135.362796,127.889558,0.022832,-0.000389,0.073336,TRUE,TRUE,7.473238,0.049873,58.914477,16.3966,75.8793,13.029675,0.9933,0.6331,7.21,11.13,16.36,60.790369,5.475636,2.44,181.43,0.6478,0.005872,0.027259,3.9330,2.9220,-6.51,0.762101,-91500,27.586207,-79492795.199989,-9.9088,87.1249,1.19,1.19,0,0.15,3.7617,0.165103,0.005872,2.9746
07-17-24,142.800003,143.479996,142.660004,139.905426,6800,135.799767,135.488128,128.01772,0.041623,0.000805,0.073825,TRUE,TRUE,7.470408,0.050121,51.571016,19.0092,68.8331,-0.026207,1.1676,0.6459,6.79,11.00,14.92,47.209428,4.032654,2.47,204.08,0.6568,0.005785,0.025722,3.7404,2.6115,-6.51,1.596244,-98300,-63.636364,-79545281.319939,-11.3155,81.4650,0.72,1.39,0,0.14,3.4225,0.16038,0.005785,2.0118
07-18-24,143.440002,143.460007,141.160004,138.542282,7600,135.983647,135.569185,128.140861,0.059385,0.002228,0.074314,TRUE,TRUE,7.428324,0.049675,32.887086,19.8899,60.7178,-8.311179,1.1821,0.5284,6.46,10.85,13.02,29.058363,2.726891,2.53,211.64,0.6628,0.005464,0.022531,3.5771,1.8209,-6.51,1.731207,-105900,52,-79570181.022062,-10.2408,69.8169,1.03,0.57,0,0.11,2.5697,0.150102,0.005464,1.2090
07-19-24,141.330002,141.330002,140.449997,137.885193,6800,136.141537,135.631431,128.26688,0.075328,0.003832,0.074801,TRUE,TRUE,7.364551,0.050299,24.698142,20.0769,57.2160,-18.663244,1.1276,0.3791,5.97,9.74,12.00,20.308833,2.343849,2.52,213.54,0.6521,0.00515,0.020688,3.4367,1.1932,-6.51,1.517857,-112700,36,-79616618.683318,-9.9294,60.2234,0.89,-0.13,0,0.08,1.9069,0.143833,0.00515,0.8165
07-22-24,141.149994,141.839996,140.990005,138.963959,3100,136.340128,135.717206,128.406347,0.090419,0.005638,0.075287,TRUE,TRUE,7.310859,0.052111,43.203573,20.5243,61.1749,-7.658174,1.1581,0.3276,6.85,9.63,13.30,33.612493,2.942246,2.57,220.64,0.6580,0.005329,0.021751,3.1758,1.5502,-6.51,0.690423,-109600,6.896552,-79634497.065869,-9.7844,63.2488,1.59,-0.27,0,0.09,2.2817,0.147482,0.005329,1.1892
07-23-24,141.649994,141.899994,141.369995,138.640335,2900,136.488211,135.774414,128.540218,0.105499,0.007637,0.075774,TRUE,TRUE,7.234197,0.052791,35.839433,20.9724,59.3992,-1.318609,1.1430,0.2500,5.60,8.49,12.93,23.876801,2.182856,2.55,225.84,0.6588,0.005314,0.02158,2.9593,1.4993,-6.51,0.676779,-112500,-58.571429,-79667268.885988,-10.1791,62.9210,1.14,-1.03,0,0.09,2.2277,0.1469,0.005314,0.9529
07-24-24,141.059998,141.160004,139.25,136.561279,4700,136.568137,135.789064,128.665634,0.118034,0.009677,0.076262,TRUE,TRUE,7.12343,0.050581,14.735255,19.6540,49.4655,-7.750523,0.9522,0.0474,2.84,6.94,11.17,-6.386041,1.18442,2.55,222.97,0.6882,0.005034,0.017732,2.8243,0.7112,-6.51,1.057368,-117200,213.333333,-79685201.308056,-9.7405,46.3583,-0.27,-1.38,0,0.06,1.3618,0.133162,0.005034,-0.0031
