Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
03-27-24,225.389999,225.759995,221.399994,223.245087,4161700,221.938387,209.719599,176.74449,0.845586,0.691166,0.227544,TRUE,TRUE,32.975108,0.788939,-26.530523,22.582464,57.577047,-0.389954,3.309385,-0.748964,16.858345,47.845175,60.789726,38.724753,6.747879,2.848647,500.617452,1.907844,1.38494,0.198694,3.221042,2.272222,-10.540179,0.897833,-5724300,42.338737,-3215514136.004395,-1.027398,31.386651,,32.539307,0,0.152349,1.416112,0.445751,1.38494,0.261018
03-28-24,225.419998,227,224.910004,223.482529,1794300,222.372578,210.49924,177.038778,0.787858,0.692023,0.227955,TRUE,TRUE,33.460461,0.781251,-5.615355,21.972829,57.823385,0.958998,3.286583,-0.617413,16.682855,46.708817,62.175901,62.833708,4.042765,2.580816,472.291725,1.83847,1.323645,0.194315,3.242829,2.891607,-10.540179,0.393846,-3930000,-46.958141,-3219759462.642345,-1.076178,40.808392,10.587894,30.462927,0,0.208755,2.008159,0.440812,1.323645,0.235014
04-01-24,226.059998,231.449997,226.059998,225.836868,3000900,222.467442,211.204155,177.333815,0.729005,0.692834,0.228362,TRUE,TRUE,33.87034,0.768509,9.923167,22.016674,60.285863,5.573943,3.419075,-0.387937,18.133535,45.559044,58.780519,70.142937,0.847234,2.670856,477.481795,1.810967,1.29947,0.192538,3.200245,3.403275,-10.540179,0.682063,-929100,-50.989711,-3223008818.564257,-1.157077,48.439981,11.611999,30.226303,0,0.260071,2.537003,0.438791,1.29947,0.705666
04-02-24,224.539993,225.259995,222.399994,222.354828,2383500,222.278185,211.690344,177.599599,0.666857,0.693464,0.228766,TRUE,TRUE,34.090745,0.744904,-14.230416,21.349201,55.156681,-2.420366,3.206146,-0.480693,17.172172,42.79737,53.799551,51.621449,-1.673805,2.583897,469.595408,1.821365,1.338604,0.207077,2.793876,3.282036,-10.540179,0.573992,-3312600,-67.475847,-3225467600.505003,-1.100022,41.914533,11.542703,27.984276,0,0.263479,2.578898,0.455057,1.338604,0.016321
04-03-24,222.169998,226.990005,222.139999,222.978043,1860600,222.341775,212.176017,177.875493,0.601921,0.693927,0.22917,TRUE,TRUE,34.300524,0.721498,5.16209,20.976058,55.880208,-1.943177,3.052499,-0.507472,21.890857,42.478663,53.280313,54.93642,0.573637,2.585965,469.641257,1.821295,1.339335,0.206999,2.76764,3.242273,-10.540179,0.479224,-1452000,-74.371901,-3226685206.179378,-1.092613,47.350032,15.868949,25.475004,0,0.263123,2.575384,0.454971,1.339335,0.13548
04-04-24,228.509995,229.169998,218.559998,216.666855,3744000,221.81739,212.509116,178.127579,0.533533,0.693955,0.229571,TRUE,TRUE,34.381537,0.695127,-3.49957,19.957825,47.518783,-12.76708,2.393877,-0.932875,21.041058,41.371117,50.239244,21.366278,-4.616983,2.789532,471.622032,1.828285,1.337279,0.203927,2.814144,2.348893,-10.540179,0.987045,-5196000,-32.317371,-3231765290.224956,-1.107747,48.295663,15.265392,23.736943,0,0.183721,1.787882,0.451583,1.337279,-1.09209
04-05-24,220,223,218.580002,219.238831,2428300,221.032089,212.835416,178.399256,0.464806,0.693763,0.229971,TRUE,TRUE,34.43616,0.671279,9.657671,19.012323,50.752814,-4.403867,2.055754,-1.016798,23.516629,41.174762,54.911272,35.046998,-6.684983,2.824025,358.796703,1.831644,1.336777,0.207522,2.687522,2.511146,-10.540179,0.660838,-2767700,-49.406201,-3233469683.220064,-1.150837,50.124411,16.932042,22.544911,0,0.170649,1.66138,0.455545,1.336777,-0.499798
04-08-24,222.940002,224.110001,221.309998,219.802643,1866900,220.750303,213.184257,178.69385,0.396536,0.693125,0.230372,TRUE,TRUE,34.490408,0.645368,11.819753,18.322897,51.458971,-4.421237,1.812392,-1.008128,23.150947,42.227331,58.049645,38.045999,-2.499897,2.742367,344.203735,1.829723,1.33624,0.207881,2.525976,2.599543,-10.540179,0.575534,-900800,-82.191167,-3237346638.570171,-1.133899,48.641881,16.86567,24.290032,0,0.18267,1.780681,0.45594,1.33624,-0.27532
04-09-24,224.440002,225.300003,220.759995,222.166855,3170100,220.73644,213.68948,178.996514,0.329078,0.692262,0.230778,TRUE,TRUE,34.692967,0.622478,24.404066,17.887542,54.410976,6.892193,1.789668,-0.824682,20.548776,40.733426,60.576904,41.688799,-0.124639,2.727888,343.540854,1.832345,1.355156,0.21212,2.161828,2.697807,-10.540179,0.997739,2269300,-29.550202,-3238552033.897764,-1.103266,56.62713,14.453847,22.799197,0,0.174101,1.699279,0.460565,1.355156,0.416374
04-10-24,220.839996,223.429993,219.229996,218.111099,3610500,220.289043,214.072611,179.293132,0.261337,0.690715,0.231185,TRUE,TRUE,34.779479,0.589463,0.793263,17.146868,48.915281,-1.837533,1.427933,-0.949134,18.307914,38.510425,54.909321,-3.482532,-3.940798,2.692566,313.849211,1.850808,1.395272,0.227096,2.148444,2.472996,-10.540179,1.136131,-1341200,0.336261,-3244086238.036895,-1.192414,48.299708,12.502126,,0,0.168704,1.645892,0.476546,1.395272,-0.693946
04-11-24,221.880005,225.869995,220.059998,223.037369,2455300,220.364658,214.615733,179.611811,0.201957,0.688677,0.231596,TRUE,TRUE,35.003922,0.567017,0.86742,16.903209,54.876923,3.417952,1.521228,-0.684671,21.387786,39.846178,59.2443,34.735232,0.682669,2.515494,318.767085,1.862533,1.347451,0.211311,2.142934,2.576933,-10.540179,0.782584,1114100,-24.790173,-3244025068.97732,-1.125471,46.156691,16.182682,24.985488,0,0.193831,1.860232,0.459686,1.347451,0.838453
04-12-24,221.490005,221.759995,217.639999,215.717239,3210400,220.263506,215.069175,179.86606,0.14311,0.685792,0.232004,TRUE,TRUE,35.203115,0.527632,-18.195174,16.132674,46.241358,-8.169618,0.993045,-0.970283,16.971833,34.246371,56.88718,-13.922957,-0.929107,2.635552,330.52603,1.913454,1.465121,0.231667,2.432089,2.181251,-10.540179,1.047494,-2096300,-31.138328,-3250231991.332213,-1.168733,45.622385,12.316856,21.40192,0,0.137928,1.305448,0.481318,1.465121,-1.375464
04-15-24,221.050003,221.860001,214.240005,212.986984,3170800,220.103909,215.448907,180.113014,0.083824,0.681883,0.232404,FALSE,TRUE,35.335893,0.49236,-21.819082,15.241128,43.492308,-5.422972,0.350111,-1.290573,16.003135,32.209158,53.636749,-7.280778,-1.476527,2.760556,357.862591,1.881761,1.454211,0.241751,2.834939,1.575899,-9.345968,1.05059,-5267100,-22.763257,-3254445595.084036,-1.15928,44.747917,12.299112,19.391647,0,0.086524,0.838238,0.491681,1.454211,-1.988731
04-16-24,215.399994,218,214.509995,214.599411,2452300,220.033333,215.811346,180.3678,0.027086,0.676915,0.232798,FALSE,TRUE,35.443546,0.471121,-14.016031,14.413263,45.551055,-9.325868,-0.028975,-1.335728,15.247909,36.937891,55.041317,2.088354,-0.653446,2.749138,367.618271,1.819429,1.337151,0.217777,3.066406,1.171228,-9.345968,0.821936,-2814800,-21.983266,-3256772235.629941,-1.109011,47.096597,11.916098,24.432814,0,0.072304,0.713282,0.466666,1.337151,-1.478142
04-17-24,217.100006,217.440002,209.899994,208.090408,4798600,219.727728,215.989912,180.577396,-0.028287,0.67076,0.233186,FALSE,TRUE,35.412516,0.439391,-33.188772,14.514649,39.322892,-6.918466,-0.844886,-1.721311,12.785831,30.930423,50.338767,-8.397148,-2.853424,2.912547,437.420176,1.865031,1.334066,0.20624,3.703978,0.665828,-11.430106,1.575605,-7613400,34.841375,-3263874142.654238,-1.1806,36.061014,8.183534,19.301408,0,0.013744,0.131301,0.454137,1.334066,-2.660444
04-18-24,208.860001,210.229996,205.970001,204.400665,5372700,219.055312,216.141129,180.761157,-0.082946,0.663252,0.233564,FALSE,TRUE,35.379972,0.403323,-38.851899,15.234047,36.293492,-7.198816,-1.768843,-2.116214,7.245662,29.554822,47.037118,-6.15909,-6.173223,2.982773,555.302401,1.878902,1.316383,0.196943,4.480766,0.317854,-13.000578,1.708404,-12986100,58.645839,-3273205331.886032,-1.283237,29.125915,2.685956,18.064096,0,-0.021532,-0.203007,0.443783,1.316383,-2.639039
04-19-24,204.800003,206.119995,197.429993,196.249557,6406600,217.730264,216.069109,180.922687,-0.148001,0.654047,0.233929,FALSE,TRUE,35.146422,0.358585,-53.882172,16.956469,30.671925,-14.87913,-3.122814,-2.776148,-0.906788,26.671601,42.735489,-3.719077,-11.897149,3.132958,745.942813,1.940459,1.207126,0.157215,4.800738,-0.434456,-16.469949,1.963886,-19392700,57.805803,-3281352455.224071,-1.244399,20.6362,-5.312144,13.104192,0,-0.116369,-1.036992,0.396504,1.207126,-2.879672
04-22-24,200.440002,203.110001,198.020004,199.484283,4493800,216.5536,215.993071,181.110726,-0.216511,0.643381,0.234281,FALSE,TRUE,34.882345,0.318566,-41.838542,18.555862,34.97626,-4.346632,-3.889989,-2.834659,0.397562,30.774128,45.222894,6.472245,-10.552215,3.204742,838.070348,1.952308,1.231256,0.161788,5.568293,-0.170831,-16.469949,1.339853,-14898900,69.009741,-3283260721.829183,-1.189777,28.506443,-4.450132,16.10375,0,-0.086883,-0.77163,0.402229,1.231256,-2.03674
04-23-24,203.050003,206.860001,202.5,203.648834,3645400,215.628686,215.919358,181.319244,-0.284424,0.631577,0.234624,FALSE,TRUE,34.600114,0.276288,-33.208757,19.138748,40.129991,3.836499,-4.114507,-2.447341,1.818342,35.463225,49.350187,19.59307,-8.327039,3.227794,874.379155,1.938192,1.26164,0.174607,6.033532,0.480872,-16.469949,1.065269,-11253500,59.640902,-3284985039.393237,-1.163884,30.67879,-3.231259,18.682587,0,-0.021147,-0.190644,0.41786,1.26164,-1.370098
