Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
05-16-24,106.900002,106.910004,106.68,102.175377,1492400,101.17472,101.333218,100.207652,-0.009616,-0.007593,-0.000556,TRUE,TRUE,1.125566,-0.007152,45.199244,12.9322,63.4108,5.81586,0.2536,0.1526,1.11,3.15,0.72,-110.872057,1.671248,4.73,59.73,0.2996,0.205785,0.129901,1.0217,0.3075,-2.43,0.761471,-131287000,0.033514,-85289079144.830307,-32.5534,59.7583,-3.79,-9.17,0,0.00,0.2466,0.360418,0.205785,1.6753
05-17-24,106.599998,106.730003,106.57,102.079605,2103100,101.246297,101.330356,100.219335,-0.000229,-0.007399,-0.000532,TRUE,TRUE,1.111021,-0.006976,36.689943,13.3038,61.4795,1.250527,0.2716,0.1365,1.12,3.50,0.67,-115.128581,1.422316,4.67,61.63,0.2994,0.208166,0.132837,0.9537,0.3416,-2.43,1.056404,-133390100,41.651512,-85409226403.851852,-32.9183,53.5286,-4.39,-9.39,0,0.00,0.2784,0.364468,0.208166,1.3521
05-20-24,106.480003,106.610001,106.459999,102.04129,2841700,101.315482,101.325015,100.233929,0.009085,-0.007183,-0.000505,TRUE,TRUE,1.091087,-0.006503,58.662832,13.3475,60.6832,-5.62951,0.2796,0.1156,1.03,3.09,0.97,-116.831462,1.374658,4.65,62.44,0.2979,0.000888,0.001486,0.8162,0.0836,-2.43,1.382933,-136231800,82.020241,-85579488331.439468,-34.4362,54.2114,101.03,103.09,,0.02,1.0056,0.038554,0.000888,1.1625
05-21-24,106.779999,106.839996,106.709999,102.232849,1827900,101.389487,101.32712,100.244686,0.018514,-0.00696,-0.000474,TRUE,TRUE,1.082434,-0.005837,59.043691,13.8458,63.2463,-0.164523,0.2979,0.1072,1.34,3.17,1.40,-146.691857,1.469052,4.63,64.16,0.2986,0.000894,0.001508,0.6778,0.2831,-2.43,0.898639,-134403900,-18.510098,-85707223236.439758,-36.7104,63.6020,-4.53,-8.81,0,0.02,1.0481,0.038832,0.000894,1.3144
05-22-24,106.580002,106.790001,106.580002,102.213707,2187700,101.473003,101.332835,100.254925,0.02782,-0.006715,-0.000441,TRUE,TRUE,1.07791,-0.005483,51.750751,13.9359,62.8057,1.326178,0.3074,0.0933,1.45,2.85,1.57,-276.503296,1.661284,4.60,63.44,0.2981,0.00091,0.001567,0.5748,0.3757,-2.43,1.069824,-136591600,11.000051,-85800384126.070999,-36.9043,55.7099,-3.20,-8.41,0,0.02,1.1447,0.039589,0.00091,1.1676
05-23-24,106.779999,106.779999,106.239998,101.820992,1413600,101.544495,101.333549,100.263294,0.036244,-0.006462,-0.000403,TRUE,TRUE,1.070255,-0.0053,15.572705,13.1251,54.4281,-6.255082,0.2800,0.0527,0.81,2.67,0.87,-351.240624,1.424261,4.58,58.47,0.3000,0.000828,0.00128,0.5446,-0.2483,-2.43,0.708673,-138005200,-41.528789,-85824933640.079391,-36.4882,48.7026,-2.61,-8.65,0,0.01,0.5017,0.035771,0.000828,0.4729
05-24-24,106.279999,106.5,106.279999,101.945503,592900,101.609366,101.349115,100.272521,0.043627,-0.006191,-0.000362,TRUE,TRUE,1.076594,-0.004418,18.252882,12.3721,56.4133,-6.833032,0.2652,0.0304,0.97,2.69,1.31,-340.221861,1.289078,4.58,55.10,0.2978,0.000783,0.001164,0.5108,-0.4171,-2.43,0.303238,-137412300,-57.117026,-85848889341.43187,-36.0126,45.5537,-3.49,-9.12,0,0.01,0.3328,0.034111,0.000783,0.6101
05-28-24,106.589996,106.610001,106.099998,101.63903,1829800,101.646545,101.359882,100.2828,0.050083,-0.005928,-0.000318,TRUE,TRUE,1.077082,-0.003419,5.673989,11.7627,50.5737,-12.232022,0.2262,-0.0069,0.79,2.82,1.46,-367.343411,0.736969,4.59,52.47,0.2965,0.000652,0.000815,0.4951,-1.0218,-2.43,0.92413,-139242100,37.1767,-85882729514.325195,-34.9196,37.8686,-3.40,-8.64,0,-0.01,-0.2864,0.028548,0.000652,-0.0143
05-29-24,105.919998,105.940002,105.660004,101.399582,1883700,101.696014,101.367762,100.292587,0.055282,-0.005662,-0.00027,TRUE,TRUE,1.075175,-0.002946,1.016903,12.1688,46.5217,-7.906411,0.1740,-0.0473,0.23,2.24,1.10,-338.130185,0.985353,4.59,44.22,0.2978,0.000664,0.000836,0.4913,-1.1518,-2.43,0.985049,-141125800,-41.832386,-85941937438.924652,-35.1620,37.3243,-2.47,-7.79,0,-0.01,-0.4196,0.028914,0.000664,-0.6704
05-30-24,106.160004,106.32,106.150002,101.792274,1055200,101.756834,101.380644,100.305372,0.05936,-0.005368,-0.00022,TRUE,TRUE,1.075272,-0.001018,2.013595,11.5702,53.1510,-3.262297,0.1624,-0.0471,0.31,2.24,1.09,-306.963972,1.20942,4.57,35.51,0.2961,0.000685,0.0009,0.4869,-1.2216,-2.43,0.584393,-140070600,-66.903993,-85997090557.89064,-37.6302,34.8453,-2.78,-8.86,0,-0.01,-0.4846,0.030007,0.000685,0.0998
