Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
07-26-24,13.68,13.79,13.49,13.51,8509700,15.143,17.5882,19.36155,-0.234003,0.057524,-0.05483,FALSE,FALSE,-1.77335,-0.049725,-41.155857,29.008083,31.894376,-7.477136,-1.049267,-0.054812,-5.984688,-32.78607,-53.220219,0.735311,-24.860953,4.388284,106.457358,3.719711,0.007432,0.001316,8.314643,-0.251799,-37.250349,1.551442,-61951475,43.458984,-49626178.658041,-0.316167,36.735379,-10.658017,-41.54838,0,0.025711,0.108158,0.036282,0.007432,-1.533947
07-29-24,13.51,13.68,13.23,13.59,9352000,14.951,17.508,19.2715,-0.239883,0.054675,-0.054686,FALSE,FALSE,-1.7635,-0.061285,-37.809178,29.764381,32.785408,-3.332677,-1.051413,-0.045566,-3.342818,-32.522341,-51.464285,14.342652,-22.030982,4.309893,97.271133,3.71092,0.007895,0.001493,7.972938,-0.062055,-37.250349,1.645107,-52599475,74.549255,-44014978.658041,-0.221632,30.004327,-7.487897,-41.091415,0,0.073317,0.309235,0.038642,0.007895,-1.399182
07-30-24,13.26,14.12,13.22,14.01,5705100,14.823,17.4248,19.18355,-0.241935,0.051467,-0.054562,FALSE,FALSE,-1.75875,-0.070904,-25.597267,29.636298,37.414826,4.297462,-1.007608,-0.001409,-6.036215,-26.76424,-50.599436,31.474111,-15.449605,4.435609,91.518821,3.673189,0.00748,0.001368,8.329686,-0.206852,-37.250349,0.99701,-46894375,15.124304,-39704454.896494,-0.143034,35.813411,-10.450704,-35.108788,0,0.03743,0.159474,0.036981,0.00748,-0.888342
07-31-24,13.63,13.8,13.39,13.54,7292100,14.6795,17.3136,19.09525,-0.241439,0.047949,-0.054458,FALSE,FALSE,-1.78165,-0.079874,-27.81457,29.517363,34.547282,2.652906,-0.999298,0.00552,-6.232685,-30.206184,-52.391,12.748996,-17.489335,4.721462,87.748131,3.62602,0.005578,0.00078,8.976192,-0.852052,-37.250349,1.253646,-54186475,34.988893,-41660883.553255,-0.197329,34.784657,-13.131595,-39.698891,0,-0.120846,-0.521195,0.027929,0.005578,-1.298603
08-01-24,13.97,14.06,13.01,13.09,10103500,14.5165,17.179,19.0107,-0.237986,0.044114,-0.054374,FALSE,FALSE,-1.8317,-0.088802,-38.808365,29.803026,32.017124,-0.768284,-1.017297,-0.009983,-7.425744,-33.316349,-52.709538,3.63636,-19.938839,5.162066,85.32925,3.631182,0.004633,0.000536,7.250532,-1.274337,-39.201116,1.6435,-64289975,189.764254,-50224804.348801,-0.256363,28.027846,-12.553396,-42.065011,0,-0.223984,-0.964253,0.023145,0.004633,-1.67176
08-02-24,13.31,13.38,12.71,13.05,6405000,14.389,17.0502,18.93035,-0.232266,0.040002,-0.054308,FALSE,FALSE,-1.88015,-0.097445,-27.342241,30.360026,31.794222,-5.620604,-1.022997,-0.012546,-12.180347,-30.988893,-51.086956,13.600006,-16.346155,4.937057,87.315451,3.628992,0.00446,0.000497,7.991181,-1.347321,-39.386903,1.026671,-70694975,39.731227,-50129205.156719,-0.227571,28.913746,-14.676506,-37.166992,0,-0.241482,-1.040144,0.02229,0.00446,-1.53352
08-05-24,12.86,13.06,12.58,12.94,7359000,14.243,16.898,18.85145,-0.224682,0.035646,-0.054258,FALSE,FALSE,-1.95345,-0.106467,-32.053738,31.001462,31.151924,-3.395358,-1.024579,-0.011303,-17.421828,-33.161161,-52.979653,13.688199,-18.411098,5.045266,85.824237,3.627024,0.005173,0.000985,8.771343,-1.310293,-39.897821,1.143112,-78053975,117.889501,-46449727.088226,-0.197577,23.390517,82.578172,66.838839,,-0.221205,-0.953577,0.031384,0.005173,-1.51822
08-06-24,13.29,13.45,12.97,13.32,5636100,14.1225,16.762,18.77445,-0.215707,0.031109,-0.054223,FALSE,FALSE,-2.01245,-0.113055,-8.898304,30.774923,35.964551,3.947427,-0.983829,0.023558,-17.06102,-30.805196,-52.086331,28.136872,-15.321042,4.622482,80.607484,3.555502,0.003889,0.000587,8.993212,-1.57067,-39.897821,0.863417,-72417875,46.907337,-43866520.187193,-0.15316,30.441462,-16.338175,-36.840356,0,-0.338491,-1.485701,0.024227,0.003889,-0.995565
08-07-24,13.78,14.02,13.63,13.86,4903300,14.04,16.6588,18.70555,-0.205132,0.026405,-0.054198,FALSE,FALSE,-2.04675,-0.119236,-5.112473,29.514001,42.152795,10.358573,-0.897614,0.087818,-14.285717,-25.242724,-53.175677,48.669189,-10.638301,4.488767,73.816988,3.58983,0.005034,0.000964,9.083099,-1.082627,-39.897821,0.746548,-67514575,19.66857,-42986457.30172,-0.140842,29.222568,-13.297115,-30.722812,0,-0.219871,-0.955683,0.031053,0.005034,-0.243847
08-08-24,13.57,14.42,13.43,14.18,7151100,13.988,16.5552,18.64085,-0.194036,0.021587,-0.054186,FALSE,FALSE,-2.08565,-0.123405,-2.390435,27.696754,45.513116,14.361192,-0.79431,0.152898,-11.097176,-22.258769,-52.859041,60.836514,-6.833114,4.664519,68.541651,3.545237,0.004773,0.00089,9.115293,-1.28082,-39.897821,1.063392,-60363475,78.13621,-39302554.796735,-0.097375,31.801901,-11.921875,-29.382021,0,-0.264795,-1.165702,0.029835,0.004773,0.280122
