Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
08-21-24,74.32,74.809998,72.110001,72.599998,2769800,75.499,77.6102,74.34435,-0.225006,0.013467,0.032472,FALSE,FALSE,3.26585,-0.005224,-20.859235,15.8159,38.2556,-10.220503,-0.8108,-0.1946,-4.67,-0.82,0.03,11.693491,-5.481056,2.70,182.84,1.6871,-0.010523,0.01288,4.9998,-0.6010,-13.73,0.866338,190769000,30.086417,88547486.4717,0.0926,37.7557,-8.57,-10.82,0,-0.06,-0.5395,-0.113488,-0.010523,-1.5855
08-22-24,72.830002,74.169998,72.709999,73.580002,3170300,75.305,77.5716,74.338,-0.216763,0.015102,0.032391,FALSE,FALSE,3.2336,-0.009803,1.204833,16.4078,42.0342,-0.830009,-0.8863,-0.2161,-1.72,-0.03,1.80,24.865588,-5.009033,2.44,181.52,1.6475,-0.010767,0.014136,4.9771,-0.8909,-13.73,0.971159,193939300,73.810307,89155503.508776,0.0800,46.1983,-5.76,-8.91,0,-0.09,-0.8434,-0.118895,-0.010767,-0.9503
08-23-24,74.989998,75.760002,74.870003,75.550003,3008600,75.277,77.563,74.3412,-0.205409,0.016469,0.032306,FALSE,TRUE,3.2218,-0.012774,13.261234,15.9423,48.8153,7.414357,-0.7782,-0.0864,1.48,5.05,5.87,51.344118,-0.735774,2.44,180.64,1.6758,-0.010042,0.011909,4.7420,-0.2316,-13.73,0.90932,196947900,41.574514,90744319.960848,0.1092,53.9208,-4.22,-4.27,0,-0.01,-0.1397,-0.109126,-0.010042,0.1511
08-26-24,78.07,78.32,77.620003,77.830002,4196800,75.409,77.6048,74.37135,-0.189368,0.017645,0.032218,TRUE,TRUE,3.23345,-0.013712,28.197065,15.3973,55.3287,17.073078,-0.5028,0.1512,3.29,6.92,8.99,81.019875,3.511104,2.47,189.40,1.7109,-0.009182,0.009558,4.2600,0.4499,-13.73,1.226885,201144700,114.626163,89065599.960848,0.0982,62.2938,-2.20,-3.27,0,0.06,0.5831,-0.097765,-0.009182,1.2782
08-27-24,77.389999,77.599998,76.139999,76.489998,3537500,75.5105,77.613,74.40285,-0.17172,0.018503,0.032129,FALSE,TRUE,3.21015,-0.018179,9.900956,14.4271,51.2046,9.170336,-0.3882,0.2127,-1.51,3.57,5.58,62.039643,2.726294,2.41,189.49,1.7216,-0.009229,0.009527,4.1089,0.3269,-13.73,1.030638,197607200,7.047752,87224155.273993,0.0617,52.9038,-7.04,-6.37,0,0.05,0.4526,-0.097609,-0.009229,0.5169
08-28-24,75.400002,76.230003,74.800003,75.480003,1852500,75.3975,77.5668,74.429,-0.153286,0.018979,0.032036,FALSE,TRUE,3.1378,-0.029462,0.647963,14.1121,48.2833,-0.532035,-0.3745,0.1811,-1.42,2.53,4.24,47.733766,-2.907119,2.48,182.09,1.6481,-0.008882,0.009649,4.0981,0.7711,-13.73,0.562075,195754700,-59.577114,87133473.870505,0.0051,47.2192,-8.32,-7.26,0,0.10,0.9261,-0.09823,-0.008882,0.0453
08-29-24,76.769997,77.650002,76.099998,76.769997,4062000,75.4215,77.5288,74.4539,-0.133464,0.019141,0.03194,FALSE,TRUE,3.0749,-0.040087,2.90235,13.1356,52.0464,-3.282365,-0.2566,0.2392,1.64,4.65,4.71,66.005632,0.629173,2.54,183.64,1.6543,-0.008405,0.008586,4.0649,1.2063,-13.73,1.224508,199816700,11.793037,86583121.875545,0.0193,48.6682,-4.68,-4.96,0,0.15,1.3892,-0.092663,-0.008405,0.7343
08-30-24,75.190002,75.220001,74.120003,74.339996,3341400,75.469,77.4274,74.461,-0.114648,0.018924,0.031841,FALSE,FALSE,2.9664,-0.053655,-22.614649,13.0508,45.3520,-5.852623,-0.3552,0.1125,-0.64,-0.83,0.92,35.118051,1.29445,2.59,179.28,1.7031,-0.00926,0.009811,3.4879,0.5052,-13.73,1.033128,196475300,-33.189371,84578244.794972,-0.0406,38.8005,-6.43,-10.06,0,0.07,0.6378,-0.099053,-0.00926,-0.6297
09-03-24,72.150002,72.150002,70.849998,71.089996,4967800,75.3625,77.2762,74.453,-0.099138,0.018135,0.031737,FALSE,FALSE,2.8232,-0.070366,-30.852566,14.0447,38.2633,-10.019992,-0.6876,-0.1760,-1.03,-3.95,-5.29,3.212822,-2.909048,2.93,198.63,1.7795,-0.010165,0.010797,4.1854,-0.4498,-13.73,1.51196,191507500,26.102297,81444688.777741,-0.1443,36.7589,-6.58,-12.45,0,-0.04,-0.3761,-0.103906,-0.010165,-2.1510
09-04-24,70.620003,71.5,69.550003,69.610001,4701400,75.2205,77.0744,74.44435,-0.087917,0.01674,0.031627,FALSE,FALSE,2.63005,-0.089789,-32.225275,15.3226,35.5391,-16.507252,-1.0583,-0.4373,-2.08,-5.23,-9.50,0.684123,-3.91994,3.04,228.46,1.7987,-0.010478,0.011224,5.0303,-0.7031,-15.52,1.40263,186806100,39.181148,77032594.381247,-0.2006,34.7015,-8.20,-13.57,0,-0.07,-0.6446,-0.105941,-0.010478,-2.4558
09-05-24,70.730003,71.529999,69.510002,69.889999,3482600,74.9805,76.8942,74.45355,-0.081514,0.014767,0.031511,FALSE,FALSE,2.44065,-0.104427,-35.606089,16.5201,36.4608,-8.891186,-1.3143,-0.5547,-2.78,-5.99,-10.12,4.31325,-6.426567,3.09,257.67,1.7436,-0.011021,0.013208,5.7199,-1.1713,-15.52,1.062165,190288700,-29.559061,74860272.236703,-0.2647,36.8063,-8.03,-13.88,0,-0.13,-1.1404,-0.114928,-0.011021,-1.9756
09-06-24,70.550003,70.870003,67.910004,68.93,3708600,74.659,76.6978,74.44445,-0.081001,0.012178,0.03139,FALSE,FALSE,2.25335,-0.120246,-35.207255,18.0607,34.6324,-3.630879,-1.5765,-0.6535,-5.91,-7.14,-12.21,9.798242,-8.532378,3.26,290.68,1.7510,-0.011211,0.013547,6.4644,-1.3840,-16.35,1.119581,186580100,22.222588,73707591.642435,-0.2955,36.1329,-10.03,-13.20,0,-0.15,-1.3646,-0.116391,-0.011211,-1.9709
09-09-24,68.489998,69.660004,68.050003,69.269997,2685200,74.311499,76.4848,74.4293,-0.085463,0.009019,0.031266,FALSE,FALSE,2.0555,-0.134344,-26.353815,19.4912,35.8592,0.320069,-1.7368,-0.6511,-5.14,-5.58,-11.14,13.064299,-9.118348,3.17,311.82,1.7501,-0.0112,0.013539,7.0018,-1.4042,-16.35,0.813556,189265300,-8.15433,75091864.374705,-0.3095,37.9769,-11.50,-13.17,0,-0.15,-1.3833,-0.116359,-0.0112,-1.6168
09-10-24,69.449997,69.489998,66.019997,66.959999,4038100,73.727999,76.2322,74.40145,-0.096046,0.005319,0.031136,FALSE,FALSE,1.83075,-0.152264,-32.482304,21.3282,31.5297,-4.93111,-2.0269,-0.7529,-11.26,-9.05,-14.48,7.642294,-14.841662,3.51,335.07,1.7980,-0.011672,0.013921,7.8148,-1.8110,-18.74,1.236699,185227200,-14.897787,73241558.336272,-0.3788,37.2642,-17.10,-16.14,0,-0.21,-1.8140,-0.117987,-0.011672,-2.0199
09-11-24,67.849998,68.620003,66.370003,67.849998,3143200,73.238499,75.9584,74.38265,-0.110586,0.001153,0.030999,FALSE,FALSE,1.57575,-0.16766,-22.825584,23.0341,34.7961,0.163693,-2.1601,-0.7089,-10.14,-7.50,-13.42,14.87806,-12.609481,3.42,346.24,1.8069,-0.011443,0.013257,8.3421,-1.6732,-18.74,0.95037,188370400,36.613352,74233400.621429,-0.3441,43.0399,-17.79,-15.12,0,-0.19,-1.6639,-0.115137,-0.011443,-1.5563
09-12-24,69.07,70.459999,68.529999,69.889999,4035600,72.9035,75.734,74.378,-0.128308,-0.003354,0.030856,FALSE,FALSE,1.356,-0.176356,-16.872455,23.4991,41.6656,5.806391,-2.0771,-0.5007,-8.02,-6.93,-12.31,31.463429,-8.747875,3.42,344.51,1.8267,-0.011121,0.012257,8.6542,-1.5451,-18.74,1.178952,192406000,134.396236,75885279.994791,-0.2933,43.7863,-16.46,-15.00,0,-0.18,-1.5213,-0.11071,-0.011121,-0.8747
09-13-24,70.199997,70.93,69.120003,69.839996,2453000,72.524999,75.5054,74.3774,-0.148416,-0.008175,0.030709,FALSE,FALSE,1.128,-0.183204,-28.621614,23.6642,41.5500,10.020347,-1.9924,-0.3328,-7.79,-8.47,-12.35,31.0569,-9.779107,3.39,333.82,1.8188,-0.011322,0.012813,9.0449,-1.7268,-18.74,0.708209,189953000,49.527583,75383823.267426,-0.2879,42.9263,-17.97,-17.59,0,-0.20,-1.7127,-0.113195,-0.011322,-0.8043
09-16-24,70.610001,71.220001,70.129997,70.879997,3317900,72.252999,75.2968,74.3755,-0.168368,-0.013294,0.030555,FALSE,FALSE,0.9213,-0.186602,-37.145968,23.6486,44.9684,10.172343,-1.8204,-0.1286,-6.83,-7.14,-12.62,41.788466,-7.127886,3.20,323.26,1.8259,-0.011168,0.012375,8.2536,-1.6406,-18.74,0.946414,193270900,34.002423,76631824.080058,-0.2777,41.4281,-17.93,-16.93,0,-0.19,-1.6187,-0.111242,-0.011168,-0.4247
