Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
08-16-24,23.18,23.200001,23.15,22.320805,43600,22.093888,21.871793,21.397527,0.023118,0.012496,0.003153,TRUE,TRUE,0.474266,0.014314,36.367677,32.5749,64.2435,-3.965267,0.1524,0.0104,4.23,5.22,10.09,-115.376595,2.23553,4.19,22.67,0.3693,0.028993,0.003945,1.0065,2.4124,-2.88,0.491766,-1433800,-68.035191,-1956505211.699538,-28.4615,71.6842,-0.22,-4.36,83.921273,0.07,3.0134,0.062811,0.028993,1.0009
08-19-24,23.17,23.200001,23.16,22.311182,110200,22.11973,21.883976,21.407526,0.024388,0.012647,0.003201,TRUE,TRUE,0.476451,0.014393,30.945658,32.3765,63.5666,-6.185189,0.1480,0.0048,4.47,5.03,10.09,-144.70379,2.371459,4.15,22.01,0.3676,0.023221,0.002523,0.8592,2.5533,-2.88,1.24703,-1544000,-5,-1961292290.871767,-28.2585,72.0124,0.51,-4.65,83.670547,0.07,3.1578,0.050232,0.023221,0.8698
08-20-24,23.27,23.299999,23.25,22.426682,76900,22.153746,21.900384,21.417585,0.025484,0.012785,0.003249,TRUE,TRUE,0.482799,0.014624,32.661693,32.7651,67.9337,4.783497,0.1521,0.0071,4.77,5.34,10.31,-149.520436,3.128453,4.13,21.18,0.3720,0.01831,0.001534,0.8125,2.8595,-2.88,0.897945,-1467100,-41.520913,-1963901757.164588,-29.2185,72.3570,1.20,-3.97,84.415542,0.08,3.4845,0.039163,0.01831,1.2887
08-21-24,23.280001,23.33,23.24,22.417059,141200,22.185362,21.917365,21.426656,0.026324,0.012907,0.003296,TRUE,TRUE,0.490709,0.014762,26.186492,33.2841,67.2109,2.967456,0.1528,0.0062,4.82,5.53,10.56,-146.740245,2.902548,4.09,20.07,0.3719,0.017527,0.001408,0.7318,2.8609,-2.88,1.599094,-1608300,60.454545,-1966625158.224224,-26.8233,72.1912,0.52,-4.47,84.115421,0.08,3.4852,0.037518,0.017527,1.1543
08-22-24,23.24,23.24,23.16,22.320805,148100,22.212644,21.931656,21.435716,0.02681,0.013018,0.003343,TRUE,TRUE,0.495939,0.014538,8.771478,32.8383,60.2994,-3.267218,0.1439,-0.0021,4.60,4.94,10.34,-172.754875,2.505867,4.06,17.78,0.3726,0.014253,0.000921,0.7024,2.8373,-2.88,1.657341,-1756400,16.706068,-1969880381.605957,-26.9563,60.6046,-0.08,-3.94,83.969092,0.08,3.4673,0.030354,0.014253,0.6083
08-23-24,23.219999,23.299999,23.209999,22.407438,99200,22.24234,21.945572,21.444834,0.027093,0.013122,0.003391,TRUE,TRUE,0.500739,0.014234,0,32.7875,63.8978,-4.035887,0.1422,-0.0031,4.96,4.88,9.46,-149.34042,2.722669,4.01,15.59,0.3680,-0.004765,0.000099,0.7024,3.4749,-2.88,1.081494,-1657200,91.136802,-1971748779.317142,-26.7499,60.5695,-0.23,-4.43,83.485869,0.10,4.1851,-0.009938,-0.004765,1.0591
08-26-24,23.26,23.27,23.219999,22.368931,60800,22.266751,21.956422,21.453524,0.027111,0.013216,0.003438,TRUE,TRUE,0.502898,0.013927,20.930254,32.7404,61.2408,-5.970146,0.1362,-0.0073,4.83,4.84,9.62,-159.747818,2.231264,4.04,13.28,0.3679,-0.01315,0.000736,0.6499,3.0923,-2.88,0.668426,-1718000,-20.105125,-1973879330.528281,-25.5405,63.7960,-0.57,-5.36,83.107759,0.09,3.8416,-0.027135,-0.01315,0.7695
08-27-24,23.18,23.24,23.16,22.359304,90800,22.286842,21.96593,21.463058,0.026861,0.013295,0.003484,TRUE,TRUE,0.502872,0.0138,26.829433,31.9908,60.5628,0.263401,0.1292,-0.0114,5.21,5.17,9.57,-162.349539,1.829996,4.05,11.24,0.3588,-0.029117,0.00373,0.5640,2.6087,-2.88,1.002097,-1808800,-7.157464,-1975787710.863497,-24.7332,64.9250,-0.33,-4.78,83.412708,0.08,3.4298,-0.061073,-0.029117,0.6449
08-28-24,23.23,23.23,23.190001,22.330431,58400,22.301171,21.975817,21.472307,0.026439,0.013363,0.003531,TRUE,TRUE,0.503511,0.013831,26.829433,31.2948,58.4718,-5.426081,0.1199,-0.0166,5.55,4.89,9.28,-284.449254,1.300024,4.05,9.70,0.3496,-0.01135,0.00059,0.4434,2.0372,-2.88,0.646196,-1867200,-7.448494,-1978356116.185132,-25.4451,64.4891,-1.35,-4.89,83.638489,0.06,2.8061,-0.024297,-0.01135,0.3018
08-29-24,23.129999,23.139999,23.09,22.234179,42800,22.306368,21.982057,21.48084,0.025765,0.013416,0.003577,TRUE,TRUE,0.501217,0.013855,0,29.5456,52.0235,-9.217293,0.1036,-0.0263,4.71,4.13,8.17,-321.469391,0.46973,4.01,8.98,0.3497,-0.007348,0.000245,0.4434,1.3071,-2.88,0.5035,-1910000,-71.50466,-1979864105.1376,-26.5343,59.9380,-1.61,-5.48,82.898686,0.05,2.0641,-0.01566,-0.007348,-0.8036
