Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
08-13-24,45.700001,46.110001,45.700001,44.586292,40700,44.533823,43.739586,41.804045,0.061673,0.013398,0.019555,TRUE,TRUE,1.935541,0.02617,-6.542055,19.9360,54.7836,8.647029,0.0352,-0.0960,2.35,9.07,14.72,14.802956,-0.474948,3.94,63.92,0.7825,0.986927,0.984213,2.9264,0.4512,-5.25,0.494412,-715300,-54.269663,-917141315.29019,-7.0035,50.4095,-0.14,0.81,101.754419,-0.00,-0.5591,0.992075,0.986927,0.0821
08-14-24,46.07,46.380001,46.07,44.857098,68200,44.513512,43.770297,41.848008,0.052303,0.013994,0.019727,TRUE,TRUE,1.922289,0.028439,5.303001,18.8642,57.4547,9.108779,0.0835,-0.0382,3.02,12.28,16.03,23.399947,-0.897433,3.96,62.10,0.7815,0.987901,0.984227,2.9010,0.4267,-5.25,0.828172,-647100,0.887574,-917743189.836427,-7.1189,56.2902,-0.13,0.77,101.7513,-0.00,-0.4256,0.992082,0.987901,0.5533
08-15-24,46.619999,47.07,46.619999,45.398708,61800,44.533823,43.816446,41.893497,0.043569,0.014653,0.0199,TRUE,TRUE,1.922949,0.031626,14.974179,18.8414,62.2571,12.148035,0.1636,0.0336,4.08,12.04,19.61,40.59393,0.902844,3.99,64.37,0.7959,0.984648,0.984877,2.8468,0.7841,-5.25,0.751505,-585300,-3.588144,-918140437.082644,-6.9285,62.1717,-0.35,0.85,101.62911,-0.01,-0.9744,0.99241,0.984648,1.3436
08-16-24,46.950001,47.060001,46.91,45.485752,47500,44.570091,43.858003,41.939185,0.035812,0.015379,0.020073,TRUE,TRUE,1.918818,0.034521,10.669031,18.8203,62.9803,8.196713,0.2315,0.0811,4.19,10.31,19.90,43.357223,1.620559,3.93,67.67,0.7930,0.983573,0.984669,2.8250,1.0110,-5.25,0.579127,-537800,-8.301158,-919089951.476622,-7.3098,62.2397,-0.27,0.74,101.736949,-0.00,-0.4035,0.992305,0.983573,1.3531
08-19-24,47,47.299999,47,45.592144,43700,44.615548,43.899193,41.983514,0.02915,0.016179,0.020245,TRUE,TRUE,1.915679,0.036976,12.255747,19.1184,63.8910,6.436321,0.2905,0.1121,3.73,10.29,20.66,46.293866,2.034639,3.94,71.42,0.7868,0.981868,0.984629,2.9328,1.3333,-5.25,0.534524,-494100,-10.816327,-919543807.89741,-7.2945,61.7701,-0.23,0.60,101.714099,-0.00,-0.1921,0.992285,0.981868,1.3674
08-20-24,47.169998,47.189999,46.91,45.466408,45900,44.636825,43.945353,42.02211,0.023648,0.017022,0.020417,TRUE,TRUE,1.923243,0.039531,8.611582,19.2057,61.9512,-0.305824,0.3234,0.1160,3.33,10.27,20.29,42.339897,0.944797,3.93,73.36,0.7855,0.979674,0.984676,2.9126,1.0495,-5.25,0.570009,-540000,-34.893617,-920063001.932832,-7.4008,56.2838,-0.25,0.95,101.809699,-0.00,-0.2163,0.992309,0.979674,1.1308
08-21-24,47.060001,47.18,47.02,45.611485,46200,44.67116,43.991919,42.059493,0.019141,0.017905,0.020588,TRUE,TRUE,1.932426,0.042405,1.886739,19.2867,63.3345,0.354199,0.3570,0.1197,4.16,10.93,20.86,46.902058,1.528518,3.82,76.33,0.7858,0.979696,0.985357,2.9439,1.0752,-5.25,0.587599,-493800,-45.130641,-920922620.658245,-7.2935,55.8701,-0.14,0.93,101.815128,-0.00,-0.6174,0.992652,0.979696,1.2320
08-22-24,47.16,47.16,46.915001,45.476082,22600,44.715649,44.042686,42.096955,0.015684,0.018816,0.020759,TRUE,TRUE,1.945731,0.04457,15.63159,19.1181,61.1018,-2.789237,0.3685,0.1050,4.58,9.83,21.04,42.644113,1.995657,3.83,78.37,0.7834,0.980107,0.98522,2.9034,1.1556,-5.25,0.297741,-516400,-70.649351,-921210687.700674,-7.3002,60.5485,-0.11,0.96,101.773278,-0.00,-0.7445,0.992582,0.980107,0.9703
08-23-24,47.27,47.619999,47.25,45.959663,41900,44.785769,44.100053,42.138301,0.013673,0.019781,0.02093,TRUE,TRUE,1.961753,0.046187,55.151309,19.6620,65.7461,3.794888,0.4119,0.1187,5.09,10.42,21.15,52.561842,3.147386,3.97,83.02,0.7594,0.981415,0.983899,3.2431,2.1453,-5.25,0.565872,-474500,-47.029077,-921544832.349257,-7.4134,76.1469,-0.11,1.10,101.868219,-0.00,-0.3554,0.991917,0.981415,1.4141
08-26-24,47.610001,47.75,47.595001,46.070892,46600,44.843557,44.169817,42.180675,0.013017,0.020797,0.0211,TRUE,TRUE,1.989142,0.048385,74.703354,20.3486,66.7301,3.395607,0.4501,0.1255,5.09,11.12,22.07,47.853819,2.573221,4.05,87.85,0.7546,0.986414,0.984858,3.0393,1.9693,-5.25,0.62905,-427900,1.525054,-922507871.490821,-7.7012,91.3315,-0.31,0.92,101.827265,0.000027,0.0047,0.9924,0.986414,1.3971
