Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
02-09-24,41.519115,41.720322,41.468815,38.680641,100096,39.193377,39.013096,37.522007,-0.010927,0.061352,-0.000184,FALSE,TRUE,1.49109,0.036251,-23.638004,24.7180,41.0802,-1.60033,-0.0966,-0.1317,5.82,2.26,-0.85,-134.286541,-1.769447,8.46,36.67,0.6102,0.96863,0.795527,1.8191,1.1808,-8.23,1.016661,-3642705,20.023502,-1981587949.509138,-21.5243,49.5442,-2.53,-3.49,99.049654,-0.03,-1.9936,0.891923,0.96863,-1.3981
02-12-24,41.710262,42.062374,41.710262,38.951134,79421,39.161851,39.045047,37.526776,-0.014896,0.061291,-0.000187,FALSE,TRUE,1.518271,0.034332,-11.141142,24.9420,47.3213,7.350205,-0.0930,-0.1025,6.22,2.68,0.21,-120.135507,-1.592979,8.39,35.86,0.6153,0.970826,0.785538,1.8665,1.3656,-8.23,0.80169,-3563284,18.196565,-1982912047.569049,-21.3508,49.2444,-2.02,-2.96,99.556856,-0.03,-1.4843,0.886306,0.970826,-0.5876
02-13-24,41.740444,41.740444,40.975857,38.279552,153275,39.107887,39.054281,37.526172,-0.018953,0.061013,-0.000189,FALSE,TRUE,1.528108,0.031007,-35.987944,26.3599,36.8770,-0.395837,-0.1428,-0.1218,3.99,1.49,-2.08,-123.508176,-2.742138,8.39,40.55,0.6555,0.916337,0.807875,2.1045,0.7251,-8.23,1.510434,-3716559,45.884492,-1984146365.870518,-19.9329,40.6387,-1.27,-2.26,100.168375,-0.01,-0.4303,0.898818,0.916337,-2.0425
02-14-24,41.519115,41.700199,41.488934,38.596684,100493,39.088814,39.065047,37.525887,-0.022463,0.060563,-0.000189,FALSE,TRUE,1.53916,0.028897,-29.942735,27.6766,43.2469,2.166717,-0.1548,-0.1071,3.40,4.35,-1.76,-108.981523,-0.978647,8.31,42.07,0.6465,0.865386,0.799677,2.2452,0.5889,-8.23,0.999403,-3616066,-15.539325,-1986998380.509245,-20.4741,41.2075,-2.02,-3.25,99.390091,-0.02,-1.2783,0.894247,0.865386,-1.1699
02-15-24,41.770622,42.484909,41.770622,39.305573,104469,39.106114,39.089067,37.52955,-0.025001,0.059976,-0.000187,TRUE,TRUE,1.559517,0.028026,-7.716175,26.5682,54.3392,7.017869,-0.1059,-0.0466,5.04,6.32,0.27,-76.509822,0.888102,8.25,42.22,0.6867,0.891623,0.813977,2.2648,1.1869,-8.23,1.018062,-3511597,65.251985,-1987823907.997672,-19.7746,42.2100,-1.78,-2.92,99.65983,-0.02,-0.9227,0.902207,0.891623,0.4725
02-16-24,42.384308,42.706238,42.384308,39.51078,71667,39.122068,39.116636,37.537611,-0.026712,0.059261,-0.000182,TRUE,TRUE,1.579025,0.026971,-4.145555,25.0257,56.9615,20.084551,-0.0501,0.0074,5.96,7.00,0.94,-67.109976,0.814143,8.21,43.15,0.6820,0.890518,0.805786,2.2711,1.6623,-8.23,0.710902,-3439930,-33.487703,-1989174965.803104,-20.0358,41.9766,-0.97,-2.87,100.026374,-0.01,-0.4939,0.897656,0.890518,0.9008
02-20-24,42.52515,42.917503,42.52515,39.632042,109042,39.143156,39.151809,37.546502,-0.027296,0.058441,-0.000174,TRUE,TRUE,1.605307,0.025771,-3.886485,23.3463,58.4790,15.232046,0.0039,0.0492,5.04,7.44,1.31,-67.123272,1.075667,8.17,44.61,0.6799,0.887777,0.80612,1.9422,1.9300,-8.23,1.097003,-3330888,-20.564431,-1990892101.9231,-19.6132,43.6307,-1.06,-2.37,100.364172,0.00,0.1662,0.897842,0.887777,1.0959
02-21-24,42.726357,42.857143,42.625755,39.725307,72363,39.16798,39.189403,37.557928,-0.02692,0.057528,-0.000163,TRUE,TRUE,1.631475,0.024585,7.808463,21.7869,59.6572,5.318011,0.0537,0.0791,5.08,8.14,1.74,-64.40664,1.265597,8.16,46.46,0.6799,0.88057,0.797021,2.1325,2.0311,-8.23,0.733204,-3258525,-16.32207,-1992778604.152044,-19.5129,49.8760,-0.42,-1.47,100.91017,0.01,0.6108,0.89276,0.88057,1.1997
02-22-24,42.957745,43.088531,42.877262,39.865219,299790,39.192835,39.225725,37.566996,-0.02565,0.056518,-0.00015,TRUE,TRUE,1.658729,0.02353,13.36647,20.8509,61.4255,4.464025,0.1032,0.1029,6.17,9.44,3.30,-52.570216,1.262699,8.15,48.85,0.6806,0.873436,0.793779,2.4100,2.1467,-8.23,2.750694,-2958735,219.153013,-2001626536.589615,-20.3695,63.1459,-0.86,-1.68,100.491865,0.01,0.2780,0.890943,0.873436,1.3764
02-23-24,43.038231,43.179073,42.927567,39.967812,93535,39.214,39.263175,37.576713,-0.023631,0.055422,-0.000134,TRUE,TRUE,1.686462,0.022055,24.352072,20.1758,62.7161,4.237068,0.1489,0.1189,6.84,9.02,4.14,-45.753342,1.070395,8.17,51.31,0.6723,0.862742,0.791829,2.5632,2.5557,-8.23,0.854597,-2865200,10.96677,-2003921528.351077,-19.9617,70.0417,-0.76,-1.62,100.182678,0.01,0.4688,0.889848,0.862742,1.4692
02-26-24,43.068409,43.189137,42.73642,39.706646,92541,39.21932,39.29873,37.585932,-0.02098,0.054265,-0.000116,TRUE,TRUE,1.712798,0.019792,27.999686,19.0447,57.4471,-2.210051,0.1623,0.1058,6.17,8.55,3.55,-57.345251,0.268723,8.27,51.78,0.6773,0.86638,0.79806,2.4316,2.4072,-8.23,0.840136,-2957741,17.847592,-2005252716.877001,-18.7955,70.7771,-0.95,-2.07,100.048991,0.01,0.5761,0.893342,0.86638,0.9411
02-27-24,42.837021,42.877262,42.615692,39.678673,83496,39.219528,39.319483,37.595551,-0.017789,0.053068,-0.000096,TRUE,TRUE,1.723932,0.01788,24.175977,17.6865,56.8958,-4.529751,0.1687,0.0898,6.04,8.50,2.88,-58.60913,0.01048,8.26,51.80,0.6705,0.860007,0.801829,2.3236,2.0605,-8.23,0.755804,-3041237,8.387097,-2007211270.331885,-19.0036,65.3873,-0.94,-1.60,100.163532,0.01,0.2869,0.895449,0.860007,0.8863
02-28-24,42.766602,42.957745,42.73642,39.641361,98307,39.2123,39.332461,37.604714,-0.014155,0.051839,-0.000073,TRUE,TRUE,1.727747,0.016566,28.774702,16.6310,56.1221,-6.594004,0.1688,0.0719,6.70,7.09,2.67,-60.294934,-0.363359,8.30,51.07,0.6540,0.845518,0.809685,2.1742,1.5716,-8.23,0.877283,-3139544,47.612541,-2010059072.5923,-19.3924,71.1565,-0.44,-1.72,100.316876,-0.00,-0.1418,0.899825,0.845518,0.8402
02-29-24,42.837021,42.977867,42.706238,39.996365,95424,39.24031,39.360863,37.615472,-0.00991,0.050582,-0.000049,TRUE,TRUE,1.745391,0.01614,42.327464,15.5663,61.4883,4.041176,0.1952,0.0787,8.01,6.84,4.16,-44.255237,1.420533,8.28,53.82,0.6585,0.858391,0.808559,2.0022,1.6650,-8.23,0.857948,-3044120,-14.893465,-2012058465.776021,-19.7774,78.9707,0.24,-1.14,100.59316,0.01,0.3093,0.899199,0.858391,1.4047
03-01-24,43.118713,43.430584,43.05835,40.296108,112918,39.287039,39.391746,37.626651,-0.004927,0.049313,-0.000022,TRUE,TRUE,1.765095,0.016175,44.730819,15.6775,65.3424,8.446656,0.2377,0.0969,7.88,7.38,4.99,-27.691409,2.374334,8.27,58.76,0.6641,0.859556,0.812893,2.3607,1.9013,-8.23,1.021488,-2931202,-10.762155,-2013847246.172438,-19.8676,79.1987,-0.32,-1.17,100.482401,0.00,0.1505,0.901606,0.859556,1.7173
03-04-24,43.259556,43.329979,43.138832,40.183708,100195,39.341672,39.412796,37.640683,0.000416,0.048002,0.000007,TRUE,TRUE,1.772113,0.015952,35.691231,15.7808,62.8043,6.682194,0.2592,0.0948,6.26,7.79,4.43,-32.270331,2.795174,8.23,61.84,0.6659,0.860445,0.813692,2.1869,1.7565,-8.23,0.914533,-3031397,-16.417798,-2017045463.853846,-20.6998,73.1061,-0.98,-0.60,100.446959,0.00,0.0654,0.902049,0.860445,1.3616
03-05-24,43.189137,43.511066,43.158955,40.371029,110235,39.423859,39.443512,37.654797,0.005951,0.046645,0.000038,TRUE,TRUE,1.788715,0.015483,70.439595,16.2779,65.2284,3.740072,0.2881,0.0989,6.08,7.14,3.83,-55.283442,4.244422,8.28,64.13,0.6598,0.856427,0.807422,1.8770,2.2317,-8.23,1.006905,-2921162,-1.421865,-2018901320.428859,-20.8886,82.0503,-0.28,-0.06,100.761333,0.01,0.5611,0.898566,0.856427,1.4770
03-06-24,43.63179,43.712273,43.420525,40.539646,100195,39.507949,39.471681,37.66989,0.011847,0.045262,0.000072,TRUE,TRUE,1.801791,0.015104,68.883179,17.1533,67.2946,1.952202,0.3209,0.1054,6.39,7.98,4.31,-63.398442,4.328055,8.24,67.26,0.6606,0.85688,0.806071,1.8177,2.4258,-8.23,0.910362,-2820967,13.131598,-2020980274.973184,-20.7570,82.1014,-0.27,-0.21,100.966623,0.01,0.8106,0.897815,0.85688,1.5338
03-07-24,43.661972,43.812878,43.64185,40.717617,82403,39.608865,39.49971,37.685647,0.01814,0.043869,0.000107,TRUE,TRUE,1.814062,0.015213,61.668191,18.1643,69.3639,6.559683,0.3571,0.1133,6.78,9.77,5.77,-116.668491,5.215387,8.09,69.59,0.6596,0.844541,0.803122,2.0020,2.3897,-8.23,0.751012,-2738564,-7.580584,-2023880524.594499,-21.0954,81.8826,-0.81,-0.52,100.462132,0.01,0.2984,0.896171,0.844541,1.5932
03-08-24,43.812878,43.863178,43.601608,40.708248,171664,39.717707,39.522557,37.701898,0.024798,0.042451,0.000145,TRUE,TRUE,1.820659,0.015236,57.18822,19.2036,69.1160,3.887632,0.3807,0.1095,7.49,10.15,5.72,-135.789552,5.649547,8.05,68.87,0.6599,0.84326,0.802696,1.8386,2.3309,-8.23,1.538533,-2910228,27.547775,-2027849916.306088,-21.7704,83.0381,-0.54,-0.30,100.621014,0.01,0.4371,0.895933,0.84326,1.4382
03-11-24,43.63179,43.863178,43.531185,40.839382,137271,39.825644,39.550497,37.721141,0.031711,0.04102,0.000186,TRUE,TRUE,1.829356,0.015047,57.389124,19.8847,70.6948,3.400188,0.4053,0.1073,7.91,10.64,7.58,-142.391161,5.580934,7.98,68.68,0.6564,0.840906,0.800162,1.9405,2.6491,-8.23,1.210127,-2772957,37.139346,-2030213176.23956,-21.4330,83.3599,-0.31,-0.34,100.792959,0.01,0.7535,0.894518,0.840906,1.4760
03-12-24,43.903419,43.933601,43.762573,40.904949,89858,39.923335,39.577705,37.742869,0.038572,0.039605,0.000229,TRUE,TRUE,1.834836,0.01601,56.820621,20.6763,71.4799,2.115948,0.4252,0.1017,7.51,10.57,9.45,-129.807342,5.016068,7.94,69.48,0.6149,0.816617,0.776804,1.9281,2.0894,-8.23,0.788525,-2683099,13.141361,-2033305819.4705,-22.1109,83.5563,-0.83,-0.19,100.560524,0.01,0.4292,0.881365,0.816617,1.4128
03-13-24,43.993965,44.205231,43.993965,41.12038,85981,40.065376,39.606994,37.764416,0.045464,0.038228,0.000275,TRUE,TRUE,1.842578,0.017797,58.336185,21.9776,73.9492,4.833232,0.4531,0.1037,7.94,10.36,11.79,-94.072064,7.421267,7.89,62.82,0.6082,0.809342,0.776303,2.2298,1.9456,-8.23,0.777459,-2597118,-43.904094,-2035730787.341072,-23.3219,81.1894,-0.90,-0.88,100.456436,0.00,0.1994,0.881081,0.809342,1.6793
03-14-24,44.205231,44.205231,43.722336,40.904949,76936,40.18079,39.629931,37.783987,0.052264,0.036914,0.000323,TRUE,TRUE,1.845944,0.018406,41.384986,22.0939,67.6421,-3.052763,0.4526,0.0826,7.85,9.46,10.77,-107.62513,5.980477,7.89,55.16,0.5946,0.80856,0.765931,2.1048,2.2321,-8.23,0.703161,-2674054,-23.441434,-2036705469.242674,-22.7150,75.5782,-0.70,-0.61,100.560524,0.00,0.2083,0.875175,0.80856,1.3129
03-15-24,43.661972,43.812878,43.611671,40.860752,108744,40.258549,39.651613,37.80518,0.058807,0.03567,0.000373,TRUE,TRUE,1.846434,0.019112,56.367424,21.7952,66.3910,-5.088889,0.4436,0.0588,5.74,7.84,13.22,-110.405627,3.956639,7.85,53.09,0.5933,0.808841,0.764347,1.9012,1.9855,-8.23,0.991934,-2782798,4.092123,-2039787739.526796,-23.7000,74.6301,-0.87,-0.57,100.45187,0.00,0.0922,0.874269,0.808841,1.1342
03-18-24,43.792755,43.792755,43.511066,40.813732,119976,40.323696,39.667898,37.828339,0.064798,0.03451,0.000425,TRUE,TRUE,1.839559,0.020266,54.926208,21.1543,65.0133,-8.935909,0.4277,0.0343,4.67,7.48,12.59,-126.251807,3.297712,7.81,51.40,0.5823,0.803093,0.756471,1.6662,1.5263,-8.03,1.070796,-2902774,67.407593,-2042205396.548423,-23.6651,72.6997,-1.07,-0.66,100.426796,-0.00,-0.0611,0.869754,0.803093,0.9533
03-19-24,43.732395,43.963783,43.732395,40.945385,78625,40.389363,39.683659,37.851255,0.070254,0.033444,0.000478,TRUE,TRUE,1.832404,0.021041,60.347494,21.0151,67.0735,-0.568525,0.4208,0.0220,6.14,8.06,14.54,-117.469055,3.313841,7.77,50.48,0.5728,0.811615,0.746454,1.3656,2.0497,-7.20,0.711391,-2824149,-27.894756,-2044178057.447,-24.1063,72.3792,-1.08,-0.84,100.659931,-0.000441,-0.0243,0.863976,0.811615,1.1014
03-20-24,43.712273,44.014084,43.661972,41.114651,81607,40.458831,39.709676,37.870955,0.075221,0.032481,0.000533,TRUE,TRUE,1.838721,0.022478,56.618627,20.6181,69.5557,3.164733,0.4242,0.0203,6.10,9.49,13.98,-169.47693,3.497376,7.69,50.42,0.5676,0.799719,0.738707,1.1538,1.9060,-7.16,0.735297,-2742542,12.774484,-2045440421.474973,-23.7247,72.1596,-1.44,-1.73,100.233011,-0.01,-0.2796,0.859481,0.799719,1.3007
03-21-24,44.114689,44.336018,44.084507,41.321541,133991,40.531647,39.742803,37.893225,0.079678,0.031657,0.000589,TRUE,TRUE,1.849578,0.024457,54.478594,21.0591,72.3040,7.290674,0.4385,0.0277,5.60,10.09,13.46,-151.796963,3.653114,7.61,51.89,0.5680,0.79926,0.732611,1.4207,1.9189,-5.66,1.304746,-2608551,-55.305047,-2048518324.728355,-22.8306,72.6102,-1.05,-1.32,100.557647,-0.000625,-0.0338,0.855927,0.79926,1.5222
03-22-24,44.285713,44.336018,43.943661,41.152264,94231,40.590869,39.777929,37.913609,0.083303,0.03095,0.000647,TRUE,TRUE,1.864319,0.02647,49.947574,20.9305,66.9765,-0.097011,0.4312,0.0163,5.97,11.40,13.89,-170.482888,2.963515,7.64,51.88,0.5669,0.797695,0.731707,1.2202,1.4352,-5.64,0.917269,-2702782,0.744106,-2049953356.198692,-22.4043,72.7997,-1.36,-1.89,100.654514,-0.00,-0.0835,0.855399,0.797695,1.0822
03-25-24,44.024143,44.255531,44.014084,41.274525,97810,40.669263,39.815871,37.934561,0.086061,0.030366,0.000706,TRUE,TRUE,1.88131,0.028387,48.209982,20.8111,68.7665,-0.789194,0.4303,0.0123,5.48,11.82,15.11,-234.409207,3.948656,7.58,49.61,0.5654,0.792758,0.722509,1.0544,1.7239,-5.64,0.949673,-2604972,5.693693,-2052270748.83812,-22.8258,72.6064,-0.84,-1.49,101.074393,0.01,0.3460,0.850005,0.792758,1.2201
03-26-24,44.164989,44.255531,44.024143,41.152264,65505,40.742943,39.847283,37.954585,0.087695,0.029887,0.000766,TRUE,TRUE,1.892699,0.030174,33.517974,20.7002,64.9738,-7.330237,0.4150,-0.0024,4.67,11.43,14.54,-285.932413,3.713811,7.54,44.84,0.5669,0.794092,0.723626,0.9317,1.4602,-4.76,0.641616,-2670477,-21.54714,-2053962288.004993,-22.8961,67.3401,-0.93,-1.45,100.986521,0.00,0.1266,0.850662,0.794092,0.9129
03-27-24,44.134808,44.426559,44.094566,41.528427,78228,40.837296,39.890675,37.976805,0.088272,0.029483,0.000829,TRUE,TRUE,1.91387,0.032677,40.021805,21.0740,70.3857,3.409183,0.4282,0.0087,4.96,13.57,14.54,-216.565205,4.760346,7.47,40.03,0.5768,0.80846,0.745038,1.2790,1.7254,-4.76,0.773846,-2592249,-20.424792,-2055249841.964869,-22.3518,67.2708,-0.88,-1.73,100.941073,-0.00,-0.2719,0.863156,0.80846,1.7264
03-28-24,44.486923,44.728371,44.456741,41.735325,63218,40.924244,39.945819,38.000828,0.088089,0.029154,0.000893,TRUE,TRUE,1.944991,0.035589,46.192937,22.1393,72.8688,4.102262,0.4502,0.0246,5.81,14.71,14.91,-145.87492,4.347796,7.44,39.69,0.5789,0.814068,0.748721,1.6060,1.8292,-4.76,0.635487,-2529031,-33.750419,-2056579804.645205,-22.3771,64.6175,-0.61,-1.53,101.203502,-0.01,-0.3545,0.865286,0.814068,2.0435
04-01-24,44.688129,44.688129,44.396378,41.688301,114211,40.993854,40.000393,38.023577,0.087107,0.028901,0.00096,TRUE,TRUE,1.976817,0.038345,39.681357,22.8526,71.4034,6.429618,0.4586,0.0263,5.42,13.93,13.58,-149.737864,3.454906,7.42,40.30,0.5794,0.814846,0.748371,1.5003,1.7547,-4.68,1.14734,-2643242,1.145079,-2058814256.598278,-22.5865,55.0888,-0.90,-1.40,100.999691,-0.01,-0.4068,0.865085,0.814846,1.7233
04-02-24,44.436619,44.507042,44.275654,41.519032,103376,41.06062,40.04694,38.045976,0.085374,0.028733,0.001028,TRUE,TRUE,2.000964,0.041095,27.377211,22.9707,66.2395,-4.146205,0.4464,0.0113,4.70,13.84,12.63,-163.643144,3.323047,7.40,37.10,0.5792,0.80774,0.753234,1.4098,1.3138,-4.68,1.036837,-2746618,3.174809,-2061380754.929814,-22.2336,47.6077,-1.23,-0.97,101.249005,-0.01,-0.5645,0.867891,0.80774,1.2355
04-03-24,44.426559,44.617706,44.366196,41.566051,84788,41.120371,40.094056,38.068114,0.083207,0.028663,0.001098,TRUE,TRUE,2.025942,0.044106,21.481947,23.3708,66.9544,-5.914368,0.4355,3.567603642344319E-4,4.55,16.55,12.22,-159.780514,2.960099,7.36,34.98,0.5777,0.810136,0.752269,1.3580,1.1885,-4.68,0.861396,-2661830,-23.08432,-2063353484.090647,-22.5804,47.5921,-1.61,-0.46,101.273133,-0.01,-0.4374,0.867335,0.810136,1.2743
04-04-24,44.597588,44.778671,44.346077,41.584854,172558,41.172631,40.141176,38.090572,0.080564,0.028679,0.00117,TRUE,TRUE,2.050604,0.046486,36.203629,24.1393,67.2531,-4.150333,0.4235,-0.0093,4.55,17.91,10.56,-151.956846,2.578237,7.37,33.62,0.5650,0.791874,0.74761,1.2532,1.6368,-4.68,1.690932,-2489272,72.222167,-2065728896.319038,-21.9251,56.7212,-1.00,0.27,101.682202,0.01,0.4014,0.864645,0.791874,1.2260
04-05-24,44.597588,44.798794,44.446678,41.848175,175839,41.229159,40.190777,38.114526,0.077819,0.028789,0.001245,TRUE,TRUE,2.076251,0.048948,47.084579,24.9017,71.1810,4.941459,0.4303,-0.0020,4.62,18.93,11.61,-129.133809,2.776582,7.38,35.05,0.5665,0.785861,0.758647,1.3390,2.1027,-4.68,1.647654,-2313433,113.389076,-2068500008.851306,-20.9048,66.1238,-1.66,0.30,101.327047,0.01,0.7284,0.871004,0.785861,1.7663
04-08-24,44.859154,44.919518,44.698189,41.951618,123057,41.291328,40.238919,38.140803,0.075243,0.028991,0.001323,TRUE,TRUE,2.098116,0.051002,52.837709,25.9018,72.5727,5.618323,0.4390,0.0053,4.47,18.08,11.67,-136.007317,3.054344,7.39,36.32,0.5577,0.776509,0.757102,1.3697,2.5751,-4.68,1.179944,-2190376,-28.315197,-2071677208.244584,-21.0121,74.3136,-1.16,0.15,101.577514,0.02,1.4034,0.870116,0.776509,1.8178
04-09-24,44.899395,45.020123,44.657948,42.045662,78625,41.351642,40.287828,38.167957,0.072867,0.029266,0.001405,TRUE,TRUE,2.119871,0.053037,51.999438,27.0633,73.8110,6.557982,0.4483,0.0117,5.61,18.11,11.92,-119.008176,2.953717,7.36,38.38,0.5575,0.775556,0.758998,1.3986,2.7046,-4.68,0.775714,-2111751,-42.722789,-2072890041.642869,-21.0525,74.3461,-0.98,0.17,101.355392,0.03,1.5087,0.871205,0.775556,1.8083
04-10-24,44.708248,44.708248,44.295776,41.641285,131208,41.388459,40.327163,38.194848,0.070265,0.029589,0.001489,TRUE,TRUE,2.132315,0.054606,22.399945,26.4021,61.0480,-10.132974,0.4182,-0.0147,4.98,15.22,10.29,-213.883652,1.800114,7.36,37.39,0.5718,0.787886,0.766364,1.2930,1.9522,-4.68,1.268621,-2242959,46.017049,-2074710046.477554,-20.0164,66.5459,-0.73,-0.19,101.12527,0.01,0.7664,0.875422,0.787886,0.6762
