Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
07-31-24,50.950001,51.16,50.77,49.162518,7592900,48.821633,48.398539,45.831258,0.053122,0.023213,0.019651,TRUE,TRUE,2.56728,0.00821,-1.408474,13.4412,56.4682,6.52085,0.0874,-0.0482,6.04,8.46,10.68,-8.046385,2.703244,3.99,49.48,0.7612,0.001258,0.000898,2.0528,0.9857,-4.85,0.944226,-497678500,-24.68183,-145135917349.657288,-10.2069,40.6187,-0.86,-1.03,0,0.07,1.4041,0.029973,0.001258,0.6890
08-01-24,50.34,50.48,49.360001,47.907143,8740300,48.795077,48.3785,45.867519,0.053174,0.023268,0.019817,FALSE,TRUE,2.510981,0.006423,-29.211797,13.6685,44.3862,-3.558593,0.0207,-0.0920,3.46,6.30,9.07,-69.703191,-1.096481,3.93,52.95,0.8267,0.000837,0.000337,2.1256,-0.1615,-4.85,1.076342,-506418800,22.055887,-145167333411.506866,-9.9619,33.4717,-1.67,-2.45,0,0.01,0.1783,0.018359,0.000837,-1.6770
08-02-24,48.919998,49.009998,48.369999,47.067005,13257200,48.711064,48.34319,45.897983,0.050698,0.023222,0.019984,FALSE,TRUE,2.445207,0.003365,-34.100733,14.8056,38.4561,-10.69618,-0.0989,-0.1692,0.17,3.34,9.27,-42.721118,-3.446903,3.91,65.57,0.8571,0.000687,0.000211,2.5339,-0.7404,-5.36,1.574566,-519676000,82.282171,-145234572066.319336,-9.6827,31.6224,-2.32,-2.84,0,-0.02,-0.4319,0.014527,0.000687,-2.5073
08-05-24,46.869999,47.900002,46.799999,45.966129,22549300,48.582629,48.295047,45.922896,0.044913,0.02301,0.02015,FALSE,TRUE,2.372151,-0.001534,-48.908953,16.9168,32.3560,-24.112247,-0.2792,-0.2796,-3.06,1.65,7.04,-18.407714,-5.292478,3.85,89.86,0.9077,0.00818,0.039277,2.7751,-1.3517,-7.57,2.468296,-542225300,174.002382,-145291308901.1922,-8.7266,23.0817,96.94,101.65,,-0.02,-0.3935,0.198184,0.00818,-2.9117
08-06-24,47.200001,47.959999,47.119999,46.043388,13854100,48.466265,48.253806,45.951668,0.036499,0.022641,0.020315,FALSE,TRUE,2.302138,-0.005605,-45.382561,18.7890,33.1573,-11.228896,-0.4111,-0.3292,-3.65,2.49,6.92,-17.002489,-4.811327,3.90,106.31,0.9022,0.008025,0.038283,3.0030,-1.5279,-7.57,1.547236,-528371200,-20.759908,-145340676019.577209,-7.9732,31.9825,-2.93,-3.55,0,-0.04,-0.6397,0.19566,0.008025,-2.2790
08-07-24,48.580002,48.740002,47.880001,46.265491,8239300,48.327208,48.209163,45.983195,0.025788,0.022146,0.02048,FALSE,TRUE,2.225968,-0.009161,-37.072547,19.4331,35.5221,-2.933992,-0.4921,-0.3282,-3.32,2.35,6.58,-12.25935,-5.670413,4.00,116.06,0.9049,0.008105,0.038808,3.3875,-1.3939,-7.57,0.919911,-520131900,0.619153,-145379851178.559479,-7.7850,37.6506,-2.34,-3.13,0,-0.03,-0.4953,0.196997,0.008105,-1.7764
08-08-24,48.369999,48.77,48.130001,47.057346,8135100,48.218087,48.180165,46.020558,0.014045,0.021571,0.020645,FALSE,TRUE,2.159607,-0.011329,-20.306518,19.9909,43.2332,10.877188,-0.4868,-0.2583,-1.57,4.04,9.22,5.902456,-4.432243,4.07,117.29,0.9335,0.008519,0.040291,3.5622,-0.8605,-7.57,0.905409,-511996800,7.499075,-145415255534.084839,-7.4352,44.3581,-2.40,-3.09,0,0.00,0.0660,0.200727,0.008519,-0.9897
08-09-24,48.610001,48.93,48.490002,47.221516,6351100,48.092549,48.171098,46.058649,0.00123,0.020927,0.02081,FALSE,TRUE,2.112449,-0.012598,-25.432717,20.2841,44.7095,11.552163,-0.4639,-0.1884,-1.95,4.58,9.51,9.667806,-5.04854,4.00,113.60,0.9299,0.00846,0.040049,3.7148,-0.9622,-7.57,0.708685,-505645700,-6.807043,-145458226210.107666,-7.3207,43.7445,-2.63,-2.96,0,-0.00,-0.0433,0.200123,0.00846,-0.7667
08-12-24,48.919998,49.060001,48.75,47.240818,5173900,47.986807,48.153807,46.09585,-0.011851,0.020213,0.020974,FALSE,TRUE,2.057957,-0.012937,-22.420975,20.3687,44.8910,9.36883,-0.4392,-0.1309,-1.95,4.25,9.22,10.110521,-4.284887,4.04,111.04,0.9198,0.00828,0.039228,3.8543,-1.2504,-7.57,0.581486,-500471800,-19.855322,-145513776381.311737,-7.2981,47.7828,-3.19,-3.20,0,-0.02,-0.3512,0.19806,0.00828,-0.6718
08-13-24,49.23,49.759998,49.220001,48.013367,5785200,47.905208,48.143547,46.138651,-0.024008,0.019444,0.021138,FALSE,TRUE,2.004896,-0.012382,-2.68806,19.4983,51.7210,8.487829,-0.3532,-0.0359,-0.33,5.68,11.64,27.829525,-3.287293,4.10,103.99,0.9428,0.008736,0.041557,3.8698,-0.6021,-7.57,0.651338,-494686600,-5.146661,-145545415875.799469,-7.2642,52.6440,-2.82,-2.57,0,0.02,0.3426,0.203856,0.008736,0.1040
08-14-24,49.810001,49.950001,49.73,48.196842,5432900,47.846785,48.134469,46.183825,-0.034973,0.018629,0.021302,TRUE,TRUE,1.950644,-0.011196,4.098321,18.4507,53.2043,8.494844,-0.2672,0.0401,-0.64,8.01,12.53,32.037678,-2.366975,4.10,98.49,0.9430,0.008741,0.041581,3.8452,-0.5939,-7.57,0.619764,-489253700,-29.913438,-145626570997.092285,-7.2683,58.3414,-3.79,-3.50,0,0.02,0.3517,0.203914,0.008741,0.3554
