Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
08-23-24,36.509998,36.639999,36.48,35.592976,10300,35.245409,35.359083,33.334781,-0.028861,0.020818,0.012236,TRUE,TRUE,2.024301,0.011237,14.83877,12.7801,53.2127,-0.759288,0.0900,0.0585,1.10,8.89,14.41,37.207321,1.864215,3.37,49.75,0.8551,0.646264,0.336497,2.6564,0.4893,-6.48,0.412826,-2879500,-67.711599,-439996446.606306,-8.9641,57.2125,-4.09,-0.43,87.611044,-0.04,-0.8483,0.580084,0.646264,0.6986
08-26-24,36.43,36.43,36.23,35.281872,12200,35.242007,35.366064,33.35543,-0.026473,0.019953,0.012382,FALSE,TRUE,2.010634,0.010299,33.500222,12.6411,49.1308,-5.97001,0.0702,0.0310,-0.76,8.19,13.51,6.762589,-0.192505,3.48,49.70,0.8612,0.668043,0.346736,2.2557,0.3458,-6.48,0.496439,-2891700,-38.071066,-440124317.750139,-8.9379,64.1205,-6.16,-2.01,86.600772,-0.04,-0.9006,0.588843,0.668043,0.0802
08-27-24,36.18,36.259998,36.18,35.223534,13800,35.23909,35.370521,33.377073,-0.023373,0.019082,0.012525,FALSE,TRUE,1.993448,0.008522,27.034122,12.6139,48.3813,-1.573738,0.0493,0.0080,0.53,7.53,13.19,-18.763747,-0.165349,3.35,49.69,0.8462,0.717499,0.40706,1.9175,0.6766,-6.48,0.578253,-2905500,-50.714286,-440468106.935204,-9.2985,58.3647,-5.01,-2.42,86.812178,-0.01,-0.2576,0.638012,0.717499,-0.0313
08-28-24,36.139999,36.189999,36.02,35.097145,9500,35.235201,35.368379,33.397085,-0.019783,0.018195,0.012668,FALSE,TRUE,1.971294,0.007075,7.033631,12.9164,46.7186,-6.494142,0.0222,-0.0153,0.92,8.46,11.73,-52.889857,-0.221107,3.22,49.78,0.8382,0.754136,0.453438,1.8511,0.2478,-6.48,0.40607,-2915000,-49.73545,-440580750.70596,-9.4238,53.4363,-5.98,-1.32,86.846969,-0.04,-1.0332,0.673378,0.754136,-0.2774
08-29-24,36.169998,36.27,36.130001,35.155479,22800,35.206521,35.362555,33.416959,-0.015852,0.017289,0.012808,FALSE,TRUE,1.945596,0.004953,6.748527,12.9688,47.6135,-1.517343,0.0054,-0.0257,1.51,8.38,10.81,-76.774704,-1.605449,3.22,48.42,0.8210,0.736548,0.447003,1.7894,0.7134,-6.48,0.991736,-2892200,-26.213592,-440920967.708685,-9.5899,53.3509,-4.81,-1.22,86.595112,-0.03,-0.7057,0.668583,0.736548,-0.1054
08-30-24,36.5,36.5,36.169998,35.233253,10300,35.202145,35.359256,33.434887,-0.011801,0.016357,0.012946,FALSE,TRUE,1.924369,0.003675,3.491976,12.3829,48.8471,0.465704,-0.0016,-0.0261,2.98,7.34,11.66,-69.704326,-0.247745,3.23,48.35,0.8039,0.72051,0.444596,1.7621,0.3619,-6.48,0.455853,-2881900,-43.406593,-440989742.961841,-9.6606,49.4855,-2.81,-1.89,86.344271,-0.04,-1.1268,0.66678,0.72051,0.0643
09-03-24,36.169998,36.169998,35.810001,34.873535,27300,35.199715,35.351284,33.450113,-0.0077,0.015392,0.013083,FALSE,TRUE,1.901171,0.002017,-13.855558,12.6307,43.7193,-2.99932,-0.0358,-0.0483,0.89,6.50,12.03,-72.594444,-0.139186,3.21,48.51,0.8137,0.728553,0.456865,1.8844,-0.1112,-6.48,1.248856,-2909200,-35,-441159074.935646,-9.7314,39.4262,-4.66,-2.01,86.244326,-0.05,-1.3971,0.675918,0.728553,-0.6725
09-04-24,35.900002,35.919998,35.740002,34.776314,25300,35.239576,35.342923,33.465614,-0.003765,0.014387,0.013219,FALSE,TRUE,1.877309,0.000044,-10.625061,13.0038,42.4230,-5.190439,-0.0699,-0.0659,1.90,6.77,9.84,-70.859571,2.346214,3.24,40.57,0.8138,0.741993,0.460872,1.9842,-0.1201,-6.48,1.228752,-2934500,-50.098619,-441455283.593059,-10.5244,38.0581,-4.22,-1.57,86.003892,-0.07,-1.7292,0.678876,0.741993,-1.1418
09-05-24,35.849998,35.91,35.799999,34.834648,14000,35.270201,35.337868,33.481407,-0.000209,0.013369,0.013352,FALSE,TRUE,1.856461,-0.001464,-25.088526,13.3503,43.5054,-5.341682,-0.0912,-0.0698,0.73,6.22,10.29,-66.570271,1.789774,3.16,34.32,0.8098,0.737061,0.460387,2.1359,-0.2762,-6.48,0.695479,-2920500,-39.655172,-441715007.965371,-11.1296,38.0507,-4.52,-1.67,86.320866,-0.07,-1.8105,0.678518,0.737061,-1.2691
09-06-24,35.939999,35.939999,35.43,34.48465,24400,35.250757,35.328534,33.493497,0.002507,0.012335,0.013484,FALSE,TRUE,1.835037,-0.003789,-45.890577,14.4191,38.7935,-4.925786,-0.1348,-0.0907,-0.70,5.09,9.68,-56.607885,-1.115131,3.16,37.63,0.8185,0.753674,0.470285,2.4092,-0.4632,-6.48,1.200787,-2944900,18.446602,-441829865.344591,-11.0754,27.6325,-4.82,-0.97,86.119418,-0.08,-2.1234,0.685773,0.753674,-2.0360
