Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
01-04-24,99.959999,100.519997,99.760002,95.334351,383600,94.730217,89.88437,87.538666,0.349526,0.058262,0.010728,TRUE,TRUE,2.345704,0.247421,16.572641,47.7054,59.7114,-10.347749,1.8299,-0.2204,12.95,8.86,12.67,-111.222662,5.595896,5.51,216.47,0.9542,-0.00509,0.004791,1.3713,2.8050,-11.00,0.841948,-72092000,-46.093311,-4903665886.704153,-9.9041,51.7821,1.65,1.21,0,0.17,2.7941,-0.069216,-0.00509,0.2791
01-05-24,99.620003,100.910004,99.599998,95.869507,477100,95.019074,90.132835,87.595968,0.348309,0.066368,0.010799,TRUE,TRUE,2.536867,0.253554,0.610821,46.6217,62.0954,-8.4089,1.7131,-0.2698,13.68,9.23,11.55,-93.847427,6.41247,5.33,188.00,0.9534,-0.005017,0.004643,1.3678,2.7784,-11.00,1.087445,-71614900,-41.431377,-4906860254.661406,-9.8511,48.9364,2.72,1.36,0,0.18,2.9266,-0.068142,-0.005017,0.4524
01-08-24,100.190002,101.349998,100.110001,96.844254,309700,95.315843,90.418644,87.666962,0.345568,0.074532,0.010871,TRUE,TRUE,2.751682,0.261277,17.767298,45.9219,66.0373,2.832454,1.6798,-0.2425,14.07,9.52,13.26,-62.199747,6.528924,5.29,165.16,0.9592,-0.004877,0.004336,1.2773,2.9417,-11.00,0.705049,-71305200,3.509358,-4908801250.806709,-9.7258,56.6936,2.91,0.76,0,0.19,3.0938,-0.065846,-0.004877,0.9254
01-09-24,100.650002,100.849998,100.309998,96.08931,306400,95.543058,90.69486,87.735038,0.341461,0.082727,0.010943,TRUE,TRUE,2.959822,0.265447,10.428961,45.2721,60.7663,1.054942,1.5743,-0.2784,12.28,7.28,9.59,-86.710957,4.964011,5.23,139.87,0.9507,-0.004861,0.004384,1.1886,3.0811,-11.00,0.694422,-71611600,14.756554,-4913897341.805451,-9.9671,61.2740,,-0.72,0,0.20,3.2366,-0.066209,-0.004861,0.3905
01-10-24,100.470001,100.5,99.889999,95.879066,283800,95.71039,90.980354,87.799628,0.33512,0.090935,0.011014,TRUE,TRUE,3.180726,0.267956,-1.892468,44.0258,59.3457,-2.749651,1.4569,-0.3166,11.29,6.92,9.63,-93.537048,3.616732,5.11,120.66,0.9478,-0.004839,0.004371,1.2000,3.1688,-11.00,0.634921,-71895400,68.227623,-4917913278.278924,-10.0494,53.2689,2.11,-0.19,0,0.20,3.3267,-0.066115,-0.004839,0.1398
01-11-24,100.050003,100.199997,99.199997,95.391678,737500,95.86902,91.244707,87.858737,0.326692,0.099077,0.011084,TRUE,TRUE,3.38597,0.270737,13.316343,41.9165,56.0730,-9.964368,1.3095,-0.3712,10.32,5.80,8.31,-136.202512,3.440269,5.12,89.06,0.9438,-0.005165,0.00502,1.0527,2.7143,-11.00,1.559378,-72632900,237.837838,-4924268048.939324,-9.7895,50.6149,2.50,0.33,0,0.17,2.8583,-0.07085,-0.005165,-0.5360
01-12-24,99.739998,100.360001,99.339996,95.133659,116800,95.943064,91.48681,87.91651,0.314563,0.107096,0.011155,TRUE,TRUE,3.5703,0.273087,-5.233442,40.1129,54.3638,-6.402581,1.1585,-0.4178,11.35,6.79,7.14,-154.027974,1.581262,5.09,74.66,0.9453,-0.005281,0.005231,1.0960,2.5355,-11.00,0.279586,-72749700,-90.430152,-4925348178.548731,-10.6878,48.4918,2.56,1.12,0,0.16,2.6743,-0.072329,-0.005281,-1.0842
01-16-24,99.019997,99.32,98.559998,94.627182,349000,95.883549,91.704162,87.963695,0.298351,0.11496,0.011228,TRUE,TRUE,3.740467,0.272169,-19.718349,37.4585,51.0728,-8.272901,0.9866,-0.4717,11.31,6.26,6.12,-119.902958,-1.242258,5.03,80.25,0.9293,-0.005328,0.00551,1.2474,2.8065,-11.00,0.885135,-73098700,-57.355816,-4929309148.994948,-11.2614,38.6339,2.43,0.52,0,0.17,2.9510,-0.074231,-0.005328,-1.5656
01-17-24,98.139999,98.639999,97.739998,93.81488,345300,95.811428,91.873367,88.004525,0.278559,0.122578,0.011306,TRUE,TRUE,3.868842,0.268074,-46.762254,35.4359,46.2382,-9.834711,0.7759,-0.5460,9.09,4.41,5.33,-95.734609,-1.514252,4.95,91.82,0.9282,-0.005265,0.005393,1.5317,2.8257,-11.00,0.899605,-73444000,-37.71645,-4932666317.377943,-11.2252,33.6465,2.37,0.50,0,0.17,2.9713,-0.073434,-0.005265,-2.1744
01-18-24,98.339996,98.410004,97.470001,93.996468,930400,95.756455,92.01696,88.040924,0.255494,0.129987,0.011388,TRUE,TRUE,3.976037,0.2624,-44.27091,33.8172,47.4361,-6.92765,0.6164,-0.5644,8.91,3.64,6.15,-79.485984,-1.156148,4.93,99.31,0.9163,-0.00522,0.005442,1.7467,3.1910,-11.00,2.360343,-72513600,28.597097,-4940472818.007772,-10.3324,21.8167,2.28,-0.03,0,0.19,3.3458,-0.073771,-0.00522,-1.7722
