Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
06-10-24,82.699997,83.519997,82.099998,78.402512,2450800,78.402512,77.477582,76.319988,0.119724,-0.046952,0.007199,TRUE,TRUE,1.157594,-0.022623,-12.994277,15.2207,52.8525,-2.631686,0.2166,0.0357,-3.85,1.44,4.36,-40.819534,0.422235,6.63,117.39,1.1196,0.008327,0.00924,2.2826,-0.5359,-11.34,0.792132,-232668900,-56.621473,-41124822117.846458,-11.8467,40.2961,-5.04,-8.07,0,-0.01,-0.1088,0.096125,0.008327,-3.2496682025092275E-7
06-11-24,82.849998,83.330002,82.610001,78.119949,3261700,78.392152,77.438212,76.341113,0.105902,-0.047151,0.007442,TRUE,TRUE,1.097098,-0.019415,-15.570031,14.7748,50.8941,-5.422062,0.1935,0.0101,-3.98,1.24,4.58,-48.350146,-0.26454,6.64,117.55,1.1201,0.008333,0.009242,1.7523,-0.5682,-11.34,1.047236,-235930600,14.497841,-41168764860.61338,-11.9661,47.0963,-3.96,-7.06,0,-0.01,-0.1400,0.096135,0.008333,-0.2316
06-12-24,84.690002,85.339996,83.57,78.81694,4123500,78.3865,77.432937,76.365449,0.091761,-0.04719,0.007689,TRUE,TRUE,1.067488,-0.014921,0.879083,15.8481,55.2945,4.068584,0.2288,0.0363,-2.64,1.87,5.49,-26.171341,-0.143212,6.79,117.30,1.1263,0.008505,0.009524,1.7518,-0.3665,-11.34,1.302527,-231807100,33.029003,-41195034436.946266,-11.6030,56.1508,-2.29,-6.59,0,0.00,0.0652,0.097589,0.008505,0.3669
06-13-24,83.870003,84.290001,83.379997,79.137177,2619900,78.342231,77.432372,76.387914,0.078381,-0.047081,0.00794,TRUE,TRUE,1.044458,-0.009906,29.057389,16.6338,57.1925,4.340054,0.2794,0.0695,-0.75,2.34,5.25,-19.977215,-1.106408,6.82,112.37,1.1276,0.008533,0.00956,1.8657,-0.2625,-11.34,0.839841,-229187200,-26.093825,-41222084493.700348,-11.3361,57.9375,0.21,-5.16,0,0.01,0.1734,0.097776,0.008533,0.7074
06-14-24,83.730003,84.239998,83.32,79.118355,2178600,78.299846,77.441602,76.405762,0.066251,-0.046798,0.008196,TRUE,TRUE,1.03584,-0.004012,28.158003,17.2937,57.0392,6.145157,0.3144,0.0836,-0.55,-1.46,4.83,-20.341272,-1.060068,6.80,107.41,1.1243,0.008361,0.00923,1.7346,-0.4236,-11.34,0.702865,-231365800,-15.459837,-41244162488.900452,-10.9404,58.0555,0.62,-6.82,0,0.000678,0.0095,0.096072,0.008361,0.7620
06-17-24,83.510002,84.089996,83.160004,78.807518,2168100,78.242391,77.436516,76.420686,0.055374,-0.046303,0.008452,TRUE,TRUE,1.01583,0.002408,31.799469,17.7124,54.4441,-0.850382,0.3134,0.0661,-0.99,-4.59,3.87,-26.353591,-1.437156,6.78,100.96,1.1211,0.008158,0.008836,1.5112,-0.6881,-11.34,0.706585,-233533900,-22.337644,-41266624564.107185,-10.5632,59.1665,0.24,-9.03,0,-0.02,-0.2614,0.094,0.008158,0.5597
06-18-24,83.889999,84.309998,83.709999,79.118355,3073600,78.224025,77.420693,76.43995,0.045921,-0.045628,0.008708,TRUE,TRUE,0.980742,0.007721,50.072176,18.2713,56.5719,-0.620567,0.3338,0.0692,-0.57,-2.85,4.36,-41.080434,-0.462127,6.89,98.90,1.1107,0.008385,0.00951,1.0253,-0.3008,-11.34,0.997935,-230460300,8.118756,-41316741210.013367,-10.6389,66.4641,0.73,-8.69,0,0.01,0.1395,0.09752,0.008385,0.9043
06-20-24,83.739998,84.040001,83.489998,78.892303,2432900,78.195769,77.379061,76.457445,0.037545,-0.044767,0.008967,TRUE,TRUE,0.921616,0.011862,34.223668,18.5008,54.5755,-2.463718,0.3280,0.0507,-1.50,-2.91,5.30,-84.74776,-0.71122,6.82,95.95,1.1085,0.008438,0.009672,0.7198,-0.2228,-11.34,0.792773,-232893200,-8.3688,-41359849268.678925,-10.5327,60.4725,0.74,-8.05,0,0.02,0.2207,0.098345,0.008438,0.7259
06-21-24,83.919998,84.150002,83.400002,79.090096,2337000,78.213194,77.408448,76.480314,0.030543,-0.043738,0.009227,TRUE,TRUE,0.928134,0.015801,15.631781,18.8097,56.0374,1.593342,0.3355,0.0466,-1.96,-3.40,6.20,-92.898301,0.442591,6.70,97.30,1.1076,0.008542,0.009927,0.6759,-0.0665,-11.34,0.781266,-230556200,-39.891975,-41389045602.90744,-10.6637,58.7116,0.51,-7.41,0,0.03,0.3817,0.099634,0.008542,0.9012
06-24-24,84.010002,85.459999,83.879997,79.702324,2834300,78.346001,77.444805,76.507021,0.025754,-0.04248,0.009489,TRUE,TRUE,0.937784,0.024177,30.604253,20.0871,60.2968,3.724879,0.3864,0.0779,0.06,-1.45,8.58,-71.359349,3.447449,6.75,98.65,1.0602,0.008083,0.009703,1.1919,-0.5202,-11.34,0.967351,-227721900,-30.208564,-41406868214.078217,-10.7694,58.2837,0.68,-8.11,0,-0.00,-0.0706,0.098505,0.008083,1.3749
06-25-24,84.480003,84.519997,83.129997,78.722748,2445900,78.427003,77.480031,76.5265,0.022371,-0.04101,0.009753,TRUE,TRUE,0.953531,0.031987,-1.989275,20.2994,51.6707,-2.904859,0.3437,0.0282,-0.56,-3.52,8.74,-100.513395,2.101147,6.74,94.47,1.0671,0.007757,0.00882,1.2010,-0.9977,-11.34,0.832969,-230167800,5.526793,-41424824468.272186,-10.3686,51.8079,0.18,-9.05,0,-0.04,-0.5645,0.093915,0.007757,0.3131
06-26-24,83,83.580002,82.839996,78.477867,3287900,78.521191,77.536544,76.546217,0.019572,-0.039419,0.010018,TRUE,TRUE,0.990328,0.037232,-4.74489,20.1461,49.7544,-6.283045,0.2868,-0.0229,-0.47,-4.19,5.96,-107.801509,2.459424,6.75,84.05,1.0462,0.008011,0.009786,1.2268,-0.6723,-11.34,1.115136,-233455700,7.920305,-41466874903.866142,-10.6328,44.7923,0.07,-9.22,0,-0.01,-0.2193,0.098925,0.008011,-0.0515
