Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
07-29-24,364.040009,365.700012,361.200012,360.583435,786000,375.692166,366.496355,327.545451,0.51121,0.668567,0.358715,FALSE,TRUE,38.950904,0.704561,-43.311662,31.4121,39.5432,2.157164,-1.9393,-3.3610,8.36,12.66,26.97,13.401269,-3.010631,2.13,1004.25,1.0096,-0.004415,0.006335,4.9826,2.4317,-8.49,0.785788,-1093000,-26.726951,-1260288852.236012,-1.0927,43.3711,4.21,4.09,0,0.14,2.1809,-0.07959,-0.004415,-1.5045
07-30-24,363.850006,364.809998,355.109985,356.358826,1100200,374.787599,366.667414,327.928397,0.375767,0.680088,0.359426,FALSE,TRUE,38.739017,0.641846,-56.013274,32.1825,36.1882,1.762659,-2.7466,-3.3347,6.82,10.03,23.55,3.391744,-4.831441,2.22,1093.53,1.0129,-0.004895,0.007746,4.4779,1.7754,-8.53,1.095293,-2193200,8.287402,-1261105758.956792,-1.1297,37.0355,2.40,1.68,0,0.10,1.4862,-0.088013,-0.004895,-1.6853
07-31-24,365.850006,368.790009,364.059998,365.106262,790900,374.158876,367.007265,328.361909,0.240124,0.689997,0.360143,FALSE,TRUE,38.645356,0.601795,-27.275661,32.0605,46.3401,8.085109,-2.6501,-2.5905,11.50,13.45,26.32,28.254029,-3.32939,2.24,1112.02,1.0362,-0.004677,0.006754,4.6753,1.9186,-8.53,0.787012,-1402300,1.176922,-1261546769.405651,-1.1553,45.6327,4.60,3.95,0,0.11,1.6510,-0.082181,-0.004677,-0.8141
08-01-24,369.279999,372.670013,358.089996,359.112274,1332400,373.090297,367.190502,328.780987,0.101992,0.698159,0.360864,FALSE,TRUE,38.409515,0.557988,-38.759438,32.5308,41.4714,1.928189,-3.0224,-2.3703,9.98,14.05,24.64,11.31229,-5.616948,2.41,1150.07,1.0491,-0.005149,0.007989,5.0020,1.1424,-8.53,1.280243,-2734700,116.158339,-1262692326.965755,-1.1587,34.7906,4.85,5.30,0,0.06,0.8325,-0.089382,-0.005149,-1.2154
08-02-24,354.040009,356.850006,349.410004,351.507996,1497800,371.413373,367.194649,329.14626,-0.044856,0.704318,0.361586,FALSE,TRUE,38.048389,0.50046,-47.270095,33.6487,36.2657,0.077458,-3.8863,-2.5873,6.26,9.84,24.65,5.326207,-8.710243,2.52,1209.54,1.0871,-0.005287,0.007844,5.4933,0.5978,-9.78,1.392163,-4232500,88.402516,-1263345403.497581,-1.1479,26.8437,3.76,3.66,0,0.02,0.2757,-0.088565,-0.005287,-1.6457
08-05-24,331.130005,346.76001,330.299988,339.042877,2423500,369.111208,366.965378,329.452869,-0.205123,0.707624,0.362295,FALSE,TRUE,37.512509,0.42095,-55.176077,35.6833,29.6872,-16.652899,-5.5132,-3.3714,0.74,3.86,20.50,17.312652,-11.956623,2.98,1363.93,1.1823,0.008375,0.024502,4.2005,-0.2068,-12.98,2.098868,-6656000,185.891235,-1263194375.649864,-0.9484,25.0567,100.74,103.86,,0.02,0.2987,0.156532,0.008375,-2.2045
08-06-24,343.779999,350.809998,340.700012,343.38678,1558500,366.980014,366.851977,329.803266,-0.369917,0.708398,0.362994,FALSE,TRUE,37.048711,0.35062,-40.202659,36.9021,34.1688,-7.302624,-6.3785,-3.3893,0.68,5.26,22.74,26.252338,-11.042149,3.00,1417.91,1.1930,0.008311,0.024137,4.7559,0.0029,-12.98,1.329302,-5097500,29.4973,-1263924520.884769,-0.8774,34.2402,1.40,-0.78,0,0.02,0.2175,0.155361,0.008311,-1.6639
08-07-24,350.140015,352.559998,341.869995,340.136292,1461300,364.506871,366.596523,330.148592,-0.536882,0.70652,0.363684,FALSE,TRUE,36.447931,0.274539,-40.404002,37.7476,32.4995,-3.766171,-7.2430,-3.4031,-0.23,4.23,20.70,19.7318,-12.695834,3.08,1433.90,1.1994,0.00815,0.02298,5.3499,-0.1938,-12.98,1.214072,-6558800,74.587814,-1265859807.884112,-0.9259,33.4440,0.76,-1.25,0,-0.000184,-0.0024,0.15159,0.00815,-1.6996
08-08-24,348.029999,352.929993,344.440002,350.345001,1251200,362.951221,366.506919,330.565447,-0.696203,0.702719,0.364369,FALSE,TRUE,35.941472,0.215277,-21.923672,38.4697,42.0714,12.38413,-7.0234,-2.5468,2.93,5.98,24.84,40.210654,-8.156339,3.15,1408.87,1.2604,0.008868,0.024514,5.6091,0.4450,-12.98,1.06613,-5307600,-32.444252,-1265370526.618835,-0.8254,39.6991,2.11,-1.14,0,0.06,0.7035,0.156569,0.008868,-0.8948
08-09-24,351.859985,355.859985,351.290009,352.820099,1011700,361.403522,366.492036,330.990472,-0.8461,0.697005,0.365054,FALSE,TRUE,35.501564,0.162652,-26.802484,38.6311,44.1396,9.970806,-6.5739,-1.6778,3.31,6.55,27.05,45.175744,-8.065678,3.06,1336.23,1.2618,0.008909,0.024685,5.8124,0.4811,-12.98,0.883091,-4295900,-35.593328,-1265704764.804733,-0.7976,40.2406,2.63,-0.98,0,0.06,0.7430,0.157114,0.008909,-0.6424
08-12-24,356.029999,358.299988,354.309998,354.2117,743600,359.877687,366.607245,331.410975,-0.982339,0.68937,0.365737,FALSE,TRUE,35.19627,0.121415,-24.636981,38.3645,45.3216,12.822098,-6.0358,-0.9118,3.77,5.80,27.31,56.435445,-7.93201,3.04,1225.51,1.2450,0.008675,0.024091,3.8061,0.2191,-12.98,0.654215,-3552300,-19.497672,-1266485003.359466,-0.7871,40.2075,2.53,-1.65,0,0.04,0.4550,0.155214,0.008675,-0.4623
08-13-24,359.290009,364.369995,359.290009,362.104309,1001600,358.749963,366.886065,331.90147,-1.096783,0.68002,0.366423,FALSE,TRUE,34.984595,0.091035,1.837922,37.1542,51.5797,9.508352,-4.9158,0.1666,6.08,8.78,30.85,75.063257,-5.863502,2.93,1080.69,1.2759,0.009209,0.025762,3.7988,0.7384,-12.98,0.887283,-2550700,-13.461206,-1266376835.300882,-0.7349,47.0253,3.59,0.52,0,0.08,1.0280,0.160505,0.009209,0.3104
08-14-24,365.130005,366.100006,361.570007,362.879639,818900,358.186845,367.126779,332.42177,-1.189246,0.668989,0.367108,FALSE,TRUE,34.705009,0.061653,8.637994,35.7723,52.1590,8.019387,-3.9205,0.9295,5.74,10.64,29.69,76.893158,-3.010183,2.80,1024.13,1.2760,0.009234,0.025897,3.7502,0.7644,-12.98,0.739834,-1731800,-34.92013,-1266722244.175234,-0.6659,53.1066,2.59,-0.87,0,0.09,1.0572,0.160927,0.009234,0.4582
08-15-24,368.619995,372.570007,368.109985,370.116211,848000,358.135158,367.482241,332.973651,-1.254391,0.656594,0.367797,TRUE,TRUE,34.508591,0.046427,13.597996,33.5886,57.2943,11.972672,-2.5187,1.8651,6.09,11.38,33.61,93.97262,-0.278527,2.79,1017.48,1.2986,0.016512,0.054232,4.7958,1.0498,-12.98,0.770944,-883800,-14.030819,-1266807342.419456,-0.6318,53.5172,1.67,0.19,0,0.12,1.4774,0.232877,0.016512,1.1775
08-16-24,371.290009,374.119995,370.809998,370.921295,916400,358.235056,367.730695,333.511843,-1.289953,0.642922,0.368486,TRUE,TRUE,34.218852,0.033688,13.353851,31.3590,57.8365,6.256825,-1.3275,2.4450,6.65,11.46,35.03,92.700366,0.541564,2.74,1029.54,1.2982,0.016529,0.054366,4.9174,1.0159,-12.98,0.82429,32600,34.665687,-1267662115.106664,-0.6158,53.9554,2.19,1.88,0,0.12,1.5120,0.233165,0.016529,1.2322
08-19-24,373.570007,377.679993,372.309998,375.424316,880400,358.273326,368.061068,334.065326,-1.292313,0.628235,0.369179,TRUE,TRUE,33.995742,0.025895,24.539447,29.4051,60.8322,8.673182,-0.0199,3.0021,7.85,13.63,38.13,95.239181,0.204296,2.65,1036.09,1.3054,0.016784,0.055388,5.7452,1.3022,-12.98,0.78931,913000,9.068385,-1267521342.366786,-0.5871,60.1761,3.89,3.94,0,0.15,1.8203,0.235346,0.016784,1.6554
08-20-24,377.470001,379.579987,376.149994,375.046509,693000,358.294698,368.391231,334.596485,-1.258644,0.612479,0.369875,TRUE,TRUE,33.794746,0.013642,14.338905,27.8280,60.4441,3.149846,0.9747,3.1973,7.17,14.70,38.18,90.800572,0.114097,2.50,1039.68,1.3038,0.016825,0.055782,5.6981,1.3672,-12.98,0.621776,220000,-2.408112,-1268660241.382747,-0.5729,59.9835,,5.38,0,0.15,1.8906,0.236183,0.016825,1.6113
