Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
06-14-24,58.98,58.98,58.779999,57.597656,21700,57.101968,56.006177,51.750979,0.078139,0.040493,0.031505,TRUE,TRUE,4.255198,0.045574,13.33316,22.637101,63.79167,-1.939019,0.457724,0.021794,5.645365,14.101092,21.995221,19.007026,1.236043,2.526017,43.734425,0.54059,0.459602,0.272776,1.551643,1.604304,-3.883153,0.801625,456200,-6.060606,-124505868.425074,-10.645731,53.724281,6.817459,8.739774,107.658159,0.085097,2.9303,0.522279,0.459602,1.133406
06-17-24,58.82,59.349998,58.810001,57.87114,63900,57.146409,56.054427,51.796858,0.072889,0.040134,0.031669,TRUE,TRUE,4.257569,0.048228,34.237047,23.123917,67.111252,-3.314757,0.466312,0.024305,5.768967,14.554901,22.325812,31.161838,1.559812,2.585582,46.858917,0.53815,0.452663,0.266629,1.481891,1.532974,-3.883153,2.15224,520100,455.652174,-124791966.921792,-9.681587,64.009805,7.003379,10.118213,108.335238,0.084716,2.918093,0.516361,0.452663,1.546623
06-18-24,59.27,59.450001,59.27,58.046955,42200,57.190362,56.104631,51.844582,0.068358,0.039871,0.031836,TRUE,TRUE,4.260049,0.051249,53.73693,23.738524,69.074192,1.433528,0.481751,0.031796,5.507888,15.679608,23.222416,38.46298,1.537679,2.638479,51.009934,0.538671,0.461058,0.273351,1.57177,1.573736,-3.883153,1.433424,562300,-10.59322,-125407638.324327,-8.860607,69.771744,6.801058,9.842023,108.631049,0.082342,2.846663,0.52283,0.461058,1.679268
06-19-24,59.43,59.619999,59.23,57.929741,17900,57.235779,56.151319,51.889692,0.064244,0.039702,0.032004,TRUE,TRUE,4.261627,0.053668,62.405719,24.581176,66.235877,2.444207,0.479007,0.023241,4.830747,14.847148,22.898464,31.009898,1.593002,2.683907,53.413482,0.537703,0.46119,0.276688,1.353737,1.623811,-3.883153,0.609051,544400,-5.291005,-125544895.585957,-8.774885,73.266447,7.397444,10.065659,108.912668,0.086563,3.00487,0.526012,0.46119,1.299226
06-20-24,59.220001,59.43,59.07,57.832073,39000,57.284616,56.200155,51.935038,0.060447,0.039616,0.032175,TRUE,TRUE,4.265117,0.055647,53.488316,24.845703,63.880457,-3.230794,0.463607,0.006273,3.99396,14.324045,23.470667,10.15439,1.717922,2.685801,54.211257,0.53778,0.45325,0.26841,1.150942,1.618465,-3.883153,1.28628,505400,91.176471,-125852112.5359,-8.819898,70.011155,6.404916,10.246131,108.361837,0.081977,2.829142,0.518083,0.45325,1.009859
06-21-24,59.029999,59.16,59,57.744167,29400,57.325638,56.240201,51.981103,0.057316,0.039617,0.032347,TRUE,TRUE,4.259098,0.057963,44.800026,24.866043,61.75194,-7.322252,0.439246,-0.01447,3.610225,15.500002,24.353247,-1.396387,1.441321,2.659227,54.440286,0.533057,0.447116,0.254097,0.964648,1.23404,-3.883153,0.952073,476000,61.538462,-126343031.483042,-8.951546,63.410054,5.585588,10.294242,108.263602,0.076042,2.622041,0.504081,0.447116,0.768785
06-24-24,59.150002,59.299999,58.91,57.539055,34000,57.342243,56.286889,52.026384,0.054438,0.039721,0.032521,TRUE,TRUE,4.260505,0.059755,32.330999,25.153886,56.981059,-9.254817,0.398792,-0.04394,3.550714,14.402311,24.245398,-48.639105,0.580497,2.68808,54.565583,0.535405,0.386677,0.205434,0.774652,1.096319,-3.883153,1.072724,442000,92.090395,-126616068.417194,-8.875543,57.512094,4.051935,8.617457,106.407956,0.061669,2.051268,0.453249,0.386677,0.360689
06-25-24,58.91,59.07,58.880001,57.666031,20500,57.381312,56.344906,52.07312,0.051804,0.039922,0.032697,TRUE,TRUE,4.271786,0.061541,17.050985,25.315545,59.08828,-4.792177,0.372682,-0.05604,3.943667,14.698948,25.455591,-76.033061,1.373621,2.627661,53.910192,0.535333,0.385453,0.204489,0.71696,1.266106,-3.883153,0.655895,462500,-30.03413,-126898532.297774,-9.098717,50.185322,4.477765,9.667848,106.901938,0.069491,2.31036,0.452204,0.385453,0.528136
06-26-24,59.029999,59.200001,58.950001,57.822308,13700,57.443822,56.410542,52.119624,0.049894,0.040202,0.032875,TRUE,TRUE,4.290919,0.062814,22.078041,25.72913,61.58251,-0.16943,0.360444,-0.054622,3.550812,14.568127,26.376156,-61.954086,2.209954,2.629034,51.214064,0.52659,0.371212,0.192687,0.643416,1.775552,-3.883153,0.441508,476200,-24.725275,-127035827.469893,-8.669875,50.704902,5.030227,10.290522,107.191646,0.08126,2.726358,0.438961,0.371212,0.739026
06-27-24,59.18,59.200001,59.060001,57.724625,12200,57.514635,56.481453,52.167136,0.048878,0.040547,0.033053,TRUE,TRUE,4.314317,0.063821,14.162776,26.113174,59.154847,2.173788,0.338957,-0.060888,3.466373,14.138828,24.491269,-70.754347,2.515165,2.605253,43.966473,0.527509,0.357103,0.181217,0.589842,1.670028,-3.883153,0.395526,464000,-23.27044,-127280765.573435,-8.790509,45.830884,4.522493,8.835895,106.300177,0.074164,2.466495,0.425696,0.357103,0.477613
06-28-24,59.09,59.25,58.68,57.693207,40800,57.575086,56.554274,52.214877,0.048452,0.04095,0.033233,TRUE,TRUE,4.339397,0.0638,6.682391,25.093525,58.358003,-0.730277,0.315752,-0.067273,3.536957,14.03277,23.731999,-73.584782,2.140448,2.603909,36.776607,0.512193,0.344635,0.178755,0.567308,2.15672,-3.883153,1.275399,423200,127.932961,-127462832.931655,-8.674325,39.215374,4.979227,9.244303,106.56385,0.087839,3.004141,0.422794,0.344635,0.321186
07-02-24,58.950001,59.130001,58.889999,58.056496,59400,57.645399,56.64198,52.262648,0.048441,0.041413,0.033414,TRUE,TRUE,4.379332,0.065244,24.448133,24.146708,64.33975,2.75724,0.322954,-0.048057,4.92457,14.972225,24.434277,-66.330378,2.482365,2.606761,31.181178,0.499715,0.320578,0.15623,0.513177,1.959455,-3.883153,1.795918,482600,57.559682,-127934814.389177,-8.786565,51.90418,5.420523,9.570362,106.911319,0.083419,2.884909,0.395259,0.320578,1.318413
07-03-24,59.139999,59.41,59.139999,58.331417,10500,57.727017,56.728151,52.314063,0.048751,0.041943,0.033596,TRUE,TRUE,4.414089,0.067126,19.664122,23.970142,68.076918,8.92207,0.346848,-0.019331,5.384239,16.437744,23.485335,-37.083376,2.87898,2.52032,26.047973,0.502268,0.317472,0.164836,0.926594,2.124717,-3.883153,0.322581,493100,-50,-128008204.017457,-8.761999,50.385133,4.589126,9.438791,105.946982,0.081562,2.820762,0.406,0.317472,2.320336
07-04-24,59.459999,59.98,59.459999,58.891064,33100,57.806338,56.815944,52.368903,0.04951,0.04255,0.03378,TRUE,TRUE,4.447041,0.06987,41.243277,24.905731,74.040916,15.682913,0.406259,0.032064,7.361511,17.646388,24.619142,16.235655,2.768414,2.536333,35.093144,0.514854,0.318655,0.156779,1.761317,2.511589,-3.883153,1.047966,526200,-36.832061,-128113733.805815,-8.776335,57.80274,6.23512,10.913559,106.995304,0.098303,3.300755,0.395954,0.318655,3.09099
07-05-24,59.580002,59.68,59.330002,58.596512,24700,57.869955,56.894329,52.423526,0.050492,0.043213,0.033965,TRUE,TRUE,4.470803,0.0716,34.901086,25.323657,66.951277,2.611526,0.42468,0.040388,5.658074,16.875991,24.14802,-6.422193,2.21955,2.496987,37.35219,0.517142,0.322524,0.158982,1.666002,2.433341,-3.883153,0.762934,501500,177.52809,-128241961.130065,-8.490055,57.370758,6.234497,11.203367,107.226297,0.09601,3.213705,0.398726,0.322524,1.945152
