Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
02-22-24,38.189999,38.450001,38.169998,37.498768,18400,36.55715,35.762478,33.73952,0.06207,0.049402,0.017719,TRUE,TRUE,2.022958,0.047651,66.816148,32.281214,76.355461,6.935662,0.421961,0.028983,9.046096,13.349307,20.170548,35.727486,3.892943,2.845738,42.658063,0.495068,0.462373,0.420463,2.072279,3.905862,-6.914156,0.619112,-571500,-16.363636,-216818561.054116,-8.824032,79.670942,2.013064,2.227388,102.826851,0.083421,3.513749,0.648431,0.462373,2.207362
02-23-24,38.509998,38.540001,38.439999,37.557316,23000,36.629357,35.819095,33.768504,0.063184,0.049297,0.017726,TRUE,TRUE,2.050592,0.048934,62.244965,33.244211,76.993027,8.961567,0.448375,0.044317,8.849039,12.474192,20.506249,29.3032,3.998932,2.796819,46.771503,0.484322,0.44936,0.41387,2.046513,4.42946,-6.914156,0.780985,-548500,-19.014085,-217247585.84908,-9.036239,79.003884,1.244584,1.831484,102.406989,0.091092,3.899843,0.643327,0.44936,1.984026
02-26-24,38.59,38.59,38.389999,37.479252,33600,36.701076,35.87183,33.797911,0.064137,0.049192,0.017735,TRUE,TRUE,2.073919,0.049762,54.314552,34.138422,74.123098,5.417629,0.457732,0.04294,8.410109,13.191043,19.776816,15.852383,3.979428,2.80256,48.309396,0.483711,0.449676,0.421544,1.885116,4.460039,-6.914156,1.138019,-582100,4.672897,-217587195.851178,-8.862202,66.652676,1.295879,2.575564,102.729036,0.095959,4.140628,0.649264,0.449676,1.610817
02-27-24,38.419998,38.560001,38.389999,37.625618,16900,36.771819,35.922464,33.82762,0.065039,0.049111,0.017745,TRUE,TRUE,2.094844,0.050732,56.521558,34.968761,75.934401,-0.42106,0.471523,0.045385,8.894397,12.809416,21.247543,25.816712,3.907313,2.798479,51.033951,0.484689,0.44771,0.415829,1.875285,4.587142,-6.914156,0.580457,-565200,-32.669323,-217756071.08735,-8.912102,65.298784,1.908019,2.711956,103.321076,0.10517,4.506712,0.644848,0.44771,1.673001
02-28-24,38.529999,38.549999,38.439999,37.59634,26500,36.846466,35.971352,33.856415,0.065857,0.049042,0.017757,TRUE,TRUE,2.114937,0.051502,51.268572,35.739791,74.806424,-2.186603,0.474619,0.038785,9.514627,11.846079,20.817264,23.564573,4.135131,2.777547,51.657335,0.485465,0.455231,0.425915,1.731338,4.506649,-6.914156,0.886139,-591700,147.663551,-218189058.811029,-8.995131,66.06922,2.371249,3.038532,103.496055,0.108916,4.700527,0.652622,0.455231,1.451632
02-29-24,38.639999,38.700001,38.470001,37.732948,35600,36.94453,36.02742,33.885365,0.066816,0.048991,0.01777,TRUE,TRUE,2.142055,0.05251,55.237673,36.779879,76.556312,2.433214,0.482533,0.037359,10.191922,11.070181,21.03254,31.414712,5.482811,2.796733,48.711907,0.485638,0.461467,0.4297,1.797486,4.518748,-6.914156,1.216678,-556100,-26.597938,-218452825.211772,-9.047221,67.443496,2.421362,3.091452,103.233692,0.111464,4.82471,0.655515,0.461467,1.618532
03-01-24,38.779999,39,38.77,38.054955,23200,37.045034,36.08664,33.916166,0.068109,0.048958,0.017785,TRUE,TRUE,2.170475,0.053698,58.221828,38.287712,80.070256,4.135855,0.508922,0.050998,10.975581,12.049929,22.366453,44.734153,5.576611,2.8065,49.894893,0.490471,0.468352,0.442455,2.366488,5.08609,-6.914156,0.784446,-532900,37.278107,-218620278.242804,-9.112089,67.989884,2.775478,3.496555,103.226427,0.122513,5.310443,0.665173,0.468352,2.024095
03-04-24,38.959999,39.080002,38.93,38.035435,30400,37.128462,36.142956,33.947779,0.069629,0.048934,0.017801,TRUE,TRUE,2.195177,0.054729,55.655443,39.814198,79.294353,4.487929,0.522241,0.051453,10.85611,12.472826,21.74075,41.644325,4.588131,2.804512,51.869463,0.491311,0.469055,0.444123,2.206055,4.973926,-6.914156,1.040739,-563300,-19.363395,-219013271.80366,-9.611713,68.273695,3.621317,4.078216,103.425577,0.121644,5.27165,0.666426,0.469055,1.748567
03-05-24,38.889999,38.889999,38.619999,37.811012,20300,37.197254,36.2031,33.977264,0.070911,0.0489,0.017817,TRUE,TRUE,2.225836,0.055057,58.524735,39.530673,70.799752,-5.75656,0.508821,0.030427,9.83057,10.795346,19.265841,15.961075,3.776108,2.840013,51.311368,0.49849,0.466168,0.419139,1.952186,4.708558,-6.596531,0.784693,-583600,-76.693456,-219155219.22168,-9.995986,69.311692,3.469012,3.597433,102.658562,0.11017,4.603303,0.647409,0.466168,1.196145
03-06-24,38.950001,38.950001,38.75,37.889072,21500,37.267509,36.260743,34.005845,0.072027,0.048859,0.017834,TRUE,TRUE,2.254898,0.055729,53.124357,39.405573,71.926296,-8.143959,0.498735,0.016273,10.367329,11.402913,19.475936,17.296709,3.851285,2.815456,50.646096,0.493448,0.469423,0.433543,1.777521,4.48946,-6.008583,0.847959,-562100,-32.389937,-219361817.945668,-10.074278,68.609437,3.710051,3.210308,102.651343,0.099566,4.25585,0.65844,0.469423,1.227268
03-07-24,38.990002,39.080002,38.950001,38.093987,17900,37.341668,36.323259,34.035067,0.073042,0.048831,0.017852,TRUE,TRUE,2.288192,0.056714,55.664471,39.581534,74.687072,-4.607281,0.501497,0.015227,10.808159,12.74271,20.852759,31.52683,4.051179,2.833072,51.377766,0.495708,0.469135,0.438829,1.691562,4.608236,-6.008583,0.70779,-544200,-6.770833,-219615449.164307,-10.174344,69.173621,3.21399,2.457316,102.24198,0.098851,4.22579,0.662442,0.469135,1.464289
03-08-24,39.130001,39.240002,38.900002,38.025684,34200,37.412899,36.380927,34.065577,0.073834,0.048804,0.017871,TRUE,TRUE,2.315349,0.057543,54.146055,40.07768,72.14049,1.340737,0.492496,0.004982,10.858937,12.508363,20.015575,24.105276,3.892306,2.862089,50.436423,0.497474,0.471069,0.440742,1.486984,4.362884,-6.008583,1.318936,-578400,59.813084,-219825541.127641,-9.710105,68.65002,2.833556,2.061027,102.243593,0.094111,4.015744,0.663884,0.471069,1.214966
03-11-24,38.91,38.91,38.740002,37.86956,27300,37.467542,36.434008,34.095882,0.074225,0.048763,0.01789,TRUE,TRUE,2.338126,0.058129,45.621927,39.706877,66.554382,-5.371914,0.467378,-0.016109,9.631087,12.464736,20.950046,14.347533,2.971613,2.858213,49.082929,0.502136,0.477595,0.441096,1.240308,3.92997,-6.008583,1.033504,-605700,55.113636,-220132409.447361,-9.892441,68.057018,1.407553,1.486294,101.670294,0.076864,3.250375,0.664151,0.477595,0.819059
03-12-24,39,39.240002,38.939999,38.289143,20100,37.540237,36.496458,34.127135,0.074486,0.048745,0.01791,TRUE,TRUE,2.369323,0.059661,53.90604,40.060185,72.677614,-2.009458,0.475843,-0.006116,10.536329,13.28787,23.92169,11.134958,3.947033,2.904122,49.983626,0.512097,0.501242,0.421905,1.367312,4.053131,-6.008583,0.772483,-585600,-28.214286,-220239723.266597,-9.545708,76.78257,2.204224,2.530997,102.395318,0.092028,3.752038,0.649542,0.501242,1.498302
03-13-24,39.18,39.18,39.049999,38.172043,19100,37.62025,36.55715,34.15622,0.07463,0.048754,0.017931,TRUE,TRUE,2.400931,0.060922,32.700791,40.388257,68.887061,-3.253429,0.467711,-0.011398,9.922081,13.656813,25.016673,-25.641877,4.375652,2.797657,46.340478,0.515407,0.493854,0.402532,1.25374,3.785238,-6.008583,0.745075,-604700,-28.731343,-220516805.255506,-9.92695,71.344207,1.082331,2.419793,101.44224,0.085803,3.418975,0.634454,0.493854,1.190737
