Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
04-23-24,27.34,27.51,27.34,26.400375,18000,26.584287,26.439545,24.992145,0.002162,0.021903,0.007614,FALSE,TRUE,1.4474,0.016177,-21.333307,21.44268,46.521934,9.453737,-0.057919,-0.058192,3.291386,13.264177,9.93285,-116.848312,-1.363476,4.386757,23.137589,0.382928,0.470671,0.622567,1.475272,1.377658,-2.713323,0.59751,-356500,-69.018933,-489418376.283786,-21.063144,36.482304,-1.758216,-3.878385,93.904448,0.013391,0.903604,0.789029,0.470671,-0.79486
04-24-24,27.540001,27.540001,27.42,26.400375,23600,26.567,26.44987,25.004996,-0.000689,0.021758,0.007637,FALSE,TRUE,1.444874,0.015328,-11.940217,20.748052,46.521934,11.547792,-0.055575,-0.044679,2.983274,12.759968,9.847272,-116.848312,-1.292643,4.367092,23.156474,0.379382,0.457789,0.608753,1.511544,1.078615,-2.713323,0.774532,-356500,41.317365,-489843025.864967,-20.852287,42.645823,-1.247305,-3.97984,94.554006,0.016174,1.081954,0.780226,0.457789,-0.719561
04-25-24,27.299999,27.370001,27.219999,26.227512,55700,26.533388,26.461326,25.016747,-0.003499,0.021588,0.007661,FALSE,TRUE,1.444578,0.014176,-41.984703,21.250713,40.081425,-1.493791,-0.066895,-0.044799,2.232727,12.614095,9.511684,-137.845177,-2.499109,4.296105,22.950112,0.389892,0.458556,0.578214,1.625445,0.580047,-2.713323,1.707803,-412200,335.15625,-490635805.344647,-20.319765,34.027636,-1.673695,-4.322456,93.906655,0.005312,0.333029,0.760404,0.458556,-1.332783
04-26-24,27.43,27.540001,27.43,26.42919,28700,26.510339,26.472801,25.029083,-0.006082,0.021395,0.007685,FALSE,TRUE,1.443718,0.013135,-21.85412,20.413983,48.959469,2.437535,-0.058913,-0.029453,3.057251,13.572462,10.699689,-109.834485,-1.714277,4.314187,21.443798,0.396263,0.465738,0.555593,1.672144,1.381314,-2.713323,0.880503,-383500,-1.37457,-491186743.626656,-19.540884,33.077846,-1.190665,-4.310622,94.26032,0.014717,0.884422,0.745381,0.465738,-0.378428
04-29-24,27.549999,27.629999,27.549999,26.534826,42600,26.497374,26.484286,25.041051,-0.008442,0.021188,0.007711,TRUE,TRUE,1.443235,0.012483,-20.261747,19.04796,52.896351,6.374417,-0.043561,-0.011281,3.008445,14.072857,10.578895,-110.51163,-0.96775,4.298873,20.395971,0.392471,0.461153,0.553983,1.278091,1.262245,-2.713323,1.28565,-340900,33.962264,-492310503.858399,-20.017722,35.842914,-0.755457,-4.831097,94.580416,0.013723,0.831096,0.7443,0.461153,0.183626
04-30-24,27.629999,27.629999,27.440001,26.361963,94300,26.481528,26.492314,25.051448,-0.010643,0.020956,0.007737,FALSE,TRUE,1.440866,0.01154,-20.26154,18.415229,46.566633,6.485208,-0.044827,-0.010037,2.29944,13.007497,9.346925,-138.392723,-1.187917,4.361667,20.141068,0.402669,0.467717,0.575628,1.323217,0.753556,-2.713323,2.611103,-435200,171.757925,-493474905.422436,-18.514738,33.517381,-0.126961,-3.77222,95.074075,0.009772,0.59136,0.758702,0.467717,-0.593636
05-01-24,27.42,27.58,27.389999,26.35236,44400,26.463761,26.499958,25.061703,-0.012627,0.020701,0.007764,FALSE,TRUE,1.438255,0.010389,-24.832283,18.098867,46.235618,-2.723851,-0.046073,-0.009027,2.719372,12.60044,9.73291,-139.941672,-1.330453,4.376189,19.601014,0.39927,0.470791,0.568552,0.939056,0.981079,-2.713323,1.198542,-479600,72.093023,-494004264.049149,-18.024572,28.35787,-0.725021,-4.092752,95.010692,0.00739,0.44731,0.754024,0.470791,-0.568345
05-02-24,27.51,27.58,27.450001,26.486809,38100,26.4604,26.510865,25.072582,-0.014307,0.020426,0.007793,FALSE,TRUE,1.438283,0.009554,-6.666755,17.805102,51.439945,-1.456406,-0.0358,0.000997,2.631635,12.175794,10.378791,-143.762786,-0.253161,4.379685,19.495421,0.402524,0.473942,0.568178,0.782181,1.113166,-2.713323,1.022133,-441500,13.731343,-494606946.381118,-18.312041,34.499672,-0.960636,-3.757426,95.063703,0.010098,0.606011,0.753776,0.473942,0.135462
05-03-24,27.73,27.780001,27.700001,26.678886,14400,26.456559,26.521408,25.08414,-0.015587,0.020139,0.007822,TRUE,TRUE,1.437268,0.008996,19.205779,16.869137,57.734434,11.167801,-0.01202,0.019821,3.299373,11.645238,11.135901,-96.627067,-0.287139,4.387252,18.951009,0.411954,0.483078,0.570033,1.24914,1.553428,-2.713323,0.394035,-427100,-50.344828,-494988947.897461,-18.421866,39.319928,-0.981942,-1.447763,95.179378,0.017178,1.009485,0.755006,0.483078,1.173171
05-06-24,27.85,27.969999,27.84,26.861353,46600,26.462321,26.533688,25.096091,-0.016324,0.01985,0.007852,TRUE,TRUE,1.437597,0.008608,33.74249,16.977766,62.682997,16.447379,0.021303,0.042516,4.39223,11.612213,12.642251,-47.819519,0.430888,4.40837,20.022664,0.418551,0.480854,0.587427,1.810749,2.078333,-2.713323,1.25505,-380500,33.524355,-495737167.211692,-16.521641,46.869432,-2.414981,-2.196298,94.471839,0.020318,1.199736,0.766438,0.480854,1.992902
05-07-24,28.040001,28.08,28,26.947784,32000,26.468083,26.548844,25.109275,-0.016394,0.019564,0.007884,TRUE,TRUE,1.439569,0.008478,40.476281,17.557776,64.78619,13.346245,0.054063,0.060221,4.417833,12.192194,12.739327,-31.652872,0.429486,4.410611,21.271061,0.417517,0.478846,0.583783,2.00432,2.028729,-2.713323,0.850951,-348500,42.222222,-496610940.475407,-16.842029,55.13049,-2.115445,-2.166894,94.663987,0.02113,1.245276,0.764057,0.478846,2.255183
05-08-24,27.93,28.040001,27.93,26.928579,23300,26.481528,26.563425,25.12194,-0.015897,0.019265,0.007917,TRUE,TRUE,1.441485,0.008289,43.902847,17.619865,63.924074,6.18964,0.077582,0.066991,4.343416,11.803515,12.747221,-33.88602,1.008653,4.407644,23.299017,0.41791,0.4789,0.584693,1.876402,1.934914,-2.713323,0.651657,-371800,-61.359867,-497058476.461674,-16.286806,54.704496,-1.903618,-3.159118,94.792267,0.02184,1.287318,0.764652,0.4789,1.918755
05-09-24,27.969999,28.07,27.969999,26.957386,20600,26.494013,26.578391,25.134984,-0.014797,0.018951,0.007951,TRUE,TRUE,1.443407,0.007701,51.25043,17.817474,64.683221,2.000224,0.097422,0.069465,4.648826,11.835121,13.044962,-30.536408,0.93491,4.410495,25.16866,0.398751,0.500337,0.546484,1.73983,2.686908,-2.713323,0.575178,-351200,6.185567,-497496271.548363,-16.540193,58.503611,-2.163517,-3.932795,94.391442,0.012563,0.742683,0.739246,0.500337,1.841072
05-10-24,28.049999,28.049999,28.01,26.918974,32800,26.510819,26.591059,25.147742,-0.013086,0.018626,0.007986,TRUE,TRUE,1.443317,0.007317,43.046884,18.000967,62.785946,-2.000244,0.108792,0.064668,4.074913,12.205043,12.751169,-35.002928,1.264455,4.380304,26.85858,0.389028,0.504051,0.523679,1.611477,2.12504,-2.713323,0.904204,-384000,38.983051,-499318399.05778,-18.420144,51.49848,-2.057887,-2.794203,94.507038,0.012438,0.735418,0.723657,0.504051,1.519644
05-13-24,28.1,28.1,28.030001,26.938179,46100,26.537709,26.600288,25.160218,-0.010741,0.018288,0.008022,TRUE,TRUE,1.440069,0.007084,39.437179,18.423678,63.364539,-0.559535,0.117992,0.059095,4.07225,11.623816,12.479038,-32.024995,2.037106,4.368104,28.345659,0.38648,0.534783,0.532425,1.514022,1.909508,-2.713323,1.269798,-337900,1.318681,-500802590.441977,-19.916507,54.077138,-1.550919,-2.693107,94.854096,0.020007,1.201763,0.729674,0.534783,1.412807
05-14-24,28.059999,28.120001,28.040001,27.005407,39100,26.571322,26.611435,25.173597,-0.007769,0.017938,0.00806,TRUE,TRUE,1.437838,0.006907,42.282566,18.918119,65.392931,0.70971,0.129219,0.056257,5.264899,11.726922,12.671701,-23.843513,2.552883,4.368391,29.743701,0.38714,0.533686,0.52862,1.539202,2.076809,-2.713323,1.064815,-298800,26.948052,-501853006.632998,-20.273912,55.410889,-2.83954,-2.064103,95.11893,0.025883,1.545832,0.727063,0.533686,1.459419
