Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
05-21-24,91.860001,92.690002,90.879997,91.400665,6266200,88.514011,89.831971,83.028675,0.019754,-0.052429,0.002718,TRUE,TRUE,6.803296,-0.21324,31.689117,20.766642,56.731756,-5.190803,0.905463,0.553544,-0.973283,26.045901,7.283688,64.706988,8.123738,2.347843,317.749776,1.746313,-0.010875,0.006499,2.790139,-0.933974,-20.089415,0.640246,79751200,-51.572342,-883442395.625947,-0.227759,48.100763,-6.84595,14.064233,0,-0.092999,-0.842009,-0.080617,-0.010875,0.908468
05-22-24,91.419998,93.160004,91.300003,91.999557,7861700,88.924751,89.751519,83.096014,0.073332,-0.059143,0.00324,TRUE,TRUE,6.655505,-0.193383,29.529761,20.958131,58.470958,2.036733,0.966801,0.491906,-2.103022,25.43893,5.394092,70.009051,9.804625,2.316255,306.287247,1.576018,-0.011622,0.009111,2.506492,-1.882066,-20.089415,0.807089,87612900,-10.549671,-885390455.451046,-0.198176,47.29273,-6.760213,14.178189,0,-0.179775,-1.805778,-0.095453,-0.011622,1.003897
05-23-24,92.190002,92.400002,88.660004,89.154823,9692200,89.279094,89.596207,83.145937,0.121219,-0.065607,0.00377,FALSE,TRUE,6.450271,-0.179896,-4.654411,19.539763,48.498797,-10.929151,0.77691,0.241612,-5.730872,24.075815,2.111836,23.903135,8.635366,2.407517,260.332451,1.614041,-0.011757,0.008888,2.570585,-2.127921,-20.089415,1.019594,77920700,-32.64441,-892518006.432362,-0.252669,38.792226,-9.150122,12.755688,0,-0.210074,-2.05984,-0.094274,-0.011757,-0.047735
05-24-24,89.470001,90.169998,88.660004,88.665733,6723000,89.545601,89.484015,83.193763,0.161693,-0.071865,0.004309,FALSE,TRUE,6.290253,-0.171794,-12.437825,18.222707,47.014196,-9.717561,0.580266,0.035974,-8.742552,22.039158,3.564002,15.976229,6.395984,2.43127,220.524816,1.57051,-0.011182,0.008493,2.730327,-1.763289,-20.089415,0.721395,71197700,-35.682305,-899189985.575239,-0.322843,39.426344,-13.199498,10.224091,0,-0.166548,-1.678369,-0.09216,-0.011182,-0.398988
05-28-24,90.68,90.940002,88.199997,88.965172,9057800,89.725767,89.372621,83.239693,0.194681,-0.077786,0.004854,FALSE,TRUE,6.132929,-0.157409,-9.142091,17.407332,48.062443,-10.408514,0.443474,-0.080654,-13.373509,21.021641,6.699689,20.829366,4.221245,2.525856,198.126898,1.510554,-0.011969,0.010512,2.840331,-2.327591,-20.089415,0.979475,80255500,-13.690851,-903188816.959275,-0.346243,46.289726,-17.557557,9.558903,0,-0.215925,-2.264395,-0.102529,-0.011969,-0.383893
05-29-24,87.760002,87.949997,86.980003,87.31823,9561900,89.868502,89.263424,83.277738,0.220543,-0.083487,0.005405,FALSE,TRUE,5.985686,-0.146388,-11.202752,16.361485,43.021152,-5.477645,0.199867,-0.259409,-13.838274,19.478767,3.780436,4.92324,3.379809,2.576966,165.879909,1.523681,-0.011885,0.010184,3.039574,-2.492165,-20.089415,1.022633,70693600,27.345977,-906082453.864552,-0.330219,47.298571,-16.535187,9.445825,0,-0.234097,-2.433183,-0.100917,-0.011885,-1.537421
05-30-24,88.010002,89.139999,87.610001,88.795494,9141600,89.949852,89.165805,83.32237,0.239584,-0.088874,0.005962,FALSE,TRUE,5.843434,-0.13436,-0.125758,15.6269,48.26319,1.248994,0.124574,-0.267762,-9.611859,21.83286,7.021381,26.426376,1.86649,2.574457,155.613671,1.537226,-0.011175,0.008853,3.041568,-1.962028,-20.089415,1.021293,79835200,-46.624316,-901057628.05424,-0.3178,54.058786,-12.699469,10.734766,0,-0.182707,-1.881387,-0.094088,-0.011175,-0.74181
05-31-24,89.260002,90.459999,88.5,88.965172,9718900,89.989279,89.045428,83.368899,0.252821,-0.094118,0.006522,FALSE,TRUE,5.676528,-0.120355,6.500325,15.570105,48.845324,0.782881,0.077699,-0.251709,-12.213145,20.710311,6.229268,28.896214,0.894277,2.501302,151.837603,1.534069,-0.011231,0.008981,2.931835,-2.047555,-20.089415,1.088898,89554100,-4.997947,-906163303.100659,-0.360137,61.463806,-15.465161,8.991523,0,-0.190654,-1.967328,-0.094766,-0.011231,-0.674475
06-03-24,89.889999,92.980003,89.25,91.250938,13040200,90.061146,88.969967,83.435539,0.261321,-0.099106,0.00709,TRUE,TRUE,5.534428,-0.104243,9.75918,16.49568,56.02381,13.002658,0.222429,-0.085584,-9.242525,21.073794,7.473035,62.167949,1.600359,2.53507,154.343214,1.566876,-0.010657,0.00775,2.844802,-1.34654,-20.089415,1.446449,102594300,15.988152,-905212825.543945,-0.291105,62.148665,-12.038945,10.840266,0,-0.123944,-1.251688,-0.088036,-0.010657,0.770874
06-04-24,91.440002,92.300003,90.599998,91.001396,7963300,90.090591,88.922256,83.506571,0.264654,-0.103791,0.007661,TRUE,TRUE,5.415685,-0.08786,2.577587,17.355143,55.114504,6.851314,0.31338,0.004294,-8.33502,17.159044,5.505029,58.535599,0.651345,2.473247,155.605362,1.56657,-0.010718,0.007841,2.826073,-1.42034,-20.089415,0.886547,94631000,-7.641901,-909415605.85253,-0.322697,61.267491,-10.421561,8.578209,0,-0.13149,-1.328177,-0.08855,-0.010718,0.58533
