Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
08-13-24,28.41,28.549999,28.4,27.170465,29000,26.875551,26.204235,25.424221,0.059786,0.012038,0.0032,TRUE,TRUE,0.780014,0.024166,16.899325,25.337807,63.594136,5.900474,0.215341,-0.029989,3.710209,7.681011,9.579089,-27.095756,2.863058,5.588207,24.525426,0.657336,0.690236,0.682108,1.472866,1.062543,-4.677954,0.610462,-1528500,2.473498,-938985726.742537,-11.486631,62.652717,1.217003,-0.575561,91.159784,0.030794,1.318992,0.825899,0.690236,1.202484
08-14-24,28.59,28.690001,28.59,27.284672,40900,26.911018,26.234594,25.449152,0.057806,0.012598,0.00331,TRUE,TRUE,0.785442,0.026289,22.566111,24.903345,65.708062,7.026979,0.230289,-0.012032,4.220944,10.118116,10.563865,-18.242547,2.669156,5.541866,25.078143,0.658344,0.694615,0.685621,1.382148,1.114686,-4.677954,0.852261,-1487600,31.089744,-940094381.275334,-12.078771,62.128354,1.071575,-1.390931,90.987518,0.03432,1.475933,0.828023,0.694615,1.489958
08-15-24,28.82,28.959999,28.77,27.49404,38500,26.955058,26.267442,25.473572,0.055718,0.01318,0.003421,TRUE,TRUE,0.79387,0.028654,23.556262,25.269107,69.234868,10.347178,0.256079,0.011006,4.982987,9.892954,13.069569,-1.802844,3.309617,5.4788,27.216377,0.664188,0.688038,0.690573,1.922179,1.453222,-4.677954,0.805524,-1449100,-9.198113,-940649984.965578,-12.00611,61.830631,0.555315,-1.299061,90.483098,0.033916,1.457272,0.831007,0.688038,1.980358
08-16-24,28.83,29.08,28.83,27.655825,38500,27.007187,26.302958,25.499076,0.05372,0.013793,0.003533,TRUE,TRUE,0.803882,0.031015,22.689091,25.908662,71.660347,8.06621,0.286272,0.032959,5.373814,9.162943,13.608174,8.706683,3.917529,5.439104,30.151175,0.663678,0.685535,0.682908,2.382625,1.870666,-4.677954,0.79801,-1410600,30.508475,-941050130.946413,-11.914896,61.807872,0.918555,-0.413655,90.937755,0.046079,1.957282,0.826382,0.685535,2.151285
08-19-24,29.059999,29.219999,29.059999,27.693893,36000,27.061693,26.338292,25.52335,0.051878,0.014437,0.003645,TRUE,TRUE,0.814943,0.033051,24.999958,26.831909,72.215429,6.507367,0.309702,0.045111,5.217376,8.874482,14.487544,10.229005,4.09763,5.458991,32.254571,0.655757,0.679377,0.678659,2.439984,2.225235,-4.677954,0.735144,-1374600,67.44186,-941700879.247679,-11.866477,61.641842,1.261798,-0.814474,90.830028,0.050269,2.146692,0.823808,0.679377,1.960033
08-20-24,29.110001,29.120001,29,27.693893,35600,27.1053,26.37457,25.54428,0.050215,0.015099,0.003758,TRUE,TRUE,0.83029,0.035041,22.413839,27.378405,72.215429,2.980561,0.324529,0.047951,5.33022,8.597192,14.744933,10.229005,3.251625,5.422622,34.64673,0.655905,0.679908,0.680141,2.392788,2.180798,-4.677954,0.717525,-1374600,56.828194,-942511430.391285,-12.275905,56.154814,1.758681,-0.720102,91.166821,0.058005,2.482254,0.824707,0.679908,1.698842
08-21-24,29.120001,29.17,29.07,27.703417,42300,27.150331,26.411983,25.56393,0.048471,0.015769,0.003872,TRUE,TRUE,0.848053,0.036954,19.282699,28.013893,72.372429,0.712082,0.333208,0.045303,5.849015,8.634537,15.389664,10.789205,3.360162,5.385983,36.320453,0.655826,0.678438,0.678419,2.387805,2.194934,-4.677954,0.845662,-1332300,23.684211,-943709855.089449,-12.610675,56.598922,1.548921,-1.363439,90.912945,0.056142,2.396371,0.823662,0.678438,1.522794
08-22-24,29.08,29.17,29.040001,27.741478,47200,27.198687,26.45412,25.584411,0.046732,0.016452,0.003986,TRUE,TRUE,0.86971,0.038468,29.85794,28.434913,73.028386,0.812957,0.339246,0.041073,6.725677,8.389357,16.24875,13.028098,3.612095,5.394241,37.47118,0.644093,0.667425,0.675934,2.426706,2.634029,-4.677954,0.948267,-1285100,-9.40499,-944699988.610584,-12.818622,64.780199,2.040478,-0.488897,91.271378,0.070058,3.033163,0.822152,0.667425,1.448556
08-23-24,29.24,29.5,29.24,28.017466,59200,27.251838,26.49536,25.607096,0.045325,0.017168,0.004101,TRUE,TRUE,0.888263,0.03951,61.165156,29.631497,77.246955,5.031525,0.362127,0.051163,7.670165,9.149672,16.697733,25.124508,3.94379,5.50693,41.180029,0.598698,0.631853,0.656135,3.013721,4.097753,-4.677954,1.172742,-1225900,31.263858,-945315911.377704,-12.880322,71.165546,2.47266,-0.16426,91.294582,0.092738,4.19331,0.810022,0.631853,1.85922
08-26-24,29.48,29.6,29.48,28.122152,29100,27.30085,26.543789,25.630763,0.044299,0.017918,0.004217,TRUE,TRUE,0.913026,0.040975,76.119605,30.949153,78.613383,6.240955,0.384277,0.058651,8.072473,10.480188,17.133772,21.391106,3.611514,5.570473,45.418124,0.590953,0.626965,0.64867,3.01923,3.901567,-4.677954,0.582524,-1196800,-26.515152,-946003562.670718,-12.988886,93.885061,2.671887,0.283846,91.377716,0.091549,4.148973,0.8054,0.626965,1.808314
08-27-24,29.290001,29.35,29.27,28.023739,15900,27.345893,26.594593,25.653434,0.0436,0.018694,0.004334,TRUE,TRUE,0.941158,0.042455,88.960221,31.045308,74.107723,1.079337,0.389402,0.051021,8.600247,10.012983,17.033689,4.468977,3.321373,5.51457,47.956407,0.589633,0.629529,0.645461,2.561594,3.421881,-4.677954,0.326154,-1212700,-60.25,-946514852.127839,-13.162434,90.36404,3.066502,0.063656,91.431408,0.088124,3.984564,0.803406,0.629529,1.413464
08-28-24,29.360001,29.469999,29.290001,28.071508,37900,27.389517,26.64805,25.676253,0.043327,0.019489,0.004451,TRUE,TRUE,0.971797,0.04392,85.771918,31.432276,74.860893,-2.386062,0.39279,0.043527,10.853243,10.281229,15.914508,-4.69116,3.207799,5.399318,50.453401,0.589571,0.634339,0.648439,2.276322,3.465835,-4.677954,0.78403,-1174800,-17.787419,-947065877.429044,-13.143341,90.168325,3.954404,0.499422,91.953915,0.086309,3.919401,0.805257,0.634339,1.351725
08-29-24,29.5,29.59,29.4,28.167055,44300,27.43316,26.702852,25.69964,0.04345,0.020297,0.004568,TRUE,TRUE,1.003212,0.045557,86.248684,32.07375,76.343168,-2.270215,0.398591,0.039462,10.203679,10.535145,15.015261,-5.363574,3.197991,5.399631,53.281379,0.58963,0.645516,0.665655,2.097052,3.470287,-4.677954,0.908159,-1130500,24.788732,-947685117.295529,-13.236259,90.202656,3.880264,0.928877,91.846666,0.07474,3.479969,0.815877,0.645516,1.377395
08-30-24,29.48,29.690001,29.459999,28.358152,51000,27.493972,26.762986,25.721647,0.044064,0.02112,0.004687,TRUE,TRUE,1.041339,0.047426,87.796819,32.894323,79.009014,4.901292,0.413837,0.043767,10.137917,10.758435,16.010631,-3.243969,4.481018,5.384779,56.618517,0.593615,0.654917,0.673721,2.28855,3.70056,-4.677954,1.062943,-1079500,-23.880597,-948224759.271862,-13.409225,90.565321,4.350164,1.530447,91.998408,0.084509,3.956434,0.820805,0.654917,1.526321
09-03-24,29.559999,29.67,29.52,28.348593,47500,27.570484,26.823496,25.742965,0.045318,0.021968,0.004805,TRUE,TRUE,1.08053,0.049222,84.509698,33.656284,78.532256,3.671364,0.420303,0.040186,10.020136,10.801766,16.490827,-21.946119,5.705962,5.311991,57.342799,0.594096,0.641504,0.664416,1.996154,3.601343,-4.677954,0.982725,-1127000,17.574257,-949014152.701665,-13.806505,90.89826,4.46921,2.299193,92.80848,0.095224,4.392289,0.815117,0.641504,1.356942
