Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
04-24-24,36.93,36.939999,36.700001,35.181664,44200,35.304579,35.077974,32.690971,-0.004486,0.044071,0.011283,TRUE,TRUE,2.387002,0.034641,-4.032393,24.348394,50.584116,15.751314,-0.064735,-0.061317,5.115744,17.030586,9.343828,-68.055949,-1.526097,4.902543,38.429098,0.48917,0.459246,0.368499,1.703129,2.021916,-3.728352,0.490348,-2249600,-55.126904,-987818623.755903,-16.935815,27.431362,0.885166,0.290778,99.267557,0.05262,2.14884,0.607041,0.459246,-0.31985
04-25-24,36.330002,36.5,36.27,34.904266,40300,35.253882,35.107626,32.710447,-0.009482,0.043937,0.011245,FALSE,TRUE,2.397179,0.032546,-25.396981,23.382016,44.629099,0.255383,-0.075321,-0.057522,4.496005,16.733052,9.334623,-89.07089,-2.822901,4.823971,36.550084,0.500042,0.461104,0.35545,1.79339,1.696358,-3.728352,0.454212,-2289900,-41.253644,-988337525.441007,-16.635796,23.407879,0.589583,-0.203499,98.455259,0.044363,1.754213,0.596197,0.461104,-0.95654
04-26-24,36.560001,36.799999,36.560001,35.172096,65500,35.224708,35.136705,32.730362,-0.01385,0.043743,0.011209,TRUE,TRUE,2.406343,0.030699,-19.696972,21.903448,50.66777,-0.133437,-0.061391,-0.034873,5.14726,17.890182,10.077406,-68.780742,-1.631891,4.799867,34.612009,0.506762,0.476796,0.356038,1.831706,2.178812,-3.728352,0.760832,-2224400,-44.585448,-989160597.062586,-15.764418,24.916057,0.899345,0.007098,98.824459,0.048945,1.910619,0.59669,0.476796,-0.152004
04-29-24,36.880001,36.990002,36.860001,35.372971,61500,35.207012,35.16655,32.748938,-0.01759,0.043508,0.011177,TRUE,TRUE,2.417612,0.02941,-10.877179,21.063801,54.661485,4.077369,-0.033753,-0.005789,5.296129,18.450657,9.748161,-62.020318,-0.990626,4.790259,32.764828,0.506746,0.47276,0.349238,1.61139,2.178368,-3.728352,0.724168,-2162900,-27.476415,-990629044.684288,-16.034872,29.574243,1.532227,-0.453296,99.329359,0.051214,1.988778,0.590964,0.47276,0.506515
04-30-24,36.970001,37.099998,36.779999,35.181664,92700,35.194098,35.190272,32.764971,-0.020746,0.043222,0.011148,FALSE,TRUE,2.425301,0.027532,-9.608537,20.5771,50.470864,5.841765,-0.026976,0.000791,4.995716,16.736351,9.565438,-78.801649,-0.728744,4.868389,32.304237,0.510623,0.473168,0.366356,1.635014,2.043709,-3.728352,1.08739,-2255600,7.540603,-991647781.06223,-14.993762,30.16809,2.569315,-0.043366,99.95899,0.056102,2.191057,0.605274,0.473168,-0.038493
05-01-24,36.75,36.919998,36.599998,35.057316,125100,35.171141,35.20749,32.78005,-0.023322,0.042876,0.011123,FALSE,TRUE,2.42744,0.02539,-19.285747,19.517546,47.900311,-2.767459,-0.031278,-0.002809,4.834119,15.669428,9.241439,-96.480034,-1.292755,4.877153,31.514619,0.513698,0.493351,0.377175,1.182939,1.820047,-3.728352,1.408625,-2380700,132.096475,-992979067.207713,-14.751913,25.431041,1.389726,-1.023765,99.575561,0.040022,1.567135,0.614146,0.493351,-0.361184
05-02-24,36.849998,36.990002,36.799999,35.334709,193400,35.174011,35.230638,32.797179,-0.025231,0.042476,0.011101,TRUE,TRUE,2.433459,0.023716,4.411752,18.737276,53.58011,-1.081375,-0.012164,0.013044,5.062563,15.32333,10.747448,-70.310791,0.162678,4.919024,31.642252,0.521844,0.50237,0.379825,1.177628,2.106065,-3.728352,2.056681,-2187300,117.547807,-996155450.977389,-15.164394,36.361307,1.470292,-0.60989,99.90972,0.049065,1.895284,0.6163,0.50237,0.50786
05-03-24,37.240002,37.32,37.130001,35.669498,51700,35.181663,35.254743,32.814988,-0.026408,0.042035,0.011082,TRUE,TRUE,2.439755,0.022382,17.608137,18.881689,59.341293,8.870429,0.029656,0.043892,6.390862,15.134744,11.342588,-33.105169,0.430904,4.885915,32.68195,0.53215,0.514872,0.388057,1.875887,2.635416,-3.728352,0.550879,-2135600,-6.6787,-997001977.624246,-14.923946,40.345368,2.109547,2.041743,100.252058,0.062643,2.388821,0.622942,0.514872,1.492676
05-06-24,37.450001,37.549999,37.400002,35.899071,116800,35.193142,35.281335,32.834039,-0.026679,0.041565,0.011068,TRUE,TRUE,2.447296,0.021192,35.353934,19.529852,62.75487,14.854559,0.080397,0.075706,7.014541,15.206558,12.977143,-12.308259,0.64361,4.944809,34.81881,0.535116,0.505732,0.397529,2.341077,3.037739,-3.728352,1.195068,-2018800,198.721228,-999456262.83571,-14.765899,49.110627,0.20733,1.398047,99.466956,0.065315,2.496296,0.630499,0.505732,2.027436
05-07-24,37.740002,37.830002,37.68,36.157337,65800,35.217533,35.313283,32.855187,-0.025668,0.041075,0.011057,TRUE,TRUE,2.458096,0.020436,47.572923,20.679271,66.193529,12.613418,0.139838,0.108117,7.600341,16.389162,13.457982,4.419163,1.367664,4.954062,39.69835,0.54045,0.506104,0.389204,2.801413,3.23403,-3.728352,0.670505,-1953000,13.84083,-1000857932.354046,-14.939698,57.176685,1.067063,2.030074,100.064332,0.075137,2.823912,0.623862,0.506104,2.367362
