Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
12-19-23,15.46,15.71,15.46,14.640635,612600,14.79217,15.434959,14.429858,-0.047111,-0.000847,0.003293,FALSE,TRUE,1.005101,-0.028142,-20.689745,30.797505,45.761026,3.554424,-0.306465,0.004605,-6.289135,13.17885,8.67872,-11.545529,-5.5355,8.189458,47.864166,1.656689,1.014499,0.257297,5.826855,-1.141107,-15.214931,0.394113,48105800,-13.876002,-10095887767.185499,-7.728692,50.383651,-10.756719,5.644517,147.829528,-0.216802,-2.410539,0.507245,1.014499,-0.316594
12-20-23,15.73,15.91,15.53,14.482104,573800,14.753004,15.40661,14.430994,-0.048501,-0.002206,0.003348,FALSE,TRUE,0.975616,-0.029187,-26.462389,29.969752,43.336941,5.873735,-0.289719,0.017081,-6.031743,10.400599,7.931074,-20.316958,-5.131343,8.191025,46.984594,1.657386,1.074488,0.287788,6.03488,-1.436713,-15.214931,0.394683,47532000,-77.80099,-10099626210.435619,-7.766616,45.404438,-11.587423,3.87162,147.90425,-0.255024,-2.894366,0.536459,1.074488,-0.576571
12-21-23,15.53,15.65,15.47,14.584684,652200,14.716169,15.378075,14.432463,-0.04951,-0.00356,0.003402,FALSE,TRUE,0.945612,-0.029374,-23.369494,29.333113,45.354123,3.692663,-0.265115,0.033349,-5.309665,13.544848,7.268192,-17.762274,-4.808271,8.043251,45.145935,1.630329,1.131345,0.329799,4.680514,-1.718562,-15.214931,0.440953,48184200,342.769857,-10106694022.735943,-7.793033,40.665149,-11.880867,5.485559,147.729428,-0.314326,-3.738546,0.574282,1.131345,-0.291244
12-22-23,15.71,15.77,15.63,14.612659,828500,14.680733,15.34581,14.434296,-0.050056,-0.004905,0.003456,FALSE,TRUE,0.911513,-0.029378,-16.034876,28.335973,45.919552,0.158526,-0.240584,0.046303,-6.947734,14.819747,4.723487,-17.057947,-4.625683,8.107026,42.869557,1.630397,1.140691,0.331555,3.715661,-1.715407,-15.214931,0.55432,49012700,60.127561,-10119563446.592047,-7.931167,46.318303,-13.845171,5.441316,147.315285,-0.307524,-3.662298,0.575808,1.140691,-0.158793
12-27-23,15.82,15.88,15.77,14.705912,330600,14.662549,15.313731,14.437405,-0.05005,-0.006216,0.00351,FALSE,TRUE,0.876325,-0.02944,-7.784396,27.045023,47.856395,4.519454,-0.211185,0.060562,-7.071294,13.180916,8.017946,-14.26741,-2.413367,8.095877,41.8935,1.628933,1.137658,0.332278,2.322421,-1.435839,-15.214931,0.223084,49343300,-43.400103,-10126290207.725363,-8.037494,49.236113,-16.011288,4.008649,147.191805,-0.295811,-3.527882,0.576435,1.137658,0.103507
12-28-23,15.61,15.68,15.47,14.527487,417300,14.629382,15.276778,14.442905,-0.049682,-0.007506,0.003562,FALSE,TRUE,0.833873,-0.030354,6.894917,26.584187,44.567476,-0.786646,-0.199978,0.057415,-10.261136,12.045591,2.732797,-31.667885,-4.366706,8.186683,40.077483,1.609756,1.145062,0.314251,2.249873,-1.270131,-15.214931,0.294182,48926000,-75.250578,-10130453324.847900,-8.023465,56.607615,-19.487148,4.045991,145.860917,-0.306446,-3.649318,0.560581,1.145062,-0.254245
12-29-23,15.51,15.57,15.44,14.574441,187200,14.592501,15.239459,14.449269,-0.049036,-0.008772,0.003612,FALSE,TRUE,0.790189,-0.031063,11.537601,26.225727,45.626496,-0.293056,-0.185173,0.057776,-10.1264,11.537583,5.461703,-27.196062,-4.817209,8.079315,36.717712,1.610108,1.192614,0.330112,2.117677,-1.255866,-15.214931,0.138123,49113200,-87.099442,-10133133331.491337,-8.015603,68.183117,-18.601439,3.800846,146.058128,-0.334513,-4.02955,0.574554,1.192614,-0.049187
01-02-24,15.61,15.72,15.57,14.649568,502000,14.55658,15.202709,14.459606,-0.048348,-0.010012,0.003662,FALSE,TRUE,0.743103,-0.032677,6.989736,25.355722,47.359362,-0.497033,-0.16547,0.061983,-8.665235,10.864224,4.549285,-20.041144,-4.674877,7.976049,31.93421,1.52441,1.172731,0.358239,2.077385,-0.525867,-15.214931,0.40191,49615200,-80.895113,-10139796066.784145,-8.372322,66.840983,-17.053903,3.99632,147.224835,-0.245716,-3.194075,0.59853,1.172731,0.291186
01-03-24,15.63,16.129999,15.63,15.137886,1619700,14.544141,15.180762,14.471936,-0.047092,-0.011202,0.00371,FALSE,TRUE,0.708826,-0.033437,29.6539,23.79617,56.960789,12.393313,-0.109194,0.094608,-3.373621,13.532621,7.551036,21.880827,-1.616777,7.960918,28.868191,1.585164,1.145804,0.315546,4.344653,0.029976,-15.214931,1.277139,51234900,31.054292,-10144604081.483156,-8.06477,75.750712,-13.593364,8.048966,152.323159,-0.173771,-2.103444,0.561735,1.145804,2.056744
01-04-24,16.219999,16.26,15.9,14.940681,2470900,14.534898,15.159347,14.484313,-0.045335,-0.012348,0.003757,FALSE,TRUE,0.675034,-0.034206,35.365902,22.692381,52.774409,7.147913,-0.07959,0.099369,-4.858921,11.209932,12.779813,-0.711397,-1.222198,8.203548,27.153681,1.585996,1.136529,0.309475,3.848076,-0.393692,-15.214931,1.881608,48764000,57.211936,-10160243745.825863,-7.803435,86.119963,-16.314034,5.769243,150.009523,-0.21024,-2.532345,0.556304,1.136529,1.494392
