Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
07-16-24,31.77,31.950001,31.77,31.201193,216300,30.254342,29.937947,27.73312,0.022419,0.019916,0.016604,TRUE,TRUE,2.204827,0.029684,78.034732,24.562285,80.169726,7.954951,0.312412,0.090885,9.055201,16.159036,22.890828,47.99947,4.453724,2.815484,41.960726,0.478001,0.530212,0.537538,2.797729,4.840077,-3.467644,1.087208,-3067000,-30.180762,-902547390.574352,-11.561419,89.934399,2.458419,6.01065,104.699254,0.112306,5.484495,0.73317,0.530212,2.256517
07-17-24,31.73,31.790001,31.639999,30.937517,297000,30.304768,29.970333,27.764496,0.025367,0.020253,0.016709,TRUE,TRUE,2.205837,0.029542,53.061013,25.952862,68.661504,-6.800075,0.317707,0.076944,8.575116,16.054382,21.806428,26.63168,3.369689,2.800609,43.862001,0.492536,0.542704,0.535288,2.584083,3.949251,-3.467644,1.465653,-3364000,33.064516,-905626191.881509,-10.977288,78.174079,2.596967,5.198805,104.325118,0.095912,4.534654,0.731634,0.542704,1.442592
07-18-24,31.709999,31.76,31.35,30.732437,300400,30.343485,29.995515,27.795422,0.028197,0.020603,0.016813,TRUE,TRUE,2.200093,0.029322,36.190215,25.608747,61.291981,-15.693863,0.301875,0.04889,8.076031,14.620122,20.364527,11.77082,2.584788,2.827287,44.057936,0.495035,0.545,0.535029,2.400583,3.138589,-3.467644,1.43242,-3664400,89.049717,-906831548.313928,-10.262754,67.411532,2.905871,4.654512,104.17614,0.081538,3.834542,0.731457,0.545,0.882819
07-19-24,31.49,31.5,31.27,30.55666,205600,30.378746,30.017764,27.826765,0.030832,0.020952,0.016919,TRUE,TRUE,2.190998,0.02872,29.411775,24.899027,55.767034,-24.402692,0.272008,0.015219,7.82551,13.39228,19.36316,-6.361802,2.36243,2.817327,42.714239,0.502809,0.558397,0.533111,2.206081,2.771338,-3.467644,1.032154,-3870000,-50.576923,-908312480.070517,-9.938375,59.607443,3.381269,4.346899,103.670755,0.06507,3.006569,0.730145,0.558397,0.41652
07-22-24,31.58,31.67,31.49,30.927752,173600,30.435955,30.045883,27.859196,0.033414,0.02132,0.017024,TRUE,TRUE,2.186687,0.028378,36.065465,24.803455,63.290326,-5.371178,0.275112,0.014658,8.540843,14.15517,21.493494,9.535553,3.841642,2.84016,41.979196,0.516326,0.576472,0.549449,1.995017,3.580416,-3.467644,0.89563,-3696400,-38.198647,-909570592.595418,-9.05429,58.459563,3.686978,4.218312,104.11144,0.085233,3.904039,0.741248,0.576472,1.171524
07-23-24,31.65,31.690001,31.58,30.864277,289000,30.487567,30.072732,27.89107,0.035662,0.021698,0.017131,TRUE,TRUE,2.181663,0.02818,25.386378,24.778663,61.367655,0.075674,0.269345,0.007112,7.440717,13.799092,20.790423,-9.668893,3.460133,2.78366,40.482367,0.51102,0.571944,0.554342,1.863095,3.107531,-3.467644,1.469243,-3985400,24.784111,-913620370.962737,-9.217226,60.895323,3.635765,4.752403,104.289358,0.076489,3.559267,0.744541,0.571944,0.930554
07-24-24,31.450001,31.530001,31.15,30.468767,388300,30.516863,30.092253,27.920102,0.037427,0.022053,0.017239,TRUE,TRUE,2.172151,0.027384,4.214553,23.158427,50.976194,-4.79084,0.230206,-0.025621,6.02813,11.703865,19.287176,-49.619302,1.960783,2.788961,37.914325,0.540992,0.598443,0.55256,1.829536,2.144115,-3.467644,1.897061,-4373700,69.860017,-915400891.056096,-8.62029,52.04105,2.202187,3.485485,103.644136,0.054946,2.410358,0.743344,0.598443,-0.126855
07-25-24,31.15,31.370001,30.959999,30.361345,261600,30.538836,30.107299,27.947733,0.038789,0.022382,0.017347,TRUE,TRUE,2.159566,0.025914,1.115167,22.298433,48.570556,-14.71977,0.188349,-0.053982,6.191728,11.231223,18.600205,-60.469978,1.468668,2.841782,35.480028,0.53041,0.590439,0.527783,1.819469,2.429215,-3.467644,1.26978,-4635300,11.366539,-916426428.432061,-8.240504,49.742593,2.427273,3.413291,103.308862,0.052298,2.277726,0.726487,0.590439,-0.500256
07-26-24,31.280001,31.51,31.27,30.722673,175500,30.575457,30.125111,27.976452,0.040002,0.02271,0.017455,TRUE,TRUE,2.14866,0.024844,12.499912,20.958968,56.078689,-5.288966,0.182233,-0.048079,6.62391,12.634731,19.565018,-23.972249,2.4422,2.896872,33.228164,0.547277,0.608748,0.540106,1.717221,3.027774,-3.467644,0.857541,-4459800,-13.461538,-917402394.993823,-7.870221,49.880238,2.358123,3.939821,103.630631,0.065547,2.803618,0.734919,0.608748,0.443047
07-29-24,31.530001,31.530001,31.35,30.683611,160100,30.613543,30.143112,28.005263,0.040895,0.023032,0.017564,TRUE,TRUE,2.137849,0.023873,14.381252,19.638438,55.141469,4.165275,0.172248,-0.046451,6.131243,11.936202,20.083369,-27.917949,2.54569,2.914273,29.498884,0.544875,0.606272,0.538447,1.581307,2.69966,-3.467644,0.790481,-4619900,-20.938272,-918747925.799571,-8.018784,54.324384,2.048515,3.935903,103.618828,0.059808,2.564797,0.733789,0.606272,0.237527
