Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
12-21-23,19.620001,19.620001,19.48,18.425089,75300,18.103975,17.609122,17.611579,0.035135,0.006937,-0.000109,TRUE,TRUE,-0.002457,0.027755,42.856628,43.907108,70.430134,-2.816881,0.246939,0.015503,7.771258,5.359462,3.860616,-75.722268,4.787527,6.004503,28.065968,0.530332,0.215115,0.112682,1.701892,3.897027,-5.830774,0.788193,1844000,307.027027,-652125870.043833,-26.38683,68.039644,1.200056,-2.699826,90.77633,0.116839,3.7128,0.335682,0.215115,1.144141
12-22-23,19.549999,19.549999,19.309999,18.273752,108400,18.138498,17.632762,17.614194,0.03585,0.007776,-0.000130,TRUE,TRUE,0.018567,0.028061,24.409174,43.145474,61.105171,-12.851752,0.228026,-0.002728,7.626661,3.720071,2.847616,-120.696275,3.926842,6.083935,25.448565,0.544709,0.207726,0.098505,1.561797,3.287001,-5.830774,1.084814,1735600,426.213592,-653170347.622134,-25.41118,55.662789,0.729223,-5.65836,89.606461,0.101852,3.126266,0.313855,0.207726,0.53148
12-27-23,19.469999,19.549999,19.459999,18.481838,48400,18.178224,17.661316,17.616832,0.036549,0.008627,-0.000150,TRUE,TRUE,0.044485,0.028778,30.434198,42.438243,67.480663,-8.32043,0.227209,-0.002836,8.852222,4.601579,4.505586,-86.583848,4.491972,6.056707,24.205936,0.558161,0.224273,0.109981,1.441705,3.510402,-5.830774,0.494812,1784000,-46.578366,-654270812.183656,-25.228233,54.33692,-0.087772,-4.570688,89.976665,0.106903,3.222776,0.331634,0.224273,1.254298
12-28-23,19.48,19.48,19.389999,18.402201,19200,18.210657,17.689407,17.617728,0.037187,0.009489,-0.000170,TRUE,TRUE,0.071679,0.029155,18.479713,41.110113,63.210259,-7.219875,0.217627,-0.009935,8.926604,4.150855,4.653895,-99.639168,3.65372,6.02188,22.501813,0.557958,0.22246,0.098728,1.362654,3.51717,-5.830774,0.196641,1764800,-15.418502,-654711472.243844,-25.295899,51.711933,-0.299409,-3.848744,89.86928,0.101898,3.053763,0.31421,0.22246,0.851237
12-29-23,19.360001,19.469999,19.35,18.402201,10300,18.238834,17.717874,17.619365,0.037649,0.010349,-0.000189,TRUE,TRUE,0.09851,0.029131,18.479713,39.508803,63.210259,2.105088,0.207639,-0.015938,8.684446,3.439772,5.816091,-99.639168,3.15908,6.021125,21.082058,0.533656,0.191634,0.077588,1.278726,4.22821,-5.682177,0.110155,1764800,-88.924731,-654884479.304276,-24.863786,51.194155,0.209406,-4.296966,89.700866,0.12218,3.784216,0.278546,0.191634,0.77491
01-02-24,19.290001,19.34,19.280001,18.316874,41200,18.264163,17.746329,17.620159,0.037794,0.011196,-0.000209,TRUE,TRUE,0.126171,0.029052,18.461937,37.405431,58.60196,-8.878702,0.190641,-0.026349,7.641969,3.887681,5.080381,-113.627211,2.844367,6.044516,18.553825,0.536119,0.19905,0.083441,1.152232,3.674985,-5.682177,0.460593,1723600,-66.312347,-656248385.678056,-24.475195,52.824128,-0.746699,-2.980223,89.536614,0.104157,3.22142,0.288862,0.19905,0.284094
01-03-24,19.280001,19.370001,19.27,18.354799,47500,18.283349,17.774225,17.622022,0.03755,0.012031,-0.000228,TRUE,TRUE,0.152203,0.029002,26.066826,35.660893,59.997901,-3.212357,0.178176,-0.031051,8.344247,3.336131,5.297953,-107.409886,2.135189,6.054695,17.30563,0.536177,0.198627,0.08288,0.941539,3.694095,-5.483309,0.542547,1771100,-44.444444,-657165323.489191,-25.152031,60.330873,-1.875496,-2.147524,89.834549,0.107251,3.315731,0.287889,0.198627,0.412873
01-04-24,19.25,19.309999,19.23,18.24103,15800,18.296374,17.797963,17.622436,0.036897,0.012847,-0.000246,TRUE,TRUE,0.175527,0.028715,14.118823,33.681465,54.104115,-9.106144,0.157304,-0.041538,8.882514,2.91215,4.259353,-165.186517,1.448735,6.046869,15.823461,0.54509,0.198101,0.079599,0.772739,3.27874,-5.18342,0.199962,1755300,-91.52815,-657571766.933866,-25.177282,55.751881,-2.572599,-2.52854,89.082183,0.0959,2.911138,0.282133,0.198101,-0.349758
01-05-24,19.17,19.299999,19.17,18.212587,55500,18.302774,17.820568,17.623125,0.035803,0.013645,-0.000265,TRUE,TRUE,0.197443,0.028594,-2.720034,31.325829,52.71007,-5.89189,0.13689,-0.049562,8.045036,3.460706,3.496983,-212.758021,0.707786,5.968352,15.167018,0.534017,0.173206,0.060501,0.796448,2.772918,-5.18342,0.713872,1699800,-31.396786,-658444755.379660,-25.093392,48.105252,-3.569531,-2.828887,88.693511,0.084021,2.57682,0.24597,0.173206,-0.594621
01-08-24,19.209999,19.290001,19.209999,18.24103,22300,18.306812,17.845911,17.624373,0.034289,0.014423,-0.000283,TRUE,TRUE,0.221538,0.028584,-18.516829,29.138453,53.986841,-6.01106,0.121605,-0.051877,8.032802,4.119647,3.87624,-206.437503,0.444786,5.893573,14.872222,0.53228,0.168202,0.05691,0.875192,2.640385,-5.18342,0.289404,1722100,-38.227147,-659007243.425626,-25.144449,43.597337,-3.622602,-4.498817,88.281128,0.080707,2.478532,0.238559,0.168202,-0.442318
