Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
08-15-24,28.81407,28.954775,28.79397,28.258789,53332,27.838976,27.716547,26.195042,0.002774,0.020438,0.015031,TRUE,TRUE,1.521505,0.013115,13.846185,19.001274,59.732778,14.406674,0.003335,0.018505,3.470592,10.140105,19.840817,41.166319,0.104241,2.920768,37.672405,0.628685,0.64836,0.684437,2.476552,0.949626,-5.106969,0.593477,-2147193,-46.560587,-629132985.53482,-6.489313,47.106673,-0.95708,-1.05191,98.684153,0.013188,0.592796,0.827307,0.64836,1.114378
08-16-24,28.894472,28.994974,28.894472,28.258789,29253,27.848785,27.733167,26.222066,-0.00066,0.020348,0.015122,TRUE,TRUE,1.511102,0.013633,6.354593,18.6118,59.732778,7.810226,0.041223,0.045114,3.396865,9.519028,20.23182,41.166319,0.699054,2.854926,38.530938,0.627477,0.648198,0.683026,2.465035,1.056341,-5.106969,0.334147,-2147193,-61.315789,-629532293.537212,-6.656088,44.926017,-1.058394,-0.05757,98.59982,0.012239,0.549986,0.826454,0.648198,1.064091
08-19-24,28.994974,29.105528,28.994974,28.405918,48556,27.871345,27.751951,26.248718,-0.003459,0.02025,0.015213,TRUE,TRUE,1.503233,0.014125,10.543208,18.565022,62.144589,8.527117,0.082175,0.068853,3.935199,10.17207,21.352704,50.925879,1.614041,2.858983,40.456602,0.626491,0.648414,0.677316,2.638988,1.473463,-5.106969,0.564454,-2098637,-38.539043,-630098284.83137,-6.649747,44.648641,-0.020379,0.483115,98.859684,0.019119,0.852827,0.822992,0.648414,1.32135
08-20-24,29.115578,29.135677,29.005026,28.32745,50148,27.87723,27.770724,26.273438,-0.005619,0.020133,0.015303,TRUE,TRUE,1.497286,0.014538,8.125074,18.608052,60.077846,0.345068,0.107063,0.074993,3.39026,9.82641,21.067072,45.720814,0.417254,2.851173,41.055963,0.627666,0.649924,0.678655,2.621307,1.248658,-5.106969,0.606059,-2148785,-56.663988,-630668581.337479,-6.584085,45.09789,-0.18128,0.509117,98.95215,0.019385,0.864882,0.823805,0.649924,1.0966
08-21-24,29.075377,29.145729,29.025126,28.425533,79501,27.889981,27.790289,26.297782,-0.007051,0.02,0.015392,TRUE,TRUE,1.492508,0.015185,2.970292,18.678433,61.788505,2.055727,0.133167,0.080877,4.00697,10.414302,21.138857,52.227019,0.90528,2.77725,42.389148,0.628075,0.650629,0.680295,2.672894,1.27339,-5.106969,0.941832,-2069284,72.199359,-631538576.078176,-6.534695,46.660001,-0.293124,0.416327,98.984221,0.01791,0.800607,0.8248,0.650629,1.263418
08-22-24,29.145729,29.155779,28.934673,28.258789,75819,27.910089,27.808857,26.321388,-0.007886,0.019845,0.015482,TRUE,TRUE,1.487469,0.015301,7.586322,18.328743,57.293843,-4.850747,0.1388,0.069208,3.877948,8.539716,20.724155,40.893706,1.443673,2.801809,43.169287,0.63053,0.652966,0.675097,2.65322,1.201546,-5.106969,0.950834,-2145103,-55.202954,-632077928.099268,-6.57851,48.467708,-0.807251,-0.338538,98.656003,0.012052,0.532311,0.821643,0.652966,0.80775
08-23-24,29.135677,29.18593,29.065327,28.484388,64775,27.943439,27.827847,26.345978,-0.007956,0.019685,0.015571,TRUE,TRUE,1.481869,0.01545,31.617692,18.109602,61.386456,1.30861,0.159627,0.072029,4.445567,9.081093,20.650427,54.673114,2.397745,2.914523,44.954949,0.631284,0.68101,0.685541,2.697125,1.789426,-5.106969,0.825727,-2080328,-28.539908,-632766735.764416,-6.791946,59.766583,-0.751938,-0.23284,98.489065,0.003311,0.148469,0.827974,0.68101,1.203315
08-26-24,29.18593,29.18593,29.055277,28.396107,55223,27.959623,27.847408,26.369982,-0.007413,0.019514,0.01566,TRUE,TRUE,1.477426,0.015292,57.709262,17.855764,59.003556,-2.784949,0.167084,0.063588,3.825328,8.945364,20.964064,48.969205,1.153034,3.021682,46.013917,0.632438,0.70111,0.70824,2.370915,1.731749,-5.106969,0.713923,-2135551,-28.386913,-633379178.988796,-6.901036,70.350997,-1.575258,-1.250979,97.907396,0.007072,0.328644,0.84157,0.70111,0.948591
08-27-24,29.035175,29.085426,29.005026,28.366682,48656,27.973846,27.86755,26.394369,-0.006182,0.01934,0.015748,TRUE,TRUE,1.473181,0.015273,65.740872,17.359177,58.19273,0.898888,0.168674,0.052143,4.162724,8.630336,20.20064,40.062377,1.012927,2.954333,46.844941,0.629564,0.702602,0.705246,1.903866,1.453796,-5.106969,0.631543,-2184207,-11.252166,-634200448.822022,-7.047631,72.49576,-1.371021,-1.318991,98.207087,0.012313,0.571863,0.839789,0.702602,0.838589
08-28-24,29.055277,29.055277,28.884422,28.268597,41790,27.983654,27.884171,26.41735,-0.004368,0.019145,0.015835,TRUE,TRUE,1.466821,0.015077,48.634025,16.294978,55.456939,-5.929516,0.160174,0.034914,4.437313,8.41582,19.011592,21.31489,0.698816,2.858976,47.265704,0.631865,0.717274,0.721805,1.619297,1.258709,-5.106969,0.549665,-2225997,-32.692308,-634543493.324852,-7.08233,65.999566,-2.461526,-1.365988,98.259303,0.000071,0.003376,0.849591,0.717274,0.602852
08-29-24,29.085426,29.135677,29.005026,28.307833,35024,27.982183,27.900409,26.440384,-0.002052,0.018931,0.015922,TRUE,TRUE,1.460026,0.014903,46.89288,15.667857,56.341143,-2.662413,0.154819,0.023647,4.770715,8.003779,18.033586,17.574811,-0.103831,2.873118,47.154301,0.631922,0.723598,0.72822,1.336245,1.301728,-5.106969,0.464226,-2190973,-24.947499,-634952313.226106,-7.201899,63.843098,-1.5527,-1.602489,97.94754,-0.01081,-0.52092,0.853358,0.723598,0.690604
08-30-24,29.075377,29.135677,28.974874,28.425533,38805,28.00131,27.919001,26.462225,0.000839,0.0187,0.016008,TRUE,TRUE,1.456777,0.015224,50.000155,14.928092,58.972189,0.779459,0.158248,0.021661,4.603213,7.695546,18.429698,16.857769,1.364112,2.873836,48.178658,0.626552,0.718811,0.728503,0.970363,1.15608,-5.106969,0.543591,-2152168,-67.661692,-635256252.662511,-7.49352,62.564208,-1.18454,-1.532442,97.853409,-0.015045,-0.731581,0.853524,0.718811,0.880521
09-03-24,29.075377,29.105528,28.79397,28.15089,89053,28.026812,27.934048,26.482837,0.004057,0.018446,0.016093,TRUE,TRUE,1.451211,0.015105,18.47821,14.362302,51.216188,-4.240751,0.137222,0.000508,3.481318,6.694215,17.473095,-45.051388,1.845269,2.815832,47.515525,0.640321,0.728027,0.736638,0.804903,0.673327,-5.106969,1.324164,-2241221,-48.145711,-635712930.464184,-7.772787,51.676143,-2.069608,-1.808358,97.794234,-0.01987,-0.959919,0.858276,0.728027,0.261131
09-04-24,28.743719,28.864323,28.733667,28.121466,55621,28.077327,27.949285,26.502772,0.007498,0.018163,0.016178,TRUE,TRUE,1.446513,0.014768,12.359661,14.104597,50.450618,-5.890525,0.116838,-0.015901,3.336181,6.936524,16.465175,-135.364126,3.726486,2.795338,42.359392,0.639189,0.739092,0.74127,0.684824,0.74864,-5.106969,0.940054,-2296842,-74.404532,-636289789.763479,-8.517388,45.679834,-2.786656,-1.40061,97.692015,-0.028496,-1.391334,0.86097,0.739092,0.1042
09-05-24,28.824121,28.874372,28.683416,28.08223,41989,28.132746,27.962958,26.522222,0.011047,0.01786,0.016261,TRUE,TRUE,1.440735,0.014424,-12.329085,14.087787,49.390439,-9.58175,0.096406,-0.029066,2.386097,6.551496,16.859377,-119.635849,4.109088,2.723905,33.483239,0.639247,0.738477,0.741751,0.752701,0.602544,-5.106969,0.73162,-2338831,-45.828334,-636596166.530769,-8.777468,39.330442,-2.859113,-1.338537,97.751291,-0.02963,-1.447935,0.86125,0.738477,-0.150871
09-06-24,28.773869,28.79397,28.442211,27.778166,71640,28.151873,27.969824,26.539431,0.014184,0.01753,0.016342,FALSE,TRUE,1.430393,0.01335,-27.683754,15.012479,42.020877,-9.195311,0.055044,-0.056343,1.133886,4.819118,16.196611,-89.287116,1.396353,2.747435,29.95792,0.652847,0.756881,0.745539,0.98022,0.323703,-5.106969,1.259397,-2410471,-12.408759,-636938288.386503,-8.851586,33.61677,-2.986132,-1.236232,97.446309,-0.042795,-2.062881,0.863446,0.756881,-1.247441
09-09-24,28.643215,28.753769,28.633165,28.023378,40895,28.178356,27.981791,26.558394,0.016969,0.017192,0.016423,TRUE,TRUE,1.423396,0.012998,-20.855903,15.871122,48.672282,-1.778336,0.041571,-0.055852,2.316814,5.899463,17.22234,-56.315991,1.926502,2.756241,25.899736,0.655585,0.75251,0.760315,1.068884,0.376679,-5.106969,0.748163,-2369576,-52.097316,-637392724.057376,-9.068103,32.925793,-4.045289,-1.697234,97.073837,-0.052264,-2.584977,0.871961,0.75251,-0.598377
09-10-24,28.743719,28.78392,28.603016,28.092043,40596,28.207783,27.992973,26.577461,0.019254,0.016853,0.016502,TRUE,TRUE,1.415512,0.012534,-12.903249,16.471736,50.388601,0.998162,0.03602,-0.049123,2.349206,6.510331,17.792945,-47.083399,2.139813,2.757331,20.637721,0.653389,0.768815,0.760173,1.120869,0.648988,-5.106969,0.760694,-2328980,-38.922156,-637662650.690444,-8.968712,38.521546,-3.488442,-0.587364,97.617707,-0.054763,-2.716837,0.871879,0.768815,-0.560816
09-11-24,28.79397,28.954775,28.542713,28.258789,64675,28.229852,28.009451,26.59712,0.021049,0.016523,0.01658,TRUE,TRUE,1.412331,0.012207,-8.808173,15.992328,54.378174,12.357297,0.044561,-0.032465,3.396865,6.39904,18.159685,-24.662818,1.586744,2.752297,18.491815,0.656332,0.768138,0.762278,1.139343,0.971246,-5.106969,1.218136,-2264305,-7.802076,-637816452.108823,-8.855006,37.270676,-4.251578,-1.225829,97.334533,-0.055317,-2.744128,0.873086,0.768138,0.156485
09-12-24,28.994974,29.175879,28.944723,28.445152,52238,28.256826,28.028088,26.617711,0.022269,0.016216,0.016657,TRUE,TRUE,1.410376,0.012268,9.743557,15.250652,58.404258,9.731976,0.065612,-0.009131,3.305889,7.179023,19.369516,0.395463,1.933221,2.781183,17.417634,0.660316,0.770093,0.773161,1.120113,1.115555,-5.106969,0.969535,-2212067,43.051182,-638094482.648297,-8.695172,45.548357,-5.142821,-0.892502,96.959863,-0.064777,-3.2697,0.879296,0.770093,1.081239
09-13-24,29.18593,29.326633,29.18593,28.602093,38407,28.273991,28.045939,26.639713,0.023126,0.015935,0.016733,TRUE,TRUE,1.406227,0.012629,6.383023,15.19053,61.486605,11.098004,0.093877,0.015307,4.31852,7.967683,20.076429,18.077517,1.214856,2.75452,19.052874,0.663069,0.772922,0.772624,1.462012,1.246108,-5.106969,0.722844,-2173660,-27.985075,-638451623.650195,-8.769129,43.535454,-5.858634,-1.151537,97.167851,-0.063536,-3.190004,0.87899,0.772922,1.722057
09-16-24,29.336683,29.427135,29.306534,28.719795,78605,28.297042,28.065164,26.662447,0.023813,0.01568,0.016809,TRUE,TRUE,1.402717,0.013121,17.277729,15.518239,63.661484,9.28331,0.124341,0.036617,4.971473,8.610839,19.655686,28.18329,1.631373,2.773946,21.491817,0.664482,0.781067,0.780528,1.799722,1.407312,-5.106969,1.413739,-2095055,168.707483,-639295070.34243,-8.779349,52.918845,-6.120797,-1.179325,96.971462,-0.072055,-3.674457,0.883475,0.781067,1.967045
09-17-24,29.537687,29.537687,29.336683,28.690369,28756,28.311264,28.083409,26.68465,0.024386,0.015449,0.016884,TRUE,TRUE,1.398759,0.013332,17.27761,16.218922,62.708061,4.303803,0.144445,0.045376,4.56622,8.380283,20.205152,22.652935,1.001378,2.808801,23.129077,0.66252,0.781582,0.790046,1.769681,1.511978,-5.106969,0.526563,-2123811,-40.777659,-639508752.220742,-8.61594,58.432577,-6.418274,-1.234206,97.114892,-0.060287,-3.152557,0.888845,0.781582,1.639082
09-18-24,29.427135,29.507538,29.306534,28.641325,68257,28.326958,28.100868,26.706366,0.024614,0.015247,0.016958,TRUE,TRUE,1.394502,0.013325,20.430146,16.691304,61.066565,-0.42004,0.154637,0.044455,4.165669,7.760648,20.483537,18.176009,1.108025,2.845676,24.280871,0.662693,0.778612,0.789093,1.720699,1.50009,-5.106969,1.229496,-2192068,36.111111,-640028792.785173,-8.430155,56.279803,-6.383134,-1.358571,97.301132,-0.056337,-2.938549,0.888309,0.778612,1.294711
09-19-24,29.58794,29.678392,29.577888,28.935587,34527,28.352461,28.12539,26.728928,0.024732,0.01508,0.017032,TRUE,TRUE,1.396461,0.013795,30.188769,17.727181,66.699151,3.037667,0.184334,0.059321,5.23587,8.275036,22.41244,39.911281,1.79435,2.858699,27.795018,0.673894,0.816313,0.825903,2.291176,1.822632,-5.106969,0.648181,-2157541,-56.570358,-640504630.842694,-8.416057,56.291524,-7.096424,-1.174028,97.187136,-0.044896,-2.534641,0.908792,0.816313,2.097953
09-20-24,29.638191,29.638191,29.497486,28.886543,59402,28.383848,28.144026,26.751438,0.02492,0.014941,0.017105,TRUE,TRUE,1.392589,0.014161,22.927006,18.201276,65.011022,2.302961,0.201588,0.06126,5.430854,7.73956,22.602694,35.94393,2.221448,2.832584,30.128112,0.674723,0.821687,0.830972,2.242676,1.701991,-5.106969,1.132617,-2216943,-21.652884,-641079880.873601,-8.582001,49.621214,-6.553005,-1.544418,96.995603,-0.054536,-3.120892,0.911577,0.821687,1.668525
09-23-24,29.61809,29.61809,29.507538,28.857117,73033,28.402485,28.160701,26.773655,0.025188,0.01484,0.017177,TRUE,TRUE,1.387045,0.014381,40.000216,18.641507,63.964933,2.898368,0.210461,0.056107,5.473386,7.423051,24.246987,33.563488,1.308536,2.848233,31.884366,0.674983,0.821686,0.829565,2.123569,1.675415,-5.106969,1.381641,-2289976,12.748746,-642012279.214572,-8.745378,50.567418,-6.79594,-2.628548,96.709798,-0.058286,-3.320403,0.910804,0.821686,1.425877
09-24-24,29.527637,29.527637,29.447235,28.882721,44079,28.426815,28.174945,26.796098,0.02537,0.014782,0.017248,TRUE,TRUE,1.378848,0.014747,43.210521,18.665503,64.500193,-2.198958,0.217057,0.050162,5.416903,7.791848,24.357228,35.634725,1.713665,2.835095,33.641382,0.673785,0.82265,0.828766,1.986578,1.558752,-5.106969,0.842772,-2245897,-20.179997,-642675325.499859,-8.886922,51.274703,-5.351997,-2.421855,96.76893,-0.05475,-3.117232,0.910366,0.82265,1.355193
09-25-24,29.487436,29.487436,29.396984,28.833481,97013,28.450155,28.187224,26.817812,0.025406,0.014759,0.017319,TRUE,TRUE,1.369412,0.01479,42.40189,18.369789,62.575182,-2.435841,0.215824,0.039143,5.097976,7.725513,24.434046,31.651482,1.645588,2.803226,34.801516,0.672161,0.821411,0.827983,1.82596,1.635643,-5.106969,1.77289,-2342910,99.385482,-643981090.653624,-8.936949,47.618459,-5.725874,-2.50643,96.790707,-0.052937,-3.014388,0.909936,0.821411,1.101462
09-26-24,29.628141,29.678392,29.577888,29.059975,56019,28.489724,28.199912,26.840418,0.025447,0.014776,0.01739,TRUE,TRUE,1.359494,0.01526,75.65999,18.905951,67.395463,3.430529,0.230465,0.043028,5.961418,7.904439,26.409334,45.546443,2.799495,2.814111,37.054573,0.677762,0.825432,0.825072,1.801745,1.817116,-5.106969,1.010595,-2286891,34.048816,-644614460.542129,-9.084123,55.722116,-5.443953,-1.852784,97.041819,-0.048343,-2.707241,0.908334,0.825432,1.538947
09-27-24,29.718594,29.738693,29.658291,29.08952,59800,28.528809,28.217116,26.863076,0.025262,0.014822,0.01746,TRUE,TRUE,1.354039,0.016025,72.109536,19.632588,67.974908,3.474715,0.241667,0.043384,5.653488,8.053203,26.963193,45.720355,2.76138,2.738353,39.101061,0.672867,0.838666,0.826329,1.607915,1.58995,-5.106969,1.055223,-2227091,70.740064,-645520318.33024,-9.32408,56.866916,-4.890711,-1.323518,97.247347,-0.039868,-2.256976,0.909027,0.838666,1.434004
09-30-24,29.59799,29.698492,29.547739,29.08952,75919,28.562008,28.237654,26.885493,0.025031,0.014894,0.01753,TRUE,TRUE,1.35216,0.016797,70.751162,19.582598,67.974908,5.399726,0.24769,0.039525,6.031236,8.131421,26.115363,45.720355,2.33588,2.701136,40.953014,0.672837,0.840104,0.828519,1.321188,1.520423,-5.106969,1.29718,-2227091,95.642314,-646057754.692546,-9.22792,49.572612,-4.939003,-1.238328,97.167169,-0.044601,-2.541106,0.91023,0.840104,1.28809
10-01-24,29.688442,29.688442,29.437185,28.941805,375414,28.601554,28.257395,26.905921,0.024924,0.014987,0.017599,TRUE,TRUE,1.351475,0.017285,49.109346,18.873168,61.624528,-5.770934,0.237802,0.02371,5.191943,8.287792,25.057401,-0.367551,2.809554,2.649814,40.591252,0.677109,0.861981,0.840625,1.086933,1.284796,-5.106969,5.153653,-2602505,321.56244,-647913507.791286,-8.374427,30.447079,-5.534677,-1.889676,96.594132,-0.068944,-4.048816,0.916856,0.861981,0.838238
10-02-24,29.497486,29.547739,29.437185,28.951654,43482,28.643063,28.272234,26.925964,0.025344,0.015097,0.017668,TRUE,TRUE,1.34627,0.017709,41.711708,18.214411,61.880257,-6.094652,0.228131,0.011231,4.48277,8.245781,25.570056,-42.382689,2.952153,2.572145,39.657481,0.676984,0.861182,0.840342,0.920318,1.312137,-5.106969,0.601933,-2559023,-21.824491,-648338919.019262,-8.339964,26.12125,-4.697948,-1.803047,96.653549,-0.065112,-3.82112,0.916702,0.861182,0.778142
10-03-24,29.477386,29.487436,29.386934,28.882721,39303,28.683088,28.286478,26.946432,0.02636,0.015224,0.017736,TRUE,TRUE,1.340046,0.017854,24.916257,17.293208,58.920929,-9.053979,0.212455,-0.003556,4.049838,8.620716,26.592496,-98.068639,2.850526,2.49279,37.690027,0.677178,0.861475,0.840553,0.826158,1.301542,-5.106969,0.545095,-2598326,-6.396913,-648772584.197923,-8.443766,22.739094,-4.86343,-1.519341,96.688971,-0.06552,-3.846489,0.916817,0.861475,0.529671
10-04-24,29.678392,29.678392,29.527637,29.069822,71939,28.74767,28.310742,26.967307,0.027773,0.015376,0.017803,TRUE,TRUE,1.343435,0.018656,29.274203,17.379247,63.95905,2.334521,0.212678,-0.002667,4.649898,8.49012,26.770709,-54.774116,4.649898,2.469529,32.005623,0.673028,0.8779,0.843329,0.753311,1.216338,-5.106969,0.997519,-2526387,0.417365,-649281454.392726,-8.557624,22.331133,-5.923288,-1.445697,96.544248,-0.061807,-3.683046,0.91833,0.8779,1.006548
10-07-24,29.658291,29.658291,29.517588,28.971346,63581,28.795069,28.333821,26.987256,0.029385,0.015544,0.01787,TRUE,TRUE,1.346565,0.019351,22.216307,17.392883,59.801835,-2.078421,0.202573,-0.010217,4.332239,8.004857,26.129457,-77.561172,3.382774,2.421359,27.40326,0.674633,0.885398,0.84743,0.666919,0.984268,-5.106969,0.867973,-2589968,55.473774,-649838707.136358,-8.495291,19.195555,-5.864241,-1.7207,96.40157,-0.059353,-3.575538,0.92056,0.885398,0.64327
10-08-24,29.61809,29.688442,29.577888,29.059975,41890,28.843465,28.353572,27.008659,0.031226,0.015723,0.017936,TRUE,TRUE,1.344913,0.020388,32.097175,17.550786,62.184162,3.263233,0.199418,-0.010698,4.873684,8.060701,25.7249,-92.949903,3.445573,2.389377,22.429638,0.67265,0.881831,0.840362,0.525314,0.900983,-5.106969,0.571355,-2548078,3.187506,-650273083.352845,-8.599944,23.330495,-5.56001,-1.120208,96.749462,-0.053096,-3.136177,0.916712,0.881831,0.965282
10-09-24,29.658291,29.869347,29.638191,29.256927,49054,28.893372,28.377066,27.030421,0.033172,0.01592,0.018001,TRUE,TRUE,1.346645,0.021782,26.622852,18.486889,66.881369,2.922319,0.210384,0.000215,4.658283,9.466846,25.635133,-26.949309,3.532134,2.317702,19.670428,0.6773,0.885219,0.841995,1.000308,1.091542,-5.106969,0.676272,-2499024,-24.153073,-650483955.000346,-8.731885,24.321158,-4.857511,-1.247078,96.769036,-0.049643,-2.927101,0.917603,0.885219,1.848232
