Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
04-23-24,33.279999,33.529999,33.23,32.033428,993500,31.99181,31.621854,29.661008,0.012898,0.0303,0.00597,TRUE,TRUE,1.960846,0.030849,-4.641527,18.638657,55.476247,13.681127,0.005427,-0.053774,5.049601,17.142562,9.311754,-51.672256,0.179527,5.029053,32.63924,0.641936,1,1,2.037024,1.483894,-3.298979,0.491342,-80282600,40.087422,-30180878989.328133,-9.985149,46.959698,0,0,100,0,0,1,1,0.127509
04-24-24,33.48,33.509998,33.130001,31.813368,2521900,31.987026,31.645401,29.679043,0.008537,0.030313,0.006027,TRUE,TRUE,1.966358,0.030363,-8.871071,17.439688,49.722904,2.382069,0.0031,-0.04488,4.230579,16.739808,8.560814,-68.731185,-0.299847,5.02685,32.836453,0.646596,1,1,2.076138,0.976613,-3.298979,1.231478,-82804500,25.786822,-30200876896.320122,-9.597955,46.660036,0,0,100,0,0,1,1,-0.528858
04-25-24,33.009998,33.310001,32.880001,31.822933,2686000,31.967412,31.683379,29.697406,0.004486,0.03031,0.006085,TRUE,TRUE,1.985974,0.029901,-24.999862,16.999909,49.965802,-0.667631,0.002005,-0.03678,3.906422,16.936551,9.913526,-67.989686,-1.217699,4.944647,32.57221,0.646542,1,1,2.142768,0.938556,-3.298979,1.272769,-80118500,87.034329,-30216768860.444252,-9.293848,40.852466,0,0,100,0,0,1,1,-0.443565
04-26-24,33.34,33.439999,33.299999,31.947319,1638100,31.95019,31.714162,29.716064,0.000815,0.030283,0.006145,TRUE,TRUE,1.998098,0.029089,-17.903666,16.056142,53.13642,-2.339827,0.011047,-0.022191,4.247916,17.883084,10.626255,-58.34738,-1.066663,4.9403,31.664946,0.634191,1,1,2.184458,1.51795,-3.298979,0.765512,-78480400,56.337087,-30250061747.675861,-9.384908,41.824565,0,0,100,0,0,1,1,-0.009066
04-29-24,33.459999,33.509998,33.27,31.966457,743000,31.932489,31.735834,29.73351,-0.002559,0.030234,0.006207,TRUE,TRUE,2.002324,0.028393,-25.000092,14.91744,53.623381,3.900477,0.019532,-0.010965,3.763902,18.903954,9.742221,-66.685856,-1.095317,4.917741,30.452401,0.633447,1,1,1.561466,1.414961,-3.298979,0.352154,-77737400,-44.676098,-30258875923.821075,-9.090909,40.232245,0,0,100,0,0,1,1,0.111545
04-30-24,33.32,33.389999,33.02,31.593309,2802400,31.906656,31.749094,29.747409,-0.005763,0.030144,0.006271,FALSE,TRUE,2.001685,0.026979,-29.565186,14.74705,44.019164,-5.946638,-0.00381,-0.027445,2.426401,16.779717,7.912201,-107.44589,-1.609047,4.999941,31.053075,0.653185,1,1,1.236058,0.924482,-3.298979,1.276019,-80539800,160.494516,-30283290056.552303,-8.916841,40.702818,0,0,100,0,0,1,1,-1.009068
05-01-24,33,33.310001,32.869999,31.602869,2707000,31.879865,31.762734,29.761309,-0.008727,0.030024,0.006337,FALSE,TRUE,2.001425,0.025028,-23.72136,15.060301,44.294429,-8.841991,-0.021292,-0.035942,3.444393,16.693192,8.081618,-110.821626,-1.667183,5.050553,31.256616,0.639474,1,1,1.147145,1.354392,-3.298979,1.188221,-77832800,153.654423,-30301588427.468864,-8.686371,39.174222,0,0,100,0,0,1,1,-0.886201
05-02-24,33.119999,33.290001,32.970001,31.746393,1939400,31.865992,31.781144,29.776301,-0.011313,0.029882,0.006405,FALSE,TRUE,2.004843,0.023435,-3.000099,15.351176,48.396993,-5.226388,-0.023296,-0.030357,3.592271,15.93322,9.754497,-114.892752,-0.866452,5.047513,31.199562,0.64019,1,1,1.156109,1.385351,-3.298979,0.857997,-75893400,-15.520321,-30318359500.28912,-8.694544,46.700189,0,0,100,0,0,1,1,-0.383334
05-03-24,33.41,33.419998,33.25,31.93775,3843200,31.845899,31.798634,29.791362,-0.013529,0.029726,0.006475,TRUE,TRUE,2.007272,0.022115,18.781844,15.021357,53.331911,9.312747,-0.009337,-0.013118,4.281315,13.093,10.664097,-91.837677,-1.242593,5.021164,29.22017,0.643847,1,1,1.096446,1.599552,-3.298979,1.611145,-72050200,186.143995,-30381535571.449699,-9.343488,58.871045,0,0,100,0,0,1,1,0.314339
05-06-24,33.509998,33.860001,33.509998,32.397015,2997500,31.84877,31.821789,29.807972,-0.014927,0.029575,0.006547,TRUE,TRUE,2.013816,0.021467,45.37463,14.798744,62.581041,18.286612,0.038344,0.02765,6.807211,13.808511,12.762082,-29.467665,0.177538,5.070362,29.754063,0.667133,1,1,1.949481,2.11401,-3.298979,1.20753,-69052700,183.210506,-30403596767.649197,-9.113711,67.675163,0,0,100,0,0,1,1,1.842587
