Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
03-11-24,79.290001,79.809998,78.824997,77.88015,6934200,77.640453,75.37493,67.888138,0.107211,0.164852,0.082791,TRUE,TRUE,7.486792,0.165067,7.16796,30.65484,55.710421,4.544535,0.598782,-0.160906,13.521188,19.226054,51.258358,-7.123819,0.341023,2.621992,57.06127,1.029197,0.000809,0.000104,1.245205,3.069335,-8.085665,1.03163,11151900,-9.054901,-12384897794.5502,-3.642027,57.741541,5.297654,8.247612,0,0.219549,3.358821,0.010175,0.000809,0.42007
03-12-24,79.830002,80.419998,79.400002,78.566406,7405100,77.675746,75.512965,67.984306,0.092225,0.165141,0.082991,TRUE,TRUE,7.528659,0.16273,15.350942,30.767652,59.196455,1.785071,0.6298,-0.10391,13.985262,18.489404,54.78109,18.626881,0.906575,2.692912,60.569302,1.028525,0.000694,0.000076,1.28861,3.056264,-8.085665,1.076701,18557000,72.802371,-12404406574.340466,-3.601645,64.814372,5.653157,7.73253,0,0.218392,3.343244,0.008732,0.000694,1.470482
03-13-24,80.110001,80.669998,80.07,78.703659,5496500,77.772802,75.662372,68.08116,0.079052,0.165297,0.083184,TRUE,TRUE,7.581213,0.160618,4.455422,31.026894,59.876671,3.202798,0.657874,-0.060669,15.066021,19.949354,55.051487,23.777079,2.528739,2.6103,60.717944,1.028117,0.000633,0.000063,1.42831,2.989905,-8.085665,0.81415,24053500,-31.498399,-12434936775.712488,-3.667981,64.215133,6.226271,8.712334,0,0.213844,3.274861,0.007962,0.000633,1.533084
03-14-24,80.540001,80.599998,79.629997,78.517395,7210300,77.799273,75.816094,68.171044,0.068214,0.165308,0.08337,TRUE,TRUE,7.64505,0.157398,4.584861,30.720016,58.452557,2.742136,0.657513,-0.048824,14.319674,19.275343,50.424532,16.787811,0.678837,2.617591,62.822944,1.027996,0.000603,0.000058,1.417503,2.994408,-8.085665,1.069064,16843200,-1.829891,-12458687664.973146,-3.718885,56.317452,5.777287,9.203261,0,0.214063,3.278591,0.007586,0.000603,1.14309
03-15-24,79.75,80.139999,79.129997,77.733101,8166300,77.754666,75.959423,68.256519,0.058958,0.165162,0.083547,TRUE,TRUE,7.702903,0.153842,9.468285,29.844381,52.762141,-6.434314,0.587173,-0.095332,12.12404,16.461618,47.331869,-12.641602,-1.134659,2.669479,59.74134,1.030709,0.000186,0.000005,1.337931,2.413451,-8.085665,1.197548,8676900,22.387411,-12489442976.13319,-3.812089,56.099676,5.513142,8.04767,0,0.175564,2.681493,0.002331,0.000186,-0.036098
03-18-24,80.559998,81.009003,80.449997,79.329521,5360600,77.851154,76.139387,68.350075,0.052095,0.164914,0.083716,TRUE,TRUE,7.789312,0.153702,19.755396,29.665198,61.069823,1.193152,0.652721,-0.023827,13.928571,20.455472,47.054835,42.8554,2.493222,2.713303,68.630111,1.053531,0.000251,0.00001,1.946623,2.621319,-8.085665,0.795886,14037500,-23.818321,-12516293238.963816,-3.850937,56.556372,8.186591,12.312557,0,0.193231,2.887511,0.003086,0.000251,2.154109
03-19-24,80.389999,80.739998,79.970001,79.300018,4777100,77.952048,76.312878,68.439392,0.047637,0.164517,0.083877,TRUE,TRUE,7.873486,0.152123,27.212715,28.945761,60.856812,2.404255,0.694285,0.01419,14.174832,20.324935,48.416469,41.851561,2.61106,2.7229,74.41353,1.046392,0.000257,0.00001,1.798069,2.825227,-8.085665,0.726808,9260400,-40.513785,-12529383557.9601,-3.738775,55.899074,6.950657,11.422328,0,0.205705,3.095006,0.003179,0.000257,1.811459
03-20-24,80.809998,81.779999,80.550003,80.233902,4432700,78.104048,76.483087,68.532989,0.045804,0.16415,0.084029,TRUE,TRUE,7.950098,0.152764,29.390842,28.991336,65.016411,12.254271,0.793434,0.090672,14.111664,21.651667,49.050348,58.326221,3.938146,2.689912,87.932353,1.049094,0.000305,0.000014,2.682626,2.865877,-8.085665,0.683298,13693100,-27.837921,-12536094609.340219,-3.614807,54.846288,6.569904,10.436634,0,0.209002,3.13655,0.003762,0.000305,2.42215
03-21-24,82.25,82.25,81.589996,80.26339,5377200,78.199681,76.656826,68.625954,0.046334,0.163881,0.084175,TRUE,TRUE,8.030872,0.152967,23.696696,29.320471,65.142369,4.072546,0.864426,0.129331,13.003434,23.379506,45.988306,52.473439,2.44115,2.646458,100.288997,1.049027,0.000315,0.000015,2.646849,2.871855,-8.085665,0.840103,19070300,-24.356413,-12563088143.394873,-3.730795,54.690164,6.354256,11.965685,0,0.209409,3.142862,0.003885,0.000315,2.057762
03-22-24,81.860001,82.160004,81.669998,80.430496,3214200,78.313473,76.820575,68.718489,0.048504,0.163733,0.084313,TRUE,TRUE,8.102086,0.153404,44.310318,29.626095,65.891844,5.035032,0.923526,0.150744,14.120773,25.17949,48.903698,56.471205,2.911961,2.6814,111.981005,1.048762,0.965844,0.309697,2.640776,2.827825,-8.085665,0.51884,22284500,-56.135107,-12582563414.886169,-3.703717,60.800983,6.794938,11.890974,0,0.12137,2.192925,0.556504,0.965844,1.89052
