Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
08-05-24,120.379997,121.839996,119.169998,118.390617,20012000,122.492575,120.865717,114.417753,0.169027,-0.002986,0.084613,FALSE,TRUE,6.447964,0.017293,-38.121625,17.471531,39.464497,-23.13657,0.252649,-0.445249,-1.430073,5.025329,12.534108,-7.872526,-0.634433,2.913924,208.474366,0.949859,0.009783,0.051625,2.562844,-0.948264,-5.920903,1.751141,-37045000,170.227936,-40660736027.285828,-2.718402,36.675541,98.569927,105.025329,,0.004451,0.075378,0.227212,0.009783,-1.967608
08-06-24,121.309998,123.779999,120.779999,119.814056,13732600,122.551966,120.839092,114.528623,0.16962,-0.001872,0.085052,FALSE,TRUE,6.310469,0.01795,-22.819547,17.10659,44.241499,-8.907251,0.045867,-0.521625,-1.242416,6.870614,14.581569,6.505633,1.001326,3.077884,198.324807,0.954018,0.009581,0.050525,2.822776,-0.887242,-5.920903,1.155581,-23312400,197.377596,-40683311894.196632,-2.584945,44.91237,-0.519571,0.835454,0,-0.013934,-0.236274,0.224779,0.009581,-1.380518
08-07-24,123.199997,124.230003,121.389999,119.234871,8307700,122.529388,120.788557,114.641108,0.165178,-0.000717,0.085486,FALSE,TRUE,6.147449,0.017977,-21.221522,16.55664,42.762816,-1.92382,-0.162867,-0.584287,-1.988526,5.409479,12.643549,0.65528,-0.377293,3.143011,201.98211,0.955632,0.009482,0.049338,3.086511,-1.039419,-5.920903,0.695056,-31620100,19.864664,-40704228140.572807,-2.576684,50.093006,-0.999924,-0.070609,0,-0.024216,-0.409754,0.222121,0.009482,-1.631094
08-08-24,122.360001,124.349998,122.339996,121.983574,7976800,122.568164,120.822737,114.772332,0.158326,0.000613,0.085917,TRUE,TRUE,6.050405,0.021837,-2.84651,15.987396,51.113613,11.649117,-0.105279,-0.42136,0.270918,7.128229,15.76859,28.419931,0.639826,3.205396,200.04708,1.001253,0.010107,0.050802,3.114834,-0.271468,-5.920903,0.676246,-23643300,-28.226815,-40715033903.132637,-2.566252,55.48856,-0.553781,0.004976,0,0.026577,0.428265,0.225393,0.010107,-0.292226
08-09-24,124.099998,124.529999,123,122.003212,5891400,122.573073,120.891355,114.905885,0.148316,0.002106,0.086345,TRUE,TRUE,5.98547,0.025705,-9.217068,15.366017,51.168429,6.926931,-0.057394,-0.29878,-0.703123,7.127129,15.850971,28.618295,0.080534,3.14041,199.887779,1.001251,0.010113,0.050872,3.183223,-0.260882,-5.920903,0.509548,-17751900,-44.237686,-40728601749.740791,-2.458457,54.796477,-1.379359,-0.407518,0,0.02724,0.438952,0.225548,0.010113,-0.28509
08-12-24,124.290001,124.480003,123.25,121.38475,5733400,122.503374,120.931364,115.032757,0.135479,0.003675,0.086767,TRUE,TRUE,5.898608,0.029942,-10.938296,14.789021,49.293826,6.531011,-0.06856,-0.247956,-1.277229,6.420034,15.581782,22.371214,-1.135361,3.139695,201.556302,0.999588,0.009893,0.048896,3.277112,-0.568954,-5.920903,0.504495,-23485300,-40.775556,-40751724081.551559,-2.467622,50.142347,-2.517677,-1.029288,0,0.00566,0.091311,0.221125,0.009893,-0.554993
08-13-24,124.230003,125.050003,123.339996,122.660934,7808300,122.344342,120.967939,115.172169,0.122242,0.005307,0.087185,TRUE,TRUE,5.79577,0.035128,9.185789,13.930691,53.111175,1.997561,0.025278,-0.123295,0.183175,7.382793,16.603896,35.26195,-2.527496,3.177214,185.759891,1.006105,0.010227,0.051506,3.186939,-0.132192,-5.920903,0.711139,-15677000,-49.628421,-40765733899.837944,-2.567452,56.262811,-2.310031,-0.87378,0,0.036141,0.579553,0.22695,0.010227,0.170431
08-14-24,124.910004,125.68,124.839996,123.161591,5506400,122.29084,121.044071,115.316073,0.108596,0.006959,0.087598,TRUE,TRUE,5.727999,0.041357,6.852268,13.087832,54.556558,3.388129,0.138447,-0.0081,0.616199,8.937255,17.036837,40.319078,-0.861325,3.039738,181.530911,1.007352,0.010288,0.051968,3.133137,-0.054195,-5.920903,0.522938,-10170600,-62.054137,-40793244894.688126,-2.510438,53.531165,-2.53317,-2.571792,0,0.041677,0.667566,0.227966,0.010288,0.479671
08-15-24,126.650002,127.510002,126.300003,124.820633,5717400,122.368884,121.159255,115.472443,0.095554,0.008714,0.088007,TRUE,TRUE,5.686812,0.050673,4.657531,13.212988,59.060184,9.766357,0.357881,0.169066,1.307616,8.5874,20.146495,57.077066,1.266336,2.945741,189.112671,1.021777,0.016482,0.087974,3.119655,0.245783,-5.920903,0.552287,-4453200,-38.309649,-40812942719.659592,-2.52575,51.915891,-3.120056,-2.604615,0,0.064899,1.043925,0.296604,0.016482,1.296449
08-16-24,126.989998,127.330002,126.410004,124.643921,5448600,122.47196,121.246838,115.622109,0.082968,0.010588,0.08841,TRUE,TRUE,5.624728,0.05891,4.887339,13.329205,58.396334,5.285159,0.511626,0.258249,1.770245,7.630058,20.649549,55.292098,1.681739,2.938203,195.836336,1.020957,0.016445,0.087601,3.10297,0.293904,-5.920903,0.538033,-9901800,-45.269354,-40839310227.698669,-2.532284,53.230585,-2.685014,-1.94654,0,0.06119,0.992628,0.295975,0.016445,1.10907
08-19-24,127.080002,127.779999,126.940002,125.399818,3482900,122.550494,121.363822,115.772063,0.07167,0.012625,0.088809,TRUE,TRUE,5.591759,0.068513,6.931778,13.65435,60.444492,5.887934,0.686551,0.346539,2.273068,8.934135,22.411435,62.927419,1.268424,2.895789,204.522064,1.023573,0.016536,0.088086,3.089043,0.418934,-5.920903,0.352367,-6418900,-58.213056,-40855565342.730461,-2.603138,51.70689,-1.68251,-0.75482,0,0.069702,1.127786,0.296792,0.016536,1.393163
08-20-24,127.68,127.849998,127.010002,125.056221,6443300,122.623628,121.47139,115.918747,0.061141,0.0147,0.089203,TRUE,TRUE,5.552643,0.074942,-2.678091,13.991153,59.022103,-0.03808,0.788367,0.358684,1.797896,8.977268,21.846212,62.686083,1.183464,2.76173,210.961933,1.011821,0.016659,0.091472,3.016096,0.66098,-5.920903,0.661883,-12862200,-31.693329,-40891982101.836731,-2.626121,44.880763,,-0.340026,0,0.08568,1.404856,0.302443,0.016659,1.153096
08-21-24,127.690002,128.380005,127.540001,125.812134,4989200,122.867575,121.586642,116.059366,0.052633,0.01683,0.089594,TRUE,TRUE,5.527276,0.083438,16.739861,14.573562,61.186094,2.789761,0.919454,0.391817,2.748699,9.199796,22.732893,72.118684,4.03442,2.716398,218.461287,1.012618,0.016674,0.091476,3.232431,0.685462,-5.920903,0.52988,-7873000,-56.1227,-40917496620.771164,-2.685324,54.003723,-1.147782,-0.798179,0,0.087428,1.43229,0.30245,0.016674,1.347863
08-22-24,128.380005,128.669998,127.599998,125.65506,6355600,123.055077,121.712448,116.194882,0.046082,0.019036,0.089984,TRUE,TRUE,5.517566,0.088931,39.47555,15.261896,60.471477,0.026985,0.999149,0.37721,2.497596,7.731977,22.86915,68.263807,3.076184,2.72422,225.736909,0.998912,0.016836,0.095813,3.027785,0.985273,-5.920903,0.706448,-14228600,-56.878736,-40946957371.557991,-2.832224,65.234225,-1.535633,-1.146277,0,0.10682,1.777961,0.309536,0.016836,1.151776
08-23-24,128.440002,129.580002,128.190002,126.911613,5888000,123.201347,121.840689,116.33799,0.042343,0.02139,0.090371,TRUE,TRUE,5.502698,0.093299,69.439788,16.346461,64.085207,5.063103,1.15044,0.4228,4.759844,8.23909,22.833087,69.677415,2.359462,2.767878,241.046581,0.986306,0.017155,0.101957,3.251484,1.645775,-5.920903,0.672152,-8340600,-44.561615,-40963675814.150887,-2.848982,80.970671,-0.939948,-1.074842,0,0.148753,2.51407,0.319306,0.017155,1.539232
08-26-24,129.559998,130,128.869995,126.774162,6226600,123.351543,121.981638,116.481624,0.041374,0.023839,0.090756,TRUE,TRUE,5.500013,0.098355,63.359691,17.54874,63.402392,2.216298,1.244897,0.413806,4.116679,8.283989,24.209823,62.533827,2.427014,2.641234,253.799294,0.983894,0.016991,0.100563,2.887727,1.436535,-5.920903,0.722015,-14567200,-30.401833,-40992999504.906532,-2.817817,79.433428,-1.37783,-1.912354,0,0.134746,2.28215,0.317117,0.016991,1.348553
08-27-24,128.949997,129.289993,128.509995,126.852707,4000900,123.487506,122.148224,116.624535,0.044358,0.026417,0.091137,TRUE,TRUE,5.523689,0.105584,72.658572,18.332236,63.640795,3.169318,1.310981,0.383912,5.469263,8.188851,23.24853,58.912642,2.190595,2.532606,265.234566,0.973088,0.016742,0.099938,2.392826,1.139574,-5.920903,0.474411,-10566300,-48.779957,-41014002077.538483,-2.840162,73.425712,-0.064482,-1.760476,0,0.114491,1.961621,0.316129,0.016742,1.268764
08-28-24,129.279999,129.949997,128.509995,126.793808,4336300,123.551316,122.287414,116.768219,0.051076,0.029021,0.091514,TRUE,TRUE,5.519195,0.109877,61.712199,19.389756,63.307759,-0.777448,1.343118,0.332839,6.933754,7.77107,22.193503,54.197257,1.016743,2.420109,271.828762,0.958015,0.0169,0.105039,2.156206,1.48232,-5.920903,0.535158,-14902600,-60.390405,-41028674331.711334,-2.844484,72.279655,0.034916,-2.010738,0,0.135215,2.35946,0.324097,0.0169,1.192844
08-29-24,129.759995,131.199997,129.100006,127.687134,8226000,123.776121,122.431556,116.909288,0.062045,0.031686,0.091888,TRUE,TRUE,5.522268,0.114724,65.571264,20.927969,66.197092,2.7947,1.424253,0.331179,6.954718,8.198508,22.122087,55.813025,3.649699,2.507213,286.867937,0.959965,0.017063,0.106562,2.346404,1.741262,-5.920903,1.075296,-6676600,-52.404647,-41047969225.357109,-2.935238,73.202656,0.631303,-1.40776,0,0.151852,2.645257,0.326438,0.017063,1.36335
08-30-24,130.529999,131.589996,129.589996,129.051682,8347900,124.204625,122.601424,117.056744,0.078321,0.034472,0.092259,TRUE,TRUE,5.54468,0.123368,81.438356,22.515218,70.073605,6.43281,1.580442,0.389894,6.802374,8.886853,22.870875,69.232548,7.113189,2.559634,298.824406,0.960905,0.017069,0.10642,2.822586,1.755525,-5.920903,1.155968,1671300,-50.651738,-41060810923.637444,-2.989449,80.865177,1.014621,-0.341134,0,0.152909,2.660711,0.32622,0.017069,1.622042
09-03-24,130.809998,131.020004,128.059998,126.194977,9332600,124.594843,122.719245,117.179925,0.097056,0.037274,0.092625,TRUE,TRUE,5.53932,0.12563,32.142505,22.58557,55.677941,-7.629818,1.456916,0.213095,5.730828,6.092363,20.694964,20.073785,6.592042,2.577659,268.304486,1.003184,0.016915,0.095779,2.562293,1.254347,-5.920903,1.395509,-7661300,-53.364981,-41081903964.982483,-3.148874,70.149733,0.179902,-2.41021,0,0.124821,2.067439,0.309483,0.016915,0.596387
09-04-24,128.470001,129.460007,128.190002,126.322594,7809700,124.92027,122.829389,117.302677,0.118217,0.04008,0.092986,TRUE,TRUE,5.526713,0.127948,29.759357,22.650897,56.111705,-10.085387,1.353714,0.087914,6.098648,7.07763,20.184049,0.427045,5.432198,2.588963,245.793039,1.003183,0.016911,0.095764,2.323107,1.252958,-5.920903,1.221898,148400,-43.130216,-41112680362.733322,-3.358928,61.975778,-0.02419,-1.259504,0,0.124466,2.061548,0.309458,0.016911,0.57053
09-05-24,128.410004,128.559998,126.470001,124.850075,8044500,125.20103,122.930699,117.417969,0.139472,0.042871,0.093339,TRUE,TRUE,5.51273,0.128113,0.282135,21.372488,50.027801,-20.045804,1.139965,-0.100668,3.812661,5.281121,20.815202,-30.1145,4.709364,2.498724,206.336026,1.015831,0.01667,0.090802,2.320814,0.852849,-5.920903,1.261231,-7896100,-3.168145,-41133195217.931541,-3.362712,54.017268,-1.432549,-2.608912,0,0.098318,1.604371,0.301334,0.01667,-0.170089
09-06-24,127.339996,128.270004,125.639999,123.58371,9567300,125.281037,123.01316,117.52368,0.158463,0.045617,0.093683,TRUE,TRUE,5.48948,0.124774,-9.199222,20.053465,45.462543,-10.215398,0.858486,-0.305718,3.373554,3.380006,20.106244,-34.559508,1.311763,2.576956,196.049585,1.022174,0.01661,0.089043,2.415624,0.732671,-5.920903,1.481507,-17463400,19.939073,-41157723053.035973,-3.427546,51.671464,-0.746464,-2.675344,0,0.090454,1.465537,0.2984,0.01661,-0.865764
09-09-24,126.959999,128.330002,126.919998,125.478355,7283100,125.454794,123.130961,117.637313,0.175935,0.048414,0.09402,TRUE,TRUE,5.493649,0.12623,0.620171,18.787056,52.453354,-3.658351,0.77931,-0.307914,4.846807,5.196631,22.349624,-2.716707,2.848403,2.629707,180.23129,1.033448,0.016787,0.088912,2.410581,0.873765,-5.920903,1.115774,-10180300,23.622568,-41179899204.276154,-3.456947,53.556954,-1.515295,-2.400066,0,0.100804,1.614403,0.298181,0.016787,0.013073
09-10-24,128.320007,128.320007,126.970001,125.694313,6270200,125.670272,123.252101,117.752413,0.191052,0.051292,0.094349,TRUE,TRUE,5.499688,0.126454,5.090029,17.611105,53.189896,3.162095,0.725625,-0.28928,4.702018,5.923334,23.175149,0.912835,3.550333,2.647436,152.663721,1.029248,0.016875,0.090562,2.368476,1.086448,-5.920903,0.956663,-3910100,9.362682,-41198019454.363182,-3.404631,60.084598,-1.13563,-1.174361,0,0.114855,1.84813,0.300935,0.016875,0.015748
09-11-24,127.730003,128.429993,125.110001,125.92012,7969700,125.833231,123.403476,117.867526,0.201223,0.05427,0.09467,TRUE,TRUE,5.535949,0.124676,0.899436,17.698832,53.992426,8.529882,0.693307,-0.257278,5.491891,5.64474,23.361392,12.501854,2.657069,2.642473,135.252198,1.019271,0.017063,0.094389,2.362238,1.404599,-5.920903,1.214466,4059600,2.067031,-41202099741.20842,-3.324788,53.337835,-2.156552,-1.980129,0,0.135576,2.206912,0.307227,0.017063,0.064242
09-12-24,128.300003,129.270004,127.589996,126.891968,7012600,126.01975,123.56133,117.986238,0.207967,0.057391,0.094985,TRUE,TRUE,5.575091,0.126303,9.647677,17.135276,57.379212,4.925858,0.737612,-0.170378,5.304898,6.17341,24.762191,27.499511,3.028848,2.649931,121.491761,1.014616,0.017044,0.095143,2.299002,1.32388,-5.920903,1.056493,11072200,27.353625,-41214939688.818344,-3.176551,53.657785,-3.143813,-1.898116,0,0.129398,2.117457,0.308453,0.017044,0.717923
09-13-24,129.820007,131.059998,129.559998,128.177979,7913800,126.187617,123.736265,118.11429,0.212735,0.060659,0.095295,TRUE,TRUE,5.621975,0.13074,9.854795,16.375322,61.425779,8.235883,0.866506,-0.033187,7.058802,7.706496,26.870172,47.345369,2.689736,2.63689,127.115675,1.019928,0.017137,0.095135,2.263122,1.440111,-5.920903,1.17286,18986000,38.416063,-41237436185.221336,-3.145589,54.615719,-3.118352,-1.412723,0,0.137796,2.242364,0.308439,0.017137,1.565787
09-16-24,131.139999,132.029999,130.449997,128.835693,6400800,126.397206,123.932994,118.246843,0.216381,0.06401,0.0956,TRUE,TRUE,5.68615,0.13596,15.418497,16.202247,63.342697,9.350271,1.010084,0.088313,8.700654,8.241423,26.277484,53.839505,3.362998,2.665766,134.656891,1.021245,0.017221,0.095802,2.213878,1.554359,-5.920903,0.94198,25386800,17.476049,-41256916507.293442,-3.072871,54.734981,-2.391616,-1.548741,0,0.145577,2.366268,0.30952,0.017221,1.810889
09-17-24,131.5,132.429993,131.220001,129.542511,7820700,126.604341,124.140913,118.38099,0.218325,0.067501,0.095899,TRUE,TRUE,5.759923,0.141448,19.214562,16.251748,65.336287,7.957075,1.167448,0.196541,8.101337,8.64238,27.707899,60.553486,3.303587,2.710687,149.546286,1.021832,0.017342,0.096972,2.47723,1.750146,-5.920903,1.11534,33207500,124.545637,-41286421902.372765,-3.072306,60.19569,-2.883157,-0.972108,0,0.159124,2.585763,0.311403,0.017342,1.964723
09-18-24,132.169998,133.669998,131.649994,129.43454,9191600,126.823257,124.35708,118.508972,0.218454,0.071088,0.096192,TRUE,TRUE,5.848108,0.147112,18.798119,16.90605,64.756929,3.33115,1.268821,0.238331,7.43237,7.624638,27.460072,50.520332,3.50108,2.769799,157.524672,1.021439,0.017249,0.095981,2.41155,1.619113,-5.920903,1.285654,24015900,42.653609,-41315775408.164291,-2.963857,62.013398,-3.116432,-1.494582,0,0.150572,2.446947,0.309807,0.017249,1.657698
09-19-24,134.009995,134.369995,132.970001,131.662933,8957800,127.115797,124.59661,118.639898,0.220299,0.074846,0.096481,TRUE,TRUE,5.956711,0.154204,25.845546,17.826078,70.559341,7.216644,1.511548,0.384847,9.21101,8.175181,30.201691,70.766054,4.650426,2.751634,188.951609,1.03387,0.017755,0.099058,3.721629,2.258561,-5.920903,1.219116,32973700,79.543815,-41341459641.908157,-2.884972,62.349397,-2.741906,-1.273883,0,0.1962,3.151307,0.314735,0.017755,2.406509
09-20-24,133.080002,133.460007,132.440002,130.740158,10907500,127.370052,124.787252,118.765338,0.222348,0.07867,0.096766,TRUE,TRUE,6.021913,0.158573,11.30085,18.2573,65.733114,0.396827,1.610882,0.387344,8.67489,6.365418,29.799638,60.800873,4.046871,2.656007,202.021993,1.038411,0.017682,0.097399,3.688449,2.139014,-5.920903,1.439862,22066200,71.620303,-41388721994.257553,-2.915792,53.49658,-3.377772,-2.918559,0,0.188532,3.012363,0.312089,0.017682,1.668188
09-23-24,133.259995,133.850006,132.759995,131.617661,8284000,127.605354,124.981504,118.899434,0.22358,0.082681,0.097045,TRUE,TRUE,6.082071,0.16397,41.835418,18.84754,67.976283,3.219354,1.74035,0.41345,8.941157,7.447064,32.845697,70.277147,3.70813,2.646431,222.745022,1.040514,0.017786,0.098084,3.517497,2.278193,-5.920903,1.076518,30350200,40.692935,-41414369286.089287,-2.928414,61.349896,-1.797217,-2.604536,0,0.198747,3.169528,0.313183,0.017786,1.8013
09-24-24,134.009995,134.639999,133.699997,132.563156,7507900,127.894804,125.177193,119.035928,0.224695,0.086926,0.097323,TRUE,TRUE,6.141264,0.170333,45.287681,19.766974,70.237067,-0.322274,1.897376,0.456381,10.667946,8.92357,34.26007,78.207308,4.566383,2.614479,247.601607,1.042816,0.017897,0.098823,3.882527,2.445008,-5.920903,0.967607,37858100,20.577843,-41440037324.443939,-2.880679,68.168965,-0.370145,-1.290132,0,0.210685,3.35285,0.314362,0.017897,1.885429
