Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
03-26-24,75.519997,75.690002,75.410004,72.558739,7964400,72.12103,70.810262,68.41644,0.09706,0.073169,-0.003558,TRUE,TRUE,2.393823,0.073034,16.161277,22.020073,60.220426,-8.613263,0.58488,-0.040702,6.747563,9.60362,6.438543,-167.716669,2.06152,4.763872,67.550492,0.598624,0.38965,0.154417,0.95258,2.105096,-4.540865,0.691261,-39048600,-3.97743,-94836770083.444199,-13.057521,57.872387,1.152482,-3.274815,0,0.061834,1.783175,0.392959,0.38965,0.647973
03-27-24,75.849998,76.260002,75.849998,73.318268,9848100,72.228468,70.894659,68.441529,0.099844,0.073077,-0.003636,TRUE,TRUE,2.45313,0.074568,22.728697,22.084726,67.250678,4.307262,0.609883,-0.012559,7.412513,11.581095,6.980944,-113.074263,3.019222,4.691736,68.698214,0.610967,0.413001,0.172297,1.183548,2.425508,-4.042859,0.843482,-29200500,45.494704,-94968240202.644043,-12.961439,58.082098,,-3.724773,0,0.068487,1.955933,0.415086,0.413001,1.586358
03-28-24,76.489998,76.610001,76.260002,73.414413,9172700,72.34644,70.981932,68.467193,0.102816,0.073034,-0.003712,TRUE,TRUE,2.51474,0.077316,42.251143,22.630158,68.021127,8.206233,0.630192,0.0062,7.059378,12.65307,6.931735,-85.789819,3.320578,4.705729,67.737818,0.59627,0.433374,0.198024,1.144591,2.044501,-4.042859,0.802511,-20027800,-34.868711,-95126566303.31543,-13.20242,65.919472,0.964417,-3.592821,0,0.046174,1.372705,0.444999,0.433374,1.576628
04-01-24,76.349998,76.459999,75.75,72.827957,13205200,72.434612,71.059194,68.488522,0.104368,0.073009,-0.003787,TRUE,TRUE,2.570672,0.077964,16.860888,22.010455,58.916373,-1.304053,0.592138,-0.025483,6.159852,11.413124,5.488989,-119.886091,2.481468,4.655174,61.348961,0.596679,0.425965,0.190578,1.065342,2.035875,-3.763974,1.167091,-33233000,-14.873811,-95248465052.484253,-13.150103,58.048892,-0.361684,-3.919616,0,0.045177,1.33595,0.436552,0.425965,0.64116
04-02-24,75.75,75.860001,75.239998,72.452995,16269200,72.501173,71.132966,68.505876,0.104288,0.072978,-0.003859,TRUE,TRUE,2.62709,0.077622,-1.032001,20.492929,53.944629,-13.306049,0.525665,-0.073565,5.393356,11.161641,4.648519,-141.686184,1.871729,4.577322,53.010651,0.60111,0.436815,0.202446,1.070372,1.85516,-3.172949,1.435629,-49502200,2.240349,-95410999095.198822,-12.787462,49.249246,-0.236112,-3.651453,0,0.044039,1.302282,0.44994,0.436815,-0.090882
04-03-24,75.330002,75.330002,74.410004,71.655006,16094700,72.519245,71.197459,68.515782,0.10229,0.072895,-0.003929,TRUE,TRUE,2.681677,0.075513,-21.322832,20.188298,45.20229,-22.818837,0.403937,-0.156234,3.07346,10.693384,2.664757,-125.227322,0.506978,4.545871,49.152778,0.619201,0.440255,0.193507,1.21818,1.425079,-3.172949,1.417814,-65596900,2.459194,-95523487148.558243,-12.519409,41.40866,-2.948448,-6.310276,0,0.030457,0.869459,0.439895,0.440255,-1.75827
04-04-24,74.860001,74.989998,74.110001,71.347351,18289500,72.49187,71.240909,68.52373,0.098115,0.072759,-0.003997,TRUE,TRUE,2.717179,0.073595,-16.895623,20.274028,42.352513,-16.563859,0.279421,-0.224601,3.440365,11.014098,1.693105,-110.505981,-0.76153,4.538687,54.089944,0.616272,0.43561,0.190445,1.35138,0.931538,-3.172949,1.566494,-83886400,54.783264,-95656612185.816681,-12.041357,40.434262,-2.3353,-6.620076,0,0.01859,0.532224,0.4364,0.43561,-2.115955
04-05-24,74.150002,74.559998,73.989998,71.462723,11148900,72.449744,71.303656,68.534908,0.092075,0.07259,-0.004062,TRUE,TRUE,2.768748,0.072056,-13.466296,20.498786,43.783816,-10.160813,0.187884,-0.25291,3.751199,10.315666,2.061405,-96.46078,-1.165229,4.503073,58.703959,0.615829,0.435568,0.194903,1.448127,0.889146,-2.815608,0.946898,-72737500,21.515221,-95766625479.801498,-11.704232,41.228762,-2.833388,-8.314185,0,0.006389,0.183556,0.441478,0.435568,-1.681353
04-08-24,74.199997,74.489998,74.150002,71.356956,10040700,72.430962,71.351116,68.544334,0.08427,0.072364,-0.004125,TRUE,TRUE,2.806782,0.069988,-27.927909,20.70749,42.736253,-2.466038,0.105589,-0.268164,3.827828,12.370534,1.436668,-100.497657,-0.523668,4.452991,61.646376,0.615464,0.43617,0.195759,1.599642,0.914714,-2.815608,0.864751,-82778200,-24.515096,-95941633411.782471,-11.841509,35.081408,-2.457449,-5.566765,0,0.007979,0.22948,0.442447,0.43617,-1.742203
04-09-24,74.440002,74.599998,74.019997,71.703079,12629600,72.409921,71.398819,68.553468,0.075615,0.072088,-0.004184,TRUE,TRUE,2.845351,0.068354,-25.663322,21.073356,47.189287,4.836774,0.067521,-0.244986,3.569167,13.542262,1.84753,-87.286879,-0.583471,4.432708,63.441627,0.617934,0.44327,0.199558,1.702908,1.124641,-2.815608,1.072419,-70148600,35.561638,-96055165245.788422,-11.702969,35.931875,-2.525762,-4.391967,0,0.009549,0.274186,0.446719,0.44327,-1.11416
04-10-24,74,74.43,73.769997,71.443504,15018400,72.35729,71.433312,68.563609,0.065769,0.071723,-0.00424,TRUE,TRUE,2.869704,0.066531,-36.402997,21.737114,44.400705,0.61689,0.016219,-0.23703,2.924637,13.029485,1.478828,-81.918629,-1.451957,4.403347,66.957673,0.619357,0.44378,0.205149,1.842842,0.832024,-2.815608,1.25102,-85167000,43.649389,-96176062428.310272,-11.442713,28.643094,-2.881152,,0,0.005239,0.150625,0.452934,0.44378,-1.364721
04-11-24,74.669998,74.690002,73.900002,71.270439,10551900,72.286939,71.456519,68.572414,0.055464,0.071236,-0.004293,FALSE,TRUE,2.884105,0.063668,-39.999696,21.756482,42.59347,-0.142783,-0.037966,-0.232972,2.887518,11.618249,0.938343,-88.012465,-1.935969,4.415638,70.703545,0.61559,0.439124,0.205445,1.99756,0.969157,-2.920372,0.876001,-95718900,8.341291,-96256859510.841873,-11.010148,29.219355,-2.317586,-3.24244,0,0.012918,0.373711,0.453261,0.439124,-1.437693
04-12-24,73.830002,74.019997,73.300003,70.549362,14605900,72.20869,71.475611,68.576579,0.044591,0.07064,-0.004345,FALSE,TRUE,2.899032,0.059422,-44.487975,22.540056,36.015769,-11.173518,-0.137507,-0.26601,1.860591,11.248106,0.368606,-83.100994,-2.170147,4.43014,80.671559,0.630616,0.487528,0.236169,2.239331,0.550556,-3.902573,1.209946,-110324800,3.690163,-96383065252.717026,-11.066412,28.675287,-2.794386,-1.596346,0,-0.00913,-0.262965,0.485972,0.487528,-2.056893
04-15-24,73.830002,74.019997,72.970001,70.260948,12119600,72.117451,71.460494,68.581654,0.032911,0.069931,-0.004395,FALSE,TRUE,2.87884,0.054474,-45.454211,23.629368,33.769436,-10.63127,-0.236936,-0.292351,1.123674,12.014677,-0.596599,-74.424547,-2.531397,4.486227,91.700593,0.63292,0.491715,0.244326,2.495308,0.429661,-4.295431,1.012913,-122444400,-14.940028,-96457723485.779327,-10.744529,28.549003,-2.580348,-0.802833,0,-0.006272,-0.180969,0.494294,0.491715,-2.024527
04-16-24,73.230003,73.330002,72.93,70.28978,12737600,72.004484,71.450535,68.587203,0.020702,0.069125,-0.004444,FALSE,TRUE,2.863332,0.049161,-45.736286,24.684109,34.211178,-8.382292,-0.309835,-0.292201,1.724105,11.08765,0.079125,-71.74512,-3.114229,4.474157,99.6729,0.631493,0.502954,0.255765,2.7246,0.569575,-4.295431,1.053519,-109706800,24.524391,-96638610816.592422,-11.088124,23.415876,-1.607706,-1.417427,0,0.009265,0.26996,0.505732,0.502954,-1.720331
04-17-24,73.540001,73.639999,73.029999,70.549362,12731500,71.891036,71.454548,68.591038,0.007957,0.068233,-0.004491,FALSE,TRUE,2.863509,0.043623,-62.068977,24.921022,38.207318,2.191549,-0.342712,-0.260062,2.170327,10.358002,-0.188558,-64.691248,-3.115918,4.422153,102.786299,0.629104,0.501521,0.256168,2.917205,0.931361,-4.295431,1.042301,-96975300,24.25946,-96754890491.117767,-10.53774,24.442772,-2.43197,-1.271013,0,0.022575,0.660479,0.50613,0.501521,-1.305304
04-18-24,73.620003,73.889999,73.470001,70.876251,11964200,71.782876,71.461854,68.59378,-0.004947,0.067257,-0.004533,FALSE,TRUE,2.868074,0.039765,-54.098329,24.581124,42.910127,9.140692,-0.338489,-0.204671,2.771579,10.394979,-0.029981,-58.179881,-2.961688,4.406686,101.438344,0.616732,0.490427,0.253712,2.337418,0.682115,-4.295431,0.975578,-85011100,8.903068,-96914627448.451096,-10.574995,25.424214,-1.788127,-1.095748,0,0.014422,0.42971,0.503698,0.490427,-0.893769
04-19-24,73.690002,74.480003,73.559998,71.568489,15843100,71.707405,71.484341,68.600594,-0.017363,0.066224,-0.004572,TRUE,TRUE,2.883746,0.035508,-26.252379,23.109562,51.353427,17.142249,-0.276101,-0.113826,4.07778,11.063549,1.012959,-46.467955,-2.065497,4.41977,96.805361,0.605334,0.506939,0.284917,1.917504,1.65854,-4.295431,1.256485,-69168000,77.293226,-96999060698.900146,-10.265557,33.453593,-0.327576,-2.503861,0,0.045884,1.422944,0.533777,0.506939,-0.1435
04-22-24,74.589996,75.349998,74.260002,72.251091,12181600,71.68385,71.520861,68.611716,-0.028746,0.065179,-0.004606,TRUE,TRUE,2.909145,0.033305,-3.954892,22.483194,57.956536,19.749217,-0.169622,-0.005878,5.583376,12.95301,1.734945,-28.054125,-0.647797,4.452107,94.757728,0.605087,0.508013,0.286721,1.673291,1.654823,-4.295431,0.961374,-56986400,11.325772,-97056144746.742905,-9.906746,40.845609,0.735683,-1.717369,0,0.045221,1.404743,0.535464,0.508013,0.598622
