Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
07-26-24,40.23,40.869999,40.18,39.106709,5702800,38.009745,36.967705,35.760721,0.088631,0.018759,0.00871,TRUE,TRUE,1.206984,0.057601,48.547614,34.208125,66.040066,-7.822444,0.663559,0.023439,12.939307,7.149271,8.702508,32.786541,6.902885,5.255061,106.423201,0.913725,0.011376,0.051022,2.594057,3.513993,-10.447436,1.075749,-151679400,59.666265,-42410592843.257523,-6.270038,63.922409,8.265978,-1.61304,0,0.257971,4.528016,0.225881,0.011376,1.030756
07-29-24,40.73,41.130001,40.419998,39.356354,5418100,38.133604,37.016682,35.798141,0.095403,0.021207,0.008863,TRUE,TRUE,1.218541,0.058018,51.084788,34.37517,68.139405,4.843546,0.675303,0.028146,13.566742,8.309531,11.757086,35.214056,6.717017,5.286749,106.986338,0.915063,0.011475,0.051766,2.145408,3.677449,-10.447436,1.023509,-146261300,-2.723617,-42432244487.599709,-6.15762,69.062922,9.421663,-0.259543,0,0.268388,4.705896,0.227522,0.011475,1.142902
07-30-24,41.16,41.380001,41,39.64439,4674000,38.289628,37.072751,35.833778,0.102103,0.02366,0.009018,TRUE,TRUE,1.238973,0.059471,51.37249,34.849672,70.412088,10.728396,0.699785,0.042103,13.125786,8.314285,12.901818,19.647635,8.543628,5.285854,105.011466,0.903749,0.011333,0.051765,2.110796,3.517325,-10.447436,0.891586,-141587300,-18.001439,-42470266397.251869,-6.304192,69.441869,8.711297,-0.030263,0,0.255796,4.541292,0.22752,0.011333,1.290109
07-31-24,41.23,41.639999,41.044998,39.548374,8786900,38.433169,37.1269,35.871084,0.108576,0.026107,0.009175,TRUE,TRUE,1.255815,0.06097,35.731259,35.598465,68.654036,2.613971,0.703332,0.03652,14.972255,9.064669,11.743613,-16.20145,7.827216,5.160415,101.37377,0.902468,0.011106,0.04986,1.844034,3.219844,-10.447436,1.602743,-150374200,120.47171,-42523257190.977829,-6.165883,69.610406,8.073345,-0.428037,0,0.237131,4.211565,0.223294,0.011106,1.100092
08-01-24,41.619999,41.91,41.389999,40.162872,9813900,38.609356,37.1979,35.911509,0.114824,0.028548,0.009335,TRUE,TRUE,1.286391,0.06325,40.707886,36.589061,73.256268,5.116863,0.747116,0.064243,16.694195,11.572638,13.688272,15.597691,9.617419,5.122256,99.149247,0.918914,0.011285,0.049606,2.759372,3.601816,-10.447436,1.676113,-140560300,316.001865,-42579389905.599846,-6.03879,71.285062,11.566542,2.823975,0,0.264653,4.615619,0.222723,0.011285,1.566846
08-02-24,41.849998,42.299999,41.490002,40.191673,8818200,38.780262,37.270048,35.950444,0.12067,0.030984,0.009497,TRUE,TRUE,1.319604,0.06593,38.812679,37.88881,73.453,3.040911,0.775203,0.073864,15.124594,9.724632,14.249344,9.397238,9.295031,5.173205,95.221325,0.912624,0.011128,0.048873,2.606332,3.342102,-10.447436,1.444003,-131742100,132.928311,-42616477127.826881,-5.821159,72.636036,12.628435,3.546533,0,0.247614,4.346473,0.221071,0.011128,1.482243
08-05-24,41.27,41.875999,40.584999,39.0299,14134700,38.888758,37.325233,35.98441,0.125022,0.033355,0.009661,TRUE,TRUE,1.340823,0.065885,2.111353,36.793261,55.664821,-12.989215,0.695697,-0.004514,10.921048,7.915802,12.487777,-40.528582,5.886943,5.265655,83.876084,0.986093,0.018077,0.162595,2.584477,2.568488,-10.447436,2.144432,-145876800,218.119824,-42664664280.945419,-5.346025,60.763605,110.921048,107.915802,,0.268946,4.655452,0.403231,0.018077,0.168274
08-06-24,40.68,41.959999,40.529999,39.894032,11389400,39.039981,37.413098,36.026246,0.128596,0.035704,0.009826,TRUE,TRUE,1.386852,0.068463,11.304305,35.888773,62.867851,-10.388417,0.694411,-0.004639,13.346271,12.537639,16.125907,-3.393556,8.203121,5.279504,71.975813,0.980251,0.01765,0.169374,2.518535,2.540648,-10.447436,1.632454,-134487400,209.561861,-42686184147.94429,-5.061708,62.301046,14.069117,6.502479,0,0.229937,4.143154,0.411551,0.01765,1.18658
08-07-24,41.66,42.240002,41.205002,39.605988,9907700,39.16384,37.495203,36.070519,0.130897,0.038032,0.009994,TRUE,TRUE,1.424683,0.070131,12.084031,35.418534,59.403347,-14.049653,0.662513,-0.02923,11.355097,10.054475,13.844056,-15.771898,6.671845,5.364955,57.142275,0.984609,0.017584,0.166585,2.409522,2.434515,-10.447436,1.361796,-144395100,151.745604,-42726705482.996758,-4.956644,69.276263,12.343699,4.574387,0,0.223358,3.999568,0.408148,0.017584,0.773766
08-08-24,41.16,41.648998,41.060001,39.942036,10383100,39.255054,37.58821,36.117267,0.132205,0.040343,0.010162,TRUE,TRUE,1.470944,0.072307,18.136463,34.643423,62.032138,6.367316,0.656778,-0.027972,13.360203,11.046553,15.394034,-1.330636,4.785885,5.366582,54.041259,0.988469,0.017719,0.167737,2.256199,2.58132,-10.447436,1.410757,-134012000,19.436584,-42776504579.561569,-4.984679,66.03151,12.535504,3.9233,0,0.233721,4.168691,0.409557,0.017719,1.271218
