Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
03-20-24,56.349998,58.169998,56.220001,57.29686,2574000,56.416337,56.211772,52.67369,0.034697,0.044849,0.010378,TRUE,TRUE,3.538082,-0.03889,14.614181,9.934828,55.395157,7.634092,0.082339,-0.029552,-0.352157,10.655933,16.507933,44.525513,3.36751,2.487956,88.996623,1.374196,-0.005479,0.002662,3.21602,-0.807953,-11.058627,0.97864,57180200,60.955478,-4177213608.500207,-1.231679,58.031646,-7.893917,-0.5591,0,-0.067313,-0.772256,-0.05159,-0.005479,0.989389
03-21-24,58.380001,58.630001,57.959999,57.991127,2366100,56.540916,56.229923,52.732287,0.041278,0.040246,0.010513,TRUE,TRUE,3.497637,-0.030854,12.973613,9.847859,58.684053,12.05203,0.199639,0.070199,-2.176457,12.576937,16.20259,60.485686,4.489372,2.384069,92.843434,1.376126,-0.00549,0.002665,3.13674,-0.781721,-11.058627,0.902723,59546300,-7.149865,-4179359853.048337,-1.238467,58.569897,-8.825636,1.163116,0,-0.065146,-0.746338,-0.051619,-0.00549,1.561996
03-22-24,58.18,58.73,57.93,57.465473,1497300,56.636243,56.24766,52.782756,0.04789,0.035849,0.010649,TRUE,TRUE,3.464904,-0.022721,5.527836,9.845693,55.355997,7.44083,0.247334,0.094314,-1.249097,13.872393,17.696847,48.401685,3.431549,2.320912,92.014309,1.375604,1.593206,0.489924,3.09395,-1.114607,-11.058627,0.592455,58049000,-55.610566,-4182595995.886475,-1.293296,53.631069,-8.574932,0.583878,0,-0.225111,-3.607813,0.699946,1.593206,0.901197
03-25-24,58.299999,59.529999,58.09,57.663834,3336100,56.726637,56.273324,52.831173,0.054222,0.03166,0.010786,TRUE,TRUE,3.442151,-0.013867,16.894008,10.449697,56.361719,0.966562,0.297706,0.115749,-3.116858,13.179339,17.700682,52.961697,3.236705,2.420017,92.821991,1.376191,1.586025,0.485674,2.935821,-1.08856,-11.058627,1.279047,61385100,94.37744,-4187906728.568925,-1.345104,60.400616,-9.4346,-0.124756,0,-0.211828,-3.407106,0.696903,1.586025,1.00967
03-26-24,58.369999,58.389999,57.560001,57.227432,1942700,56.765017,56.278775,52.8778,0.059247,0.027688,0.010925,TRUE,TRUE,3.400975,-0.006662,3.492086,10.479051,53.50589,-5.178163,0.298966,0.093608,-4.878486,11.28657,15.92692,42.929478,1.359532,2.322772,93.246725,1.372896,1.582133,0.484022,2.90713,-1.029867,-11.058627,0.749426,59442400,-14.157571,-4191406256.467757,-1.337223,55.178095,-10.473567,-1.591865,0,-0.208901,-3.362689,0.695717,1.582133,0.495905
03-27-24,58.16,59.59,58.02,59.072205,2791300,56.9684,56.350823,52.935861,0.063815,0.024021,0.011066,TRUE,TRUE,3.414962,0.002201,7.444636,11.35297,62.220462,6.864465,0.443708,0.19068,-2.613454,17.102138,17.997372,85.338052,7.395144,2.281397,97.108044,1.4242,1.66257,0.513839,3.869428,-0.115601,-11.058627,1.079813,62233700,-4.947899,-4190456132.308813,-1.215918,54.292985,,1.79627,0,-0.158489,-2.533602,0.716826,1.66257,2.166457
03-28-24,59.799999,60.43,59.509998,59.786308,4243100,57.161453,56.445666,52.997345,0.068736,0.020648,0.011208,TRUE,TRUE,3.448321,0.011388,19.324515,12.667429,64.958468,8.596748,0.609018,0.284792,-1.644867,17.163398,18.103308,87.303904,6.903968,2.24791,112.446468,1.42801,1.66432,0.509199,4.858529,0.266613,-11.058627,1.600934,66476800,44.568995,-4192150518.627763,-1.115548,55.466261,-7.739827,0.917507,0,-0.138695,-2.200776,0.713582,1.66432,2.334315
04-01-24,61,61.049999,60.450001,60.331806,3083100,57.338221,56.539143,53.055027,0.073648,0.017571,0.011352,TRUE,TRUE,3.484116,0.019481,30.457137,14.226825,66.930105,13.424215,0.77511,0.360707,0.331019,16.140374,18.036034,87.377975,6.224619,2.250517,132.420705,1.408359,1.646388,0.511025,5.505913,0.805933,-11.058627,1.138543,69559900,59.564227,-4196448307.416339,-1.143102,62.837043,-6.190517,0.807634,0,-0.09513,-1.533426,0.71486,1.646388,2.260662
04-02-24,60.84,61.09,60.299999,60.341721,3039800,57.508555,56.629057,53.115115,0.078631,0.014813,0.011497,TRUE,TRUE,3.513942,0.027639,46.115196,15.508725,66.966485,4.746023,0.897197,0.386235,1.873767,16.292228,17.222145,86.941019,5.983445,2.217003,147.960067,1.4083,1.607587,0.499551,5.248025,0.770298,-11.058627,1.105392,72599700,38.235562,-4199167032.99989,-1.078903,62.128772,-3.755701,1.479134,0,-0.070663,-1.125938,0.706789,1.607587,1.914818
04-03-24,60.880001,62.259998,60.82,61.660828,3636500,57.784445,56.737036,53.177919,0.085589,0.012488,0.011646,TRUE,TRUE,3.559117,0.037612,53.30454,17.31347,71.464382,6.505914,1.087853,0.461513,4.995791,22.137987,18.117266,91.316364,9.828089,2.23768,170.83322,1.433578,1.612144,0.484078,6.694294,1.19816,-11.058627,1.281471,76236200,93.338295,-4198556763.934995,-0.984682,70.630775,-1.026116,5.134327,0,-0.026071,-0.401933,0.695757,1.612144,2.269104
